STATISTIC,Quarter,Nationality,ILO Economic Status,value
Persons aged 15 years and over,2004Q1,All nationalities,All ILO economic status,3194.9
Persons aged 15 years and over,2004Q1,All nationalities,In labour force,2004.1
Persons aged 15 years and over,2004Q1,All nationalities,In employment,1902.3
Persons aged 15 years and over,2004Q1,All nationalities,Unemployed,101.8
Persons aged 15 years and over,2004Q1,All nationalities,Not in labour force,1190.8
Persons aged 15 years and over,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,17.6
Persons aged 15 years and over,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,13.8
Persons aged 15 years and over,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,13.2
Persons aged 15 years and over,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,3.8
Persons aged 15 years and over,2004Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,2004Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,2004Q1,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,2004Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,2004Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,2004Q1,UK,All ILO economic status,66.8
Persons aged 15 years and over,2004Q1,UK,In labour force,43.5
Persons aged 15 years and over,2004Q1,UK,In employment,40.1
Persons aged 15 years and over,2004Q1,UK,Unemployed,3.5
Persons aged 15 years and over,2004Q1,UK,Not in labour force,23.3
Persons aged 15 years and over,2004Q1,Irish,All ILO economic status,3006.6
Persons aged 15 years and over,2004Q1,Irish,In labour force,1881.6
Persons aged 15 years and over,2004Q1,Irish,In employment,1787.7
Persons aged 15 years and over,2004Q1,Irish,Unemployed,93.9
Persons aged 15 years and over,2004Q1,Irish,Not in labour force,1125.0
Persons aged 15 years and over,2004Q1,Non-Irish,All ILO economic status,188.3
Persons aged 15 years and over,2004Q1,Non-Irish,In labour force,122.5
Persons aged 15 years and over,2004Q1,Non-Irish,In employment,114.6
Persons aged 15 years and over,2004Q1,Non-Irish,Unemployed,7.8
Persons aged 15 years and over,2004Q1,Non-Irish,Not in labour force,65.8
Persons aged 15 years and over,2004Q1,Other nationalities (7),All ILO economic status,103.9
Persons aged 15 years and over,2004Q1,Other nationalities (7),In labour force,65.1
Persons aged 15 years and over,2004Q1,Other nationalities (7),In employment,61.3
Persons aged 15 years and over,2004Q1,Other nationalities (7),Unemployed,3.8
Persons aged 15 years and over,2004Q1,Other nationalities (7),Not in labour force,38.8
Persons aged 15 years and over,2004Q2,All nationalities,All ILO economic status,3207.2
Persons aged 15 years and over,2004Q2,All nationalities,In labour force,2022.8
Persons aged 15 years and over,2004Q2,All nationalities,In employment,1925.8
Persons aged 15 years and over,2004Q2,All nationalities,Unemployed,97.0
Persons aged 15 years and over,2004Q2,All nationalities,Not in labour force,1184.4
Persons aged 15 years and over,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,17.7
Persons aged 15 years and over,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,14.2
Persons aged 15 years and over,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,13.5
Persons aged 15 years and over,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,3.4
Persons aged 15 years and over,2004Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,
Persons aged 15 years and over,2004Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,
Persons aged 15 years and over,2004Q2,EU15 to EU27 (accession countries joined post 2004),In employment,
Persons aged 15 years and over,2004Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,2004Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,
Persons aged 15 years and over,2004Q2,UK,All ILO economic status,59.8
Persons aged 15 years and over,2004Q2,UK,In labour force,38.1
Persons aged 15 years and over,2004Q2,UK,In employment,35.6
Persons aged 15 years and over,2004Q2,UK,Unemployed,2.4
Persons aged 15 years and over,2004Q2,UK,Not in labour force,21.7
Persons aged 15 years and over,2004Q2,Irish,All ILO economic status,3022.1
Persons aged 15 years and over,2004Q2,Irish,In labour force,1900.3
Persons aged 15 years and over,2004Q2,Irish,In employment,1811.0
Persons aged 15 years and over,2004Q2,Irish,Unemployed,89.3
Persons aged 15 years and over,2004Q2,Irish,Not in labour force,1121.8
Persons aged 15 years and over,2004Q2,Non-Irish,All ILO economic status,185.1
Persons aged 15 years and over,2004Q2,Non-Irish,In labour force,122.5
Persons aged 15 years and over,2004Q2,Non-Irish,In employment,114.7
Persons aged 15 years and over,2004Q2,Non-Irish,Unemployed,7.7
Persons aged 15 years and over,2004Q2,Non-Irish,Not in labour force,62.6
Persons aged 15 years and over,2004Q2,Other nationalities (7),All ILO economic status,107.6
Persons aged 15 years and over,2004Q2,Other nationalities (7),In labour force,70.2
Persons aged 15 years and over,2004Q2,Other nationalities (7),In employment,65.6
Persons aged 15 years and over,2004Q2,Other nationalities (7),Unemployed,4.5
Persons aged 15 years and over,2004Q2,Other nationalities (7),Not in labour force,37.5
Persons aged 15 years and over,2004Q3,All nationalities,All ILO economic status,3228.9
Persons aged 15 years and over,2004Q3,All nationalities,In labour force,2080.7
Persons aged 15 years and over,2004Q3,All nationalities,In employment,1984.1
Persons aged 15 years and over,2004Q3,All nationalities,Unemployed,96.6
Persons aged 15 years and over,2004Q3,All nationalities,Not in labour force,1148.2
Persons aged 15 years and over,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,27.3
Persons aged 15 years and over,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,22.0
Persons aged 15 years and over,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,21.1
Persons aged 15 years and over,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2004Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,5.3
Persons aged 15 years and over,2004Q3,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,29.5
Persons aged 15 years and over,2004Q3,EU15 to EU27 (accession countries joined post 2004),In labour force,24.9
Persons aged 15 years and over,2004Q3,EU15 to EU27 (accession countries joined post 2004),In employment,23.5
Persons aged 15 years and over,2004Q3,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,2004Q3,EU15 to EU27 (accession countries joined post 2004),Not in labour force,4.6
Persons aged 15 years and over,2004Q3,UK,All ILO economic status,59.3
Persons aged 15 years and over,2004Q3,UK,In labour force,38.1
Persons aged 15 years and over,2004Q3,UK,In employment,35.7
Persons aged 15 years and over,2004Q3,UK,Unemployed,2.4
Persons aged 15 years and over,2004Q3,UK,Not in labour force,21.2
Persons aged 15 years and over,2004Q3,Irish,All ILO economic status,3035.5
Persons aged 15 years and over,2004Q3,Irish,In labour force,1949.6
Persons aged 15 years and over,2004Q3,Irish,In employment,1860.3
Persons aged 15 years and over,2004Q3,Irish,Unemployed,89.3
Persons aged 15 years and over,2004Q3,Irish,Not in labour force,1085.9
Persons aged 15 years and over,2004Q3,Non-Irish,All ILO economic status,193.4
Persons aged 15 years and over,2004Q3,Non-Irish,In labour force,131.1
Persons aged 15 years and over,2004Q3,Non-Irish,In employment,123.8
Persons aged 15 years and over,2004Q3,Non-Irish,Unemployed,7.3
Persons aged 15 years and over,2004Q3,Non-Irish,Not in labour force,62.3
Persons aged 15 years and over,2004Q3,Other nationalities (7),All ILO economic status,77.3
Persons aged 15 years and over,2004Q3,Other nationalities (7),In labour force,46.1
Persons aged 15 years and over,2004Q3,Other nationalities (7),In employment,43.5
Persons aged 15 years and over,2004Q3,Other nationalities (7),Unemployed,2.6
Persons aged 15 years and over,2004Q3,Other nationalities (7),Not in labour force,31.3
Persons aged 15 years and over,2004Q4,All nationalities,All ILO economic status,3253.6
Persons aged 15 years and over,2004Q4,All nationalities,In labour force,2064.7
Persons aged 15 years and over,2004Q4,All nationalities,In employment,1973.8
Persons aged 15 years and over,2004Q4,All nationalities,Unemployed,90.9
Persons aged 15 years and over,2004Q4,All nationalities,Not in labour force,1188.9
Persons aged 15 years and over,2004Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,30.6
Persons aged 15 years and over,2004Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,23.6
Persons aged 15 years and over,2004Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,22.5
Persons aged 15 years and over,2004Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2004Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,7.1
Persons aged 15 years and over,2004Q4,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,35.2
Persons aged 15 years and over,2004Q4,EU15 to EU27 (accession countries joined post 2004),In labour force,31.3
Persons aged 15 years and over,2004Q4,EU15 to EU27 (accession countries joined post 2004),In employment,29.8
Persons aged 15 years and over,2004Q4,EU15 to EU27 (accession countries joined post 2004),Unemployed,
Persons aged 15 years and over,2004Q4,EU15 to EU27 (accession countries joined post 2004),Not in labour force,3.9
Persons aged 15 years and over,2004Q4,UK,All ILO economic status,58.4
Persons aged 15 years and over,2004Q4,UK,In labour force,36.7
Persons aged 15 years and over,2004Q4,UK,In employment,35.1
Persons aged 15 years and over,2004Q4,UK,Unemployed,1.6
Persons aged 15 years and over,2004Q4,UK,Not in labour force,21.7
Persons aged 15 years and over,2004Q4,Irish,All ILO economic status,3047.4
Persons aged 15 years and over,2004Q4,Irish,In labour force,1923.0
Persons aged 15 years and over,2004Q4,Irish,In employment,1839.5
Persons aged 15 years and over,2004Q4,Irish,Unemployed,83.5
Persons aged 15 years and over,2004Q4,Irish,Not in labour force,1124.3
Persons aged 15 years and over,2004Q4,Non-Irish,All ILO economic status,206.2
Persons aged 15 years and over,2004Q4,Non-Irish,In labour force,141.7
Persons aged 15 years and over,2004Q4,Non-Irish,In employment,134.3
Persons aged 15 years and over,2004Q4,Non-Irish,Unemployed,7.4
Persons aged 15 years and over,2004Q4,Non-Irish,Not in labour force,64.6
Persons aged 15 years and over,2004Q4,Other nationalities (7),All ILO economic status,82.0
Persons aged 15 years and over,2004Q4,Other nationalities (7),In labour force,50.1
Persons aged 15 years and over,2004Q4,Other nationalities (7),In employment,47.0
Persons aged 15 years and over,2004Q4,Other nationalities (7),Unemployed,3.2
Persons aged 15 years and over,2004Q4,Other nationalities (7),Not in labour force,31.8
Persons aged 15 years and over,2005Q1,All nationalities,All ILO economic status,3270.1
Persons aged 15 years and over,2005Q1,All nationalities,In labour force,2080.9
Persons aged 15 years and over,2005Q1,All nationalities,In employment,1989.7
Persons aged 15 years and over,2005Q1,All nationalities,Unemployed,91.2
Persons aged 15 years and over,2005Q1,All nationalities,Not in labour force,1189.2
Persons aged 15 years and over,2005Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,30.9
Persons aged 15 years and over,2005Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,24.2
Persons aged 15 years and over,2005Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,22.5
Persons aged 15 years and over,2005Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2005Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,6.7
Persons aged 15 years and over,2005Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,46.6
Persons aged 15 years and over,2005Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,41.7
Persons aged 15 years and over,2005Q1,EU15 to EU27 (accession countries joined post 2004),In employment,40.0
Persons aged 15 years and over,2005Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,1.7
Persons aged 15 years and over,2005Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,4.9
Persons aged 15 years and over,2005Q1,UK,All ILO economic status,62.7
Persons aged 15 years and over,2005Q1,UK,In labour force,40.5
Persons aged 15 years and over,2005Q1,UK,In employment,38.1
Persons aged 15 years and over,2005Q1,UK,Unemployed,2.4
Persons aged 15 years and over,2005Q1,UK,Not in labour force,22.2
Persons aged 15 years and over,2005Q1,Irish,All ILO economic status,3051.0
Persons aged 15 years and over,2005Q1,Irish,In labour force,1927.4
Persons aged 15 years and over,2005Q1,Irish,In employment,1845.7
Persons aged 15 years and over,2005Q1,Irish,Unemployed,81.7
Persons aged 15 years and over,2005Q1,Irish,Not in labour force,1123.6
Persons aged 15 years and over,2005Q1,Non-Irish,All ILO economic status,219.1
Persons aged 15 years and over,2005Q1,Non-Irish,In labour force,153.5
Persons aged 15 years and over,2005Q1,Non-Irish,In employment,144.0
Persons aged 15 years and over,2005Q1,Non-Irish,Unemployed,9.4
Persons aged 15 years and over,2005Q1,Non-Irish,Not in labour force,65.6
Persons aged 15 years and over,2005Q1,Other nationalities (7),All ILO economic status,78.8
Persons aged 15 years and over,2005Q1,Other nationalities (7),In labour force,47.1
Persons aged 15 years and over,2005Q1,Other nationalities (7),In employment,43.5
Persons aged 15 years and over,2005Q1,Other nationalities (7),Unemployed,3.6
Persons aged 15 years and over,2005Q1,Other nationalities (7),Not in labour force,31.7
Persons aged 15 years and over,2005Q2,All nationalities,All ILO economic status,3287.9
Persons aged 15 years and over,2005Q2,All nationalities,In labour force,2124.3
Persons aged 15 years and over,2005Q2,All nationalities,In employment,2018.0
Persons aged 15 years and over,2005Q2,All nationalities,Unemployed,106.3
Persons aged 15 years and over,2005Q2,All nationalities,Not in labour force,1163.6
Persons aged 15 years and over,2005Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,29.9
Persons aged 15 years and over,2005Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,24.3
Persons aged 15 years and over,2005Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,23.4
Persons aged 15 years and over,2005Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2005Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,5.7
Persons aged 15 years and over,2005Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,56.2
Persons aged 15 years and over,2005Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,52.1
Persons aged 15 years and over,2005Q2,EU15 to EU27 (accession countries joined post 2004),In employment,47.9
Persons aged 15 years and over,2005Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,4.2
Persons aged 15 years and over,2005Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,4.1
Persons aged 15 years and over,2005Q2,UK,All ILO economic status,65.6
Persons aged 15 years and over,2005Q2,UK,In labour force,42.8
Persons aged 15 years and over,2005Q2,UK,In employment,39.7
Persons aged 15 years and over,2005Q2,UK,Unemployed,3.0
Persons aged 15 years and over,2005Q2,UK,Not in labour force,22.9
Persons aged 15 years and over,2005Q2,Irish,All ILO economic status,3058.0
Persons aged 15 years and over,2005Q2,Irish,In labour force,1953.9
Persons aged 15 years and over,2005Q2,Irish,In employment,1859.6
Persons aged 15 years and over,2005Q2,Irish,Unemployed,94.3
Persons aged 15 years and over,2005Q2,Irish,Not in labour force,1104.1
Persons aged 15 years and over,2005Q2,Non-Irish,All ILO economic status,229.9
Persons aged 15 years and over,2005Q2,Non-Irish,In labour force,170.4
Persons aged 15 years and over,2005Q2,Non-Irish,In employment,158.4
Persons aged 15 years and over,2005Q2,Non-Irish,Unemployed,12.0
Persons aged 15 years and over,2005Q2,Non-Irish,Not in labour force,59.5
Persons aged 15 years and over,2005Q2,Other nationalities (7),All ILO economic status,78.2
Persons aged 15 years and over,2005Q2,Other nationalities (7),In labour force,51.3
Persons aged 15 years and over,2005Q2,Other nationalities (7),In employment,47.3
Persons aged 15 years and over,2005Q2,Other nationalities (7),Unemployed,3.9
Persons aged 15 years and over,2005Q2,Other nationalities (7),Not in labour force,26.9
Persons aged 15 years and over,2005Q3,All nationalities,All ILO economic status,3314.6
Persons aged 15 years and over,2005Q3,All nationalities,In labour force,2179.4
Persons aged 15 years and over,2005Q3,All nationalities,In employment,2073.3
Persons aged 15 years and over,2005Q3,All nationalities,Unemployed,106.0
Persons aged 15 years and over,2005Q3,All nationalities,Not in labour force,1135.2
Persons aged 15 years and over,2005Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,28.4
Persons aged 15 years and over,2005Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,23.5
Persons aged 15 years and over,2005Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,22.3
Persons aged 15 years and over,2005Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2005Q3,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,4.9
Persons aged 15 years and over,2005Q3,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,65.0
Persons aged 15 years and over,2005Q3,EU15 to EU27 (accession countries joined post 2004),In labour force,59.4
Persons aged 15 years and over,2005Q3,EU15 to EU27 (accession countries joined post 2004),In employment,56.1
Persons aged 15 years and over,2005Q3,EU15 to EU27 (accession countries joined post 2004),Unemployed,3.3
Persons aged 15 years and over,2005Q3,EU15 to EU27 (accession countries joined post 2004),Not in labour force,5.6
Persons aged 15 years and over,2005Q3,UK,All ILO economic status,66.4
Persons aged 15 years and over,2005Q3,UK,In labour force,43.4
Persons aged 15 years and over,2005Q3,UK,In employment,40.4
Persons aged 15 years and over,2005Q3,UK,Unemployed,3.0
Persons aged 15 years and over,2005Q3,UK,Not in labour force,23.0
Persons aged 15 years and over,2005Q3,Irish,All ILO economic status,3081.6
Persons aged 15 years and over,2005Q3,Irish,In labour force,2003.5
Persons aged 15 years and over,2005Q3,Irish,In employment,1909.1
Persons aged 15 years and over,2005Q3,Irish,Unemployed,94.4
Persons aged 15 years and over,2005Q3,Irish,Not in labour force,1078.1
Persons aged 15 years and over,2005Q3,Non-Irish,All ILO economic status,233.0
Persons aged 15 years and over,2005Q3,Non-Irish,In labour force,175.9
Persons aged 15 years and over,2005Q3,Non-Irish,In employment,164.3
Persons aged 15 years and over,2005Q3,Non-Irish,Unemployed,11.6
Persons aged 15 years and over,2005Q3,Non-Irish,Not in labour force,57.1
Persons aged 15 years and over,2005Q3,Other nationalities (7),All ILO economic status,73.2
Persons aged 15 years and over,2005Q3,Other nationalities (7),In labour force,49.5
Persons aged 15 years and over,2005Q3,Other nationalities (7),In employment,45.5
Persons aged 15 years and over,2005Q3,Other nationalities (7),Unemployed,4.0
Persons aged 15 years and over,2005Q3,Other nationalities (7),Not in labour force,23.6
Persons aged 15 years and over,2005Q4,All nationalities,All ILO economic status,3342.8
Persons aged 15 years and over,2005Q4,All nationalities,In labour force,2162.0
Persons aged 15 years and over,2005Q4,All nationalities,In employment,2070.0
Persons aged 15 years and over,2005Q4,All nationalities,Unemployed,91.9
Persons aged 15 years and over,2005Q4,All nationalities,Not in labour force,1180.8
Persons aged 15 years and over,2005Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,30.9
Persons aged 15 years and over,2005Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,24.3
Persons aged 15 years and over,2005Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,23.4
Persons aged 15 years and over,2005Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2005Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,6.5
Persons aged 15 years and over,2005Q4,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,74.3
Persons aged 15 years and over,2005Q4,EU15 to EU27 (accession countries joined post 2004),In labour force,68.0
Persons aged 15 years and over,2005Q4,EU15 to EU27 (accession countries joined post 2004),In employment,63.9
Persons aged 15 years and over,2005Q4,EU15 to EU27 (accession countries joined post 2004),Unemployed,4.1
Persons aged 15 years and over,2005Q4,EU15 to EU27 (accession countries joined post 2004),Not in labour force,6.3
Persons aged 15 years and over,2005Q4,UK,All ILO economic status,67.3
Persons aged 15 years and over,2005Q4,UK,In labour force,43.6
Persons aged 15 years and over,2005Q4,UK,In employment,40.7
Persons aged 15 years and over,2005Q4,UK,Unemployed,2.8
Persons aged 15 years and over,2005Q4,UK,Not in labour force,23.7
Persons aged 15 years and over,2005Q4,Irish,All ILO economic status,3087.3
Persons aged 15 years and over,2005Q4,Irish,In labour force,1971.3
Persons aged 15 years and over,2005Q4,Irish,In employment,1891.6
Persons aged 15 years and over,2005Q4,Irish,Unemployed,79.7
Persons aged 15 years and over,2005Q4,Irish,Not in labour force,1116.0
Persons aged 15 years and over,2005Q4,Non-Irish,All ILO economic status,255.5
Persons aged 15 years and over,2005Q4,Non-Irish,In labour force,190.6
Persons aged 15 years and over,2005Q4,Non-Irish,In employment,178.4
Persons aged 15 years and over,2005Q4,Non-Irish,Unemployed,12.2
Persons aged 15 years and over,2005Q4,Non-Irish,Not in labour force,64.9
Persons aged 15 years and over,2005Q4,Other nationalities (7),All ILO economic status,83.1
Persons aged 15 years and over,2005Q4,Other nationalities (7),In labour force,54.8
Persons aged 15 years and over,2005Q4,Other nationalities (7),In employment,50.5
Persons aged 15 years and over,2005Q4,Other nationalities (7),Unemployed,4.3
Persons aged 15 years and over,2005Q4,Other nationalities (7),Not in labour force,28.3
Persons aged 15 years and over,2006Q1,All nationalities,All ILO economic status,3362.9
Persons aged 15 years and over,2006Q1,All nationalities,In labour force,2183.8
Persons aged 15 years and over,2006Q1,All nationalities,In employment,2082.3
Persons aged 15 years and over,2006Q1,All nationalities,Unemployed,101.5
Persons aged 15 years and over,2006Q1,All nationalities,Not in labour force,1179.1
Persons aged 15 years and over,2006Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,31.8
Persons aged 15 years and over,2006Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,26.7
Persons aged 15 years and over,2006Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,25.3
Persons aged 15 years and over,2006Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2006Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,5.1
Persons aged 15 years and over,2006Q1,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,88.2
Persons aged 15 years and over,2006Q1,EU15 to EU27 (accession countries joined post 2004),In labour force,80.8
Persons aged 15 years and over,2006Q1,EU15 to EU27 (accession countries joined post 2004),In employment,74.7
Persons aged 15 years and over,2006Q1,EU15 to EU27 (accession countries joined post 2004),Unemployed,6.1
Persons aged 15 years and over,2006Q1,EU15 to EU27 (accession countries joined post 2004),Not in labour force,7.4
Persons aged 15 years and over,2006Q1,UK,All ILO economic status,67.4
Persons aged 15 years and over,2006Q1,UK,In labour force,43.3
Persons aged 15 years and over,2006Q1,UK,In employment,40.4
Persons aged 15 years and over,2006Q1,UK,Unemployed,2.9
Persons aged 15 years and over,2006Q1,UK,Not in labour force,24.1
Persons aged 15 years and over,2006Q1,Irish,All ILO economic status,3090.8
Persons aged 15 years and over,2006Q1,Irish,In labour force,1976.9
Persons aged 15 years and over,2006Q1,Irish,In employment,1890.8
Persons aged 15 years and over,2006Q1,Irish,Unemployed,86.1
Persons aged 15 years and over,2006Q1,Irish,Not in labour force,1113.9
Persons aged 15 years and over,2006Q1,Non-Irish,All ILO economic status,272.1
Persons aged 15 years and over,2006Q1,Non-Irish,In labour force,206.9
Persons aged 15 years and over,2006Q1,Non-Irish,In employment,191.5
Persons aged 15 years and over,2006Q1,Non-Irish,Unemployed,15.4
Persons aged 15 years and over,2006Q1,Non-Irish,Not in labour force,65.2
Persons aged 15 years and over,2006Q1,Other nationalities (7),All ILO economic status,84.8
Persons aged 15 years and over,2006Q1,Other nationalities (7),In labour force,56.2
Persons aged 15 years and over,2006Q1,Other nationalities (7),In employment,51.1
Persons aged 15 years and over,2006Q1,Other nationalities (7),Unemployed,5.1
Persons aged 15 years and over,2006Q1,Other nationalities (7),Not in labour force,28.6
Persons aged 15 years and over,2006Q2,All nationalities,All ILO economic status,3376.1
Persons aged 15 years and over,2006Q2,All nationalities,In labour force,2217.6
Persons aged 15 years and over,2006Q2,All nationalities,In employment,2109.0
Persons aged 15 years and over,2006Q2,All nationalities,Unemployed,108.7
Persons aged 15 years and over,2006Q2,All nationalities,Not in labour force,1158.5
Persons aged 15 years and over,2006Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All ILO economic status,37.1
Persons aged 15 years and over,2006Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In labour force,31.2
Persons aged 15 years and over,2006Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),In employment,29.6
Persons aged 15 years and over,2006Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Unemployed,
Persons aged 15 years and over,2006Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not in labour force,5.8
Persons aged 15 years and over,2006Q2,EU15 to EU27 (accession countries joined post 2004),All ILO economic status,96.4
Persons aged 15 years and over,2006Q2,EU15 to EU27 (accession countries joined post 2004),In labour force,89.3
Persons aged 15 years and over,2006Q2,EU15 to EU27 (accession countries joined post 2004),In employment,83.5
Persons aged 15 years and over,2006Q2,EU15 to EU27 (accession countries joined post 2004),Unemployed,5.8
Persons aged 15 years and over,2006Q2,EU15 to EU27 (accession countries joined post 2004),Not in labour force,7.1
Persons aged 15 years and over,2006Q2,UK,All ILO economic status,66.7
Persons aged 15 years and over,2006Q2,UK,In labour force,43.0
Persons aged 15 years and over,2006Q2,UK,In employment,39.7
Persons aged 15 years and over,2006Q2,UK,Unemployed,3.3
Persons aged 15 years and over,2006Q2,UK,Not in labour force,23.7
Persons aged 15 years and over,2006Q2,Irish,All ILO economic status,3091.5
Persons aged 15 years and over,2006Q2,Irish,In labour force,1996.1
Persons aged 15 years and over,2006Q2,Irish,In employment,1902.8
Persons aged 15 years and over,2006Q2,Irish,Unemployed,93.3
Persons aged 15 years and over,2006Q2,Irish,Not in labour force,1095.4
Persons aged 15 years and over,2006Q2,Non-Irish,All ILO economic status,284.6
Persons aged 15 years and over,2006Q2,Non-Irish,In labour force,221.5
Persons aged 15 years and over,2006Q2,Non-Irish,In employment,206.1
Persons aged 15 years and over,2006Q2,Non-Irish,Unemployed,15.4
Persons aged 15 years and over,2006Q2,Non-Irish,Not in labour force,63.1
Persons aged 15 years and over,2006Q2,Other nationalities (7),All ILO economic status,84.4
Persons aged 15 years and over,2006Q2,Other nationalities (7),In labour force,57.9
Persons aged 15 years and over,2006Q2,Other nationalities (7),In employment,53.3
Persons aged 15 years and over,2006Q2,Other nationalities (7),Unemployed,4.6
Persons aged 15 years and over,2006Q2,Other nationalities (7),Not in labour force,26.5
