Statistic,Quarter,NACE Rev 2 Economic Sector,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,Industry (B to E),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,"Financial, insurance and real estate activities (K, L)",37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,Other NACE activities (R to U),32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,Industry and Construction (B to F),40.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,Services (G to U),34.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,Not stated,34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,All NACE economic sectors,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,"Agriculture, forestry and fishing (A)",51.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,Construction (F),41.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,Transportation and storage (H),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,Accommodation and food service activities (I),32.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,Information and communication (J),38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,"Professional, scientific and technical activities (M)",38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,Administrative and support service activities (N),35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,Public administration and defence; compulsory social security (O),37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,Education (P),29.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,Human health and social work activities (Q),32.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,Industry (B to E),39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,"Financial, insurance and real estate activities (K, L)",37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,Other NACE activities (R to U),32.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,Industry and Construction (B to F),39.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,Services (G to U),34.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,Not stated,35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,All NACE economic sectors,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,"Agriculture, forestry and fishing (A)",51.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,Construction (F),41.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,Transportation and storage (H),40.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,Accommodation and food service activities (I),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,Information and communication (J),38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,"Professional, scientific and technical activities (M)",39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,Administrative and support service activities (N),35.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,Public administration and defence; compulsory social security (O),36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,Education (P),29.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,Human health and social work activities (Q),32.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,Industry (B to E),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,"Financial, insurance and real estate activities (K, L)",37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,Other NACE activities (R to U),32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,Industry and Construction (B to F),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,Services (G to U),34.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,Not stated,35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,All NACE economic sectors,36.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,"Agriculture, forestry and fishing (A)",52.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,Construction (F),40.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,Transportation and storage (H),40.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,Accommodation and food service activities (I),33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,Information and communication (J),38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,"Professional, scientific and technical activities (M)",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,Administrative and support service activities (N),36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,Public administration and defence; compulsory social security (O),36.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,Education (P),29.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,Human health and social work activities (Q),32.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,Industry (B to E),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,"Financial, insurance and real estate activities (K, L)",37.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,Other NACE activities (R to U),32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,Industry and Construction (B to F),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,Services (G to U),35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,Not stated,35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,All NACE economic sectors,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,"Agriculture, forestry and fishing (A)",51.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,Construction (F),40.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,Transportation and storage (H),40.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,Accommodation and food service activities (I),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,Information and communication (J),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,"Professional, scientific and technical activities (M)",39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,Administrative and support service activities (N),35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,Public administration and defence; compulsory social security (O),36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,Education (P),29.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,Human health and social work activities (Q),32.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,Industry (B to E),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,"Financial, insurance and real estate activities (K, L)",37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,Other NACE activities (R to U),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,Industry and Construction (B to F),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,Services (G to U),34.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,Not stated,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,All NACE economic sectors,36.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,"Agriculture, forestry and fishing (A)",52.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,Construction (F),40.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,Transportation and storage (H),40.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,Accommodation and food service activities (I),32.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,Information and communication (J),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,"Professional, scientific and technical activities (M)",39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,Administrative and support service activities (N),35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,Public administration and defence; compulsory social security (O),36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,Education (P),29.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,Human health and social work activities (Q),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,Industry (B to E),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,"Financial, insurance and real estate activities (K, L)",37.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,Other NACE activities (R to U),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,Industry and Construction (B to F),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,Services (G to U),34.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,Not stated,37.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,All NACE economic sectors,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,"Agriculture, forestry and fishing (A)",53.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,Construction (F),41.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,Transportation and storage (H),40.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,Accommodation and food service activities (I),33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,Information and communication (J),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,"Professional, scientific and technical activities (M)",39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,Administrative and support service activities (N),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,Public administration and defence; compulsory social security (O),36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,Education (P),28.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,Human health and social work activities (Q),32.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,Industry (B to E),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,"Financial, insurance and real estate activities (K, L)",37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,Other NACE activities (R to U),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,Industry and Construction (B to F),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,Services (G to U),34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,Not stated,38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,All NACE economic sectors,36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,"Agriculture, forestry and fishing (A)",52.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,Construction (F),41.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,Transportation and storage (H),40.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,Accommodation and food service activities (I),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,Information and communication (J),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,"Professional, scientific and technical activities (M)",39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,Administrative and support service activities (N),34.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,Public administration and defence; compulsory social security (O),36.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,Education (P),28.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,Human health and social work activities (Q),32.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,Industry (B to E),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,"Financial, insurance and real estate activities (K, L)",37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,Other NACE activities (R to U),33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,Industry and Construction (B to F),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,Services (G to U),34.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,Not stated,38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,All NACE economic sectors,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,"Agriculture, forestry and fishing (A)",52.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,Construction (F),40.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,Transportation and storage (H),40.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,Accommodation and food service activities (I),32.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,Information and communication (J),38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,"Professional, scientific and technical activities (M)",39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,Administrative and support service activities (N),34.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,Public administration and defence; compulsory social security (O),36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,Education (P),28.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,Human health and social work activities (Q),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,Industry (B to E),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,"Financial, insurance and real estate activities (K, L)",37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,Other NACE activities (R to U),32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,Industry and Construction (B to F),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,Services (G to U),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,Not stated,38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,All NACE economic sectors,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,"Agriculture, forestry and fishing (A)",52.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,Construction (F),40.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,Transportation and storage (H),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,Accommodation and food service activities (I),32.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,Information and communication (J),38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,"Professional, scientific and technical activities (M)",39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,Administrative and support service activities (N),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,Public administration and defence; compulsory social security (O),36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,Education (P),28.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,Human health and social work activities (Q),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,Industry (B to E),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,"Financial, insurance and real estate activities (K, L)",37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,Other NACE activities (R to U),32.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,Industry and Construction (B to F),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,Services (G to U),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,Not stated,39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,All NACE economic sectors,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,"Agriculture, forestry and fishing (A)",51.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,Construction (F),40.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,Transportation and storage (H),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,Accommodation and food service activities (I),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,Information and communication (J),38.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,"Professional, scientific and technical activities (M)",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,Administrative and support service activities (N),34.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,Public administration and defence; compulsory social security (O),36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,Education (P),28.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,Human health and social work activities (Q),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,Industry (B to E),39.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,"Financial, insurance and real estate activities (K, L)",37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,Other NACE activities (R to U),32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,Industry and Construction (B to F),39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,Services (G to U),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,Not stated,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,All NACE economic sectors,36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,"Agriculture, forestry and fishing (A)",50.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,Construction (F),40.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),34.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,Transportation and storage (H),39.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,Accommodation and food service activities (I),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,Information and communication (J),38.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,"Professional, scientific and technical activities (M)",38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,Administrative and support service activities (N),35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,Public administration and defence; compulsory social security (O),35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,Education (P),28.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,Human health and social work activities (Q),32.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,Industry (B to E),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,"Financial, insurance and real estate activities (K, L)",37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,Other NACE activities (R to U),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,Industry and Construction (B to F),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,Services (G to U),34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,Not stated,34.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,All NACE economic sectors,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,"Agriculture, forestry and fishing (A)",50.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,Construction (F),40.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,Transportation and storage (H),39.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,Accommodation and food service activities (I),32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,Information and communication (J),38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,"Professional, scientific and technical activities (M)",38.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,Administrative and support service activities (N),35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,Public administration and defence; compulsory social security (O),35.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,Education (P),28.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,Human health and social work activities (Q),32.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,Industry (B to E),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,"Financial, insurance and real estate activities (K, L)",37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,Other NACE activities (R to U),32.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,Industry and Construction (B to F),39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,Services (G to U),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,Not stated,34.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,All NACE economic sectors,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,"Agriculture, forestry and fishing (A)",50.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,Construction (F),40.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,Transportation and storage (H),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,Accommodation and food service activities (I),33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,Information and communication (J),38.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,"Professional, scientific and technical activities (M)",38.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,Administrative and support service activities (N),34.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,Public administration and defence; compulsory social security (O),35.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,Education (P),28.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,Human health and social work activities (Q),32.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,Industry (B to E),39.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,"Financial, insurance and real estate activities (K, L)",37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,Other NACE activities (R to U),32.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,Industry and Construction (B to F),39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,Services (G to U),34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,Not stated,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,All NACE economic sectors,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,"Agriculture, forestry and fishing (A)",50.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,Construction (F),40.8
