Statistic,Quarter,NACE Rev 2 Economic Sector,value
Actual hours worked per week,2003Q4,"Financial, insurance and real estate activities (K,L)",3.2
Actual hours worked per week,2003Q4,Other NACE activities (R to U),3.0
Actual hours worked per week,2003Q4,Not stated,0.3
Actual hours worked per week,2004Q1,All NACE economic sectors,63.0
Actual hours worked per week,2004Q1,"Agriculture, forestry and fishing (A)",5.7
Actual hours worked per week,2004Q1,Construction (F),5.9
Actual hours worked per week,2004Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.4
Actual hours worked per week,2004Q1,Transportation and storage (H),3.2
Actual hours worked per week,2004Q1,Accommodation and food service activities (I),3.5
Actual hours worked per week,2004Q1,Information and communication (J),2.5
Actual hours worked per week,2004Q1,"Professional, scientific and technical activities (M)",3.6
Actual hours worked per week,2004Q1,Administrative and support service activities (N),2.2
Actual hours worked per week,2004Q1,"Public administration and defence, compulsory social security (O)",2.7
Actual hours worked per week,2004Q1,Education (P),2.9
Actual hours worked per week,2004Q1,Human health and social work activities (Q),5.5
Actual hours worked per week,2004Q1,Industry (B to E),10.7
Actual hours worked per week,2004Q1,Industry and Construction (B to F),16.6
Actual hours worked per week,2004Q1,Services (G to U),40.5
Actual hours worked per week,2004Q1,"Financial, insurance and real estate activities (K,L)",3.1
Actual hours worked per week,2004Q1,Other NACE activities (R to U),2.9
Actual hours worked per week,2004Q1,Not stated,0.2
Actual hours worked per week,2004Q2,All NACE economic sectors,67.4
Actual hours worked per week,2004Q2,"Agriculture, forestry and fishing (A)",6.0
Actual hours worked per week,2004Q2,Construction (F),6.8
Actual hours worked per week,2004Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.0
Actual hours worked per week,2004Q2,Transportation and storage (H),3.4
Actual hours worked per week,2004Q2,Accommodation and food service activities (I),3.5
Actual hours worked per week,2004Q2,Information and communication (J),2.8
Actual hours worked per week,2004Q2,"Professional, scientific and technical activities (M)",3.7
Actual hours worked per week,2004Q2,Administrative and support service activities (N),2.5
Actual hours worked per week,2004Q2,"Public administration and defence, compulsory social security (O)",2.9
Actual hours worked per week,2004Q2,Education (P),2.9
Actual hours worked per week,2004Q2,Human health and social work activities (Q),5.7
Actual hours worked per week,2004Q2,Industry (B to E),11.4
Actual hours worked per week,2004Q2,Industry and Construction (B to F),18.2
Actual hours worked per week,2004Q2,Services (G to U),42.9
Actual hours worked per week,2004Q2,"Financial, insurance and real estate activities (K,L)",3.3
Actual hours worked per week,2004Q2,Other NACE activities (R to U),3.1
Actual hours worked per week,2004Q2,Not stated,0.2
Actual hours worked per week,2004Q3,All NACE economic sectors,67.9
Actual hours worked per week,2004Q3,"Agriculture, forestry and fishing (A)",6.1
Actual hours worked per week,2004Q3,Construction (F),7.3
Actual hours worked per week,2004Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.2
Actual hours worked per week,2004Q3,Transportation and storage (H),3.5
Actual hours worked per week,2004Q3,Accommodation and food service activities (I),4.0
Actual hours worked per week,2004Q3,Information and communication (J),2.7
Actual hours worked per week,2004Q3,"Professional, scientific and technical activities (M)",3.8
Actual hours worked per week,2004Q3,Administrative and support service activities (N),2.6
Actual hours worked per week,2004Q3,"Public administration and defence, compulsory social security (O)",2.8
Actual hours worked per week,2004Q3,Education (P),2.0
Actual hours worked per week,2004Q3,Human health and social work activities (Q),5.8
Actual hours worked per week,2004Q3,Industry (B to E),11.5
Actual hours worked per week,2004Q3,Industry and Construction (B to F),18.8
Actual hours worked per week,2004Q3,Services (G to U),42.7
Actual hours worked per week,2004Q3,"Financial, insurance and real estate activities (K,L)",3.1
Actual hours worked per week,2004Q3,Other NACE activities (R to U),3.2
Actual hours worked per week,2004Q3,Not stated,0.4
Actual hours worked per week,2004Q4,All NACE economic sectors,70.1
Actual hours worked per week,2004Q4,"Agriculture, forestry and fishing (A)",5.5
Actual hours worked per week,2004Q4,Construction (F),7.4
Actual hours worked per week,2004Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.4
Actual hours worked per week,2004Q4,Transportation and storage (H),3.7
Actual hours worked per week,2004Q4,Accommodation and food service activities (I),3.7
Actual hours worked per week,2004Q4,Information and communication (J),2.8
Actual hours worked per week,2004Q4,"Professional, scientific and technical activities (M)",4.0
Actual hours worked per week,2004Q4,Administrative and support service activities (N),2.7
Actual hours worked per week,2004Q4,"Public administration and defence, compulsory social security (O)",3.1
Actual hours worked per week,2004Q4,Education (P),3.1
Actual hours worked per week,2004Q4,Human health and social work activities (Q),6.1
Actual hours worked per week,2004Q4,Industry (B to E),11.7
Actual hours worked per week,2004Q4,Industry and Construction (B to F),19.1
Actual hours worked per week,2004Q4,Services (G to U),45.2
Actual hours worked per week,2004Q4,"Financial, insurance and real estate activities (K,L)",3.4
Actual hours worked per week,2004Q4,Other NACE activities (R to U),3.2
Actual hours worked per week,2004Q4,Not stated,0.3
Actual hours worked per week,2005Q1,All NACE economic sectors,66.6
Actual hours worked per week,2005Q1,"Agriculture, forestry and fishing (A)",5.5
Actual hours worked per week,2005Q1,Construction (F),7.2
Actual hours worked per week,2005Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.8
Actual hours worked per week,2005Q1,Transportation and storage (H),3.4
Actual hours worked per week,2005Q1,Accommodation and food service activities (I),3.5
Actual hours worked per week,2005Q1,Information and communication (J),2.7
Actual hours worked per week,2005Q1,"Professional, scientific and technical activities (M)",3.8
Actual hours worked per week,2005Q1,Administrative and support service activities (N),2.6
Actual hours worked per week,2005Q1,"Public administration and defence, compulsory social security (O)",2.8
Actual hours worked per week,2005Q1,Education (P),2.9
Actual hours worked per week,2005Q1,Human health and social work activities (Q),5.9
Actual hours worked per week,2005Q1,Industry (B to E),10.9
Actual hours worked per week,2005Q1,Industry and Construction (B to F),18.1
Actual hours worked per week,2005Q1,Services (G to U),42.7
Actual hours worked per week,2005Q1,"Financial, insurance and real estate activities (K,L)",3.1
Actual hours worked per week,2005Q1,Other NACE activities (R to U),2.9
Actual hours worked per week,2005Q1,Not stated,0.4
Actual hours worked per week,2005Q2,All NACE economic sectors,71.5
Actual hours worked per week,2005Q2,"Agriculture, forestry and fishing (A)",6.0
Actual hours worked per week,2005Q2,Construction (F),7.9
Actual hours worked per week,2005Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.4
Actual hours worked per week,2005Q2,Transportation and storage (H),3.5
Actual hours worked per week,2005Q2,Accommodation and food service activities (I),3.9
Actual hours worked per week,2005Q2,Information and communication (J),3.0
Actual hours worked per week,2005Q2,"Professional, scientific and technical activities (M)",4.1
Actual hours worked per week,2005Q2,Administrative and support service activities (N),2.8
Actual hours worked per week,2005Q2,"Public administration and defence, compulsory social security (O)",3.2
Actual hours worked per week,2005Q2,Education (P),3.2
Actual hours worked per week,2005Q2,Human health and social work activities (Q),6.2
Actual hours worked per week,2005Q2,Industry (B to E),11.4
Actual hours worked per week,2005Q2,Industry and Construction (B to F),19.2
Actual hours worked per week,2005Q2,Services (G to U),45.8
Actual hours worked per week,2005Q2,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2005Q2,Other NACE activities (R to U),3.2
Actual hours worked per week,2005Q2,Not stated,0.5
Actual hours worked per week,2005Q3,All NACE economic sectors,69.8
Actual hours worked per week,2005Q3,"Agriculture, forestry and fishing (A)",5.9
Actual hours worked per week,2005Q3,Construction (F),7.9
Actual hours worked per week,2005Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.6
Actual hours worked per week,2005Q3,Transportation and storage (H),3.5
Actual hours worked per week,2005Q3,Accommodation and food service activities (I),3.9
Actual hours worked per week,2005Q3,Information and communication (J),3.0
Actual hours worked per week,2005Q3,"Professional, scientific and technical activities (M)",4.0
Actual hours worked per week,2005Q3,Administrative and support service activities (N),2.8
Actual hours worked per week,2005Q3,"Public administration and defence, compulsory social security (O)",3.1
Actual hours worked per week,2005Q3,Education (P),2.0
Actual hours worked per week,2005Q3,Human health and social work activities (Q),5.8
Actual hours worked per week,2005Q3,Industry (B to E),11.3
Actual hours worked per week,2005Q3,Industry and Construction (B to F),19.1
Actual hours worked per week,2005Q3,Services (G to U),44.3
Actual hours worked per week,2005Q3,"Financial, insurance and real estate activities (K,L)",3.4
Actual hours worked per week,2005Q3,Other NACE activities (R to U),3.1
Actual hours worked per week,2005Q3,Not stated,0.5
Actual hours worked per week,2005Q4,All NACE economic sectors,73.1
Actual hours worked per week,2005Q4,"Agriculture, forestry and fishing (A)",5.4
Actual hours worked per week,2005Q4,Construction (F),8.4
Actual hours worked per week,2005Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.8
Actual hours worked per week,2005Q4,Transportation and storage (H),3.6
Actual hours worked per week,2005Q4,Accommodation and food service activities (I),3.8
Actual hours worked per week,2005Q4,Information and communication (J),3.2
Actual hours worked per week,2005Q4,"Professional, scientific and technical activities (M)",4.3
Actual hours worked per week,2005Q4,Administrative and support service activities (N),2.8
Actual hours worked per week,2005Q4,"Public administration and defence, compulsory social security (O)",3.4
Actual hours worked per week,2005Q4,Education (P),3.4
Actual hours worked per week,2005Q4,Human health and social work activities (Q),6.3
Actual hours worked per week,2005Q4,Industry (B to E),11.7
Actual hours worked per week,2005Q4,Industry and Construction (B to F),20.1
Actual hours worked per week,2005Q4,Services (G to U),47.3
Actual hours worked per week,2005Q4,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2005Q4,Other NACE activities (R to U),3.2
Actual hours worked per week,2005Q4,Not stated,0.4
Actual hours worked per week,2006Q1,All NACE economic sectors,69.2
Actual hours worked per week,2006Q1,"Agriculture, forestry and fishing (A)",5.5
Actual hours worked per week,2006Q1,Construction (F),7.9
Actual hours worked per week,2006Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.4
Actual hours worked per week,2006Q1,Transportation and storage (H),3.3
Actual hours worked per week,2006Q1,Accommodation and food service activities (I),3.7
Actual hours worked per week,2006Q1,Information and communication (J),3.0
Actual hours worked per week,2006Q1,"Professional, scientific and technical activities (M)",4.1
Actual hours worked per week,2006Q1,Administrative and support service activities (N),2.8
Actual hours worked per week,2006Q1,"Public administration and defence, compulsory social security (O)",3.1
Actual hours worked per week,2006Q1,Education (P),3.2
Actual hours worked per week,2006Q1,Human health and social work activities (Q),6.1
Actual hours worked per week,2006Q1,Industry (B to E),10.7
Actual hours worked per week,2006Q1,Industry and Construction (B to F),18.5
Actual hours worked per week,2006Q1,Services (G to U),44.7
Actual hours worked per week,2006Q1,"Financial, insurance and real estate activities (K,L)",3.3
Actual hours worked per week,2006Q1,Other NACE activities (R to U),2.9
Actual hours worked per week,2006Q1,Not stated,0.4
Actual hours worked per week,2006Q2,All NACE economic sectors,72.6
Actual hours worked per week,2006Q2,"Agriculture, forestry and fishing (A)",5.7
Actual hours worked per week,2006Q2,Construction (F),8.5
Actual hours worked per week,2006Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.7
Actual hours worked per week,2006Q2,Transportation and storage (H),3.5
Actual hours worked per week,2006Q2,Accommodation and food service activities (I),4.0
Actual hours worked per week,2006Q2,Information and communication (J),3.0
Actual hours worked per week,2006Q2,"Professional, scientific and technical activities (M)",4.1
Actual hours worked per week,2006Q2,Administrative and support service activities (N),2.8
Actual hours worked per week,2006Q2,"Public administration and defence, compulsory social security (O)",3.2
Actual hours worked per week,2006Q2,Education (P),3.1
Actual hours worked per week,2006Q2,Human health and social work activities (Q),6.4
Actual hours worked per week,2006Q2,Industry (B to E),11.4
Actual hours worked per week,2006Q2,Industry and Construction (B to F),19.9
Actual hours worked per week,2006Q2,Services (G to U),46.6
Actual hours worked per week,2006Q2,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2006Q2,Other NACE activities (R to U),3.2
Actual hours worked per week,2006Q2,Not stated,0.4
Actual hours worked per week,2006Q3,All NACE economic sectors,72.3
Actual hours worked per week,2006Q3,"Agriculture, forestry and fishing (A)",5.8
Actual hours worked per week,2006Q3,Construction (F),9.1
Actual hours worked per week,2006Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.9
Actual hours worked per week,2006Q3,Transportation and storage (H),3.3
Actual hours worked per week,2006Q3,Accommodation and food service activities (I),4.2
Actual hours worked per week,2006Q3,Information and communication (J),2.9
Actual hours worked per week,2006Q3,"Professional, scientific and technical activities (M)",4.1
Actual hours worked per week,2006Q3,Administrative and support service activities (N),2.9
Actual hours worked per week,2006Q3,"Public administration and defence, compulsory social security (O)",3.0
Actual hours worked per week,2006Q3,Education (P),2.1
Actual hours worked per week,2006Q3,Human health and social work activities (Q),6.5
Actual hours worked per week,2006Q3,Industry (B to E),11.5
Actual hours worked per week,2006Q3,Industry and Construction (B to F),20.5
Actual hours worked per week,2006Q3,Services (G to U),45.8
Actual hours worked per week,2006Q3,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2006Q3,Other NACE activities (R to U),3.3
Actual hours worked per week,2006Q3,Not stated,0.1
Actual hours worked per week,2006Q4,All NACE economic sectors,76.2
Actual hours worked per week,2006Q4,"Agriculture, forestry and fishing (A)",5.3
Actual hours worked per week,2006Q4,Construction (F),9.4
Actual hours worked per week,2006Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",10.0
Actual hours worked per week,2006Q4,Transportation and storage (H),3.5
Actual hours worked per week,2006Q4,Accommodation and food service activities (I),4.3
Actual hours worked per week,2006Q4,Information and communication (J),3.1
Actual hours worked per week,2006Q4,"Professional, scientific and technical activities (M)",4.4
Actual hours worked per week,2006Q4,Administrative and support service activities (N),3.0
Actual hours worked per week,2006Q4,"Public administration and defence, compulsory social security (O)",3.2
Actual hours worked per week,2006Q4,Education (P),3.7
Actual hours worked per week,2006Q4,Human health and social work activities (Q),6.9
Actual hours worked per week,2006Q4,Industry (B to E),12.1
Actual hours worked per week,2006Q4,Industry and Construction (B to F),21.5
Actual hours worked per week,2006Q4,Services (G to U),49.2
Actual hours worked per week,2006Q4,"Financial, insurance and real estate activities (K,L)",3.8
Actual hours worked per week,2006Q4,Other NACE activities (R to U),3.3
Actual hours worked per week,2006Q4,Not stated,0.2
Actual hours worked per week,2007Q1,All NACE economic sectors,71.6
Actual hours worked per week,2007Q1,"Agriculture, forestry and fishing (A)",5.3
Actual hours worked per week,2007Q1,Construction (F),8.4
Actual hours worked per week,2007Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.6
Actual hours worked per week,2007Q1,Transportation and storage (H),3.3
Actual hours worked per week,2007Q1,Accommodation and food service activities (I),4.4
Actual hours worked per week,2007Q1,Information and communication (J),2.8
Actual hours worked per week,2007Q1,"Professional, scientific and technical activities (M)",4.2
Actual hours worked per week,2007Q1,Administrative and support service activities (N),2.9
Actual hours worked per week,2007Q1,"Public administration and defence, compulsory social security (O)",3.0
Actual hours worked per week,2007Q1,Education (P),3.3
Actual hours worked per week,2007Q1,Human health and social work activities (Q),6.7
Actual hours worked per week,2007Q1,Industry (B to E),11.0
Actual hours worked per week,2007Q1,Industry and Construction (B to F),19.5
Actual hours worked per week,2007Q1,Services (G to U),46.7
Actual hours worked per week,2007Q1,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2007Q1,Other NACE activities (R to U),3.1
Actual hours worked per week,2007Q1,Not stated,0.2
Actual hours worked per week,2007Q2,All NACE economic sectors,75.3
Actual hours worked per week,2007Q2,"Agriculture, forestry and fishing (A)",5.6
Actual hours worked per week,2007Q2,Construction (F),9.2
Actual hours worked per week,2007Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",10.2
Actual hours worked per week,2007Q2,Transportation and storage (H),3.5
Actual hours worked per week,2007Q2,Accommodation and food service activities (I),4.5
Actual hours worked per week,2007Q2,Information and communication (J),3.1
Actual hours worked per week,2007Q2,"Professional, scientific and technical activities (M)",4.4
Actual hours worked per week,2007Q2,Administrative and support service activities (N),3.2
Actual hours worked per week,2007Q2,"Public administration and defence, compulsory social security (O)",3.1
Actual hours worked per week,2007Q2,Education (P),3.3
Actual hours worked per week,2007Q2,Human health and social work activities (Q),6.7
Actual hours worked per week,2007Q2,Industry (B to E),11.6
Actual hours worked per week,2007Q2,Industry and Construction (B to F),20.8
Actual hours worked per week,2007Q2,Services (G to U),48.8
Actual hours worked per week,2007Q2,"Financial, insurance and real estate activities (K,L)",3.7
Actual hours worked per week,2007Q2,Other NACE activities (R to U),3.3
Actual hours worked per week,2007Q2,Not stated,0.2
Actual hours worked per week,2007Q3,All NACE economic sectors,73.9
Actual hours worked per week,2007Q3,"Agriculture, forestry and fishing (A)",5.5
Actual hours worked per week,2007Q3,Construction (F),8.8
Actual hours worked per week,2007Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",10.3
Actual hours worked per week,2007Q3,Transportation and storage (H),3.3
Actual hours worked per week,2007Q3,Accommodation and food service activities (I),4.7
Actual hours worked per week,2007Q3,Information and communication (J),2.8
Actual hours worked per week,2007Q3,"Professional, scientific and technical activities (M)",4.4
Actual hours worked per week,2007Q3,Administrative and support service activities (N),3.4
Actual hours worked per week,2007Q3,"Public administration and defence, compulsory social security (O)",3.1
Actual hours worked per week,2007Q3,Education (P),2.1
Actual hours worked per week,2007Q3,Human health and social work activities (Q),6.8
Actual hours worked per week,2007Q3,Industry (B to E),11.4
Actual hours worked per week,2007Q3,Industry and Construction (B to F),20.3
Actual hours worked per week,2007Q3,Services (G to U),47.9
Actual hours worked per week,2007Q3,"Financial, insurance and real estate activities (K,L)",3.7
Actual hours worked per week,2007Q3,Other NACE activities (R to U),3.2
Actual hours worked per week,2007Q3,Not stated,0.2
Actual hours worked per week,2007Q4,All NACE economic sectors,77.2
Actual hours worked per week,2007Q4,"Agriculture, forestry and fishing (A)",5.4
Actual hours worked per week,2007Q4,Construction (F),9.1
Actual hours worked per week,2007Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",10.8
Actual hours worked per week,2007Q4,Transportation and storage (H),3.6
Actual hours worked per week,2007Q4,Accommodation and food service activities (I),4.3
Actual hours worked per week,2007Q4,Information and communication (J),3.1
Actual hours worked per week,2007Q4,"Professional, scientific and technical activities (M)",4.7
Actual hours worked per week,2007Q4,Administrative and support service activities (N),3.3
Actual hours worked per week,2007Q4,"Public administration and defence, compulsory social security (O)",3.3
Actual hours worked per week,2007Q4,Education (P),3.6
Actual hours worked per week,2007Q4,Human health and social work activities (Q),7.1
Actual hours worked per week,2007Q4,Industry (B to E),11.3
Actual hours worked per week,2007Q4,Industry and Construction (B to F),20.4
Actual hours worked per week,2007Q4,Services (G to U),51.0
Actual hours worked per week,2007Q4,"Financial, insurance and real estate activities (K,L)",3.9
Actual hours worked per week,2007Q4,Other NACE activities (R to U),3.2
Actual hours worked per week,2007Q4,Not stated,0.3
Actual hours worked per week,2008Q1,All NACE economic sectors,70.4
Actual hours worked per week,2008Q1,"Agriculture, forestry and fishing (A)",5.4
Actual hours worked per week,2008Q1,Construction (F),7.5
Actual hours worked per week,2008Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",10.2
Actual hours worked per week,2008Q1,Transportation and storage (H),3.2
Actual hours worked per week,2008Q1,Accommodation and food service activities (I),4.1
Actual hours worked per week,2008Q1,Information and communication (J),3.0
Actual hours worked per week,2008Q1,"Professional, scientific and technical activities (M)",4.1
Actual hours worked per week,2008Q1,Administrative and support service activities (N),3.1
Actual hours worked per week,2008Q1,"Public administration and defence, compulsory social security (O)",3.0
Actual hours worked per week,2008Q1,Education (P),3.0
Actual hours worked per week,2008Q1,Human health and social work activities (Q),6.7
Actual hours worked per week,2008Q1,Industry (B to E),10.2
Actual hours worked per week,2008Q1,Industry and Construction (B to F),17.7
Actual hours worked per week,2008Q1,Services (G to U),47.0
Actual hours worked per week,2008Q1,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2008Q1,Other NACE activities (R to U),3.1
Actual hours worked per week,2008Q1,Not stated,0.3
Actual hours worked per week,2008Q2,All NACE economic sectors,75.3
Actual hours worked per week,2008Q2,"Agriculture, forestry and fishing (A)",5.7
Actual hours worked per week,2008Q2,Construction (F),8.1
Actual hours worked per week,2008Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",10.6
Actual hours worked per week,2008Q2,Transportation and storage (H),3.4
Actual hours worked per week,2008Q2,Accommodation and food service activities (I),4.2
Actual hours worked per week,2008Q2,Information and communication (J),3.1
Actual hours worked per week,2008Q2,"Professional, scientific and technical activities (M)",4.7
Actual hours worked per week,2008Q2,Administrative and support service activities (N),3.2
Actual hours worked per week,2008Q2,"Public administration and defence, compulsory social security (O)",3.2
Actual hours worked per week,2008Q2,Education (P),3.5
Actual hours worked per week,2008Q2,Human health and social work activities (Q),7.1
Actual hours worked per week,2008Q2,Industry (B to E),11.2
Actual hours worked per week,2008Q2,Industry and Construction (B to F),19.3
Actual hours worked per week,2008Q2,Services (G to U),50.1
Actual hours worked per week,2008Q2,"Financial, insurance and real estate activities (K,L)",3.8
Actual hours worked per week,2008Q2,Other NACE activities (R to U),3.3
Actual hours worked per week,2008Q2,Not stated,0.3
Actual hours worked per week,2008Q3,All NACE economic sectors,71.5
Actual hours worked per week,2008Q3,"Agriculture, forestry and fishing (A)",5.4
Actual hours worked per week,2008Q3,Construction (F),7.4
Actual hours worked per week,2008Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",10.2
Actual hours worked per week,2008Q3,Transportation and storage (H),3.4
Actual hours worked per week,2008Q3,Accommodation and food service activities (I),4.4
Actual hours worked per week,2008Q3,Information and communication (J),3.0
Actual hours worked per week,2008Q3,"Professional, scientific and technical activities (M)",4.3
Actual hours worked per week,2008Q3,Administrative and support service activities (N),3.1
Actual hours worked per week,2008Q3,"Public administration and defence, compulsory social security (O)",3.2
Actual hours worked per week,2008Q3,Education (P),2.1
Actual hours worked per week,2008Q3,Human health and social work activities (Q),6.7
Actual hours worked per week,2008Q3,Industry (B to E),11.0
Actual hours worked per week,2008Q3,Industry and Construction (B to F),18.4
Actual hours worked per week,2008Q3,Services (G to U),47.4
Actual hours worked per week,2008Q3,"Financial, insurance and real estate activities (K,L)",3.7
Actual hours worked per week,2008Q3,Other NACE activities (R to U),3.4
Actual hours worked per week,2008Q3,Not stated,0.3
Actual hours worked per week,2008Q4,All NACE economic sectors,71.9
Actual hours worked per week,2008Q4,"Agriculture, forestry and fishing (A)",5.3
Actual hours worked per week,2008Q4,Construction (F),6.9
Actual hours worked per week,2008Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.9
Actual hours worked per week,2008Q4,Transportation and storage (H),3.3
Actual hours worked per week,2008Q4,Accommodation and food service activities (I),3.8
Actual hours worked per week,2008Q4,Information and communication (J),3.1
Actual hours worked per week,2008Q4,"Professional, scientific and technical activities (M)",4.4
Actual hours worked per week,2008Q4,Administrative and support service activities (N),2.7
Actual hours worked per week,2008Q4,"Public administration and defence, compulsory social security (O)",3.4
Actual hours worked per week,2008Q4,Education (P),3.9
Actual hours worked per week,2008Q4,Human health and social work activities (Q),7.2
Actual hours worked per week,2008Q4,Industry (B to E),10.7
Actual hours worked per week,2008Q4,Industry and Construction (B to F),17.6
Actual hours worked per week,2008Q4,Services (G to U),48.8
Actual hours worked per week,2008Q4,"Financial, insurance and real estate activities (K,L)",3.9
Actual hours worked per week,2008Q4,Other NACE activities (R to U),3.2
Actual hours worked per week,2008Q4,Not stated,0.2
Actual hours worked per week,2009Q1,All NACE economic sectors,65.6
Actual hours worked per week,2009Q1,"Agriculture, forestry and fishing (A)",4.9
Actual hours worked per week,2009Q1,Construction (F),5.2
Actual hours worked per week,2009Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",9.1
Actual hours worked per week,2009Q1,Transportation and storage (H),3.2
Actual hours worked per week,2009Q1,Accommodation and food service activities (I),3.7
Actual hours worked per week,2009Q1,Information and communication (J),3.1
Actual hours worked per week,2009Q1,"Professional, scientific and technical activities (M)",3.9
Actual hours worked per week,2009Q1,Administrative and support service activities (N),2.5
Actual hours worked per week,2009Q1,"Public administration and defence, compulsory social security (O)",3.2
Actual hours worked per week,2009Q1,Education (P),3.6
Actual hours worked per week,2009Q1,Human health and social work activities (Q),6.8
Actual hours worked per week,2009Q1,Industry (B to E),9.4
Actual hours worked per week,2009Q1,Industry and Construction (B to F),14.6
Actual hours worked per week,2009Q1,Services (G to U),45.9
Actual hours worked per week,2009Q1,"Financial, insurance and real estate activities (K,L)",3.5
Actual hours worked per week,2009Q1,Other NACE activities (R to U),3.1
Actual hours worked per week,2009Q1,Not stated,0.2
Actual hours worked per week,2009Q2,All NACE economic sectors,66.2
Actual hours worked per week,2009Q2,"Agriculture, forestry and fishing (A)",5.5
Actual hours worked per week,2009Q2,Construction (F),4.5
Actual hours worked per week,2009Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.9
Actual hours worked per week,2009Q2,Transportation and storage (H),3.4
Actual hours worked per week,2009Q2,Accommodation and food service activities (I),4.0
Actual hours worked per week,2009Q2,Information and communication (J),3.1
Actual hours worked per week,2009Q2,"Professional, scientific and technical activities (M)",3.9
Actual hours worked per week,2009Q2,Administrative and support service activities (N),2.6
Actual hours worked per week,2009Q2,"Public administration and defence, compulsory social security (O)",3.2
Actual hours worked per week,2009Q2,Education (P),3.4
Actual hours worked per week,2009Q2,Human health and social work activities (Q),7.1
Actual hours worked per week,2009Q2,Industry (B to E),9.6
Actual hours worked per week,2009Q2,Industry and Construction (B to F),14.1
Actual hours worked per week,2009Q2,Services (G to U),46.5
Actual hours worked per week,2009Q2,"Financial, insurance and real estate activities (K,L)",3.8
Actual hours worked per week,2009Q2,Other NACE activities (R to U),3.1
Actual hours worked per week,2009Q2,Not stated,0.2
Actual hours worked per week,2009Q3,All NACE economic sectors,64.1
Actual hours worked per week,2009Q3,"Agriculture, forestry and fishing (A)",5.4
Actual hours worked per week,2009Q3,Construction (F),4.4
Actual hours worked per week,2009Q3,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.7
Actual hours worked per week,2009Q3,Transportation and storage (H),3.3
Actual hours worked per week,2009Q3,Accommodation and food service activities (I),4.2
Actual hours worked per week,2009Q3,Information and communication (J),3.1
Actual hours worked per week,2009Q3,"Professional, scientific and technical activities (M)",3.8
Actual hours worked per week,2009Q3,Administrative and support service activities (N),2.6
Actual hours worked per week,2009Q3,"Public administration and defence, compulsory social security (O)",3.1
Actual hours worked per week,2009Q3,Education (P),2.3
Actual hours worked per week,2009Q3,Human health and social work activities (Q),7.1
Actual hours worked per week,2009Q3,Industry (B to E),9.1
Actual hours worked per week,2009Q3,Industry and Construction (B to F),13.5
Actual hours worked per week,2009Q3,Services (G to U),44.9
Actual hours worked per week,2009Q3,"Financial, insurance and real estate activities (K,L)",3.8
Actual hours worked per week,2009Q3,Other NACE activities (R to U),3.1
Actual hours worked per week,2009Q3,Not stated,0.3
Actual hours worked per week,2009Q4,All NACE economic sectors,61.5
Actual hours worked per week,2009Q4,"Agriculture, forestry and fishing (A)",5.0
Actual hours worked per week,2009Q4,Construction (F),3.6
Actual hours worked per week,2009Q4,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",8.3
Actual hours worked per week,2009Q4,Transportation and storage (H),3.2
Actual hours worked per week,2009Q4,Accommodation and food service activities (I),3.8
Actual hours worked per week,2009Q4,Information and communication (J),3.0
Actual hours worked per week,2009Q4,"Professional, scientific and technical activities (M)",3.7
Actual hours worked per week,2009Q4,Administrative and support service activities (N),2.2
Actual hours worked per week,2009Q4,"Public administration and defence, compulsory social security (O)",3.1
Actual hours worked per week,2009Q4,Education (P),3.3
Actual hours worked per week,2009Q4,Human health and social work activities (Q),7.0
