Statistic,Quarter,Full and Part Time Status,Sex,value
Persons in employment (ILO),2010Q4,All employment status,Both sexes,1896.6
Persons in employment (ILO),2010Q4,All employment status,Male,1014.9
Persons in employment (ILO),2010Q4,All employment status,Female,881.7
Persons in employment (ILO),2010Q4,Full-time,Both sexes,1450.0
Persons in employment (ILO),2010Q4,Full-time,Male,882.1
Persons in employment (ILO),2010Q4,Full-time,Female,567.9
Persons in employment (ILO),2010Q4,Part-time,Both sexes,446.5
Persons in employment (ILO),2010Q4,Part-time,Male,132.8
Persons in employment (ILO),2010Q4,Part-time,Female,313.8
Persons in employment (ILO),2011Q1,All employment status,Both sexes,1878.1
Persons in employment (ILO),2011Q1,All employment status,Male,1003.0
Persons in employment (ILO),2011Q1,All employment status,Female,875.1
Persons in employment (ILO),2011Q1,Full-time,Both sexes,1426.1
Persons in employment (ILO),2011Q1,Full-time,Male,871.4
Persons in employment (ILO),2011Q1,Full-time,Female,554.7
Persons in employment (ILO),2011Q1,Part-time,Both sexes,451.9
Persons in employment (ILO),2011Q1,Part-time,Male,131.5
Persons in employment (ILO),2011Q1,Part-time,Female,320.4
Persons in employment (ILO),2011Q2,All employment status,Both sexes,1899.6
Persons in employment (ILO),2011Q2,All employment status,Male,1012.8
Persons in employment (ILO),2011Q2,All employment status,Female,886.7
Persons in employment (ILO),2011Q2,Full-time,Both sexes,1450.4
Persons in employment (ILO),2011Q2,Full-time,Male,876.9
Persons in employment (ILO),2011Q2,Full-time,Female,573.5
Persons in employment (ILO),2011Q2,Part-time,Both sexes,449.2
Persons in employment (ILO),2011Q2,Part-time,Male,135.9
Persons in employment (ILO),2011Q2,Part-time,Female,313.2
Persons in employment (ILO),2011Q3,All employment status,Both sexes,1885.7
Persons in employment (ILO),2011Q3,All employment status,Male,1011.2
Persons in employment (ILO),2011Q3,All employment status,Female,874.5
Persons in employment (ILO),2011Q3,Full-time,Both sexes,1438.8
Persons in employment (ILO),2011Q3,Full-time,Male,870.5
Persons in employment (ILO),2011Q3,Full-time,Female,568.4
Persons in employment (ILO),2011Q3,Part-time,Both sexes,446.8
Persons in employment (ILO),2011Q3,Part-time,Male,140.7
Persons in employment (ILO),2011Q3,Part-time,Female,306.1
Persons in employment (ILO),2011Q4,All employment status,Both sexes,1886.4
Persons in employment (ILO),2011Q4,All employment status,Male,1008.6
Persons in employment (ILO),2011Q4,All employment status,Female,877.8
Persons in employment (ILO),2011Q4,Full-time,Both sexes,1438.4
Persons in employment (ILO),2011Q4,Full-time,Male,867.3
Persons in employment (ILO),2011Q4,Full-time,Female,571.1
Persons in employment (ILO),2011Q4,Part-time,Both sexes,447.9
Persons in employment (ILO),2011Q4,Part-time,Male,141.2
Persons in employment (ILO),2011Q4,Part-time,Female,306.7
Persons in employment (ILO),2012Q1,All employment status,Both sexes,1862.6
Persons in employment (ILO),2012Q1,All employment status,Male,991.3
Persons in employment (ILO),2012Q1,All employment status,Female,871.3
Persons in employment (ILO),2012Q1,Full-time,Both sexes,1421.3
Persons in employment (ILO),2012Q1,Full-time,Male,854.9
Persons in employment (ILO),2012Q1,Full-time,Female,566.4
Persons in employment (ILO),2012Q1,Part-time,Both sexes,441.3
Persons in employment (ILO),2012Q1,Part-time,Male,136.4
Persons in employment (ILO),2012Q1,Part-time,Female,304.9
Persons in employment (ILO),2012Q2,All employment status,Both sexes,1876.8
Persons in employment (ILO),2012Q2,All employment status,Male,998.4
Persons in employment (ILO),2012Q2,All employment status,Female,878.4
Persons in employment (ILO),2012Q2,Full-time,Both sexes,1424.3
Persons in employment (ILO),2012Q2,Full-time,Male,853.0
Persons in employment (ILO),2012Q2,Full-time,Female,571.3
Persons in employment (ILO),2012Q2,Part-time,Both sexes,452.5
Persons in employment (ILO),2012Q2,Part-time,Male,145.4
Persons in employment (ILO),2012Q2,Part-time,Female,307.2
Persons in employment (ILO),2012Q3,All employment status,Both sexes,1888.5
Persons in employment (ILO),2012Q3,All employment status,Male,1011.1
Persons in employment (ILO),2012Q3,All employment status,Female,877.3
Persons in employment (ILO),2012Q3,Full-time,Both sexes,1426.9
Persons in employment (ILO),2012Q3,Full-time,Male,857.9
Persons in employment (ILO),2012Q3,Full-time,Female,568.9
Persons in employment (ILO),2012Q3,Part-time,Both sexes,461.6
Persons in employment (ILO),2012Q3,Part-time,Male,153.2
Persons in employment (ILO),2012Q3,Part-time,Female,308.4
Persons in employment (ILO),2012Q4,All employment status,Both sexes,1892.9
Persons in employment (ILO),2012Q4,All employment status,Male,1011.9
Persons in employment (ILO),2012Q4,All employment status,Female,881.0
Persons in employment (ILO),2012Q4,Full-time,Both sexes,1429.0
Persons in employment (ILO),2012Q4,Full-time,Male,861.8
Persons in employment (ILO),2012Q4,Full-time,Female,567.2
Persons in employment (ILO),2012Q4,Part-time,Both sexes,463.9
Persons in employment (ILO),2012Q4,Part-time,Male,150.1
Persons in employment (ILO),2012Q4,Part-time,Female,313.8
Persons in employment (ILO),2013Q1,All employment status,Both sexes,1893.2
Persons in employment (ILO),2013Q1,All employment status,Male,1018.0
Persons in employment (ILO),2013Q1,All employment status,Female,875.3
Persons in employment (ILO),2013Q1,Full-time,Both sexes,1423.7
Persons in employment (ILO),2013Q1,Full-time,Male,863.4
Persons in employment (ILO),2013Q1,Full-time,Female,560.3
Persons in employment (ILO),2013Q1,Part-time,Both sexes,469.5
Persons in employment (ILO),2013Q1,Part-time,Male,154.5
Persons in employment (ILO),2013Q1,Part-time,Female,315.0
Persons in employment (ILO),2013Q2,All employment status,Both sexes,1924.2
Persons in employment (ILO),2013Q2,All employment status,Male,1034.3
Persons in employment (ILO),2013Q2,All employment status,Female,889.9
Persons in employment (ILO),2013Q2,Full-time,Both sexes,1455.4
Persons in employment (ILO),2013Q2,Full-time,Male,881.9
Persons in employment (ILO),2013Q2,Full-time,Female,573.5
Persons in employment (ILO),2013Q2,Part-time,Both sexes,468.8
Persons in employment (ILO),2013Q2,Part-time,Male,152.4
Persons in employment (ILO),2013Q2,Part-time,Female,316.4
Persons in employment (ILO),2013Q3,All employment status,Both sexes,1962.0
Persons in employment (ILO),2013Q3,All employment status,Male,1059.3
Persons in employment (ILO),2013Q3,All employment status,Female,902.6
Persons in employment (ILO),2013Q3,Full-time,Both sexes,1492.2
Persons in employment (ILO),2013Q3,Full-time,Male,904.2
Persons in employment (ILO),2013Q3,Full-time,Female,587.9
Persons in employment (ILO),2013Q3,Part-time,Both sexes,469.8
Persons in employment (ILO),2013Q3,Part-time,Male,155.1
Persons in employment (ILO),2013Q3,Part-time,Female,314.7
Persons in employment (ILO),2013Q4,All employment status,Both sexes,1969.6
Persons in employment (ILO),2013Q4,All employment status,Male,1068.7
Persons in employment (ILO),2013Q4,All employment status,Female,900.8
Persons in employment (ILO),2013Q4,Full-time,Both sexes,1496.7
Persons in employment (ILO),2013Q4,Full-time,Male,913.6
Persons in employment (ILO),2013Q4,Full-time,Female,583.2
Persons in employment (ILO),2013Q4,Part-time,Both sexes,472.8
Persons in employment (ILO),2013Q4,Part-time,Male,155.1
Persons in employment (ILO),2013Q4,Part-time,Female,317.7
Persons in employment (ILO),2014Q1,All employment status,Both sexes,1950.8
Persons in employment (ILO),2014Q1,All employment status,Male,1056.1
Persons in employment (ILO),2014Q1,All employment status,Female,894.7
Persons in employment (ILO),2014Q1,Full-time,Both sexes,1487.8
Persons in employment (ILO),2014Q1,Full-time,Male,901.8
Persons in employment (ILO),2014Q1,Full-time,Female,586.0
Persons in employment (ILO),2014Q1,Part-time,Both sexes,463.0
Persons in employment (ILO),2014Q1,Part-time,Male,154.3
Persons in employment (ILO),2014Q1,Part-time,Female,308.7
Persons in employment (ILO),2014Q2,All employment status,Both sexes,1968.9
Persons in employment (ILO),2014Q2,All employment status,Male,1066.3
Persons in employment (ILO),2014Q2,All employment status,Female,902.6
Persons in employment (ILO),2014Q2,Full-time,Both sexes,1506.2
Persons in employment (ILO),2014Q2,Full-time,Male,911.1
Persons in employment (ILO),2014Q2,Full-time,Female,595.1
Persons in employment (ILO),2014Q2,Part-time,Both sexes,462.7
Persons in employment (ILO),2014Q2,Part-time,Male,155.2
Persons in employment (ILO),2014Q2,Part-time,Female,307.5
Persons in employment (ILO),2014Q3,All employment status,Both sexes,2009.4
Persons in employment (ILO),2014Q3,All employment status,Male,1090.5
Persons in employment (ILO),2014Q3,All employment status,Female,918.9
Persons in employment (ILO),2014Q3,Full-time,Both sexes,1536.0
Persons in employment (ILO),2014Q3,Full-time,Male,931.3
Persons in employment (ILO),2014Q3,Full-time,Female,604.7
Persons in employment (ILO),2014Q3,Part-time,Both sexes,473.4
Persons in employment (ILO),2014Q3,Part-time,Male,159.2
Persons in employment (ILO),2014Q3,Part-time,Female,314.2
Persons in employment (ILO),2014Q4,All employment status,Both sexes,2025.0
Persons in employment (ILO),2014Q4,All employment status,Male,1098.5
Persons in employment (ILO),2014Q4,All employment status,Female,926.5
Persons in employment (ILO),2014Q4,Full-time,Both sexes,1558.4
Persons in employment (ILO),2014Q4,Full-time,Male,947.0
Persons in employment (ILO),2014Q4,Full-time,Female,611.4
Persons in employment (ILO),2014Q4,Part-time,Both sexes,466.7
Persons in employment (ILO),2014Q4,Part-time,Male,151.5
Persons in employment (ILO),2014Q4,Part-time,Female,315.2
Persons in employment (ILO),2015Q1,All employment status,Both sexes,2012.4
Persons in employment (ILO),2015Q1,All employment status,Male,1094.1
Persons in employment (ILO),2015Q1,All employment status,Female,918.3
Persons in employment (ILO),2015Q1,Full-time,Both sexes,1554.6
Persons in employment (ILO),2015Q1,Full-time,Male,945.1
Persons in employment (ILO),2015Q1,Full-time,Female,609.5
Persons in employment (ILO),2015Q1,Part-time,Both sexes,457.8
Persons in employment (ILO),2015Q1,Part-time,Male,149.0
Persons in employment (ILO),2015Q1,Part-time,Female,308.8
Persons in employment (ILO),2015Q2,All employment status,Both sexes,2047.7
Persons in employment (ILO),2015Q2,All employment status,Male,1113.7
Persons in employment (ILO),2015Q2,All employment status,Female,934.0
Persons in employment (ILO),2015Q2,Full-time,Both sexes,1577.7
Persons in employment (ILO),2015Q2,Full-time,Male,959.2
Persons in employment (ILO),2015Q2,Full-time,Female,618.5
Persons in employment (ILO),2015Q2,Part-time,Both sexes,470.0
Persons in employment (ILO),2015Q2,Part-time,Male,154.5
Persons in employment (ILO),2015Q2,Part-time,Female,315.5
Persons in employment (ILO),2015Q3,All employment status,Both sexes,2078.6
Persons in employment (ILO),2015Q3,All employment status,Male,1131.5
Persons in employment (ILO),2015Q3,All employment status,Female,947.1
Persons in employment (ILO),2015Q3,Full-time,Both sexes,1608.3
Persons in employment (ILO),2015Q3,Full-time,Male,979.5
Persons in employment (ILO),2015Q3,Full-time,Female,628.8
Persons in employment (ILO),2015Q3,Part-time,Both sexes,470.2
Persons in employment (ILO),2015Q3,Part-time,Male,152.0
Persons in employment (ILO),2015Q3,Part-time,Female,318.3
Persons in employment (ILO),2015Q4,All employment status,Both sexes,2083.9
Persons in employment (ILO),2015Q4,All employment status,Male,1125.1
Persons in employment (ILO),2015Q4,All employment status,Female,958.9
Persons in employment (ILO),2015Q4,Full-time,Both sexes,1612.2
Persons in employment (ILO),2015Q4,Full-time,Male,975.7
Persons in employment (ILO),2015Q4,Full-time,Female,636.6
Persons in employment (ILO),2015Q4,Part-time,Both sexes,471.7
Persons in employment (ILO),2015Q4,Part-time,Male,149.4
Persons in employment (ILO),2015Q4,Part-time,Female,322.3
Persons in employment (ILO),2016Q1,All employment status,Both sexes,2079.0
Persons in employment (ILO),2016Q1,All employment status,Male,1122.3
Persons in employment (ILO),2016Q1,All employment status,Female,956.7
Persons in employment (ILO),2016Q1,Full-time,Both sexes,1603.6
Persons in employment (ILO),2016Q1,Full-time,Male,967.6
Persons in employment (ILO),2016Q1,Full-time,Female,636.0
Persons in employment (ILO),2016Q1,Part-time,Both sexes,475.4
Persons in employment (ILO),2016Q1,Part-time,Male,154.7
Persons in employment (ILO),2016Q1,Part-time,Female,320.7
Persons in employment (ILO),2016Q2,All employment status,Both sexes,2124.4
Persons in employment (ILO),2016Q2,All employment status,Male,1147.6
Persons in employment (ILO),2016Q2,All employment status,Female,976.8
Persons in employment (ILO),2016Q2,Full-time,Both sexes,1636.6
Persons in employment (ILO),2016Q2,Full-time,Male,985.4
Persons in employment (ILO),2016Q2,Full-time,Female,651.2
Persons in employment (ILO),2016Q2,Part-time,Both sexes,487.8
Persons in employment (ILO),2016Q2,Part-time,Male,162.2
Persons in employment (ILO),2016Q2,Part-time,Female,325.6
Persons in employment (ILO),2016Q3,All employment status,Both sexes,2159.9
Persons in employment (ILO),2016Q3,All employment status,Male,1171.5
Persons in employment (ILO),2016Q3,All employment status,Female,988.5
Persons in employment (ILO),2016Q3,Full-time,Both sexes,1670.4
Persons in employment (ILO),2016Q3,Full-time,Male,1009.7
Persons in employment (ILO),2016Q3,Full-time,Female,660.8
Persons in employment (ILO),2016Q3,Part-time,Both sexes,489.5
Persons in employment (ILO),2016Q3,Part-time,Male,161.8
Persons in employment (ILO),2016Q3,Part-time,Female,327.7
Persons in employment (ILO),2016Q4,All employment status,Both sexes,2165.5
Persons in employment (ILO),2016Q4,All employment status,Male,1173.6
Persons in employment (ILO),2016Q4,All employment status,Female,991.8
Persons in employment (ILO),2016Q4,Full-time,Both sexes,1697.1
Persons in employment (ILO),2016Q4,Full-time,Male,1025.3
Persons in employment (ILO),2016Q4,Full-time,Female,671.9
Persons in employment (ILO),2016Q4,Part-time,Both sexes,468.3
Persons in employment (ILO),2016Q4,Part-time,Male,148.4
Persons in employment (ILO),2016Q4,Part-time,Female,319.9
Persons in employment (ILO),2017Q1,All employment status,Both sexes,2162.8
Persons in employment (ILO),2017Q1,All employment status,Male,1168.6
Persons in employment (ILO),2017Q1,All employment status,Female,994.3
Persons in employment (ILO),2017Q1,Full-time,Both sexes,1698.3
Persons in employment (ILO),2017Q1,Full-time,Male,1023.6
Persons in employment (ILO),2017Q1,Full-time,Female,674.7
Persons in employment (ILO),2017Q1,Part-time,Both sexes,464.6
Persons in employment (ILO),2017Q1,Part-time,Male,145.0
Persons in employment (ILO),2017Q1,Part-time,Female,319.5
Persons in employment (ILO),2017Q2,All employment status,Both sexes,2187.4
Persons in employment (ILO),2017Q2,All employment status,Male,1180.0
Persons in employment (ILO),2017Q2,All employment status,Female,1007.5
Persons in employment (ILO),2017Q2,Full-time,Both sexes,1732.1
Persons in employment (ILO),2017Q2,Full-time,Male,1040.7
Persons in employment (ILO),2017Q2,Full-time,Female,691.4
Persons in employment (ILO),2017Q2,Part-time,Both sexes,455.3
Persons in employment (ILO),2017Q2,Part-time,Male,139.3
Persons in employment (ILO),2017Q2,Part-time,Female,316.1
Persons in employment (ILO),2017Q3,All employment status,Both sexes,2212.3
Persons in employment (ILO),2017Q3,All employment status,Male,1201.2
Persons in employment (ILO),2017Q3,All employment status,Female,1011.1
Persons in employment (ILO),2017Q3,Full-time,Both sexes,1773.5
Persons in employment (ILO),2017Q3,Full-time,Male,1069.3
Persons in employment (ILO),2017Q3,Full-time,Female,704.2
Persons in employment (ILO),2017Q3,Part-time,Both sexes,438.8
Persons in employment (ILO),2017Q3,Part-time,Male,131.9
Persons in employment (ILO),2017Q3,Part-time,Female,306.9
Persons in employment (ILO),2017Q4,All employment status,Both sexes,2234.7
Persons in employment (ILO),2017Q4,All employment status,Male,1210.0
Persons in employment (ILO),2017Q4,All employment status,Female,1024.7
Persons in employment (ILO),2017Q4,Full-time,Both sexes,1773.9
Persons in employment (ILO),2017Q4,Full-time,Male,1070.5
Persons in employment (ILO),2017Q4,Full-time,Female,703.4
Persons in employment (ILO),2017Q4,Part-time,Both sexes,460.8
Persons in employment (ILO),2017Q4,Part-time,Male,139.5
Persons in employment (ILO),2017Q4,Part-time,Female,321.3
Persons in employment (ILO),2018Q1,All employment status,Both sexes,2225.3
Persons in employment (ILO),2018Q1,All employment status,Male,1210.7
Persons in employment (ILO),2018Q1,All employment status,Female,1014.7
Persons in employment (ILO),2018Q1,Full-time,Both sexes,1770.2
Persons in employment (ILO),2018Q1,Full-time,Male,1071.6
Persons in employment (ILO),2018Q1,Full-time,Female,698.5
Persons in employment (ILO),2018Q1,Part-time,Both sexes,455.1
Persons in employment (ILO),2018Q1,Part-time,Male,139.0
Persons in employment (ILO),2018Q1,Part-time,Female,316.1
Persons in employment (ILO),2018Q2,All employment status,Both sexes,2261.7
Persons in employment (ILO),2018Q2,All employment status,Male,1220.8
Persons in employment (ILO),2018Q2,All employment status,Female,1040.9
Persons in employment (ILO),2018Q2,Full-time,Both sexes,1804.3
Persons in employment (ILO),2018Q2,Full-time,Male,1075.3
Persons in employment (ILO),2018Q2,Full-time,Female,728.9
Persons in employment (ILO),2018Q2,Part-time,Both sexes,457.4
Persons in employment (ILO),2018Q2,Part-time,Male,145.4
Persons in employment (ILO),2018Q2,Part-time,Female,312.0
Persons in employment (ILO),2018Q3,All employment status,Both sexes,2282.7
Persons in employment (ILO),2018Q3,All employment status,Male,1237.2
Persons in employment (ILO),2018Q3,All employment status,Female,1045.5
Persons in employment (ILO),2018Q3,Full-time,Both sexes,1820.3
Persons in employment (ILO),2018Q3,Full-time,Male,1094.7
Persons in employment (ILO),2018Q3,Full-time,Female,725.6
Persons in employment (ILO),2018Q3,Part-time,Both sexes,462.4
Persons in employment (ILO),2018Q3,Part-time,Male,142.5
Persons in employment (ILO),2018Q3,Part-time,Female,319.9
Persons in employment (ILO),2018Q4,All employment status,Both sexes,2290.4
Persons in employment (ILO),2018Q4,All employment status,Male,1235.8
Persons in employment (ILO),2018Q4,All employment status,Female,1054.7
Persons in employment (ILO),2018Q4,Full-time,Both sexes,1823.7
Persons in employment (ILO),2018Q4,Full-time,Male,1095.8
Persons in employment (ILO),2018Q4,Full-time,Female,727.9
Persons in employment (ILO),2018Q4,Part-time,Both sexes,466.7
Persons in employment (ILO),2018Q4,Part-time,Male,140.0
Persons in employment (ILO),2018Q4,Part-time,Female,326.7
Persons in employment (ILO),2019Q1,All employment status,Both sexes,2312.8
Persons in employment (ILO),2019Q1,All employment status,Male,1243.8
Persons in employment (ILO),2019Q1,All employment status,Female,1069.0
Persons in employment (ILO),2019Q1,Full-time,Both sexes,1837.1
Persons in employment (ILO),2019Q1,Full-time,Male,1109.5
Persons in employment (ILO),2019Q1,Full-time,Female,727.6
Persons in employment (ILO),2019Q1,Part-time,Both sexes,475.7
Persons in employment (ILO),2019Q1,Part-time,Male,134.3
Persons in employment (ILO),2019Q1,Part-time,Female,341.4
Persons in employment (ILO),2019Q2,All employment status,Both sexes,2311.5
Persons in employment (ILO),2019Q2,All employment status,Male,1249.6
Persons in employment (ILO),2019Q2,All employment status,Female,1061.9
Persons in employment (ILO),2019Q2,Full-time,Both sexes,1846.1
Persons in employment (ILO),2019Q2,Full-time,Male,1117.7
Persons in employment (ILO),2019Q2,Full-time,Female,728.4
Persons in employment (ILO),2019Q2,Part-time,Both sexes,465.4
Persons in employment (ILO),2019Q2,Part-time,Male,131.9
Persons in employment (ILO),2019Q2,Part-time,Female,333.5
Persons in employment (ILO),2019Q3,All employment status,Both sexes,2341.6
Persons in employment (ILO),2019Q3,All employment status,Male,1269.4
Persons in employment (ILO),2019Q3,All employment status,Female,1072.2
Persons in employment (ILO),2019Q3,Full-time,Both sexes,1864.7
Persons in employment (ILO),2019Q3,Full-time,Male,1127.5
Persons in employment (ILO),2019Q3,Full-time,Female,737.3
Persons in employment (ILO),2019Q3,Part-time,Both sexes,476.8
Persons in employment (ILO),2019Q3,Part-time,Male,141.9
Persons in employment (ILO),2019Q3,Part-time,Female,334.9
Persons in employment (ILO),2019Q4,All employment status,Both sexes,2377.8
Persons in employment (ILO),2019Q4,All employment status,Male,1283.4
Persons in employment (ILO),2019Q4,All employment status,Female,1094.4
Persons in employment (ILO),2019Q4,Full-time,Both sexes,1881.6
Persons in employment (ILO),2019Q4,Full-time,Male,1129.5
Persons in employment (ILO),2019Q4,Full-time,Female,752.0
Persons in employment (ILO),2019Q4,Part-time,Both sexes,496.2
Persons in employment (ILO),2019Q4,Part-time,Male,153.9
Persons in employment (ILO),2019Q4,Part-time,Female,342.3
Persons in employment (ILO),2020Q1,All employment status,Both sexes,2368.8
Persons in employment (ILO),2020Q1,All employment status,Male,1279.6
Persons in employment (ILO),2020Q1,All employment status,Female,1089.2
Persons in employment (ILO),2020Q1,Full-time,Both sexes,1884.4
Persons in employment (ILO),2020Q1,Full-time,Male,1136.8
Persons in employment (ILO),2020Q1,Full-time,Female,747.7
Persons in employment (ILO),2020Q1,Part-time,Both sexes,484.3
Persons in employment (ILO),2020Q1,Part-time,Male,142.8
Persons in employment (ILO),2020Q1,Part-time,Female,341.5
Persons in employment (ILO),2020Q2,All employment status,Both sexes,2161.3
Persons in employment (ILO),2020Q2,All employment status,Male,1187.6
Persons in employment (ILO),2020Q2,All employment status,Female,973.7
Persons in employment (ILO),2020Q2,Full-time,Both sexes,1790.0
Persons in employment (ILO),2020Q2,Full-time,Male,1075.7
Persons in employment (ILO),2020Q2,Full-time,Female,714.3
Persons in employment (ILO),2020Q2,Part-time,Both sexes,371.3
Persons in employment (ILO),2020Q2,Part-time,Male,111.9
Persons in employment (ILO),2020Q2,Part-time,Female,259.3
Persons in employment (ILO),2020Q3,All employment status,Both sexes,2275.0
Persons in employment (ILO),2020Q3,All employment status,Male,1240.7
Persons in employment (ILO),2020Q3,All employment status,Female,1034.3
Persons in employment (ILO),2020Q3,Full-time,Both sexes,1849.5
Persons in employment (ILO),2020Q3,Full-time,Male,1106.5
Persons in employment (ILO),2020Q3,Full-time,Female,742.9
Persons in employment (ILO),2020Q3,Part-time,Both sexes,425.5
Persons in employment (ILO),2020Q3,Part-time,Male,134.2
Persons in employment (ILO),2020Q3,Part-time,Female,291.3
Persons in employment (ILO),2020Q4,All employment status,Both sexes,2305.1
Persons in employment (ILO),2020Q4,All employment status,Male,1249.3
Persons in employment (ILO),2020Q4,All employment status,Female,1055.7
Persons in employment (ILO),2020Q4,Full-time,Both sexes,1877.5
Persons in employment (ILO),2020Q4,Full-time,Male,1115.4
Persons in employment (ILO),2020Q4,Full-time,Female,762.1
Persons in employment (ILO),2020Q4,Part-time,Both sexes,427.5
Persons in employment (ILO),2020Q4,Part-time,Male,134.0
Persons in employment (ILO),2020Q4,Part-time,Female,293.6
Persons in employment (ILO),2021Q1,All employment status,Both sexes,2259.9
Persons in employment (ILO),2021Q1,All employment status,Male,1217.6
Persons in employment (ILO),2021Q1,All employment status,Female,1042.3
Persons in employment (ILO),2021Q1,Full-time,Both sexes,1821.0
Persons in employment (ILO),2021Q1,Full-time,Male,1074.2
Persons in employment (ILO),2021Q1,Full-time,Female,746.8
Persons in employment (ILO),2021Q1,Part-time,Both sexes,438.9
Persons in employment (ILO),2021Q1,Part-time,Male,143.4
Persons in employment (ILO),2021Q1,Part-time,Female,295.5
Persons in employment (ILO),2021Q2,All employment status,Both sexes,2382.2
Persons in employment (ILO),2021Q2,All employment status,Male,1282.3
Persons in employment (ILO),2021Q2,All employment status,Female,1099.9
Persons in employment (ILO),2021Q2,Full-time,Both sexes,1901.1
Persons in employment (ILO),2021Q2,Full-time,Male,1125.2
Persons in employment (ILO),2021Q2,Full-time,Female,775.8
Persons in employment (ILO),2021Q2,Part-time,Both sexes,481.1
Persons in employment (ILO),2021Q2,Part-time,Male,157.0
Persons in employment (ILO),2021Q2,Part-time,Female,324.1
Persons in employment (ILO),2021Q3,All employment status,Both sexes,2515.0
Persons in employment (ILO),2021Q3,All employment status,Male,1340.3
Persons in employment (ILO),2021Q3,All employment status,Female,1174.7
Persons in employment (ILO),2021Q3,Full-time,Both sexes,1975.1
Persons in employment (ILO),2021Q3,Full-time,Male,1171.2
Persons in employment (ILO),2021Q3,Full-time,Female,803.9
Persons in employment (ILO),2021Q3,Part-time,Both sexes,540.0
Persons in employment (ILO),2021Q3,Part-time,Male,169.1
Persons in employment (ILO),2021Q3,Part-time,Female,370.8
Persons in employment (ILO),2021Q4,All employment status,Both sexes,2551.4
Persons in employment (ILO),2021Q4,All employment status,Male,1353.7
Persons in employment (ILO),2021Q4,All employment status,Female,1197.7
Persons in employment (ILO),2021Q4,Full-time,Both sexes,1993.4
Persons in employment (ILO),2021Q4,Full-time,Male,1174.9
Persons in employment (ILO),2021Q4,Full-time,Female,818.5
Persons in employment (ILO),2021Q4,Part-time,Both sexes,558.0
Persons in employment (ILO),2021Q4,Part-time,Male,178.8
Persons in employment (ILO),2021Q4,Part-time,Female,379.2
Persons in employment (ILO),2022Q1,All employment status,Both sexes,2559.4
Persons in employment (ILO),2022Q1,All employment status,Male,1360.6
Persons in employment (ILO),2022Q1,All employment status,Female,1198.8
Persons in employment (ILO),2022Q1,Full-time,Both sexes,2018.9
Persons in employment (ILO),2022Q1,Full-time,Male,1188.6
Persons in employment (ILO),2022Q1,Full-time,Female,830.3
Persons in employment (ILO),2022Q1,Part-time,Both sexes,540.5
Persons in employment (ILO),2022Q1,Part-time,Male,172.0
Persons in employment (ILO),2022Q1,Part-time,Female,368.5
Persons in employment (ILO),2022Q2,All employment status,Both sexes,2601.2
Persons in employment (ILO),2022Q2,All employment status,Male,1388.5
Persons in employment (ILO),2022Q2,All employment status,Female,1212.8
Persons in employment (ILO),2022Q2,Full-time,Both sexes,2050.3
Persons in employment (ILO),2022Q2,Full-time,Male,1215.6
Persons in employment (ILO),2022Q2,Full-time,Female,834.6
Persons in employment (ILO),2022Q2,Part-time,Both sexes,551.0
Persons in employment (ILO),2022Q2,Part-time,Male,172.8
Persons in employment (ILO),2022Q2,Part-time,Female,378.1
Persons in employment (ILO),2022Q3,All employment status,Both sexes,2602.6
Persons in employment (ILO),2022Q3,All employment status,Male,1400.2
Persons in employment (ILO),2022Q3,All employment status,Female,1202.4
Persons in employment (ILO),2022Q3,Full-time,Both sexes,2059.3
Persons in employment (ILO),2022Q3,Full-time,Male,1222.9
Persons in employment (ILO),2022Q3,Full-time,Female,836.4
Persons in employment (ILO),2022Q3,Part-time,Both sexes,543.2
Persons in employment (ILO),2022Q3,Part-time,Male,177.2
Persons in employment (ILO),2022Q3,Part-time,Female,366.0
Persons in employment (ILO),2022Q4,All employment status,Both sexes,2616.7
Persons in employment (ILO),2022Q4,All employment status,Male,1393.3
Persons in employment (ILO),2022Q4,All employment status,Female,1223.4
Persons in employment (ILO),2022Q4,Full-time,Both sexes,2055.4
Persons in employment (ILO),2022Q4,Full-time,Male,1216.5
Persons in employment (ILO),2022Q4,Full-time,Female,839.0
Persons in employment (ILO),2022Q4,Part-time,Both sexes,561.3
Persons in employment (ILO),2022Q4,Part-time,Male,176.9
Persons in employment (ILO),2022Q4,Part-time,Female,384.4
Persons in employment (ILO),2023Q1,All employment status,Both sexes,2652.7
Persons in employment (ILO),2023Q1,All employment status,Male,1410.3
Persons in employment (ILO),2023Q1,All employment status,Female,1242.4
Persons in employment (ILO),2023Q1,Full-time,Both sexes,2081.9
Persons in employment (ILO),2023Q1,Full-time,Male,1228.4
Persons in employment (ILO),2023Q1,Full-time,Female,853.5
Persons in employment (ILO),2023Q1,Part-time,Both sexes,570.8
Persons in employment (ILO),2023Q1,Part-time,Male,181.9
Persons in employment (ILO),2023Q1,Part-time,Female,388.8
Persons in employment (ILO),2023Q2,All employment status,Both sexes,2682.7
Persons in employment (ILO),2023Q2,All employment status,Male,1408.5
Persons in employment (ILO),2023Q2,All employment status,Female,1274.1
Persons in employment (ILO),2023Q2,Full-time,Both sexes,2117.6
Persons in employment (ILO),2023Q2,Full-time,Male,1238.6
Persons in employment (ILO),2023Q2,Full-time,Female,879.1
Persons in employment (ILO),2023Q2,Part-time,Both sexes,565.1
Persons in employment (ILO),2023Q2,Part-time,Male,170.0
Persons in employment (ILO),2023Q2,Part-time,Female,395.1
