Statistic,Quarter,Full and Part Time Status,Detailed Occupational Group,value
Persons aged 15 years and over in Employment (ILO),2005Q3,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2005Q3,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2005Q3,Part-time,X1 Other/Not stated,372.2
Persons aged 15 years and over in Employment (ILO),2005Q4,All employment status,All occupational groups,2070.0
Persons aged 15 years and over in Employment (ILO),2005Q4,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2005Q4,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),2005Q4,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2005Q4,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2005Q4,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2005Q4,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2005Q4,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2005Q4,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2005Q4,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2005Q4,All employment status,X1 Other/Not stated,2070.0
Persons aged 15 years and over in Employment (ILO),2005Q4,Full-time,All occupational groups,1694.8
Persons aged 15 years and over in Employment (ILO),2005Q4,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2005Q4,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2005Q4,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2005Q4,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2005Q4,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2005Q4,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2005Q4,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2005Q4,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2005Q4,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2005Q4,Full-time,X1 Other/Not stated,1694.8
Persons aged 15 years and over in Employment (ILO),2005Q4,Part-time,All occupational groups,375.2
Persons aged 15 years and over in Employment (ILO),2005Q4,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2005Q4,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2005Q4,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2005Q4,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2005Q4,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2005Q4,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2005Q4,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2005Q4,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2005Q4,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2005Q4,Part-time,X1 Other/Not stated,375.2
Persons aged 15 years and over in Employment (ILO),2006Q1,All employment status,All occupational groups,2082.3
Persons aged 15 years and over in Employment (ILO),2006Q1,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2006Q1,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),2006Q1,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2006Q1,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2006Q1,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2006Q1,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2006Q1,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2006Q1,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2006Q1,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2006Q1,All employment status,X1 Other/Not stated,2082.3
Persons aged 15 years and over in Employment (ILO),2006Q1,Full-time,All occupational groups,1707.2
Persons aged 15 years and over in Employment (ILO),2006Q1,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2006Q1,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2006Q1,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2006Q1,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2006Q1,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2006Q1,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2006Q1,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2006Q1,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2006Q1,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2006Q1,Full-time,X1 Other/Not stated,1707.2
Persons aged 15 years and over in Employment (ILO),2006Q1,Part-time,All occupational groups,375.1
Persons aged 15 years and over in Employment (ILO),2006Q1,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2006Q1,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2006Q1,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2006Q1,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2006Q1,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2006Q1,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2006Q1,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2006Q1,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2006Q1,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2006Q1,Part-time,X1 Other/Not stated,375.1
Persons aged 15 years and over in Employment (ILO),2006Q2,All employment status,All occupational groups,2109.0
Persons aged 15 years and over in Employment (ILO),2006Q2,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2006Q2,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),2006Q2,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2006Q2,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2006Q2,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2006Q2,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2006Q2,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2006Q2,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2006Q2,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2006Q2,All employment status,X1 Other/Not stated,2109.0
Persons aged 15 years and over in Employment (ILO),2006Q2,Full-time,All occupational groups,1731.3
Persons aged 15 years and over in Employment (ILO),2006Q2,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2006Q2,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2006Q2,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2006Q2,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2006Q2,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2006Q2,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2006Q2,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2006Q2,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2006Q2,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2006Q2,Full-time,X1 Other/Not stated,1731.3
Persons aged 15 years and over in Employment (ILO),2006Q2,Part-time,All occupational groups,377.6
Persons aged 15 years and over in Employment (ILO),2006Q2,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2006Q2,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2006Q2,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2006Q2,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2006Q2,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2006Q2,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2006Q2,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2006Q2,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2006Q2,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2006Q2,Part-time,X1 Other/Not stated,377.6
Persons aged 15 years and over in Employment (ILO),2006Q3,All employment status,All occupational groups,2159.1
Persons aged 15 years and over in Employment (ILO),2006Q3,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2006Q3,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),2006Q3,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2006Q3,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2006Q3,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2006Q3,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2006Q3,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2006Q3,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2006Q3,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2006Q3,All employment status,X1 Other/Not stated,2159.1
Persons aged 15 years and over in Employment (ILO),2006Q3,Full-time,All occupational groups,1782.4
Persons aged 15 years and over in Employment (ILO),2006Q3,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2006Q3,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2006Q3,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2006Q3,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2006Q3,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2006Q3,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2006Q3,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2006Q3,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2006Q3,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2006Q3,Full-time,X1 Other/Not stated,1782.4
Persons aged 15 years and over in Employment (ILO),2006Q3,Part-time,All occupational groups,376.7
Persons aged 15 years and over in Employment (ILO),2006Q3,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2006Q3,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2006Q3,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2006Q3,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2006Q3,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2006Q3,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2006Q3,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2006Q3,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2006Q3,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2006Q3,Part-time,X1 Other/Not stated,376.7
Persons aged 15 years and over in Employment (ILO),2006Q4,All employment status,All occupational groups,2166.8
Persons aged 15 years and over in Employment (ILO),2006Q4,All employment status,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2006Q4,All employment status,2 Professional,
Persons aged 15 years and over in Employment (ILO),2006Q4,All employment status,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2006Q4,All employment status,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2006Q4,All employment status,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2006Q4,All employment status,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2006Q4,All employment status,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2006Q4,All employment status,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2006Q4,All employment status,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2006Q4,All employment status,X1 Other/Not stated,2166.8
Persons aged 15 years and over in Employment (ILO),2006Q4,Full-time,All occupational groups,1783.4
Persons aged 15 years and over in Employment (ILO),2006Q4,Full-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2006Q4,Full-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2006Q4,Full-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2006Q4,Full-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2006Q4,Full-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2006Q4,Full-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2006Q4,Full-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2006Q4,Full-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2006Q4,Full-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2006Q4,Full-time,X1 Other/Not stated,1783.4
Persons aged 15 years and over in Employment (ILO),2006Q4,Part-time,All occupational groups,383.5
Persons aged 15 years and over in Employment (ILO),2006Q4,Part-time,"1 Managers, directors and senior officials",
Persons aged 15 years and over in Employment (ILO),2006Q4,Part-time,2 Professional,
Persons aged 15 years and over in Employment (ILO),2006Q4,Part-time,3 Associate professional and technical,
Persons aged 15 years and over in Employment (ILO),2006Q4,Part-time,4 Administrative and secreterial,
Persons aged 15 years and over in Employment (ILO),2006Q4,Part-time,5 Skilled trades,
Persons aged 15 years and over in Employment (ILO),2006Q4,Part-time,"6 Caring, leisure and other services",
Persons aged 15 years and over in Employment (ILO),2006Q4,Part-time,7 Sales and customer service,
Persons aged 15 years and over in Employment (ILO),2006Q4,Part-time,"8 Process, plant and machine operatives",
Persons aged 15 years and over in Employment (ILO),2006Q4,Part-time,9 Elementary,
Persons aged 15 years and over in Employment (ILO),2006Q4,Part-time,X1 Other/Not stated,383.5
Persons aged 15 years and over in Employment (ILO),2007Q1,All employment status,All occupational groups,2185.6
Persons aged 15 years and over in Employment (ILO),2007Q1,All employment status,"1 Managers, directors and senior officials",157.0
Persons aged 15 years and over in Employment (ILO),2007Q1,All employment status,2 Professional,376.2
Persons aged 15 years and over in Employment (ILO),2007Q1,All employment status,3 Associate professional and technical,211.8
Persons aged 15 years and over in Employment (ILO),2007Q1,All employment status,4 Administrative and secreterial,234.5
Persons aged 15 years and over in Employment (ILO),2007Q1,All employment status,5 Skilled trades,404.2
Persons aged 15 years and over in Employment (ILO),2007Q1,All employment status,"6 Caring, leisure and other services",137.2
Persons aged 15 years and over in Employment (ILO),2007Q1,All employment status,7 Sales and customer service,172.6
Persons aged 15 years and over in Employment (ILO),2007Q1,All employment status,"8 Process, plant and machine operatives",170.4
Persons aged 15 years and over in Employment (ILO),2007Q1,All employment status,9 Elementary,316.6
Persons aged 15 years and over in Employment (ILO),2007Q1,All employment status,X1 Other/Not stated,5.0
Persons aged 15 years and over in Employment (ILO),2007Q1,Full-time,All occupational groups,1796.9
Persons aged 15 years and over in Employment (ILO),2007Q1,Full-time,"1 Managers, directors and senior officials",147.6
Persons aged 15 years and over in Employment (ILO),2007Q1,Full-time,2 Professional,332.2
Persons aged 15 years and over in Employment (ILO),2007Q1,Full-time,3 Associate professional and technical,189.1
Persons aged 15 years and over in Employment (ILO),2007Q1,Full-time,4 Administrative and secreterial,178.6
Persons aged 15 years and over in Employment (ILO),2007Q1,Full-time,5 Skilled trades,380.3
Persons aged 15 years and over in Employment (ILO),2007Q1,Full-time,"6 Caring, leisure and other services",85.2
Persons aged 15 years and over in Employment (ILO),2007Q1,Full-time,7 Sales and customer service,91.8
Persons aged 15 years and over in Employment (ILO),2007Q1,Full-time,"8 Process, plant and machine operatives",158.0
Persons aged 15 years and over in Employment (ILO),2007Q1,Full-time,9 Elementary,229.6
Persons aged 15 years and over in Employment (ILO),2007Q1,Full-time,X1 Other/Not stated,4.3
Persons aged 15 years and over in Employment (ILO),2007Q1,Part-time,All occupational groups,388.7
Persons aged 15 years and over in Employment (ILO),2007Q1,Part-time,"1 Managers, directors and senior officials",9.3
Persons aged 15 years and over in Employment (ILO),2007Q1,Part-time,2 Professional,44.0
Persons aged 15 years and over in Employment (ILO),2007Q1,Part-time,3 Associate professional and technical,22.7
Persons aged 15 years and over in Employment (ILO),2007Q1,Part-time,4 Administrative and secreterial,55.9
Persons aged 15 years and over in Employment (ILO),2007Q1,Part-time,5 Skilled trades,23.8
Persons aged 15 years and over in Employment (ILO),2007Q1,Part-time,"6 Caring, leisure and other services",52.0
Persons aged 15 years and over in Employment (ILO),2007Q1,Part-time,7 Sales and customer service,80.8
Persons aged 15 years and over in Employment (ILO),2007Q1,Part-time,"8 Process, plant and machine operatives",12.4
Persons aged 15 years and over in Employment (ILO),2007Q1,Part-time,9 Elementary,87.0
Persons aged 15 years and over in Employment (ILO),2007Q1,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2007Q2,All employment status,All occupational groups,2211.8
Persons aged 15 years and over in Employment (ILO),2007Q2,All employment status,"1 Managers, directors and senior officials",157.4
Persons aged 15 years and over in Employment (ILO),2007Q2,All employment status,2 Professional,370.5
Persons aged 15 years and over in Employment (ILO),2007Q2,All employment status,3 Associate professional and technical,213.0
Persons aged 15 years and over in Employment (ILO),2007Q2,All employment status,4 Administrative and secreterial,241.7
Persons aged 15 years and over in Employment (ILO),2007Q2,All employment status,5 Skilled trades,408.1
Persons aged 15 years and over in Employment (ILO),2007Q2,All employment status,"6 Caring, leisure and other services",145.0
Persons aged 15 years and over in Employment (ILO),2007Q2,All employment status,7 Sales and customer service,172.6
Persons aged 15 years and over in Employment (ILO),2007Q2,All employment status,"8 Process, plant and machine operatives",178.8
Persons aged 15 years and over in Employment (ILO),2007Q2,All employment status,9 Elementary,320.5
Persons aged 15 years and over in Employment (ILO),2007Q2,All employment status,X1 Other/Not stated,4.1
Persons aged 15 years and over in Employment (ILO),2007Q2,Full-time,All occupational groups,1804.9
Persons aged 15 years and over in Employment (ILO),2007Q2,Full-time,"1 Managers, directors and senior officials",147.5
Persons aged 15 years and over in Employment (ILO),2007Q2,Full-time,2 Professional,325.0
Persons aged 15 years and over in Employment (ILO),2007Q2,Full-time,3 Associate professional and technical,189.0
Persons aged 15 years and over in Employment (ILO),2007Q2,Full-time,4 Administrative and secreterial,182.0
Persons aged 15 years and over in Employment (ILO),2007Q2,Full-time,5 Skilled trades,381.8
Persons aged 15 years and over in Employment (ILO),2007Q2,Full-time,"6 Caring, leisure and other services",88.0
Persons aged 15 years and over in Employment (ILO),2007Q2,Full-time,7 Sales and customer service,92.7
Persons aged 15 years and over in Employment (ILO),2007Q2,Full-time,"8 Process, plant and machine operatives",164.1
Persons aged 15 years and over in Employment (ILO),2007Q2,Full-time,9 Elementary,231.5
Persons aged 15 years and over in Employment (ILO),2007Q2,Full-time,X1 Other/Not stated,3.3
Persons aged 15 years and over in Employment (ILO),2007Q2,Part-time,All occupational groups,406.9
Persons aged 15 years and over in Employment (ILO),2007Q2,Part-time,"1 Managers, directors and senior officials",9.9
Persons aged 15 years and over in Employment (ILO),2007Q2,Part-time,2 Professional,45.5
Persons aged 15 years and over in Employment (ILO),2007Q2,Part-time,3 Associate professional and technical,24.0
Persons aged 15 years and over in Employment (ILO),2007Q2,Part-time,4 Administrative and secreterial,59.7
Persons aged 15 years and over in Employment (ILO),2007Q2,Part-time,5 Skilled trades,26.3
Persons aged 15 years and over in Employment (ILO),2007Q2,Part-time,"6 Caring, leisure and other services",57.1
Persons aged 15 years and over in Employment (ILO),2007Q2,Part-time,7 Sales and customer service,79.8
Persons aged 15 years and over in Employment (ILO),2007Q2,Part-time,"8 Process, plant and machine operatives",14.7
Persons aged 15 years and over in Employment (ILO),2007Q2,Part-time,9 Elementary,89.0
Persons aged 15 years and over in Employment (ILO),2007Q2,Part-time,X1 Other/Not stated,0.8
Persons aged 15 years and over in Employment (ILO),2007Q3,All employment status,All occupational groups,2251.0
Persons aged 15 years and over in Employment (ILO),2007Q3,All employment status,"1 Managers, directors and senior officials",156.0
Persons aged 15 years and over in Employment (ILO),2007Q3,All employment status,2 Professional,368.1
Persons aged 15 years and over in Employment (ILO),2007Q3,All employment status,3 Associate professional and technical,218.6
Persons aged 15 years and over in Employment (ILO),2007Q3,All employment status,4 Administrative and secreterial,255.1
Persons aged 15 years and over in Employment (ILO),2007Q3,All employment status,5 Skilled trades,421.1
Persons aged 15 years and over in Employment (ILO),2007Q3,All employment status,"6 Caring, leisure and other services",145.4
Persons aged 15 years and over in Employment (ILO),2007Q3,All employment status,7 Sales and customer service,177.7
Persons aged 15 years and over in Employment (ILO),2007Q3,All employment status,"8 Process, plant and machine operatives",179.6
Persons aged 15 years and over in Employment (ILO),2007Q3,All employment status,9 Elementary,323.6
Persons aged 15 years and over in Employment (ILO),2007Q3,All employment status,X1 Other/Not stated,5.7
Persons aged 15 years and over in Employment (ILO),2007Q3,Full-time,All occupational groups,1835.2
Persons aged 15 years and over in Employment (ILO),2007Q3,Full-time,"1 Managers, directors and senior officials",145.9
Persons aged 15 years and over in Employment (ILO),2007Q3,Full-time,2 Professional,323.0
Persons aged 15 years and over in Employment (ILO),2007Q3,Full-time,3 Associate professional and technical,192.6
Persons aged 15 years and over in Employment (ILO),2007Q3,Full-time,4 Administrative and secreterial,191.5
Persons aged 15 years and over in Employment (ILO),2007Q3,Full-time,5 Skilled trades,391.5
Persons aged 15 years and over in Employment (ILO),2007Q3,Full-time,"6 Caring, leisure and other services",91.2
Persons aged 15 years and over in Employment (ILO),2007Q3,Full-time,7 Sales and customer service,96.7
Persons aged 15 years and over in Employment (ILO),2007Q3,Full-time,"8 Process, plant and machine operatives",166.4
Persons aged 15 years and over in Employment (ILO),2007Q3,Full-time,9 Elementary,231.8
Persons aged 15 years and over in Employment (ILO),2007Q3,Full-time,X1 Other/Not stated,4.6
Persons aged 15 years and over in Employment (ILO),2007Q3,Part-time,All occupational groups,415.8
Persons aged 15 years and over in Employment (ILO),2007Q3,Part-time,"1 Managers, directors and senior officials",10.2
Persons aged 15 years and over in Employment (ILO),2007Q3,Part-time,2 Professional,45.1
Persons aged 15 years and over in Employment (ILO),2007Q3,Part-time,3 Associate professional and technical,26.0
Persons aged 15 years and over in Employment (ILO),2007Q3,Part-time,4 Administrative and secreterial,63.6
Persons aged 15 years and over in Employment (ILO),2007Q3,Part-time,5 Skilled trades,29.6
Persons aged 15 years and over in Employment (ILO),2007Q3,Part-time,"6 Caring, leisure and other services",54.2
Persons aged 15 years and over in Employment (ILO),2007Q3,Part-time,7 Sales and customer service,81.0
Persons aged 15 years and over in Employment (ILO),2007Q3,Part-time,"8 Process, plant and machine operatives",13.2
Persons aged 15 years and over in Employment (ILO),2007Q3,Part-time,9 Elementary,91.8
Persons aged 15 years and over in Employment (ILO),2007Q3,Part-time,X1 Other/Not stated,1.1
Persons aged 15 years and over in Employment (ILO),2007Q4,All employment status,All occupational groups,2230.7
Persons aged 15 years and over in Employment (ILO),2007Q4,All employment status,"1 Managers, directors and senior officials",156.7
Persons aged 15 years and over in Employment (ILO),2007Q4,All employment status,2 Professional,375.5
Persons aged 15 years and over in Employment (ILO),2007Q4,All employment status,3 Associate professional and technical,228.1
Persons aged 15 years and over in Employment (ILO),2007Q4,All employment status,4 Administrative and secreterial,242.8
Persons aged 15 years and over in Employment (ILO),2007Q4,All employment status,5 Skilled trades,410.0
Persons aged 15 years and over in Employment (ILO),2007Q4,All employment status,"6 Caring, leisure and other services",147.0
Persons aged 15 years and over in Employment (ILO),2007Q4,All employment status,7 Sales and customer service,178.9
Persons aged 15 years and over in Employment (ILO),2007Q4,All employment status,"8 Process, plant and machine operatives",179.5
Persons aged 15 years and over in Employment (ILO),2007Q4,All employment status,9 Elementary,307.0
Persons aged 15 years and over in Employment (ILO),2007Q4,All employment status,X1 Other/Not stated,5.2
Persons aged 15 years and over in Employment (ILO),2007Q4,Full-time,All occupational groups,1816.5
Persons aged 15 years and over in Employment (ILO),2007Q4,Full-time,"1 Managers, directors and senior officials",146.5
Persons aged 15 years and over in Employment (ILO),2007Q4,Full-time,2 Professional,326.2
Persons aged 15 years and over in Employment (ILO),2007Q4,Full-time,3 Associate professional and technical,201.2
Persons aged 15 years and over in Employment (ILO),2007Q4,Full-time,4 Administrative and secreterial,182.1
Persons aged 15 years and over in Employment (ILO),2007Q4,Full-time,5 Skilled trades,381.6
Persons aged 15 years and over in Employment (ILO),2007Q4,Full-time,"6 Caring, leisure and other services",92.3
Persons aged 15 years and over in Employment (ILO),2007Q4,Full-time,7 Sales and customer service,95.3
Persons aged 15 years and over in Employment (ILO),2007Q4,Full-time,"8 Process, plant and machine operatives",165.8
Persons aged 15 years and over in Employment (ILO),2007Q4,Full-time,9 Elementary,220.7
Persons aged 15 years and over in Employment (ILO),2007Q4,Full-time,X1 Other/Not stated,4.8
Persons aged 15 years and over in Employment (ILO),2007Q4,Part-time,All occupational groups,414.2
Persons aged 15 years and over in Employment (ILO),2007Q4,Part-time,"1 Managers, directors and senior officials",10.1
Persons aged 15 years and over in Employment (ILO),2007Q4,Part-time,2 Professional,49.3
Persons aged 15 years and over in Employment (ILO),2007Q4,Part-time,3 Associate professional and technical,26.9
Persons aged 15 years and over in Employment (ILO),2007Q4,Part-time,4 Administrative and secreterial,60.7
Persons aged 15 years and over in Employment (ILO),2007Q4,Part-time,5 Skilled trades,28.4
Persons aged 15 years and over in Employment (ILO),2007Q4,Part-time,"6 Caring, leisure and other services",54.7
Persons aged 15 years and over in Employment (ILO),2007Q4,Part-time,7 Sales and customer service,83.6
Persons aged 15 years and over in Employment (ILO),2007Q4,Part-time,"8 Process, plant and machine operatives",13.7
Persons aged 15 years and over in Employment (ILO),2007Q4,Part-time,9 Elementary,86.3
Persons aged 15 years and over in Employment (ILO),2007Q4,Part-time,X1 Other/Not stated,
Persons aged 15 years and over in Employment (ILO),2008Q1,All employment status,All occupational groups,2217.8
Persons aged 15 years and over in Employment (ILO),2008Q1,All employment status,"1 Managers, directors and senior officials",158.9
Persons aged 15 years and over in Employment (ILO),2008Q1,All employment status,2 Professional,377.3
Persons aged 15 years and over in Employment (ILO),2008Q1,All employment status,3 Associate professional and technical,222.9
Persons aged 15 years and over in Employment (ILO),2008Q1,All employment status,4 Administrative and secreterial,245.1
Persons aged 15 years and over in Employment (ILO),2008Q1,All employment status,5 Skilled trades,400.8
Persons aged 15 years and over in Employment (ILO),2008Q1,All employment status,"6 Caring, leisure and other services",146.3
Persons aged 15 years and over in Employment (ILO),2008Q1,All employment status,7 Sales and customer service,179.4
Persons aged 15 years and over in Employment (ILO),2008Q1,All employment status,"8 Process, plant and machine operatives",175.1
Persons aged 15 years and over in Employment (ILO),2008Q1,All employment status,9 Elementary,306.0
Persons aged 15 years and over in Employment (ILO),2008Q1,All employment status,X1 Other/Not stated,6.0
Persons aged 15 years and over in Employment (ILO),2008Q1,Full-time,All occupational groups,1802.5
Persons aged 15 years and over in Employment (ILO),2008Q1,Full-time,"1 Managers, directors and senior officials",148.7
Persons aged 15 years and over in Employment (ILO),2008Q1,Full-time,2 Professional,325.9
