STATISTIC,Quarter,Nationality,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment,2003Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),2.3
Persons aged 15 years and over in Employment,2003Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),
Persons aged 15 years and over in Employment,2003Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2003Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2003Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2003Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Education (P),
Persons aged 15 years and over in Employment,2003Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,2003Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Industry (B to E),1.9
Persons aged 15 years and over in Employment,2003Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2003Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2003Q4,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not stated,
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),All NACE economic sectors,
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),Construction (F),
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),Transportation and storage (H),
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),Accommodation and food service activities (I),
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),Information and communication (J),
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),Education (P),
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),Industry (B to E),
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2003Q4,EU15 to EU27 (accession countries joined post 2004),Not stated,
Persons aged 15 years and over in Employment,2003Q4,UK,All NACE economic sectors,39.6
Persons aged 15 years and over in Employment,2003Q4,UK,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2003Q4,UK,Construction (F),3.3
Persons aged 15 years and over in Employment,2003Q4,UK,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),5.1
Persons aged 15 years and over in Employment,2003Q4,UK,Transportation and storage (H),1.6
Persons aged 15 years and over in Employment,2003Q4,UK,Accommodation and food service activities (I),2.8
Persons aged 15 years and over in Employment,2003Q4,UK,Information and communication (J),2.2
Persons aged 15 years and over in Employment,2003Q4,UK,"Professional, scientific and technical activities (M)",2.7
Persons aged 15 years and over in Employment,2003Q4,UK,Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2003Q4,UK,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2003Q4,UK,Education (P),2.9
Persons aged 15 years and over in Employment,2003Q4,UK,Human health and social work activities (Q),4.4
Persons aged 15 years and over in Employment,2003Q4,UK,Industry (B to E),7.2
Persons aged 15 years and over in Employment,2003Q4,UK,"Financial, insurance and real estate activities (K, L)",2.3
Persons aged 15 years and over in Employment,2003Q4,UK,Other NACE activities (R to U),2.7
Persons aged 15 years and over in Employment,2003Q4,UK,Not stated,
Persons aged 15 years and over in Employment,2003Q4,Irish,All NACE economic sectors,1786.2
Persons aged 15 years and over in Employment,2003Q4,Irish,"Agriculture, forestry and fishing (A)",116.9
Persons aged 15 years and over in Employment,2003Q4,Irish,Construction (F),157.5
Persons aged 15 years and over in Employment,2003Q4,Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),261.0
Persons aged 15 years and over in Employment,2003Q4,Irish,Transportation and storage (H),83.9
Persons aged 15 years and over in Employment,2003Q4,Irish,Accommodation and food service activities (I),101.5
Persons aged 15 years and over in Employment,2003Q4,Irish,Information and communication (J),71.8
Persons aged 15 years and over in Employment,2003Q4,Irish,"Professional, scientific and technical activities (M)",92.3
Persons aged 15 years and over in Employment,2003Q4,Irish,Administrative and support service activities (N),61.7
Persons aged 15 years and over in Employment,2003Q4,Irish,Public administration and defence; compulsory social security (O),82.3
Persons aged 15 years and over in Employment,2003Q4,Irish,Education (P),114.0
Persons aged 15 years and over in Employment,2003Q4,Irish,Human health and social work activities (Q),173.7
Persons aged 15 years and over in Employment,2003Q4,Irish,Industry (B to E),288.7
Persons aged 15 years and over in Employment,2003Q4,Irish,"Financial, insurance and real estate activities (K, L)",85.4
Persons aged 15 years and over in Employment,2003Q4,Irish,Other NACE activities (R to U),87.7
Persons aged 15 years and over in Employment,2003Q4,Irish,Not stated,7.8
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,All NACE economic sectors,113.1
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,"Agriculture, forestry and fishing (A)",2.6
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,Construction (F),5.9
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),12.1
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,Transportation and storage (H),3.2
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,Accommodation and food service activities (I),18.0
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,Information and communication (J),6.1
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,"Professional, scientific and technical activities (M)",6.3
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,Administrative and support service activities (N),5.5
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,Education (P),6.0
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,Human health and social work activities (Q),14.6
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,Industry (B to E),20.3
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,"Financial, insurance and real estate activities (K, L)",4.9
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,Other NACE activities (R to U),6.6
Persons aged 15 years and over in Employment,2003Q4,Non-Irish,Not stated,
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),All NACE economic sectors,60.4
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),"Agriculture, forestry and fishing (A)",1.7
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),Construction (F),2.2
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),5.9
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),Transportation and storage (H),
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),Accommodation and food service activities (I),12.9
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),Information and communication (J),2.6
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),"Professional, scientific and technical activities (M)",2.8
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),Administrative and support service activities (N),2.8
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),Education (P),2.1
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),Human health and social work activities (Q),9.5
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),Industry (B to E),11.2
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",1.8
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),Other NACE activities (R to U),2.9
Persons aged 15 years and over in Employment,2003Q4,Other nationalities (7),Not stated,
Persons aged 15 years and over in Employment,2004Q1,All nationalities,All NACE economic sectors,1902.3
Persons aged 15 years and over in Employment,2004Q1,All nationalities,"Agriculture, forestry and fishing (A)",115.6
Persons aged 15 years and over in Employment,2004Q1,All nationalities,Construction (F),165.7
Persons aged 15 years and over in Employment,2004Q1,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),275.1
Persons aged 15 years and over in Employment,2004Q1,All nationalities,Transportation and storage (H),86.6
Persons aged 15 years and over in Employment,2004Q1,All nationalities,Accommodation and food service activities (I),114.8
Persons aged 15 years and over in Employment,2004Q1,All nationalities,Information and communication (J),74.4
Persons aged 15 years and over in Employment,2004Q1,All nationalities,"Professional, scientific and technical activities (M)",103.5
Persons aged 15 years and over in Employment,2004Q1,All nationalities,Administrative and support service activities (N),68.3
Persons aged 15 years and over in Employment,2004Q1,All nationalities,Public administration and defence; compulsory social security (O),81.1
Persons aged 15 years and over in Employment,2004Q1,All nationalities,Education (P),119.1
Persons aged 15 years and over in Employment,2004Q1,All nationalities,Human health and social work activities (Q),187.9
Persons aged 15 years and over in Employment,2004Q1,All nationalities,Industry (B to E),313.8
Persons aged 15 years and over in Employment,2004Q1,All nationalities,"Financial, insurance and real estate activities (K, L)",91.4
Persons aged 15 years and over in Employment,2004Q1,All nationalities,Other NACE activities (R to U),97.8
Persons aged 15 years and over in Employment,2004Q1,All nationalities,Not stated,7.4
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All NACE economic sectors,13.2
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Construction (F),
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Transportation and storage (H),
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),2.3
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Education (P),
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Industry (B to E),2.4
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2004Q1,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not stated,
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),All NACE economic sectors,
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),Construction (F),
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),Transportation and storage (H),
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),Accommodation and food service activities (I),
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),Information and communication (J),
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),Education (P),
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),Industry (B to E),
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2004Q1,EU15 to EU27 (accession countries joined post 2004),Not stated,
Persons aged 15 years and over in Employment,2004Q1,UK,All NACE economic sectors,40.1
Persons aged 15 years and over in Employment,2004Q1,UK,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2004Q1,UK,Construction (F),3.0
Persons aged 15 years and over in Employment,2004Q1,UK,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),5.8
Persons aged 15 years and over in Employment,2004Q1,UK,Transportation and storage (H),1.4
Persons aged 15 years and over in Employment,2004Q1,UK,Accommodation and food service activities (I),2.2
Persons aged 15 years and over in Employment,2004Q1,UK,Information and communication (J),2.4
Persons aged 15 years and over in Employment,2004Q1,UK,"Professional, scientific and technical activities (M)",3.5
Persons aged 15 years and over in Employment,2004Q1,UK,Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2004Q1,UK,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2004Q1,UK,Education (P),3.1
Persons aged 15 years and over in Employment,2004Q1,UK,Human health and social work activities (Q),4.3
Persons aged 15 years and over in Employment,2004Q1,UK,Industry (B to E),6.9
Persons aged 15 years and over in Employment,2004Q1,UK,"Financial, insurance and real estate activities (K, L)",2.1
Persons aged 15 years and over in Employment,2004Q1,UK,Other NACE activities (R to U),2.4
Persons aged 15 years and over in Employment,2004Q1,UK,Not stated,
Persons aged 15 years and over in Employment,2004Q1,Irish,All NACE economic sectors,1787.7
Persons aged 15 years and over in Employment,2004Q1,Irish,"Agriculture, forestry and fishing (A)",113.1
Persons aged 15 years and over in Employment,2004Q1,Irish,Construction (F),159.3
Persons aged 15 years and over in Employment,2004Q1,Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),262.2
Persons aged 15 years and over in Employment,2004Q1,Irish,Transportation and storage (H),83.4
Persons aged 15 years and over in Employment,2004Q1,Irish,Accommodation and food service activities (I),96.3
Persons aged 15 years and over in Employment,2004Q1,Irish,Information and communication (J),68.2
Persons aged 15 years and over in Employment,2004Q1,Irish,"Professional, scientific and technical activities (M)",96.6
Persons aged 15 years and over in Employment,2004Q1,Irish,Administrative and support service activities (N),62.7
Persons aged 15 years and over in Employment,2004Q1,Irish,Public administration and defence; compulsory social security (O),80.1
Persons aged 15 years and over in Employment,2004Q1,Irish,Education (P),112.9
Persons aged 15 years and over in Employment,2004Q1,Irish,Human health and social work activities (Q),174.4
Persons aged 15 years and over in Employment,2004Q1,Irish,Industry (B to E),292.8
Persons aged 15 years and over in Employment,2004Q1,Irish,"Financial, insurance and real estate activities (K, L)",86.9
Persons aged 15 years and over in Employment,2004Q1,Irish,Other NACE activities (R to U),91.7
Persons aged 15 years and over in Employment,2004Q1,Irish,Not stated,7.2
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,All NACE economic sectors,114.6
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,"Agriculture, forestry and fishing (A)",2.5
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,Construction (F),6.4
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),12.9
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,Transportation and storage (H),3.1
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,Accommodation and food service activities (I),18.5
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,Information and communication (J),6.2
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,"Professional, scientific and technical activities (M)",6.9
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,Administrative and support service activities (N),5.6
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,Education (P),6.2
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,Human health and social work activities (Q),13.5
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,Industry (B to E),21.0
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,"Financial, insurance and real estate activities (K, L)",4.5
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,Other NACE activities (R to U),6.1
Persons aged 15 years and over in Employment,2004Q1,Non-Irish,Not stated,
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),All NACE economic sectors,61.3
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),"Agriculture, forestry and fishing (A)",1.8
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),Construction (F),3.1
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),6.2
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),Transportation and storage (H),
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),Accommodation and food service activities (I),14.0
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),Information and communication (J),2.5
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),"Professional, scientific and technical activities (M)",2.2
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),Administrative and support service activities (N),2.8
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),Education (P),2.1
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),Human health and social work activities (Q),8.8
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),Industry (B to E),11.7
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),Other NACE activities (R to U),2.9
Persons aged 15 years and over in Employment,2004Q1,Other nationalities (7),Not stated,
Persons aged 15 years and over in Employment,2004Q2,All nationalities,All NACE economic sectors,1925.8
Persons aged 15 years and over in Employment,2004Q2,All nationalities,"Agriculture, forestry and fishing (A)",115.4
Persons aged 15 years and over in Employment,2004Q2,All nationalities,Construction (F),173.8
Persons aged 15 years and over in Employment,2004Q2,All nationalities,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),274.1
Persons aged 15 years and over in Employment,2004Q2,All nationalities,Transportation and storage (H),88.2
Persons aged 15 years and over in Employment,2004Q2,All nationalities,Accommodation and food service activities (I),110.8
Persons aged 15 years and over in Employment,2004Q2,All nationalities,Information and communication (J),77.3
Persons aged 15 years and over in Employment,2004Q2,All nationalities,"Professional, scientific and technical activities (M)",103.3
Persons aged 15 years and over in Employment,2004Q2,All nationalities,Administrative and support service activities (N),73.0
Persons aged 15 years and over in Employment,2004Q2,All nationalities,Public administration and defence; compulsory social security (O),85.5
Persons aged 15 years and over in Employment,2004Q2,All nationalities,Education (P),119.4
Persons aged 15 years and over in Employment,2004Q2,All nationalities,Human health and social work activities (Q),191.8
Persons aged 15 years and over in Employment,2004Q2,All nationalities,Industry (B to E),311.0
Persons aged 15 years and over in Employment,2004Q2,All nationalities,"Financial, insurance and real estate activities (K, L)",94.4
Persons aged 15 years and over in Employment,2004Q2,All nationalities,Other NACE activities (R to U),101.5
Persons aged 15 years and over in Employment,2004Q2,All nationalities,Not stated,6.3
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),All NACE economic sectors,13.5
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Construction (F),
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Transportation and storage (H),
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Accommodation and food service activities (I),2.0
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Information and communication (J),
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Education (P),
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Industry (B to E),2.1
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2004Q2,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Not stated,
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),All NACE economic sectors,
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),Construction (F),
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),Wholesale and retail trade; repair of motor vehicles and motorcycles (G),
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),Transportation and storage (H),
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),Accommodation and food service activities (I),
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),Information and communication (J),
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),"Professional, scientific and technical activities (M)",
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),Education (P),
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),Human health and social work activities (Q),
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),Industry (B to E),
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),"Financial, insurance and real estate activities (K, L)",
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),Other NACE activities (R to U),
Persons aged 15 years and over in Employment,2004Q2,EU15 to EU27 (accession countries joined post 2004),Not stated,
Persons aged 15 years and over in Employment,2004Q2,UK,All NACE economic sectors,35.6
Persons aged 15 years and over in Employment,2004Q2,UK,"Agriculture, forestry and fishing (A)",
Persons aged 15 years and over in Employment,2004Q2,UK,Construction (F),2.7
Persons aged 15 years and over in Employment,2004Q2,UK,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),5.2
Persons aged 15 years and over in Employment,2004Q2,UK,Transportation and storage (H),1.4
Persons aged 15 years and over in Employment,2004Q2,UK,Accommodation and food service activities (I),1.8
Persons aged 15 years and over in Employment,2004Q2,UK,Information and communication (J),
Persons aged 15 years and over in Employment,2004Q2,UK,"Professional, scientific and technical activities (M)",3.1
Persons aged 15 years and over in Employment,2004Q2,UK,Administrative and support service activities (N),
Persons aged 15 years and over in Employment,2004Q2,UK,Public administration and defence; compulsory social security (O),
Persons aged 15 years and over in Employment,2004Q2,UK,Education (P),2.7
Persons aged 15 years and over in Employment,2004Q2,UK,Human health and social work activities (Q),3.9
Persons aged 15 years and over in Employment,2004Q2,UK,Industry (B to E),6.0
Persons aged 15 years and over in Employment,2004Q2,UK,"Financial, insurance and real estate activities (K, L)",1.7
Persons aged 15 years and over in Employment,2004Q2,UK,Other NACE activities (R to U),2.8
Persons aged 15 years and over in Employment,2004Q2,UK,Not stated,
Persons aged 15 years and over in Employment,2004Q2,Irish,All NACE economic sectors,1811.0
Persons aged 15 years and over in Employment,2004Q2,Irish,"Agriculture, forestry and fishing (A)",112.9
Persons aged 15 years and over in Employment,2004Q2,Irish,Construction (F),165.7
Persons aged 15 years and over in Employment,2004Q2,Irish,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),259.5
Persons aged 15 years and over in Employment,2004Q2,Irish,Transportation and storage (H),85.1
Persons aged 15 years and over in Employment,2004Q2,Irish,Accommodation and food service activities (I),93.7
Persons aged 15 years and over in Employment,2004Q2,Irish,Information and communication (J),71.6
Persons aged 15 years and over in Employment,2004Q2,Irish,"Professional, scientific and technical activities (M)",97.4
Persons aged 15 years and over in Employment,2004Q2,Irish,Administrative and support service activities (N),66.9
Persons aged 15 years and over in Employment,2004Q2,Irish,Public administration and defence; compulsory social security (O),84.3
Persons aged 15 years and over in Employment,2004Q2,Irish,Education (P),113.4
Persons aged 15 years and over in Employment,2004Q2,Irish,Human health and social work activities (Q),178.2
Persons aged 15 years and over in Employment,2004Q2,Irish,Industry (B to E),291.6
