Statistic,Quarter,Region,value
Unemployed Persons aged 15 years and over,2013Q2,Mid-West,42.2
Unemployed Persons aged 15 years and over,2013Q2,South-East,30.9
Unemployed Persons aged 15 years and over,2013Q2,South-West,43.5
Unemployed Persons aged 15 years and over,2013Q2,Eastern and Midland,159.0
Unemployed Persons aged 15 years and over,2013Q2,Dublin,79.3
Unemployed Persons aged 15 years and over,2013Q2,Mid-East,56.1
Unemployed Persons aged 15 years and over,2013Q2,Midland,23.6
Unemployed Persons aged 15 years and over,2013Q3,State,309.8
Unemployed Persons aged 15 years and over,2013Q3,Northern and Western,53.7
Unemployed Persons aged 15 years and over,2013Q3,Border,22.2
Unemployed Persons aged 15 years and over,2013Q3,West,31.4
Unemployed Persons aged 15 years and over,2013Q3,Southern,109.1
Unemployed Persons aged 15 years and over,2013Q3,Mid-West,38.8
Unemployed Persons aged 15 years and over,2013Q3,South-East,28.6
Unemployed Persons aged 15 years and over,2013Q3,South-West,41.7
Unemployed Persons aged 15 years and over,2013Q3,Eastern and Midland,147.1
Unemployed Persons aged 15 years and over,2013Q3,Dublin,70.1
Unemployed Persons aged 15 years and over,2013Q3,Mid-East,55.0
Unemployed Persons aged 15 years and over,2013Q3,Midland,22.0
Unemployed Persons aged 15 years and over,2013Q4,State,276.3
Unemployed Persons aged 15 years and over,2013Q4,Northern and Western,49.1
Unemployed Persons aged 15 years and over,2013Q4,Border,21.9
Unemployed Persons aged 15 years and over,2013Q4,West,27.2
Unemployed Persons aged 15 years and over,2013Q4,Southern,92.3
Unemployed Persons aged 15 years and over,2013Q4,Mid-West,28.3
Unemployed Persons aged 15 years and over,2013Q4,South-East,27.9
Unemployed Persons aged 15 years and over,2013Q4,South-West,36.1
Unemployed Persons aged 15 years and over,2013Q4,Eastern and Midland,134.9
Unemployed Persons aged 15 years and over,2013Q4,Dublin,66.2
Unemployed Persons aged 15 years and over,2013Q4,Mid-East,47.6
Unemployed Persons aged 15 years and over,2013Q4,Midland,21.0
Unemployed Persons aged 15 years and over,2014Q1,State,282.0
Unemployed Persons aged 15 years and over,2014Q1,Northern and Western,45.9
Unemployed Persons aged 15 years and over,2014Q1,Border,21.5
Unemployed Persons aged 15 years and over,2014Q1,West,24.4
Unemployed Persons aged 15 years and over,2014Q1,Southern,101.4
Unemployed Persons aged 15 years and over,2014Q1,Mid-West,34.5
Unemployed Persons aged 15 years and over,2014Q1,South-East,27.3
Unemployed Persons aged 15 years and over,2014Q1,South-West,39.7
Unemployed Persons aged 15 years and over,2014Q1,Eastern and Midland,134.6
Unemployed Persons aged 15 years and over,2014Q1,Dublin,69.4
Unemployed Persons aged 15 years and over,2014Q1,Mid-East,43.7
Unemployed Persons aged 15 years and over,2014Q1,Midland,21.5
Unemployed Persons aged 15 years and over,2014Q2,State,279.4
Unemployed Persons aged 15 years and over,2014Q2,Northern and Western,51.0
Unemployed Persons aged 15 years and over,2014Q2,Border,21.8
Unemployed Persons aged 15 years and over,2014Q2,West,29.2
Unemployed Persons aged 15 years and over,2014Q2,Southern,98.2
Unemployed Persons aged 15 years and over,2014Q2,Mid-West,34.5
Unemployed Persons aged 15 years and over,2014Q2,South-East,24.9
Unemployed Persons aged 15 years and over,2014Q2,South-West,38.8
Unemployed Persons aged 15 years and over,2014Q2,Eastern and Midland,130.2
Unemployed Persons aged 15 years and over,2014Q2,Dublin,67.5
Unemployed Persons aged 15 years and over,2014Q2,Mid-East,41.3
Unemployed Persons aged 15 years and over,2014Q2,Midland,21.4
Unemployed Persons aged 15 years and over,2014Q3,State,272.2
Unemployed Persons aged 15 years and over,2014Q3,Northern and Western,45.1
Unemployed Persons aged 15 years and over,2014Q3,Border,19.4
Unemployed Persons aged 15 years and over,2014Q3,West,25.7
Unemployed Persons aged 15 years and over,2014Q3,Southern,93.3
Unemployed Persons aged 15 years and over,2014Q3,Mid-West,31.2
Unemployed Persons aged 15 years and over,2014Q3,South-East,24.7
Unemployed Persons aged 15 years and over,2014Q3,South-West,37.4
Unemployed Persons aged 15 years and over,2014Q3,Eastern and Midland,133.8
Unemployed Persons aged 15 years and over,2014Q3,Dublin,70.4
Unemployed Persons aged 15 years and over,2014Q3,Mid-East,40.7
Unemployed Persons aged 15 years and over,2014Q3,Midland,22.6
Unemployed Persons aged 15 years and over,2014Q4,State,234.9
Unemployed Persons aged 15 years and over,2014Q4,Northern and Western,38.3
Unemployed Persons aged 15 years and over,2014Q4,Border,15.6
Unemployed Persons aged 15 years and over,2014Q4,West,22.7
Unemployed Persons aged 15 years and over,2014Q4,Southern,84.3
Unemployed Persons aged 15 years and over,2014Q4,Mid-West,25.9
Unemployed Persons aged 15 years and over,2014Q4,South-East,20.9
Unemployed Persons aged 15 years and over,2014Q4,South-West,37.4
Unemployed Persons aged 15 years and over,2014Q4,Eastern and Midland,112.3
Unemployed Persons aged 15 years and over,2014Q4,Dublin,59.1
Unemployed Persons aged 15 years and over,2014Q4,Mid-East,33.0
Unemployed Persons aged 15 years and over,2014Q4,Midland,20.2
Unemployed Persons aged 15 years and over,2015Q1,State,234.0
Unemployed Persons aged 15 years and over,2015Q1,Northern and Western,41.5
Unemployed Persons aged 15 years and over,2015Q1,Border,15.9
Unemployed Persons aged 15 years and over,2015Q1,West,25.7
Unemployed Persons aged 15 years and over,2015Q1,Southern,83.4
Unemployed Persons aged 15 years and over,2015Q1,Mid-West,26.8
Unemployed Persons aged 15 years and over,2015Q1,South-East,22.3
Unemployed Persons aged 15 years and over,2015Q1,South-West,34.4
Unemployed Persons aged 15 years and over,2015Q1,Eastern and Midland,109.0
Unemployed Persons aged 15 years and over,2015Q1,Dublin,59.4
Unemployed Persons aged 15 years and over,2015Q1,Mid-East,30.9
Unemployed Persons aged 15 years and over,2015Q1,Midland,18.8
Unemployed Persons aged 15 years and over,2015Q2,State,234.1
Unemployed Persons aged 15 years and over,2015Q2,Northern and Western,38.3
Unemployed Persons aged 15 years and over,2015Q2,Border,14.8
Unemployed Persons aged 15 years and over,2015Q2,West,23.5
Unemployed Persons aged 15 years and over,2015Q2,Southern,87.7
Unemployed Persons aged 15 years and over,2015Q2,Mid-West,31.0
Unemployed Persons aged 15 years and over,2015Q2,South-East,21.0
Unemployed Persons aged 15 years and over,2015Q2,South-West,35.7
Unemployed Persons aged 15 years and over,2015Q2,Eastern and Midland,108.1
Unemployed Persons aged 15 years and over,2015Q2,Dublin,54.4
Unemployed Persons aged 15 years and over,2015Q2,Mid-East,34.6
Unemployed Persons aged 15 years and over,2015Q2,Midland,19.1
Unemployed Persons aged 15 years and over,2015Q3,State,226.0
Unemployed Persons aged 15 years and over,2015Q3,Northern and Western,40.6
Unemployed Persons aged 15 years and over,2015Q3,Border,16.6
Unemployed Persons aged 15 years and over,2015Q3,West,24.1
Unemployed Persons aged 15 years and over,2015Q3,Southern,79.7
Unemployed Persons aged 15 years and over,2015Q3,Mid-West,28.9
Unemployed Persons aged 15 years and over,2015Q3,South-East,20.0
Unemployed Persons aged 15 years and over,2015Q3,South-West,30.8
Unemployed Persons aged 15 years and over,2015Q3,Eastern and Midland,105.7
Unemployed Persons aged 15 years and over,2015Q3,Dublin,55.8
Unemployed Persons aged 15 years and over,2015Q3,Mid-East,30.8
Unemployed Persons aged 15 years and over,2015Q3,Midland,19.1
Unemployed Persons aged 15 years and over,2015Q4,State,206.5
Unemployed Persons aged 15 years and over,2015Q4,Northern and Western,38.4
Unemployed Persons aged 15 years and over,2015Q4,Border,15.7
Unemployed Persons aged 15 years and over,2015Q4,West,22.6
Unemployed Persons aged 15 years and over,2015Q4,Southern,70.0
Unemployed Persons aged 15 years and over,2015Q4,Mid-West,24.1
Unemployed Persons aged 15 years and over,2015Q4,South-East,20.0
Unemployed Persons aged 15 years and over,2015Q4,South-West,25.9
Unemployed Persons aged 15 years and over,2015Q4,Eastern and Midland,98.1
Unemployed Persons aged 15 years and over,2015Q4,Dublin,52.5
Unemployed Persons aged 15 years and over,2015Q4,Mid-East,29.1
Unemployed Persons aged 15 years and over,2015Q4,Midland,16.6
Unemployed Persons aged 15 years and over,2016Q1,State,199.0
Unemployed Persons aged 15 years and over,2016Q1,Northern and Western,36.1
Unemployed Persons aged 15 years and over,2016Q1,Border,13.9
Unemployed Persons aged 15 years and over,2016Q1,West,22.2
Unemployed Persons aged 15 years and over,2016Q1,Southern,72.2
Unemployed Persons aged 15 years and over,2016Q1,Mid-West,24.0
Unemployed Persons aged 15 years and over,2016Q1,South-East,20.7
Unemployed Persons aged 15 years and over,2016Q1,South-West,27.4
Unemployed Persons aged 15 years and over,2016Q1,Eastern and Midland,90.7
Unemployed Persons aged 15 years and over,2016Q1,Dublin,48.5
Unemployed Persons aged 15 years and over,2016Q1,Mid-East,24.7
Unemployed Persons aged 15 years and over,2016Q1,Midland,17.5
Unemployed Persons aged 15 years and over,2016Q2,State,211.3
Unemployed Persons aged 15 years and over,2016Q2,Northern and Western,36.1
Unemployed Persons aged 15 years and over,2016Q2,Border,14.9
Unemployed Persons aged 15 years and over,2016Q2,West,21.1
Unemployed Persons aged 15 years and over,2016Q2,Southern,70.2
Unemployed Persons aged 15 years and over,2016Q2,Mid-West,24.9
Unemployed Persons aged 15 years and over,2016Q2,South-East,18.9
Unemployed Persons aged 15 years and over,2016Q2,South-West,26.4
Unemployed Persons aged 15 years and over,2016Q2,Eastern and Midland,105.0
Unemployed Persons aged 15 years and over,2016Q2,Dublin,58.1
Unemployed Persons aged 15 years and over,2016Q2,Mid-East,30.3
Unemployed Persons aged 15 years and over,2016Q2,Midland,16.7
Unemployed Persons aged 15 years and over,2016Q3,State,200.8
Unemployed Persons aged 15 years and over,2016Q3,Northern and Western,33.7
Unemployed Persons aged 15 years and over,2016Q3,Border,14.4
Unemployed Persons aged 15 years and over,2016Q3,West,19.2
Unemployed Persons aged 15 years and over,2016Q3,Southern,65.0
Unemployed Persons aged 15 years and over,2016Q3,Mid-West,23.6
Unemployed Persons aged 15 years and over,2016Q3,South-East,18.0
Unemployed Persons aged 15 years and over,2016Q3,South-West,23.4
Unemployed Persons aged 15 years and over,2016Q3,Eastern and Midland,102.2
Unemployed Persons aged 15 years and over,2016Q3,Dublin,54.0
Unemployed Persons aged 15 years and over,2016Q3,Mid-East,32.3
Unemployed Persons aged 15 years and over,2016Q3,Midland,15.9
Unemployed Persons aged 15 years and over,2016Q4,State,167.6
Unemployed Persons aged 15 years and over,2016Q4,Northern and Western,28.9
Unemployed Persons aged 15 years and over,2016Q4,Border,11.6
Unemployed Persons aged 15 years and over,2016Q4,West,17.3
Unemployed Persons aged 15 years and over,2016Q4,Southern,55.8
Unemployed Persons aged 15 years and over,2016Q4,Mid-West,20.1
Unemployed Persons aged 15 years and over,2016Q4,South-East,15.6
Unemployed Persons aged 15 years and over,2016Q4,South-West,20.1
Unemployed Persons aged 15 years and over,2016Q4,Eastern and Midland,82.8
Unemployed Persons aged 15 years and over,2016Q4,Dublin,43.8
Unemployed Persons aged 15 years and over,2016Q4,Mid-East,27.0
Unemployed Persons aged 15 years and over,2016Q4,Midland,12.1
Unemployed Persons aged 15 years and over,2017Q1,State,163.9
Unemployed Persons aged 15 years and over,2017Q1,Northern and Western,24.6
Unemployed Persons aged 15 years and over,2017Q1,Border,9.4
Unemployed Persons aged 15 years and over,2017Q1,West,15.2
Unemployed Persons aged 15 years and over,2017Q1,Southern,57.6
Unemployed Persons aged 15 years and over,2017Q1,Mid-West,21.3
Unemployed Persons aged 15 years and over,2017Q1,South-East,15.2
Unemployed Persons aged 15 years and over,2017Q1,South-West,21.0
Unemployed Persons aged 15 years and over,2017Q1,Eastern and Midland,81.7
Unemployed Persons aged 15 years and over,2017Q1,Dublin,43.3
Unemployed Persons aged 15 years and over,2017Q1,Mid-East,26.5
Unemployed Persons aged 15 years and over,2017Q1,Midland,12.0
Unemployed Persons aged 15 years and over,2017Q2,State,160.8
Unemployed Persons aged 15 years and over,2017Q2,Northern and Western,23.4
Unemployed Persons aged 15 years and over,2017Q2,Border,8.5
Unemployed Persons aged 15 years and over,2017Q2,West,14.9
Unemployed Persons aged 15 years and over,2017Q2,Southern,51.4
Unemployed Persons aged 15 years and over,2017Q2,Mid-West,21.1
Unemployed Persons aged 15 years and over,2017Q2,South-East,12.8
Unemployed Persons aged 15 years and over,2017Q2,South-West,17.5
Unemployed Persons aged 15 years and over,2017Q2,Eastern and Midland,86.0
Unemployed Persons aged 15 years and over,2017Q2,Dublin,43.7
Unemployed Persons aged 15 years and over,2017Q2,Mid-East,29.0
Unemployed Persons aged 15 years and over,2017Q2,Midland,13.3
Unemployed Persons aged 15 years and over,2017Q3,State,164.4
Unemployed Persons aged 15 years and over,2017Q3,Northern and Western,27.9
Unemployed Persons aged 15 years and over,2017Q3,Border,12.4
Unemployed Persons aged 15 years and over,2017Q3,West,15.6
Unemployed Persons aged 15 years and over,2017Q3,Southern,57.7
Unemployed Persons aged 15 years and over,2017Q3,Mid-West,19.3
Unemployed Persons aged 15 years and over,2017Q3,South-East,16.6
Unemployed Persons aged 15 years and over,2017Q3,South-West,21.8
Unemployed Persons aged 15 years and over,2017Q3,Eastern and Midland,78.8
Unemployed Persons aged 15 years and over,2017Q3,Dublin,44.8
Unemployed Persons aged 15 years and over,2017Q3,Mid-East,21.6
Unemployed Persons aged 15 years and over,2017Q3,Midland,12.4
Unemployed Persons aged 15 years and over,2017Q4,State,145.0
Unemployed Persons aged 15 years and over,2017Q4,Northern and Western,21.8
Unemployed Persons aged 15 years and over,2017Q4,Border,9.0
Unemployed Persons aged 15 years and over,2017Q4,West,12.7
Unemployed Persons aged 15 years and over,2017Q4,Southern,51.7
Unemployed Persons aged 15 years and over,2017Q4,Mid-West,14.8
Unemployed Persons aged 15 years and over,2017Q4,South-East,16.0
Unemployed Persons aged 15 years and over,2017Q4,South-West,20.9
Unemployed Persons aged 15 years and over,2017Q4,Eastern and Midland,71.5
Unemployed Persons aged 15 years and over,2017Q4,Dublin,43.7
Unemployed Persons aged 15 years and over,2017Q4,Mid-East,17.7
Unemployed Persons aged 15 years and over,2017Q4,Midland,10.1
Unemployed Persons aged 15 years and over,2018Q1,State,134.1
Unemployed Persons aged 15 years and over,2018Q1,Northern and Western,20.3
Unemployed Persons aged 15 years and over,2018Q1,Border,8.1
Unemployed Persons aged 15 years and over,2018Q1,West,12.3
Unemployed Persons aged 15 years and over,2018Q1,Southern,46.5
Unemployed Persons aged 15 years and over,2018Q1,Mid-West,11.6
Unemployed Persons aged 15 years and over,2018Q1,South-East,14.0
Unemployed Persons aged 15 years and over,2018Q1,South-West,20.8
Unemployed Persons aged 15 years and over,2018Q1,Eastern and Midland,67.2
Unemployed Persons aged 15 years and over,2018Q1,Dublin,38.2
Unemployed Persons aged 15 years and over,2018Q1,Mid-East,18.3
Unemployed Persons aged 15 years and over,2018Q1,Midland,10.8
Unemployed Persons aged 15 years and over,2018Q2,State,145.9
Unemployed Persons aged 15 years and over,2018Q2,Northern and Western,26.4
Unemployed Persons aged 15 years and over,2018Q2,Border,11.9
Unemployed Persons aged 15 years and over,2018Q2,West,14.4
Unemployed Persons aged 15 years and over,2018Q2,Southern,46.8
Unemployed Persons aged 15 years and over,2018Q2,Mid-West,13.5
Unemployed Persons aged 15 years and over,2018Q2,South-East,14.8
Unemployed Persons aged 15 years and over,2018Q2,South-West,18.5
Unemployed Persons aged 15 years and over,2018Q2,Eastern and Midland,72.7
Unemployed Persons aged 15 years and over,2018Q2,Dublin,38.6
Unemployed Persons aged 15 years and over,2018Q2,Mid-East,20.5
Unemployed Persons aged 15 years and over,2018Q2,Midland,13.6
Unemployed Persons aged 15 years and over,2018Q3,State,144.8
Unemployed Persons aged 15 years and over,2018Q3,Northern and Western,23.9
Unemployed Persons aged 15 years and over,2018Q3,Border,9.4
Unemployed Persons aged 15 years and over,2018Q3,West,14.6
Unemployed Persons aged 15 years and over,2018Q3,Southern,51.6
Unemployed Persons aged 15 years and over,2018Q3,Mid-West,16.8
Unemployed Persons aged 15 years and over,2018Q3,South-East,17.4
Unemployed Persons aged 15 years and over,2018Q3,South-West,17.4
Unemployed Persons aged 15 years and over,2018Q3,Eastern and Midland,69.3
Unemployed Persons aged 15 years and over,2018Q3,Dublin,39.1
Unemployed Persons aged 15 years and over,2018Q3,Mid-East,20.3
Unemployed Persons aged 15 years and over,2018Q3,Midland,9.9
Unemployed Persons aged 15 years and over,2018Q4,State,130.5
Unemployed Persons aged 15 years and over,2018Q4,Northern and Western,20.6
Unemployed Persons aged 15 years and over,2018Q4,Border,7.1
Unemployed Persons aged 15 years and over,2018Q4,West,13.5
Unemployed Persons aged 15 years and over,2018Q4,Southern,45.7
Unemployed Persons aged 15 years and over,2018Q4,Mid-West,12.5
Unemployed Persons aged 15 years and over,2018Q4,South-East,15.1
Unemployed Persons aged 15 years and over,2018Q4,South-West,18.1
Unemployed Persons aged 15 years and over,2018Q4,Eastern and Midland,64.2
Unemployed Persons aged 15 years and over,2018Q4,Dublin,38.0
Unemployed Persons aged 15 years and over,2018Q4,Mid-East,17.1
Unemployed Persons aged 15 years and over,2018Q4,Midland,9.1
Unemployed Persons aged 15 years and over,2019Q1,State,115.4
Unemployed Persons aged 15 years and over,2019Q1,Northern and Western,19.7
Unemployed Persons aged 15 years and over,2019Q1,Border,7.5
Unemployed Persons aged 15 years and over,2019Q1,West,12.2
Unemployed Persons aged 15 years and over,2019Q1,Southern,40.2
Unemployed Persons aged 15 years and over,2019Q1,Mid-West,12.8
Unemployed Persons aged 15 years and over,2019Q1,South-East,13.6
Unemployed Persons aged 15 years and over,2019Q1,South-West,13.9
Unemployed Persons aged 15 years and over,2019Q1,Eastern and Midland,55.5
Unemployed Persons aged 15 years and over,2019Q1,Dublin,32.2
Unemployed Persons aged 15 years and over,2019Q1,Mid-East,14.7
Unemployed Persons aged 15 years and over,2019Q1,Midland,8.5
Unemployed Persons aged 15 years and over,2019Q2,State,132.2
Unemployed Persons aged 15 years and over,2019Q2,Northern and Western,21.0
Unemployed Persons aged 15 years and over,2019Q2,Border,6.8
Unemployed Persons aged 15 years and over,2019Q2,West,14.2
Unemployed Persons aged 15 years and over,2019Q2,Southern,49.7
Unemployed Persons aged 15 years and over,2019Q2,Mid-West,14.2
Unemployed Persons aged 15 years and over,2019Q2,South-East,16.5
Unemployed Persons aged 15 years and over,2019Q2,South-West,19.1
Unemployed Persons aged 15 years and over,2019Q2,Eastern and Midland,61.5
Unemployed Persons aged 15 years and over,2019Q2,Dublin,33.0
Unemployed Persons aged 15 years and over,2019Q2,Mid-East,19.4
Unemployed Persons aged 15 years and over,2019Q2,Midland,9.2
Unemployed Persons aged 15 years and over,2019Q3,State,129.6
Unemployed Persons aged 15 years and over,2019Q3,Northern and Western,21.5
Unemployed Persons aged 15 years and over,2019Q3,Border,10.0
Unemployed Persons aged 15 years and over,2019Q3,West,11.5
Unemployed Persons aged 15 years and over,2019Q3,Southern,44.5
Unemployed Persons aged 15 years and over,2019Q3,Mid-West,11.1
Unemployed Persons aged 15 years and over,2019Q3,South-East,15.4
Unemployed Persons aged 15 years and over,2019Q3,South-West,17.9
Unemployed Persons aged 15 years and over,2019Q3,Eastern and Midland,63.6
Unemployed Persons aged 15 years and over,2019Q3,Dublin,33.7
Unemployed Persons aged 15 years and over,2019Q3,Mid-East,22.4
Unemployed Persons aged 15 years and over,2019Q3,Midland,7.4
Unemployed Persons aged 15 years and over,2019Q4,State,111.6
Unemployed Persons aged 15 years and over,2019Q4,Northern and Western,16.7
Unemployed Persons aged 15 years and over,2019Q4,Border,7.1
Unemployed Persons aged 15 years and over,2019Q4,West,9.6
Unemployed Persons aged 15 years and over,2019Q4,Southern,38.9
Unemployed Persons aged 15 years and over,2019Q4,Mid-West,11.1
Unemployed Persons aged 15 years and over,2019Q4,South-East,14.5
Unemployed Persons aged 15 years and over,2019Q4,South-West,13.3
Unemployed Persons aged 15 years and over,2019Q4,Eastern and Midland,56.1
Unemployed Persons aged 15 years and over,2019Q4,Dublin,33.7
Unemployed Persons aged 15 years and over,2019Q4,Mid-East,15.8
Unemployed Persons aged 15 years and over,2019Q4,Midland,6.6
Unemployed Persons aged 15 years and over,2020Q1,State,115.7
Unemployed Persons aged 15 years and over,2020Q1,Northern and Western,17.0
Unemployed Persons aged 15 years and over,2020Q1,Border,10.1
Unemployed Persons aged 15 years and over,2020Q1,West,6.9
Unemployed Persons aged 15 years and over,2020Q1,Southern,40.7
Unemployed Persons aged 15 years and over,2020Q1,Mid-West,12.0
Unemployed Persons aged 15 years and over,2020Q1,South-East,14.3
Unemployed Persons aged 15 years and over,2020Q1,South-West,14.4
Unemployed Persons aged 15 years and over,2020Q1,Eastern and Midland,58.0
Unemployed Persons aged 15 years and over,2020Q1,Dublin,34.8
Unemployed Persons aged 15 years and over,2020Q1,Mid-East,15.6
Unemployed Persons aged 15 years and over,2020Q1,Midland,7.6
Unemployed Persons aged 15 years and over,2020Q2,State,122.6
Unemployed Persons aged 15 years and over,2020Q2,Northern and Western,21.7
Unemployed Persons aged 15 years and over,2020Q2,Border,8.6
Unemployed Persons aged 15 years and over,2020Q2,West,13.1
Unemployed Persons aged 15 years and over,2020Q2,Southern,38.7
Unemployed Persons aged 15 years and over,2020Q2,Mid-West,12.3
Unemployed Persons aged 15 years and over,2020Q2,South-East,11.8
Unemployed Persons aged 15 years and over,2020Q2,South-West,14.7
Unemployed Persons aged 15 years and over,2020Q2,Eastern and Midland,62.2
Unemployed Persons aged 15 years and over,2020Q2,Dublin,38.7
Unemployed Persons aged 15 years and over,2020Q2,Mid-East,15.5
Unemployed Persons aged 15 years and over,2020Q2,Midland,7.9
Unemployed Persons aged 15 years and over,2020Q3,State,181.4
Unemployed Persons aged 15 years and over,2020Q3,Northern and Western,28.2
Unemployed Persons aged 15 years and over,2020Q3,Border,12.7
Unemployed Persons aged 15 years and over,2020Q3,West,15.5
Unemployed Persons aged 15 years and over,2020Q3,Southern,53.3
Unemployed Persons aged 15 years and over,2020Q3,Mid-West,15.7
Unemployed Persons aged 15 years and over,2020Q3,South-East,17.0
Unemployed Persons aged 15 years and over,2020Q3,South-West,20.5
Unemployed Persons aged 15 years and over,2020Q3,Eastern and Midland,99.9
Unemployed Persons aged 15 years and over,2020Q3,Dublin,64.0
Unemployed Persons aged 15 years and over,2020Q3,Mid-East,25.6
Unemployed Persons aged 15 years and over,2020Q3,Midland,10.3
Unemployed Persons aged 15 years and over,2020Q4,State,143.4
Unemployed Persons aged 15 years and over,2020Q4,Northern and Western,16.3
Unemployed Persons aged 15 years and over,2020Q4,Border,8.2
Unemployed Persons aged 15 years and over,2020Q4,West,8.2
Unemployed Persons aged 15 years and over,2020Q4,Southern,51.9
Unemployed Persons aged 15 years and over,2020Q4,Mid-West,16.7
Unemployed Persons aged 15 years and over,2020Q4,South-East,12.1
Unemployed Persons aged 15 years and over,2020Q4,South-West,23.2
Unemployed Persons aged 15 years and over,2020Q4,Eastern and Midland,75.1
Unemployed Persons aged 15 years and over,2020Q4,Dublin,47.4
Unemployed Persons aged 15 years and over,2020Q4,Mid-East,18.8
Unemployed Persons aged 15 years and over,2020Q4,Midland,8.9
Unemployed Persons aged 15 years and over,2021Q1,State,172.8
Unemployed Persons aged 15 years and over,2021Q1,Northern and Western,22.4
Unemployed Persons aged 15 years and over,2021Q1,Border,10.0
Unemployed Persons aged 15 years and over,2021Q1,West,12.4
Unemployed Persons aged 15 years and over,2021Q1,Southern,58.6
Unemployed Persons aged 15 years and over,2021Q1,Mid-West,14.0
Unemployed Persons aged 15 years and over,2021Q1,South-East,18.0
Unemployed Persons aged 15 years and over,2021Q1,South-West,26.6
Unemployed Persons aged 15 years and over,2021Q1,Eastern and Midland,91.8
Unemployed Persons aged 15 years and over,2021Q1,Dublin,57.1
Unemployed Persons aged 15 years and over,2021Q1,Mid-East,23.5
Unemployed Persons aged 15 years and over,2021Q1,Midland,11.2
Unemployed Persons aged 15 years and over,2021Q2,State,186.4
Unemployed Persons aged 15 years and over,2021Q2,Northern and Western,27.5
Unemployed Persons aged 15 years and over,2021Q2,Border,10.9
Unemployed Persons aged 15 years and over,2021Q2,West,16.5
Unemployed Persons aged 15 years and over,2021Q2,Southern,65.9
Unemployed Persons aged 15 years and over,2021Q2,Mid-West,18.0
Unemployed Persons aged 15 years and over,2021Q2,South-East,19.1
Unemployed Persons aged 15 years and over,2021Q2,South-West,28.7
Unemployed Persons aged 15 years and over,2021Q2,Eastern and Midland,93.1
Unemployed Persons aged 15 years and over,2021Q2,Dublin,56.7
Unemployed Persons aged 15 years and over,2021Q2,Mid-East,24.4
Unemployed Persons aged 15 years and over,2021Q2,Midland,11.9
Unemployed Persons aged 15 years and over,2021Q3,State,151.0
Unemployed Persons aged 15 years and over,2021Q3,Northern and Western,18.9
Unemployed Persons aged 15 years and over,2021Q3,Border,7.6
Unemployed Persons aged 15 years and over,2021Q3,West,11.4
Unemployed Persons aged 15 years and over,2021Q3,Southern,48.9
Unemployed Persons aged 15 years and over,2021Q3,Mid-West,17.4
Unemployed Persons aged 15 years and over,2021Q3,South-East,12.6
Unemployed Persons aged 15 years and over,2021Q3,South-West,18.9
Unemployed Persons aged 15 years and over,2021Q3,Eastern and Midland,83.2
Unemployed Persons aged 15 years and over,2021Q3,Dublin,49.5
Unemployed Persons aged 15 years and over,2021Q3,Mid-East,24.0
Unemployed Persons aged 15 years and over,2021Q3,Midland,9.7
Unemployed Persons aged 15 years and over,2021Q4,State,130.1
Unemployed Persons aged 15 years and over,2021Q4,Northern and Western,18.3
Unemployed Persons aged 15 years and over,2021Q4,Border,7.3
Unemployed Persons aged 15 years and over,2021Q4,West,11.0
Unemployed Persons aged 15 years and over,2021Q4,Southern,39.4
Unemployed Persons aged 15 years and over,2021Q4,Mid-West,11.4
Unemployed Persons aged 15 years and over,2021Q4,South-East,14.7
Unemployed Persons aged 15 years and over,2021Q4,South-West,13.3
Unemployed Persons aged 15 years and over,2021Q4,Eastern and Midland,72.3
Unemployed Persons aged 15 years and over,2021Q4,Dublin,44.0
Unemployed Persons aged 15 years and over,2021Q4,Mid-East,20.8
Unemployed Persons aged 15 years and over,2021Q4,Midland,7.6
Unemployed Persons aged 15 years and over,2022Q1,State,128.1
Unemployed Persons aged 15 years and over,2022Q1,Northern and Western,17.7
Unemployed Persons aged 15 years and over,2022Q1,Border,9.4
Unemployed Persons aged 15 years and over,2022Q1,West,8.3
Unemployed Persons aged 15 years and over,2022Q1,Southern,36.9
Unemployed Persons aged 15 years and over,2022Q1,Mid-West,10.4
Unemployed Persons aged 15 years and over,2022Q1,South-East,13.1
Unemployed Persons aged 15 years and over,2022Q1,South-West,13.3
Unemployed Persons aged 15 years and over,2022Q1,Eastern and Midland,73.6
Unemployed Persons aged 15 years and over,2022Q1,Dublin,47.2
Unemployed Persons aged 15 years and over,2022Q1,Mid-East,18.8
Unemployed Persons aged 15 years and over,2022Q1,Midland,7.5
Unemployed Persons aged 15 years and over,2022Q2,State,121.1
Unemployed Persons aged 15 years and over,2022Q2,Northern and Western,16.8
Unemployed Persons aged 15 years and over,2022Q2,Border,7.8
Unemployed Persons aged 15 years and over,2022Q2,West,9.0
Unemployed Persons aged 15 years and over,2022Q2,Southern,42.4
Unemployed Persons aged 15 years and over,2022Q2,Mid-West,11.4
Unemployed Persons aged 15 years and over,2022Q2,South-East,12.2
Unemployed Persons aged 15 years and over,2022Q2,South-West,18.8
Unemployed Persons aged 15 years and over,2022Q2,Eastern and Midland,61.9
Unemployed Persons aged 15 years and over,2022Q2,Dublin,37.9
Unemployed Persons aged 15 years and over,2022Q2,Mid-East,19.5
Unemployed Persons aged 15 years and over,2022Q2,Midland,
Unemployed Persons aged 15 years and over,2022Q3,State,120.5
Unemployed Persons aged 15 years and over,2022Q3,Northern and Western,21.3
