Statistic,Quarter,Sex,Usual Hours Worked,value
Persons aged 15-89 years in Employment,2004Q1,Female,0 - 9.5 hours,25.9
Persons aged 15-89 years in Employment,2004Q1,Female,10 - 19.5 hours,81.3
Persons aged 15-89 years in Employment,2004Q1,Female,20 - 29.5 hours,153.2
Persons aged 15-89 years in Employment,2004Q1,Female,30 - 34.5 hours,49.7
Persons aged 15-89 years in Employment,2004Q1,Female,35 - 39.5 hours,302.8
Persons aged 15-89 years in Employment,2004Q1,Female,40 - 44.5 hours,102.6
Persons aged 15-89 years in Employment,2004Q1,Female,45 hours and over,34.8
Persons aged 15-89 years in Employment,2004Q1,Female,Variable Hours (see note),49.1
Persons aged 15-89 years in Employment,2004Q2,Both sexes,0 - 9.5 hours,35.3
Persons aged 15-89 years in Employment,2004Q2,Both sexes,10 - 19.5 hours,101.8
Persons aged 15-89 years in Employment,2004Q2,Both sexes,20 - 29.5 hours,195.7
Persons aged 15-89 years in Employment,2004Q2,Both sexes,30 - 34.5 hours,70.2
Persons aged 15-89 years in Employment,2004Q2,Both sexes,35 - 39.5 hours,722.8
Persons aged 15-89 years in Employment,2004Q2,Both sexes,40 - 44.5 hours,363.7
Persons aged 15-89 years in Employment,2004Q2,Both sexes,45 hours and over,230.2
Persons aged 15-89 years in Employment,2004Q2,Both sexes,Variable Hours (see note),206.1
Persons aged 15-89 years in Employment,2004Q2,Male,0 - 9.5 hours,11.3
Persons aged 15-89 years in Employment,2004Q2,Male,10 - 19.5 hours,20.1
Persons aged 15-89 years in Employment,2004Q2,Male,20 - 29.5 hours,39.3
Persons aged 15-89 years in Employment,2004Q2,Male,30 - 34.5 hours,20.6
Persons aged 15-89 years in Employment,2004Q2,Male,35 - 39.5 hours,404.9
Persons aged 15-89 years in Employment,2004Q2,Male,40 - 44.5 hours,261.1
Persons aged 15-89 years in Employment,2004Q2,Male,45 hours and over,197.3
Persons aged 15-89 years in Employment,2004Q2,Male,Variable Hours (see note),162.1
Persons aged 15-89 years in Employment,2004Q2,Female,0 - 9.5 hours,23.9
Persons aged 15-89 years in Employment,2004Q2,Female,10 - 19.5 hours,81.7
Persons aged 15-89 years in Employment,2004Q2,Female,20 - 29.5 hours,156.3
Persons aged 15-89 years in Employment,2004Q2,Female,30 - 34.5 hours,49.6
Persons aged 15-89 years in Employment,2004Q2,Female,35 - 39.5 hours,317.9
Persons aged 15-89 years in Employment,2004Q2,Female,40 - 44.5 hours,102.6
Persons aged 15-89 years in Employment,2004Q2,Female,45 hours and over,32.9
Persons aged 15-89 years in Employment,2004Q2,Female,Variable Hours (see note),44.0
Persons aged 15-89 years in Employment,2004Q3,Both sexes,0 - 9.5 hours,26.2
Persons aged 15-89 years in Employment,2004Q3,Both sexes,10 - 19.5 hours,98.0
Persons aged 15-89 years in Employment,2004Q3,Both sexes,20 - 29.5 hours,206.3
Persons aged 15-89 years in Employment,2004Q3,Both sexes,30 - 34.5 hours,70.6
Persons aged 15-89 years in Employment,2004Q3,Both sexes,35 - 39.5 hours,747.4
Persons aged 15-89 years in Employment,2004Q3,Both sexes,40 - 44.5 hours,378.6
Persons aged 15-89 years in Employment,2004Q3,Both sexes,45 hours and over,230.9
Persons aged 15-89 years in Employment,2004Q3,Both sexes,Variable Hours (see note),226.1
Persons aged 15-89 years in Employment,2004Q3,Male,0 - 9.5 hours,6.6
Persons aged 15-89 years in Employment,2004Q3,Male,10 - 19.5 hours,18.7
Persons aged 15-89 years in Employment,2004Q3,Male,20 - 29.5 hours,43.0
Persons aged 15-89 years in Employment,2004Q3,Male,30 - 34.5 hours,21.7
Persons aged 15-89 years in Employment,2004Q3,Male,35 - 39.5 hours,417.0
Persons aged 15-89 years in Employment,2004Q3,Male,40 - 44.5 hours,269.4
Persons aged 15-89 years in Employment,2004Q3,Male,45 hours and over,198.4
Persons aged 15-89 years in Employment,2004Q3,Male,Variable Hours (see note),173.7
Persons aged 15-89 years in Employment,2004Q3,Female,0 - 9.5 hours,19.6
Persons aged 15-89 years in Employment,2004Q3,Female,10 - 19.5 hours,79.3
Persons aged 15-89 years in Employment,2004Q3,Female,20 - 29.5 hours,163.2
Persons aged 15-89 years in Employment,2004Q3,Female,30 - 34.5 hours,48.9
Persons aged 15-89 years in Employment,2004Q3,Female,35 - 39.5 hours,330.4
Persons aged 15-89 years in Employment,2004Q3,Female,40 - 44.5 hours,109.3
Persons aged 15-89 years in Employment,2004Q3,Female,45 hours and over,32.5
Persons aged 15-89 years in Employment,2004Q3,Female,Variable Hours (see note),52.3
Persons aged 15-89 years in Employment,2004Q4,Both sexes,0 - 9.5 hours,34.1
Persons aged 15-89 years in Employment,2004Q4,Both sexes,10 - 19.5 hours,107.4
Persons aged 15-89 years in Employment,2004Q4,Both sexes,20 - 29.5 hours,197.6
Persons aged 15-89 years in Employment,2004Q4,Both sexes,30 - 34.5 hours,68.5
Persons aged 15-89 years in Employment,2004Q4,Both sexes,35 - 39.5 hours,740.5
Persons aged 15-89 years in Employment,2004Q4,Both sexes,40 - 44.5 hours,367.5
Persons aged 15-89 years in Employment,2004Q4,Both sexes,45 hours and over,232.3
Persons aged 15-89 years in Employment,2004Q4,Both sexes,Variable Hours (see note),225.9
Persons aged 15-89 years in Employment,2004Q4,Male,0 - 9.5 hours,9.8
Persons aged 15-89 years in Employment,2004Q4,Male,10 - 19.5 hours,21.0
Persons aged 15-89 years in Employment,2004Q4,Male,20 - 29.5 hours,39.7
Persons aged 15-89 years in Employment,2004Q4,Male,30 - 34.5 hours,19.7
Persons aged 15-89 years in Employment,2004Q4,Male,35 - 39.5 hours,413.1
Persons aged 15-89 years in Employment,2004Q4,Male,40 - 44.5 hours,261.6
Persons aged 15-89 years in Employment,2004Q4,Male,45 hours and over,200.1
Persons aged 15-89 years in Employment,2004Q4,Male,Variable Hours (see note),173.4
Persons aged 15-89 years in Employment,2004Q4,Female,0 - 9.5 hours,24.3
Persons aged 15-89 years in Employment,2004Q4,Female,10 - 19.5 hours,86.3
Persons aged 15-89 years in Employment,2004Q4,Female,20 - 29.5 hours,158.0
Persons aged 15-89 years in Employment,2004Q4,Female,30 - 34.5 hours,48.9
Persons aged 15-89 years in Employment,2004Q4,Female,35 - 39.5 hours,327.4
Persons aged 15-89 years in Employment,2004Q4,Female,40 - 44.5 hours,105.9
Persons aged 15-89 years in Employment,2004Q4,Female,45 hours and over,32.2
Persons aged 15-89 years in Employment,2004Q4,Female,Variable Hours (see note),52.5
Persons aged 15-89 years in Employment,2005Q1,Both sexes,0 - 9.5 hours,39.0
Persons aged 15-89 years in Employment,2005Q1,Both sexes,10 - 19.5 hours,110.7
Persons aged 15-89 years in Employment,2005Q1,Both sexes,20 - 29.5 hours,204.1
Persons aged 15-89 years in Employment,2005Q1,Both sexes,30 - 34.5 hours,69.9
Persons aged 15-89 years in Employment,2005Q1,Both sexes,35 - 39.5 hours,734.1
Persons aged 15-89 years in Employment,2005Q1,Both sexes,40 - 44.5 hours,368.7
Persons aged 15-89 years in Employment,2005Q1,Both sexes,45 hours and over,234.1
Persons aged 15-89 years in Employment,2005Q1,Both sexes,Variable Hours (see note),229.0
Persons aged 15-89 years in Employment,2005Q1,Male,0 - 9.5 hours,11.6
Persons aged 15-89 years in Employment,2005Q1,Male,10 - 19.5 hours,23.1
Persons aged 15-89 years in Employment,2005Q1,Male,20 - 29.5 hours,41.5
Persons aged 15-89 years in Employment,2005Q1,Male,30 - 34.5 hours,19.2
Persons aged 15-89 years in Employment,2005Q1,Male,35 - 39.5 hours,415.5
Persons aged 15-89 years in Employment,2005Q1,Male,40 - 44.5 hours,259.9
Persons aged 15-89 years in Employment,2005Q1,Male,45 hours and over,201.2
Persons aged 15-89 years in Employment,2005Q1,Male,Variable Hours (see note),175.8
Persons aged 15-89 years in Employment,2005Q1,Female,0 - 9.5 hours,27.4
Persons aged 15-89 years in Employment,2005Q1,Female,10 - 19.5 hours,87.6
Persons aged 15-89 years in Employment,2005Q1,Female,20 - 29.5 hours,162.7
Persons aged 15-89 years in Employment,2005Q1,Female,30 - 34.5 hours,50.7
Persons aged 15-89 years in Employment,2005Q1,Female,35 - 39.5 hours,318.6
Persons aged 15-89 years in Employment,2005Q1,Female,40 - 44.5 hours,108.8
Persons aged 15-89 years in Employment,2005Q1,Female,45 hours and over,32.9
Persons aged 15-89 years in Employment,2005Q1,Female,Variable Hours (see note),53.2
Persons aged 15-89 years in Employment,2005Q2,Both sexes,0 - 9.5 hours,34.1
Persons aged 15-89 years in Employment,2005Q2,Both sexes,10 - 19.5 hours,108.7
Persons aged 15-89 years in Employment,2005Q2,Both sexes,20 - 29.5 hours,204.8
Persons aged 15-89 years in Employment,2005Q2,Both sexes,30 - 34.5 hours,76.3
Persons aged 15-89 years in Employment,2005Q2,Both sexes,35 - 39.5 hours,736.2
Persons aged 15-89 years in Employment,2005Q2,Both sexes,40 - 44.5 hours,380.0
Persons aged 15-89 years in Employment,2005Q2,Both sexes,45 hours and over,244.5
Persons aged 15-89 years in Employment,2005Q2,Both sexes,Variable Hours (see note),233.4
Persons aged 15-89 years in Employment,2005Q2,Male,0 - 9.5 hours,9.4
Persons aged 15-89 years in Employment,2005Q2,Male,10 - 19.5 hours,21.4
Persons aged 15-89 years in Employment,2005Q2,Male,20 - 29.5 hours,43.2
Persons aged 15-89 years in Employment,2005Q2,Male,30 - 34.5 hours,21.7
Persons aged 15-89 years in Employment,2005Q2,Male,35 - 39.5 hours,409.6
Persons aged 15-89 years in Employment,2005Q2,Male,40 - 44.5 hours,267.0
Persons aged 15-89 years in Employment,2005Q2,Male,45 hours and over,209.8
Persons aged 15-89 years in Employment,2005Q2,Male,Variable Hours (see note),178.5
Persons aged 15-89 years in Employment,2005Q2,Female,0 - 9.5 hours,24.7
Persons aged 15-89 years in Employment,2005Q2,Female,10 - 19.5 hours,87.3
Persons aged 15-89 years in Employment,2005Q2,Female,20 - 29.5 hours,161.6
Persons aged 15-89 years in Employment,2005Q2,Female,30 - 34.5 hours,54.6
Persons aged 15-89 years in Employment,2005Q2,Female,35 - 39.5 hours,326.6
Persons aged 15-89 years in Employment,2005Q2,Female,40 - 44.5 hours,113.0
Persons aged 15-89 years in Employment,2005Q2,Female,45 hours and over,34.7
Persons aged 15-89 years in Employment,2005Q2,Female,Variable Hours (see note),54.9
Persons aged 15-89 years in Employment,2005Q3,Both sexes,0 - 9.5 hours,28.5
Persons aged 15-89 years in Employment,2005Q3,Both sexes,10 - 19.5 hours,107.1
Persons aged 15-89 years in Employment,2005Q3,Both sexes,20 - 29.5 hours,221.9
Persons aged 15-89 years in Employment,2005Q3,Both sexes,30 - 34.5 hours,81.3
Persons aged 15-89 years in Employment,2005Q3,Both sexes,35 - 39.5 hours,758.6
Persons aged 15-89 years in Employment,2005Q3,Both sexes,40 - 44.5 hours,400.3
Persons aged 15-89 years in Employment,2005Q3,Both sexes,45 hours and over,251.9
Persons aged 15-89 years in Employment,2005Q3,Both sexes,Variable Hours (see note),223.8
Persons aged 15-89 years in Employment,2005Q3,Male,0 - 9.5 hours,6.2
Persons aged 15-89 years in Employment,2005Q3,Male,10 - 19.5 hours,21.4
Persons aged 15-89 years in Employment,2005Q3,Male,20 - 29.5 hours,48.2
Persons aged 15-89 years in Employment,2005Q3,Male,30 - 34.5 hours,23.3
Persons aged 15-89 years in Employment,2005Q3,Male,35 - 39.5 hours,424.5
Persons aged 15-89 years in Employment,2005Q3,Male,40 - 44.5 hours,283.8
Persons aged 15-89 years in Employment,2005Q3,Male,45 hours and over,217.1
Persons aged 15-89 years in Employment,2005Q3,Male,Variable Hours (see note),172.4
Persons aged 15-89 years in Employment,2005Q3,Female,0 - 9.5 hours,22.2
Persons aged 15-89 years in Employment,2005Q3,Female,10 - 19.5 hours,85.7
Persons aged 15-89 years in Employment,2005Q3,Female,20 - 29.5 hours,173.7
Persons aged 15-89 years in Employment,2005Q3,Female,30 - 34.5 hours,58.0
Persons aged 15-89 years in Employment,2005Q3,Female,35 - 39.5 hours,334.1
Persons aged 15-89 years in Employment,2005Q3,Female,40 - 44.5 hours,116.5
Persons aged 15-89 years in Employment,2005Q3,Female,45 hours and over,34.8
Persons aged 15-89 years in Employment,2005Q3,Female,Variable Hours (see note),51.4
Persons aged 15-89 years in Employment,2005Q4,Both sexes,0 - 9.5 hours,41.2
Persons aged 15-89 years in Employment,2005Q4,Both sexes,10 - 19.5 hours,117.9
Persons aged 15-89 years in Employment,2005Q4,Both sexes,20 - 29.5 hours,216.8
Persons aged 15-89 years in Employment,2005Q4,Both sexes,30 - 34.5 hours,80.4
Persons aged 15-89 years in Employment,2005Q4,Both sexes,35 - 39.5 hours,769.3
Persons aged 15-89 years in Employment,2005Q4,Both sexes,40 - 44.5 hours,387.2
Persons aged 15-89 years in Employment,2005Q4,Both sexes,45 hours and over,244.2
Persons aged 15-89 years in Employment,2005Q4,Both sexes,Variable Hours (see note),213.1
Persons aged 15-89 years in Employment,2005Q4,Male,0 - 9.5 hours,11.3
Persons aged 15-89 years in Employment,2005Q4,Male,10 - 19.5 hours,27.1
Persons aged 15-89 years in Employment,2005Q4,Male,20 - 29.5 hours,46.6
Persons aged 15-89 years in Employment,2005Q4,Male,30 - 34.5 hours,22.3
Persons aged 15-89 years in Employment,2005Q4,Male,35 - 39.5 hours,435.3
Persons aged 15-89 years in Employment,2005Q4,Male,40 - 44.5 hours,272.9
Persons aged 15-89 years in Employment,2005Q4,Male,45 hours and over,211.4
Persons aged 15-89 years in Employment,2005Q4,Male,Variable Hours (see note),167.3
Persons aged 15-89 years in Employment,2005Q4,Female,0 - 9.5 hours,29.9
Persons aged 15-89 years in Employment,2005Q4,Female,10 - 19.5 hours,90.8
Persons aged 15-89 years in Employment,2005Q4,Female,20 - 29.5 hours,170.2
Persons aged 15-89 years in Employment,2005Q4,Female,30 - 34.5 hours,58.1
Persons aged 15-89 years in Employment,2005Q4,Female,35 - 39.5 hours,334.0
Persons aged 15-89 years in Employment,2005Q4,Female,40 - 44.5 hours,114.2
Persons aged 15-89 years in Employment,2005Q4,Female,45 hours and over,32.8
Persons aged 15-89 years in Employment,2005Q4,Female,Variable Hours (see note),45.8
Persons aged 15-89 years in Employment,2006Q1,Both sexes,0 - 9.5 hours,41.2
Persons aged 15-89 years in Employment,2006Q1,Both sexes,10 - 19.5 hours,118.6
Persons aged 15-89 years in Employment,2006Q1,Both sexes,20 - 29.5 hours,220.8
Persons aged 15-89 years in Employment,2006Q1,Both sexes,30 - 34.5 hours,78.7
Persons aged 15-89 years in Employment,2006Q1,Both sexes,35 - 39.5 hours,772.7
Persons aged 15-89 years in Employment,2006Q1,Both sexes,40 - 44.5 hours,392.8
Persons aged 15-89 years in Employment,2006Q1,Both sexes,45 hours and over,234.9
Persons aged 15-89 years in Employment,2006Q1,Both sexes,Variable Hours (see note),222.6
Persons aged 15-89 years in Employment,2006Q1,Male,0 - 9.5 hours,12.0
Persons aged 15-89 years in Employment,2006Q1,Male,10 - 19.5 hours,28.7
Persons aged 15-89 years in Employment,2006Q1,Male,20 - 29.5 hours,46.9
Persons aged 15-89 years in Employment,2006Q1,Male,30 - 34.5 hours,22.7
Persons aged 15-89 years in Employment,2006Q1,Male,35 - 39.5 hours,439.2
Persons aged 15-89 years in Employment,2006Q1,Male,40 - 44.5 hours,279.5
Persons aged 15-89 years in Employment,2006Q1,Male,45 hours and over,202.6
Persons aged 15-89 years in Employment,2006Q1,Male,Variable Hours (see note),171.7
Persons aged 15-89 years in Employment,2006Q1,Female,0 - 9.5 hours,29.2
Persons aged 15-89 years in Employment,2006Q1,Female,10 - 19.5 hours,90.0
Persons aged 15-89 years in Employment,2006Q1,Female,20 - 29.5 hours,173.9
Persons aged 15-89 years in Employment,2006Q1,Female,30 - 34.5 hours,56.0
Persons aged 15-89 years in Employment,2006Q1,Female,35 - 39.5 hours,333.5
Persons aged 15-89 years in Employment,2006Q1,Female,40 - 44.5 hours,113.3
Persons aged 15-89 years in Employment,2006Q1,Female,45 hours and over,32.3
Persons aged 15-89 years in Employment,2006Q1,Female,Variable Hours (see note),50.9
Persons aged 15-89 years in Employment,2006Q2,Both sexes,0 - 9.5 hours,37.5
Persons aged 15-89 years in Employment,2006Q2,Both sexes,10 - 19.5 hours,114.1
Persons aged 15-89 years in Employment,2006Q2,Both sexes,20 - 29.5 hours,224.0
Persons aged 15-89 years in Employment,2006Q2,Both sexes,30 - 34.5 hours,80.0
Persons aged 15-89 years in Employment,2006Q2,Both sexes,35 - 39.5 hours,802.8
Persons aged 15-89 years in Employment,2006Q2,Both sexes,40 - 44.5 hours,393.3
Persons aged 15-89 years in Employment,2006Q2,Both sexes,45 hours and over,224.7
Persons aged 15-89 years in Employment,2006Q2,Both sexes,Variable Hours (see note),232.7
Persons aged 15-89 years in Employment,2006Q2,Male,0 - 9.5 hours,10.9
Persons aged 15-89 years in Employment,2006Q2,Male,10 - 19.5 hours,25.4
Persons aged 15-89 years in Employment,2006Q2,Male,20 - 29.5 hours,51.3
Persons aged 15-89 years in Employment,2006Q2,Male,30 - 34.5 hours,22.8
Persons aged 15-89 years in Employment,2006Q2,Male,35 - 39.5 hours,456.4
Persons aged 15-89 years in Employment,2006Q2,Male,40 - 44.5 hours,278.9
Persons aged 15-89 years in Employment,2006Q2,Male,45 hours and over,193.4
Persons aged 15-89 years in Employment,2006Q2,Male,Variable Hours (see note),177.1
Persons aged 15-89 years in Employment,2006Q2,Female,0 - 9.5 hours,26.7
Persons aged 15-89 years in Employment,2006Q2,Female,10 - 19.5 hours,88.7
Persons aged 15-89 years in Employment,2006Q2,Female,20 - 29.5 hours,172.7
Persons aged 15-89 years in Employment,2006Q2,Female,30 - 34.5 hours,57.2
Persons aged 15-89 years in Employment,2006Q2,Female,35 - 39.5 hours,346.3
Persons aged 15-89 years in Employment,2006Q2,Female,40 - 44.5 hours,114.4
Persons aged 15-89 years in Employment,2006Q2,Female,45 hours and over,31.3
Persons aged 15-89 years in Employment,2006Q2,Female,Variable Hours (see note),55.6
Persons aged 15-89 years in Employment,2006Q3,Both sexes,0 - 9.5 hours,27.4
Persons aged 15-89 years in Employment,2006Q3,Both sexes,10 - 19.5 hours,104.2
Persons aged 15-89 years in Employment,2006Q3,Both sexes,20 - 29.5 hours,229.8
Persons aged 15-89 years in Employment,2006Q3,Both sexes,30 - 34.5 hours,83.2
Persons aged 15-89 years in Employment,2006Q3,Both sexes,35 - 39.5 hours,823.9
Persons aged 15-89 years in Employment,2006Q3,Both sexes,40 - 44.5 hours,410.8
Persons aged 15-89 years in Employment,2006Q3,Both sexes,45 hours and over,232.1
Persons aged 15-89 years in Employment,2006Q3,Both sexes,Variable Hours (see note),247.6
Persons aged 15-89 years in Employment,2006Q3,Male,0 - 9.5 hours,5.6
Persons aged 15-89 years in Employment,2006Q3,Male,10 - 19.5 hours,20.9
Persons aged 15-89 years in Employment,2006Q3,Male,20 - 29.5 hours,50.2
Persons aged 15-89 years in Employment,2006Q3,Male,30 - 34.5 hours,24.6
Persons aged 15-89 years in Employment,2006Q3,Male,35 - 39.5 hours,467.4
Persons aged 15-89 years in Employment,2006Q3,Male,40 - 44.5 hours,290.4
Persons aged 15-89 years in Employment,2006Q3,Male,45 hours and over,199.0
Persons aged 15-89 years in Employment,2006Q3,Male,Variable Hours (see note),187.2
Persons aged 15-89 years in Employment,2006Q3,Female,0 - 9.5 hours,21.8
Persons aged 15-89 years in Employment,2006Q3,Female,10 - 19.5 hours,83.3
Persons aged 15-89 years in Employment,2006Q3,Female,20 - 29.5 hours,179.6
Persons aged 15-89 years in Employment,2006Q3,Female,30 - 34.5 hours,58.6
Persons aged 15-89 years in Employment,2006Q3,Female,35 - 39.5 hours,356.5
Persons aged 15-89 years in Employment,2006Q3,Female,40 - 44.5 hours,120.5
Persons aged 15-89 years in Employment,2006Q3,Female,45 hours and over,33.1
Persons aged 15-89 years in Employment,2006Q3,Female,Variable Hours (see note),60.4
Persons aged 15-89 years in Employment,2006Q4,Both sexes,0 - 9.5 hours,40.4
Persons aged 15-89 years in Employment,2006Q4,Both sexes,10 - 19.5 hours,119.5
Persons aged 15-89 years in Employment,2006Q4,Both sexes,20 - 29.5 hours,227.8
Persons aged 15-89 years in Employment,2006Q4,Both sexes,30 - 34.5 hours,81.4
Persons aged 15-89 years in Employment,2006Q4,Both sexes,35 - 39.5 hours,805.7
Persons aged 15-89 years in Employment,2006Q4,Both sexes,40 - 44.5 hours,420.3
Persons aged 15-89 years in Employment,2006Q4,Both sexes,45 hours and over,221.7
Persons aged 15-89 years in Employment,2006Q4,Both sexes,Variable Hours (see note),250.0
Persons aged 15-89 years in Employment,2006Q4,Male,0 - 9.5 hours,10.8
Persons aged 15-89 years in Employment,2006Q4,Male,10 - 19.5 hours,25.0
Persons aged 15-89 years in Employment,2006Q4,Male,20 - 29.5 hours,51.6
Persons aged 15-89 years in Employment,2006Q4,Male,30 - 34.5 hours,21.9
Persons aged 15-89 years in Employment,2006Q4,Male,35 - 39.5 hours,456.9
Persons aged 15-89 years in Employment,2006Q4,Male,40 - 44.5 hours,298.1
Persons aged 15-89 years in Employment,2006Q4,Male,45 hours and over,190.6
Persons aged 15-89 years in Employment,2006Q4,Male,Variable Hours (see note),191.7
Persons aged 15-89 years in Employment,2006Q4,Female,0 - 9.5 hours,29.6
Persons aged 15-89 years in Employment,2006Q4,Female,10 - 19.5 hours,94.5
Persons aged 15-89 years in Employment,2006Q4,Female,20 - 29.5 hours,176.3
Persons aged 15-89 years in Employment,2006Q4,Female,30 - 34.5 hours,59.5
Persons aged 15-89 years in Employment,2006Q4,Female,35 - 39.5 hours,348.8
Persons aged 15-89 years in Employment,2006Q4,Female,40 - 44.5 hours,122.2
Persons aged 15-89 years in Employment,2006Q4,Female,45 hours and over,31.1
Persons aged 15-89 years in Employment,2006Q4,Female,Variable Hours (see note),58.3
Persons aged 15-89 years in Employment,2007Q1,Both sexes,0 - 9.5 hours,43.4
Persons aged 15-89 years in Employment,2007Q1,Both sexes,10 - 19.5 hours,120.8
Persons aged 15-89 years in Employment,2007Q1,Both sexes,20 - 29.5 hours,229.0
Persons aged 15-89 years in Employment,2007Q1,Both sexes,30 - 34.5 hours,85.0
Persons aged 15-89 years in Employment,2007Q1,Both sexes,35 - 39.5 hours,814.5
Persons aged 15-89 years in Employment,2007Q1,Both sexes,40 - 44.5 hours,426.4
Persons aged 15-89 years in Employment,2007Q1,Both sexes,45 hours and over,233.4
Persons aged 15-89 years in Employment,2007Q1,Both sexes,Variable Hours (see note),233.1
Persons aged 15-89 years in Employment,2007Q1,Male,0 - 9.5 hours,11.0
Persons aged 15-89 years in Employment,2007Q1,Male,10 - 19.5 hours,25.3
Persons aged 15-89 years in Employment,2007Q1,Male,20 - 29.5 hours,52.4
Persons aged 15-89 years in Employment,2007Q1,Male,30 - 34.5 hours,21.7
Persons aged 15-89 years in Employment,2007Q1,Male,35 - 39.5 hours,456.9
Persons aged 15-89 years in Employment,2007Q1,Male,40 - 44.5 hours,304.6
Persons aged 15-89 years in Employment,2007Q1,Male,45 hours and over,200.0
Persons aged 15-89 years in Employment,2007Q1,Male,Variable Hours (see note),180.4
Persons aged 15-89 years in Employment,2007Q1,Female,0 - 9.5 hours,32.4
Persons aged 15-89 years in Employment,2007Q1,Female,10 - 19.5 hours,95.5
Persons aged 15-89 years in Employment,2007Q1,Female,20 - 29.5 hours,176.6
Persons aged 15-89 years in Employment,2007Q1,Female,30 - 34.5 hours,63.3
Persons aged 15-89 years in Employment,2007Q1,Female,35 - 39.5 hours,357.6
Persons aged 15-89 years in Employment,2007Q1,Female,40 - 44.5 hours,121.8
Persons aged 15-89 years in Employment,2007Q1,Female,45 hours and over,33.3
Persons aged 15-89 years in Employment,2007Q1,Female,Variable Hours (see note),52.7
Persons aged 15-89 years in Employment,2007Q2,Both sexes,0 - 9.5 hours,41.3
Persons aged 15-89 years in Employment,2007Q2,Both sexes,10 - 19.5 hours,121.6
Persons aged 15-89 years in Employment,2007Q2,Both sexes,20 - 29.5 hours,235.2
Persons aged 15-89 years in Employment,2007Q2,Both sexes,30 - 34.5 hours,93.0
Persons aged 15-89 years in Employment,2007Q2,Both sexes,35 - 39.5 hours,815.2
Persons aged 15-89 years in Employment,2007Q2,Both sexes,40 - 44.5 hours,431.2
Persons aged 15-89 years in Employment,2007Q2,Both sexes,45 hours and over,250.8
Persons aged 15-89 years in Employment,2007Q2,Both sexes,Variable Hours (see note),223.6
Persons aged 15-89 years in Employment,2007Q2,Male,0 - 9.5 hours,9.8
Persons aged 15-89 years in Employment,2007Q2,Male,10 - 19.5 hours,24.6
Persons aged 15-89 years in Employment,2007Q2,Male,20 - 29.5 hours,55.1
Persons aged 15-89 years in Employment,2007Q2,Male,30 - 34.5 hours,25.3
Persons aged 15-89 years in Employment,2007Q2,Male,35 - 39.5 hours,458.1
Persons aged 15-89 years in Employment,2007Q2,Male,40 - 44.5 hours,306.7
Persons aged 15-89 years in Employment,2007Q2,Male,45 hours and over,215.1
Persons aged 15-89 years in Employment,2007Q2,Male,Variable Hours (see note),168.4
Persons aged 15-89 years in Employment,2007Q2,Female,0 - 9.5 hours,31.4
Persons aged 15-89 years in Employment,2007Q2,Female,10 - 19.5 hours,96.9
Persons aged 15-89 years in Employment,2007Q2,Female,20 - 29.5 hours,180.1
Persons aged 15-89 years in Employment,2007Q2,Female,30 - 34.5 hours,67.7
Persons aged 15-89 years in Employment,2007Q2,Female,35 - 39.5 hours,357.1
Persons aged 15-89 years in Employment,2007Q2,Female,40 - 44.5 hours,124.5
Persons aged 15-89 years in Employment,2007Q2,Female,45 hours and over,35.7
Persons aged 15-89 years in Employment,2007Q2,Female,Variable Hours (see note),55.2
Persons aged 15-89 years in Employment,2007Q3,Both sexes,0 - 9.5 hours,31.8
Persons aged 15-89 years in Employment,2007Q3,Both sexes,10 - 19.5 hours,120.0
Persons aged 15-89 years in Employment,2007Q3,Both sexes,20 - 29.5 hours,241.9
Persons aged 15-89 years in Employment,2007Q3,Both sexes,30 - 34.5 hours,97.0
Persons aged 15-89 years in Employment,2007Q3,Both sexes,35 - 39.5 hours,836.5
Persons aged 15-89 years in Employment,2007Q3,Both sexes,40 - 44.5 hours,437.4
Persons aged 15-89 years in Employment,2007Q3,Both sexes,45 hours and over,254.4
Persons aged 15-89 years in Employment,2007Q3,Both sexes,Variable Hours (see note),231.9
Persons aged 15-89 years in Employment,2007Q3,Male,0 - 9.5 hours,6.8
Persons aged 15-89 years in Employment,2007Q3,Male,10 - 19.5 hours,23.8
Persons aged 15-89 years in Employment,2007Q3,Male,20 - 29.5 hours,54.7
Persons aged 15-89 years in Employment,2007Q3,Male,30 - 34.5 hours,28.4
Persons aged 15-89 years in Employment,2007Q3,Male,35 - 39.5 hours,468.4
Persons aged 15-89 years in Employment,2007Q3,Male,40 - 44.5 hours,311.1
Persons aged 15-89 years in Employment,2007Q3,Male,45 hours and over,216.6
Persons aged 15-89 years in Employment,2007Q3,Male,Variable Hours (see note),172.5
Persons aged 15-89 years in Employment,2007Q3,Female,0 - 9.5 hours,25.0
Persons aged 15-89 years in Employment,2007Q3,Female,10 - 19.5 hours,96.2
Persons aged 15-89 years in Employment,2007Q3,Female,20 - 29.5 hours,187.2
Persons aged 15-89 years in Employment,2007Q3,Female,30 - 34.5 hours,68.6
Persons aged 15-89 years in Employment,2007Q3,Female,35 - 39.5 hours,368.1
Persons aged 15-89 years in Employment,2007Q3,Female,40 - 44.5 hours,126.4
Persons aged 15-89 years in Employment,2007Q3,Female,45 hours and over,37.9
Persons aged 15-89 years in Employment,2007Q3,Female,Variable Hours (see note),59.4
Persons aged 15-89 years in Employment,2007Q4,Both sexes,0 - 9.5 hours,43.1
Persons aged 15-89 years in Employment,2007Q4,Both sexes,10 - 19.5 hours,132.0
