Statistic,Quarter,NACE Rev 2 Economic Sector,Citizenship,value
Persons aged 15 years and over in Employment,2021Q4,"Public administration and defence, compulsory social security (O)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q4,"Public administration and defence, compulsory social security (O)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q4,"Public administration and defence, compulsory social security (O)",Ireland,133.6
Persons aged 15 years and over in Employment,2021Q4,"Public administration and defence, compulsory social security (O)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2021Q4,"Public administration and defence, compulsory social security (O)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q4,Education (P),All Countries,215.4
Persons aged 15 years and over in Employment,2021Q4,Education (P),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q4,Education (P),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q4,Education (P),United Kingdom,
Persons aged 15 years and over in Employment,2021Q4,Education (P),Ireland,199.1
Persons aged 15 years and over in Employment,2021Q4,Education (P),All countries excluding Ireland,16.3
Persons aged 15 years and over in Employment,2021Q4,Education (P),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q4,Human health and social work activities (Q),All Countries,327.7
Persons aged 15 years and over in Employment,2021Q4,Human health and social work activities (Q),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q4,Human health and social work activities (Q),EU15 to EU27 (accession countries joined post 2004),9.1
Persons aged 15 years and over in Employment,2021Q4,Human health and social work activities (Q),United Kingdom,8.0
Persons aged 15 years and over in Employment,2021Q4,Human health and social work activities (Q),Ireland,274.5
Persons aged 15 years and over in Employment,2021Q4,Human health and social work activities (Q),All countries excluding Ireland,53.2
Persons aged 15 years and over in Employment,2021Q4,Human health and social work activities (Q),"All countries excluding Ireland,United Kingdom and EU272020",29.9
Persons aged 15 years and over in Employment,2021Q4,Industry (B to E),All Countries,317.9
Persons aged 15 years and over in Employment,2021Q4,Industry (B to E),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),11.3
Persons aged 15 years and over in Employment,2021Q4,Industry (B to E),EU15 to EU27 (accession countries joined post 2004),41.5
Persons aged 15 years and over in Employment,2021Q4,Industry (B to E),United Kingdom,
Persons aged 15 years and over in Employment,2021Q4,Industry (B to E),Ireland,246.3
Persons aged 15 years and over in Employment,2021Q4,Industry (B to E),All countries excluding Ireland,71.7
Persons aged 15 years and over in Employment,2021Q4,Industry (B to E),"All countries excluding Ireland,United Kingdom and EU272020",13.3
Persons aged 15 years and over in Employment,2021Q4,Industry and Construction (B to F),All Countries,479.0
Persons aged 15 years and over in Employment,2021Q4,Industry and Construction (B to F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),12.6
Persons aged 15 years and over in Employment,2021Q4,Industry and Construction (B to F),EU15 to EU27 (accession countries joined post 2004),55.3
Persons aged 15 years and over in Employment,2021Q4,Industry and Construction (B to F),United Kingdom,9.1
Persons aged 15 years and over in Employment,2021Q4,Industry and Construction (B to F),Ireland,383.8
Persons aged 15 years and over in Employment,2021Q4,Industry and Construction (B to F),All countries excluding Ireland,95.2
Persons aged 15 years and over in Employment,2021Q4,Industry and Construction (B to F),"All countries excluding Ireland,United Kingdom and EU272020",18.2
Persons aged 15 years and over in Employment,2021Q4,Services (G to U),All Countries,1955.3
Persons aged 15 years and over in Employment,2021Q4,Services (G to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),55.7
Persons aged 15 years and over in Employment,2021Q4,Services (G to U),EU15 to EU27 (accession countries joined post 2004),102.0
Persons aged 15 years and over in Employment,2021Q4,Services (G to U),United Kingdom,41.1
Persons aged 15 years and over in Employment,2021Q4,Services (G to U),Ireland,1629.1
Persons aged 15 years and over in Employment,2021Q4,Services (G to U),All countries excluding Ireland,326.2
Persons aged 15 years and over in Employment,2021Q4,Services (G to U),"All countries excluding Ireland,United Kingdom and EU272020",127.4
Persons aged 15 years and over in Employment,2021Q4,"Financial, insurance and real estate activities (K,L)",All Countries,134.3
Persons aged 15 years and over in Employment,2021Q4,"Financial, insurance and real estate activities (K,L)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q4,"Financial, insurance and real estate activities (K,L)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q4,"Financial, insurance and real estate activities (K,L)",United Kingdom,
Persons aged 15 years and over in Employment,2021Q4,"Financial, insurance and real estate activities (K,L)",Ireland,115.2
Persons aged 15 years and over in Employment,2021Q4,"Financial, insurance and real estate activities (K,L)",All countries excluding Ireland,19.2
Persons aged 15 years and over in Employment,2021Q4,"Financial, insurance and real estate activities (K,L)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q4,Other NACE activities (R to U),All Countries,113.8
Persons aged 15 years and over in Employment,2021Q4,Other NACE activities (R to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q4,Other NACE activities (R to U),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q4,Other NACE activities (R to U),United Kingdom,
Persons aged 15 years and over in Employment,2021Q4,Other NACE activities (R to U),Ireland,94.0
Persons aged 15 years and over in Employment,2021Q4,Other NACE activities (R to U),All countries excluding Ireland,19.8
Persons aged 15 years and over in Employment,2021Q4,Other NACE activities (R to U),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2021Q4,Not stated,All Countries,7.5
Persons aged 15 years and over in Employment,2021Q4,Not stated,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2021Q4,Not stated,EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2021Q4,Not stated,United Kingdom,
Persons aged 15 years and over in Employment,2021Q4,Not stated,Ireland,
Persons aged 15 years and over in Employment,2021Q4,Not stated,All countries excluding Ireland,
Persons aged 15 years and over in Employment,2021Q4,Not stated,"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q1,All NACE economic sectors,All Countries,2559.4
Persons aged 15 years and over in Employment,2022Q1,All NACE economic sectors,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),71.7
Persons aged 15 years and over in Employment,2022Q1,All NACE economic sectors,EU15 to EU27 (accession countries joined post 2004),162.0
Persons aged 15 years and over in Employment,2022Q1,All NACE economic sectors,United Kingdom,50.1
Persons aged 15 years and over in Employment,2022Q1,All NACE economic sectors,Ireland,2123.8
Persons aged 15 years and over in Employment,2022Q1,All NACE economic sectors,All countries excluding Ireland,435.6
Persons aged 15 years and over in Employment,2022Q1,All NACE economic sectors,"All countries excluding Ireland,United Kingdom and EU272020",151.9
Persons aged 15 years and over in Employment,2022Q1,"Agriculture, forestry and fishing (A)",All Countries,106.3
Persons aged 15 years and over in Employment,2022Q1,"Agriculture, forestry and fishing (A)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q1,"Agriculture, forestry and fishing (A)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q1,"Agriculture, forestry and fishing (A)",United Kingdom,
Persons aged 15 years and over in Employment,2022Q1,"Agriculture, forestry and fishing (A)",Ireland,103.8
Persons aged 15 years and over in Employment,2022Q1,"Agriculture, forestry and fishing (A)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2022Q1,"Agriculture, forestry and fishing (A)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q1,Construction (F),All Countries,163.1
Persons aged 15 years and over in Employment,2022Q1,Construction (F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q1,Construction (F),EU15 to EU27 (accession countries joined post 2004),12.8
Persons aged 15 years and over in Employment,2022Q1,Construction (F),United Kingdom,
Persons aged 15 years and over in Employment,2022Q1,Construction (F),Ireland,141.4
Persons aged 15 years and over in Employment,2022Q1,Construction (F),All countries excluding Ireland,21.7
Persons aged 15 years and over in Employment,2022Q1,Construction (F),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All Countries,306.4
Persons aged 15 years and over in Employment,2022Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU15 to EU27 (accession countries joined post 2004),27.5
Persons aged 15 years and over in Employment,2022Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",United Kingdom,
Persons aged 15 years and over in Employment,2022Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Ireland,258.3
Persons aged 15 years and over in Employment,2022Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All countries excluding Ireland,48.0
Persons aged 15 years and over in Employment,2022Q1,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","All countries excluding Ireland,United Kingdom and EU272020",12.4
Persons aged 15 years and over in Employment,2022Q1,Transportation and storage (H),All Countries,115.1
Persons aged 15 years and over in Employment,2022Q1,Transportation and storage (H),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q1,Transportation and storage (H),EU15 to EU27 (accession countries joined post 2004),13.4
Persons aged 15 years and over in Employment,2022Q1,Transportation and storage (H),United Kingdom,
Persons aged 15 years and over in Employment,2022Q1,Transportation and storage (H),Ireland,92.4
Persons aged 15 years and over in Employment,2022Q1,Transportation and storage (H),All countries excluding Ireland,22.7
Persons aged 15 years and over in Employment,2022Q1,Transportation and storage (H),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q1,Accommodation and food service activities (I),All Countries,163.3
Persons aged 15 years and over in Employment,2022Q1,Accommodation and food service activities (I),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q1,Accommodation and food service activities (I),EU15 to EU27 (accession countries joined post 2004),20.9
Persons aged 15 years and over in Employment,2022Q1,Accommodation and food service activities (I),United Kingdom,
Persons aged 15 years and over in Employment,2022Q1,Accommodation and food service activities (I),Ireland,118.6
Persons aged 15 years and over in Employment,2022Q1,Accommodation and food service activities (I),All countries excluding Ireland,44.7
Persons aged 15 years and over in Employment,2022Q1,Accommodation and food service activities (I),"All countries excluding Ireland,United Kingdom and EU272020",14.5
Persons aged 15 years and over in Employment,2022Q1,Information and communication (J),All Countries,169.0
Persons aged 15 years and over in Employment,2022Q1,Information and communication (J),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),17.2
Persons aged 15 years and over in Employment,2022Q1,Information and communication (J),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q1,Information and communication (J),United Kingdom,
Persons aged 15 years and over in Employment,2022Q1,Information and communication (J),Ireland,112.5
Persons aged 15 years and over in Employment,2022Q1,Information and communication (J),All countries excluding Ireland,56.5
Persons aged 15 years and over in Employment,2022Q1,Information and communication (J),"All countries excluding Ireland,United Kingdom and EU272020",28.7
Persons aged 15 years and over in Employment,2022Q1,"Professional, scientific and technical activities (M)",All Countries,165.9
Persons aged 15 years and over in Employment,2022Q1,"Professional, scientific and technical activities (M)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q1,"Professional, scientific and technical activities (M)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q1,"Professional, scientific and technical activities (M)",United Kingdom,
Persons aged 15 years and over in Employment,2022Q1,"Professional, scientific and technical activities (M)",Ireland,139.6
Persons aged 15 years and over in Employment,2022Q1,"Professional, scientific and technical activities (M)",All countries excluding Ireland,26.3
Persons aged 15 years and over in Employment,2022Q1,"Professional, scientific and technical activities (M)","All countries excluding Ireland,United Kingdom and EU272020",11.6
Persons aged 15 years and over in Employment,2022Q1,Administrative and support service activities (N),All Countries,103.8
Persons aged 15 years and over in Employment,2022Q1,Administrative and support service activities (N),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q1,Administrative and support service activities (N),EU15 to EU27 (accession countries joined post 2004),13.5
Persons aged 15 years and over in Employment,2022Q1,Administrative and support service activities (N),United Kingdom,
Persons aged 15 years and over in Employment,2022Q1,Administrative and support service activities (N),Ireland,75.3
Persons aged 15 years and over in Employment,2022Q1,Administrative and support service activities (N),All countries excluding Ireland,28.5
Persons aged 15 years and over in Employment,2022Q1,Administrative and support service activities (N),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q1,"Public administration and defence, compulsory social security (O)",All Countries,137.7
Persons aged 15 years and over in Employment,2022Q1,"Public administration and defence, compulsory social security (O)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q1,"Public administration and defence, compulsory social security (O)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q1,"Public administration and defence, compulsory social security (O)",United Kingdom,
Persons aged 15 years and over in Employment,2022Q1,"Public administration and defence, compulsory social security (O)",Ireland,133.3
Persons aged 15 years and over in Employment,2022Q1,"Public administration and defence, compulsory social security (O)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2022Q1,"Public administration and defence, compulsory social security (O)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q1,Education (P),All Countries,216.6
Persons aged 15 years and over in Employment,2022Q1,Education (P),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q1,Education (P),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q1,Education (P),United Kingdom,
Persons aged 15 years and over in Employment,2022Q1,Education (P),Ireland,200.7
Persons aged 15 years and over in Employment,2022Q1,Education (P),All countries excluding Ireland,15.9
Persons aged 15 years and over in Employment,2022Q1,Education (P),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q1,Human health and social work activities (Q),All Countries,334.9
Persons aged 15 years and over in Employment,2022Q1,Human health and social work activities (Q),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q1,Human health and social work activities (Q),EU15 to EU27 (accession countries joined post 2004),10.9
Persons aged 15 years and over in Employment,2022Q1,Human health and social work activities (Q),United Kingdom,8.9
Persons aged 15 years and over in Employment,2022Q1,Human health and social work activities (Q),Ireland,274.9
Persons aged 15 years and over in Employment,2022Q1,Human health and social work activities (Q),All countries excluding Ireland,60.0
Persons aged 15 years and over in Employment,2022Q1,Human health and social work activities (Q),"All countries excluding Ireland,United Kingdom and EU272020",33.1
Persons aged 15 years and over in Employment,2022Q1,Industry (B to E),All Countries,320.8
Persons aged 15 years and over in Employment,2022Q1,Industry (B to E),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),10.3
Persons aged 15 years and over in Employment,2022Q1,Industry (B to E),EU15 to EU27 (accession countries joined post 2004),32.6
Persons aged 15 years and over in Employment,2022Q1,Industry (B to E),United Kingdom,
Persons aged 15 years and over in Employment,2022Q1,Industry (B to E),Ireland,259.0
Persons aged 15 years and over in Employment,2022Q1,Industry (B to E),All countries excluding Ireland,61.8
Persons aged 15 years and over in Employment,2022Q1,Industry (B to E),"All countries excluding Ireland,United Kingdom and EU272020",13.5
Persons aged 15 years and over in Employment,2022Q1,Industry and Construction (B to F),All Countries,483.8
Persons aged 15 years and over in Employment,2022Q1,Industry and Construction (B to F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),11.6
Persons aged 15 years and over in Employment,2022Q1,Industry and Construction (B to F),EU15 to EU27 (accession countries joined post 2004),45.4
Persons aged 15 years and over in Employment,2022Q1,Industry and Construction (B to F),United Kingdom,7.9
Persons aged 15 years and over in Employment,2022Q1,Industry and Construction (B to F),Ireland,400.4
Persons aged 15 years and over in Employment,2022Q1,Industry and Construction (B to F),All countries excluding Ireland,83.5
Persons aged 15 years and over in Employment,2022Q1,Industry and Construction (B to F),"All countries excluding Ireland,United Kingdom and EU272020",18.7
Persons aged 15 years and over in Employment,2022Q1,Services (G to U),All Countries,1961.6
Persons aged 15 years and over in Employment,2022Q1,Services (G to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),59.5
Persons aged 15 years and over in Employment,2022Q1,Services (G to U),EU15 to EU27 (accession countries joined post 2004),114.5
Persons aged 15 years and over in Employment,2022Q1,Services (G to U),United Kingdom,41.2
Persons aged 15 years and over in Employment,2022Q1,Services (G to U),Ireland,1614.8
Persons aged 15 years and over in Employment,2022Q1,Services (G to U),All countries excluding Ireland,346.8
Persons aged 15 years and over in Employment,2022Q1,Services (G to U),"All countries excluding Ireland,United Kingdom and EU272020",131.5
Persons aged 15 years and over in Employment,2022Q1,"Financial, insurance and real estate activities (K,L)",All Countries,138.2
Persons aged 15 years and over in Employment,2022Q1,"Financial, insurance and real estate activities (K,L)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q1,"Financial, insurance and real estate activities (K,L)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q1,"Financial, insurance and real estate activities (K,L)",United Kingdom,
Persons aged 15 years and over in Employment,2022Q1,"Financial, insurance and real estate activities (K,L)",Ireland,118.7
Persons aged 15 years and over in Employment,2022Q1,"Financial, insurance and real estate activities (K,L)",All countries excluding Ireland,19.5
Persons aged 15 years and over in Employment,2022Q1,"Financial, insurance and real estate activities (K,L)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q1,Other NACE activities (R to U),All Countries,110.8
Persons aged 15 years and over in Employment,2022Q1,Other NACE activities (R to U),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q1,Other NACE activities (R to U),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q1,Other NACE activities (R to U),United Kingdom,
Persons aged 15 years and over in Employment,2022Q1,Other NACE activities (R to U),Ireland,90.4
Persons aged 15 years and over in Employment,2022Q1,Other NACE activities (R to U),All countries excluding Ireland,20.3
Persons aged 15 years and over in Employment,2022Q1,Other NACE activities (R to U),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q1,Not stated,All Countries,7.8
Persons aged 15 years and over in Employment,2022Q1,Not stated,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q1,Not stated,EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q1,Not stated,United Kingdom,
Persons aged 15 years and over in Employment,2022Q1,Not stated,Ireland,
Persons aged 15 years and over in Employment,2022Q1,Not stated,All countries excluding Ireland,
Persons aged 15 years and over in Employment,2022Q1,Not stated,"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q2,All NACE economic sectors,All Countries,2601.2
Persons aged 15 years and over in Employment,2022Q2,All NACE economic sectors,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),69.0
Persons aged 15 years and over in Employment,2022Q2,All NACE economic sectors,EU15 to EU27 (accession countries joined post 2004),162.7
Persons aged 15 years and over in Employment,2022Q2,All NACE economic sectors,United Kingdom,50.7
Persons aged 15 years and over in Employment,2022Q2,All NACE economic sectors,Ireland,2138.3
Persons aged 15 years and over in Employment,2022Q2,All NACE economic sectors,All countries excluding Ireland,463.0
Persons aged 15 years and over in Employment,2022Q2,All NACE economic sectors,"All countries excluding Ireland,United Kingdom and EU272020",180.5
Persons aged 15 years and over in Employment,2022Q2,"Agriculture, forestry and fishing (A)",All Countries,108.3
Persons aged 15 years and over in Employment,2022Q2,"Agriculture, forestry and fishing (A)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q2,"Agriculture, forestry and fishing (A)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q2,"Agriculture, forestry and fishing (A)",United Kingdom,
Persons aged 15 years and over in Employment,2022Q2,"Agriculture, forestry and fishing (A)",Ireland,104.7
Persons aged 15 years and over in Employment,2022Q2,"Agriculture, forestry and fishing (A)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2022Q2,"Agriculture, forestry and fishing (A)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q2,Construction (F),All Countries,171.0
Persons aged 15 years and over in Employment,2022Q2,Construction (F),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q2,Construction (F),EU15 to EU27 (accession countries joined post 2004),12.6
Persons aged 15 years and over in Employment,2022Q2,Construction (F),United Kingdom,
Persons aged 15 years and over in Employment,2022Q2,Construction (F),Ireland,146.0
Persons aged 15 years and over in Employment,2022Q2,Construction (F),All countries excluding Ireland,24.9
Persons aged 15 years and over in Employment,2022Q2,Construction (F),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All Countries,325.5
Persons aged 15 years and over in Employment,2022Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",EU15 to EU27 (accession countries joined post 2004),22.6
Persons aged 15 years and over in Employment,2022Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",United Kingdom,
Persons aged 15 years and over in Employment,2022Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Ireland,275.0
Persons aged 15 years and over in Employment,2022Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",All countries excluding Ireland,50.5
Persons aged 15 years and over in Employment,2022Q2,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","All countries excluding Ireland,United Kingdom and EU272020",15.9
Persons aged 15 years and over in Employment,2022Q2,Transportation and storage (H),All Countries,112.6
Persons aged 15 years and over in Employment,2022Q2,Transportation and storage (H),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q2,Transportation and storage (H),EU15 to EU27 (accession countries joined post 2004),9.9
Persons aged 15 years and over in Employment,2022Q2,Transportation and storage (H),United Kingdom,
Persons aged 15 years and over in Employment,2022Q2,Transportation and storage (H),Ireland,92.7
Persons aged 15 years and over in Employment,2022Q2,Transportation and storage (H),All countries excluding Ireland,19.9
Persons aged 15 years and over in Employment,2022Q2,Transportation and storage (H),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q2,Accommodation and food service activities (I),All Countries,168.8
Persons aged 15 years and over in Employment,2022Q2,Accommodation and food service activities (I),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q2,Accommodation and food service activities (I),EU15 to EU27 (accession countries joined post 2004),16.4
Persons aged 15 years and over in Employment,2022Q2,Accommodation and food service activities (I),United Kingdom,
Persons aged 15 years and over in Employment,2022Q2,Accommodation and food service activities (I),Ireland,124.0
Persons aged 15 years and over in Employment,2022Q2,Accommodation and food service activities (I),All countries excluding Ireland,44.8
Persons aged 15 years and over in Employment,2022Q2,Accommodation and food service activities (I),"All countries excluding Ireland,United Kingdom and EU272020",17.4
Persons aged 15 years and over in Employment,2022Q2,Information and communication (J),All Countries,169.6
Persons aged 15 years and over in Employment,2022Q2,Information and communication (J),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),14.0
Persons aged 15 years and over in Employment,2022Q2,Information and communication (J),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q2,Information and communication (J),United Kingdom,
Persons aged 15 years and over in Employment,2022Q2,Information and communication (J),Ireland,111.1
Persons aged 15 years and over in Employment,2022Q2,Information and communication (J),All countries excluding Ireland,58.5
Persons aged 15 years and over in Employment,2022Q2,Information and communication (J),"All countries excluding Ireland,United Kingdom and EU272020",32.4
Persons aged 15 years and over in Employment,2022Q2,"Professional, scientific and technical activities (M)",All Countries,169.7
Persons aged 15 years and over in Employment,2022Q2,"Professional, scientific and technical activities (M)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q2,"Professional, scientific and technical activities (M)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q2,"Professional, scientific and technical activities (M)",United Kingdom,
Persons aged 15 years and over in Employment,2022Q2,"Professional, scientific and technical activities (M)",Ireland,140.5
Persons aged 15 years and over in Employment,2022Q2,"Professional, scientific and technical activities (M)",All countries excluding Ireland,29.3
Persons aged 15 years and over in Employment,2022Q2,"Professional, scientific and technical activities (M)","All countries excluding Ireland,United Kingdom and EU272020",13.3
Persons aged 15 years and over in Employment,2022Q2,Administrative and support service activities (N),All Countries,107.3
Persons aged 15 years and over in Employment,2022Q2,Administrative and support service activities (N),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q2,Administrative and support service activities (N),EU15 to EU27 (accession countries joined post 2004),16.8
Persons aged 15 years and over in Employment,2022Q2,Administrative and support service activities (N),United Kingdom,
Persons aged 15 years and over in Employment,2022Q2,Administrative and support service activities (N),Ireland,75.9
Persons aged 15 years and over in Employment,2022Q2,Administrative and support service activities (N),All countries excluding Ireland,31.3
Persons aged 15 years and over in Employment,2022Q2,Administrative and support service activities (N),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q2,"Public administration and defence, compulsory social security (O)",All Countries,130.2
Persons aged 15 years and over in Employment,2022Q2,"Public administration and defence, compulsory social security (O)",EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q2,"Public administration and defence, compulsory social security (O)",EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q2,"Public administration and defence, compulsory social security (O)",United Kingdom,
Persons aged 15 years and over in Employment,2022Q2,"Public administration and defence, compulsory social security (O)",Ireland,125.5
Persons aged 15 years and over in Employment,2022Q2,"Public administration and defence, compulsory social security (O)",All countries excluding Ireland,
Persons aged 15 years and over in Employment,2022Q2,"Public administration and defence, compulsory social security (O)","All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q2,Education (P),All Countries,220.7
Persons aged 15 years and over in Employment,2022Q2,Education (P),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
Persons aged 15 years and over in Employment,2022Q2,Education (P),EU15 to EU27 (accession countries joined post 2004),
Persons aged 15 years and over in Employment,2022Q2,Education (P),United Kingdom,
Persons aged 15 years and over in Employment,2022Q2,Education (P),Ireland,204.1
Persons aged 15 years and over in Employment,2022Q2,Education (P),All countries excluding Ireland,16.6
Persons aged 15 years and over in Employment,2022Q2,Education (P),"All countries excluding Ireland,United Kingdom and EU272020",
Persons aged 15 years and over in Employment,2022Q2,Human health and social work activities (Q),All Countries,340.3
Persons aged 15 years and over in Employment,2022Q2,Human health and social work activities (Q),EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),
