STATISTIC,Quarter,Sex,NACE Rev 2 Economic Sector,Region,value
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Industry and Construction (B to F),Border,34.0
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Industry and Construction (B to F),West,42.1
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Industry and Construction (B to F),Mid-West,48.7
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Industry and Construction (B to F),South-East,38.4
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Industry and Construction (B to F),South-West,64.9
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Industry and Construction (B to F),Dublin,73.1
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Industry and Construction (B to F),Mid-East,52.8
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Industry and Construction (B to F),Midland,27.0
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Services (G to U),State,1582.2
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Services (G to U),Border,116.6
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Services (G to U),West,125.5
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Services (G to U),Mid-West,137.5
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Services (G to U),South-East,121.5
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Services (G to U),South-West,216.5
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Services (G to U),Dublin,554.2
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Services (G to U),Mid-East,235.4
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Services (G to U),Midland,75.0
Persons aged 15-89 years in Employment,2016Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",State,107.2
Persons aged 15-89 years in Employment,2016Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",Border,5.4
Persons aged 15-89 years in Employment,2016Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",West,5.1
Persons aged 15-89 years in Employment,2016Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",Mid-West,5.9
Persons aged 15-89 years in Employment,2016Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",South-East,4.9
Persons aged 15-89 years in Employment,2016Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",South-West,8.9
Persons aged 15-89 years in Employment,2016Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",Dublin,57.6
Persons aged 15-89 years in Employment,2016Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",Mid-East,16.3
Persons aged 15-89 years in Employment,2016Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",Midland,
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Other NACE activities (R to U),State,115.2
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Other NACE activities (R to U),Border,9.2
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Other NACE activities (R to U),West,7.1
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Other NACE activities (R to U),Mid-West,9.2
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Other NACE activities (R to U),South-East,7.9
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Other NACE activities (R to U),South-West,14.2
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Other NACE activities (R to U),Dublin,40.1
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Other NACE activities (R to U),Mid-East,21.0
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Other NACE activities (R to U),Midland,6.5
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Not stated,State,8.2
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Not stated,Border,
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Not stated,West,
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Not stated,Mid-West,
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Not stated,South-East,
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Not stated,South-West,
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Not stated,Dublin,
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Not stated,Mid-East,
Persons aged 15-89 years in Employment,2016Q1,Both sexes,Not stated,Midland,
Persons aged 15-89 years in Employment,2016Q1,Male,All NACE economic sectors,State,1122.3
Persons aged 15-89 years in Employment,2016Q1,Male,All NACE economic sectors,Border,94.5
Persons aged 15-89 years in Employment,2016Q1,Male,All NACE economic sectors,West,100.4
Persons aged 15-89 years in Employment,2016Q1,Male,All NACE economic sectors,Mid-West,110.5
Persons aged 15-89 years in Employment,2016Q1,Male,All NACE economic sectors,South-East,95.3
Persons aged 15-89 years in Employment,2016Q1,Male,All NACE economic sectors,South-West,164.9
Persons aged 15-89 years in Employment,2016Q1,Male,All NACE economic sectors,Dublin,332.7
Persons aged 15-89 years in Employment,2016Q1,Male,All NACE economic sectors,Mid-East,161.1
Persons aged 15-89 years in Employment,2016Q1,Male,All NACE economic sectors,Midland,62.9
Persons aged 15-89 years in Employment,2016Q1,Male,"Agriculture, forestry and fishing (A)",State,92.8
Persons aged 15-89 years in Employment,2016Q1,Male,"Agriculture, forestry and fishing (A)",Border,19.9
Persons aged 15-89 years in Employment,2016Q1,Male,"Agriculture, forestry and fishing (A)",West,13.2
Persons aged 15-89 years in Employment,2016Q1,Male,"Agriculture, forestry and fishing (A)",Mid-West,12.8
Persons aged 15-89 years in Employment,2016Q1,Male,"Agriculture, forestry and fishing (A)",South-East,11.8
Persons aged 15-89 years in Employment,2016Q1,Male,"Agriculture, forestry and fishing (A)",South-West,18.4
Persons aged 15-89 years in Employment,2016Q1,Male,"Agriculture, forestry and fishing (A)",Dublin,
Persons aged 15-89 years in Employment,2016Q1,Male,"Agriculture, forestry and fishing (A)",Mid-East,7.4
Persons aged 15-89 years in Employment,2016Q1,Male,"Agriculture, forestry and fishing (A)",Midland,7.4
Persons aged 15-89 years in Employment,2016Q1,Male,Construction (F),State,107.9
Persons aged 15-89 years in Employment,2016Q1,Male,Construction (F),Border,9.8
Persons aged 15-89 years in Employment,2016Q1,Male,Construction (F),West,12.5
Persons aged 15-89 years in Employment,2016Q1,Male,Construction (F),Mid-West,12.5
Persons aged 15-89 years in Employment,2016Q1,Male,Construction (F),South-East,12.4
Persons aged 15-89 years in Employment,2016Q1,Male,Construction (F),South-West,17.9
Persons aged 15-89 years in Employment,2016Q1,Male,Construction (F),Dublin,21.1
Persons aged 15-89 years in Employment,2016Q1,Male,Construction (F),Mid-East,14.4
Persons aged 15-89 years in Employment,2016Q1,Male,Construction (F),Midland,7.4
Persons aged 15-89 years in Employment,2016Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",State,145.3
Persons aged 15-89 years in Employment,2016Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Border,13.8
Persons aged 15-89 years in Employment,2016Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",West,14.6
Persons aged 15-89 years in Employment,2016Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Mid-West,12.5
Persons aged 15-89 years in Employment,2016Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",South-East,11.6
Persons aged 15-89 years in Employment,2016Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",South-West,20.5
Persons aged 15-89 years in Employment,2016Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,41.0
Persons aged 15-89 years in Employment,2016Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Mid-East,22.6
Persons aged 15-89 years in Employment,2016Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Midland,8.9
Persons aged 15-89 years in Employment,2016Q1,Male,Transportation and storage (H),State,76.7
Persons aged 15-89 years in Employment,2016Q1,Male,Transportation and storage (H),Border,4.8
Persons aged 15-89 years in Employment,2016Q1,Male,Transportation and storage (H),West,5.0
Persons aged 15-89 years in Employment,2016Q1,Male,Transportation and storage (H),Mid-West,8.9
Persons aged 15-89 years in Employment,2016Q1,Male,Transportation and storage (H),South-East,5.8
Persons aged 15-89 years in Employment,2016Q1,Male,Transportation and storage (H),South-West,9.0
Persons aged 15-89 years in Employment,2016Q1,Male,Transportation and storage (H),Dublin,27.0
Persons aged 15-89 years in Employment,2016Q1,Male,Transportation and storage (H),Mid-East,12.8
Persons aged 15-89 years in Employment,2016Q1,Male,Transportation and storage (H),Midland,3.4
Persons aged 15-89 years in Employment,2016Q1,Male,Accommodation and food service activities (I),State,76.3
Persons aged 15-89 years in Employment,2016Q1,Male,Accommodation and food service activities (I),Border,6.0
Persons aged 15-89 years in Employment,2016Q1,Male,Accommodation and food service activities (I),West,5.7
Persons aged 15-89 years in Employment,2016Q1,Male,Accommodation and food service activities (I),Mid-West,7.0
Persons aged 15-89 years in Employment,2016Q1,Male,Accommodation and food service activities (I),South-East,5.0
Persons aged 15-89 years in Employment,2016Q1,Male,Accommodation and food service activities (I),South-West,10.6
Persons aged 15-89 years in Employment,2016Q1,Male,Accommodation and food service activities (I),Dublin,29.4
Persons aged 15-89 years in Employment,2016Q1,Male,Accommodation and food service activities (I),Mid-East,9.9
Persons aged 15-89 years in Employment,2016Q1,Male,Accommodation and food service activities (I),Midland,
Persons aged 15-89 years in Employment,2016Q1,Male,Information and communication (J),State,70.1
Persons aged 15-89 years in Employment,2016Q1,Male,Information and communication (J),Border,
Persons aged 15-89 years in Employment,2016Q1,Male,Information and communication (J),West,
Persons aged 15-89 years in Employment,2016Q1,Male,Information and communication (J),Mid-West,
Persons aged 15-89 years in Employment,2016Q1,Male,Information and communication (J),South-East,
Persons aged 15-89 years in Employment,2016Q1,Male,Information and communication (J),South-West,8.2
Persons aged 15-89 years in Employment,2016Q1,Male,Information and communication (J),Dublin,36.7
Persons aged 15-89 years in Employment,2016Q1,Male,Information and communication (J),Mid-East,12.2
Persons aged 15-89 years in Employment,2016Q1,Male,Information and communication (J),Midland,
Persons aged 15-89 years in Employment,2016Q1,Male,"Professional, scientific and technical activities (M)",State,71.7
Persons aged 15-89 years in Employment,2016Q1,Male,"Professional, scientific and technical activities (M)",Border,
Persons aged 15-89 years in Employment,2016Q1,Male,"Professional, scientific and technical activities (M)",West,6.3
Persons aged 15-89 years in Employment,2016Q1,Male,"Professional, scientific and technical activities (M)",Mid-West,6.2
Persons aged 15-89 years in Employment,2016Q1,Male,"Professional, scientific and technical activities (M)",South-East,5.7
Persons aged 15-89 years in Employment,2016Q1,Male,"Professional, scientific and technical activities (M)",South-West,10.5
Persons aged 15-89 years in Employment,2016Q1,Male,"Professional, scientific and technical activities (M)",Dublin,27.3
Persons aged 15-89 years in Employment,2016Q1,Male,"Professional, scientific and technical activities (M)",Mid-East,10.0
Persons aged 15-89 years in Employment,2016Q1,Male,"Professional, scientific and technical activities (M)",Midland,
Persons aged 15-89 years in Employment,2016Q1,Male,Administrative and support service activities (N),State,49.2
Persons aged 15-89 years in Employment,2016Q1,Male,Administrative and support service activities (N),Border,
Persons aged 15-89 years in Employment,2016Q1,Male,Administrative and support service activities (N),West,
Persons aged 15-89 years in Employment,2016Q1,Male,Administrative and support service activities (N),Mid-West,5.4
Persons aged 15-89 years in Employment,2016Q1,Male,Administrative and support service activities (N),South-East,5.1
Persons aged 15-89 years in Employment,2016Q1,Male,Administrative and support service activities (N),South-West,7.1
Persons aged 15-89 years in Employment,2016Q1,Male,Administrative and support service activities (N),Dublin,19.3
Persons aged 15-89 years in Employment,2016Q1,Male,Administrative and support service activities (N),Mid-East,
Persons aged 15-89 years in Employment,2016Q1,Male,Administrative and support service activities (N),Midland,
Persons aged 15-89 years in Employment,2016Q1,Male,"Public administration and defence, compulsory social security (O)",State,48.9
Persons aged 15-89 years in Employment,2016Q1,Male,"Public administration and defence, compulsory social security (O)",Border,3.5
Persons aged 15-89 years in Employment,2016Q1,Male,"Public administration and defence, compulsory social security (O)",West,4.5
Persons aged 15-89 years in Employment,2016Q1,Male,"Public administration and defence, compulsory social security (O)",Mid-West,3.3
Persons aged 15-89 years in Employment,2016Q1,Male,"Public administration and defence, compulsory social security (O)",South-East,3.7
Persons aged 15-89 years in Employment,2016Q1,Male,"Public administration and defence, compulsory social security (O)",South-West,7.8
Persons aged 15-89 years in Employment,2016Q1,Male,"Public administration and defence, compulsory social security (O)",Dublin,14.6
Persons aged 15-89 years in Employment,2016Q1,Male,"Public administration and defence, compulsory social security (O)",Mid-East,7.9
Persons aged 15-89 years in Employment,2016Q1,Male,"Public administration and defence, compulsory social security (O)",Midland,3.6
Persons aged 15-89 years in Employment,2016Q1,Male,Education (P),State,36.3
Persons aged 15-89 years in Employment,2016Q1,Male,Education (P),Border,3.3
Persons aged 15-89 years in Employment,2016Q1,Male,Education (P),West,
Persons aged 15-89 years in Employment,2016Q1,Male,Education (P),Mid-West,4.2
Persons aged 15-89 years in Employment,2016Q1,Male,Education (P),South-East,3.2
Persons aged 15-89 years in Employment,2016Q1,Male,Education (P),South-West,5.6
Persons aged 15-89 years in Employment,2016Q1,Male,Education (P),Dublin,12.6
Persons aged 15-89 years in Employment,2016Q1,Male,Education (P),Mid-East,
Persons aged 15-89 years in Employment,2016Q1,Male,Education (P),Midland,
Persons aged 15-89 years in Employment,2016Q1,Male,Human health and social work activities (Q),State,54.0
Persons aged 15-89 years in Employment,2016Q1,Male,Human health and social work activities (Q),Border,
Persons aged 15-89 years in Employment,2016Q1,Male,Human health and social work activities (Q),West,5.2
Persons aged 15-89 years in Employment,2016Q1,Male,Human health and social work activities (Q),Mid-West,4.2
Persons aged 15-89 years in Employment,2016Q1,Male,Human health and social work activities (Q),South-East,4.8
Persons aged 15-89 years in Employment,2016Q1,Male,Human health and social work activities (Q),South-West,6.6
Persons aged 15-89 years in Employment,2016Q1,Male,Human health and social work activities (Q),Dublin,18.0
Persons aged 15-89 years in Employment,2016Q1,Male,Human health and social work activities (Q),Mid-East,9.2
Persons aged 15-89 years in Employment,2016Q1,Male,Human health and social work activities (Q),Midland,
Persons aged 15-89 years in Employment,2016Q1,Male,Industry (B to E),State,190.2
Persons aged 15-89 years in Employment,2016Q1,Male,Industry (B to E),Border,16.7
Persons aged 15-89 years in Employment,2016Q1,Male,Industry (B to E),West,20.0
Persons aged 15-89 years in Employment,2016Q1,Male,Industry (B to E),Mid-West,25.8
Persons aged 15-89 years in Employment,2016Q1,Male,Industry (B to E),South-East,18.5
Persons aged 15-89 years in Employment,2016Q1,Male,Industry (B to E),South-West,31.8
Persons aged 15-89 years in Employment,2016Q1,Male,Industry (B to E),Dublin,33.0
Persons aged 15-89 years in Employment,2016Q1,Male,Industry (B to E),Mid-East,29.8
Persons aged 15-89 years in Employment,2016Q1,Male,Industry (B to E),Midland,14.7
Persons aged 15-89 years in Employment,2016Q1,Male,Industry and Construction (B to F),State,298.2
Persons aged 15-89 years in Employment,2016Q1,Male,Industry and Construction (B to F),Border,26.5
Persons aged 15-89 years in Employment,2016Q1,Male,Industry and Construction (B to F),West,32.5
Persons aged 15-89 years in Employment,2016Q1,Male,Industry and Construction (B to F),Mid-West,38.2
Persons aged 15-89 years in Employment,2016Q1,Male,Industry and Construction (B to F),South-East,30.9
Persons aged 15-89 years in Employment,2016Q1,Male,Industry and Construction (B to F),South-West,49.6
Persons aged 15-89 years in Employment,2016Q1,Male,Industry and Construction (B to F),Dublin,54.1
Persons aged 15-89 years in Employment,2016Q1,Male,Industry and Construction (B to F),Mid-East,44.2
Persons aged 15-89 years in Employment,2016Q1,Male,Industry and Construction (B to F),Midland,22.1
Persons aged 15-89 years in Employment,2016Q1,Male,Services (G to U),State,727.2
Persons aged 15-89 years in Employment,2016Q1,Male,Services (G to U),Border,47.6
Persons aged 15-89 years in Employment,2016Q1,Male,Services (G to U),West,54.7
Persons aged 15-89 years in Employment,2016Q1,Male,Services (G to U),Mid-West,59.3
Persons aged 15-89 years in Employment,2016Q1,Male,Services (G to U),South-East,52.4
Persons aged 15-89 years in Employment,2016Q1,Male,Services (G to U),South-West,96.0
Persons aged 15-89 years in Employment,2016Q1,Male,Services (G to U),Dublin,274.7
Persons aged 15-89 years in Employment,2016Q1,Male,Services (G to U),Mid-East,109.0
Persons aged 15-89 years in Employment,2016Q1,Male,Services (G to U),Midland,33.3
Persons aged 15-89 years in Employment,2016Q1,Male,"Financial, insurance and real estate activities (K,L)",State,51.8
Persons aged 15-89 years in Employment,2016Q1,Male,"Financial, insurance and real estate activities (K,L)",Border,
Persons aged 15-89 years in Employment,2016Q1,Male,"Financial, insurance and real estate activities (K,L)",West,
Persons aged 15-89 years in Employment,2016Q1,Male,"Financial, insurance and real estate activities (K,L)",Mid-West,
Persons aged 15-89 years in Employment,2016Q1,Male,"Financial, insurance and real estate activities (K,L)",South-East,
Persons aged 15-89 years in Employment,2016Q1,Male,"Financial, insurance and real estate activities (K,L)",South-West,4.0
Persons aged 15-89 years in Employment,2016Q1,Male,"Financial, insurance and real estate activities (K,L)",Dublin,30.4
Persons aged 15-89 years in Employment,2016Q1,Male,"Financial, insurance and real estate activities (K,L)",Mid-East,7.9
Persons aged 15-89 years in Employment,2016Q1,Male,"Financial, insurance and real estate activities (K,L)",Midland,
Persons aged 15-89 years in Employment,2016Q1,Male,Other NACE activities (R to U),State,46.8
Persons aged 15-89 years in Employment,2016Q1,Male,Other NACE activities (R to U),Border,
Persons aged 15-89 years in Employment,2016Q1,Male,Other NACE activities (R to U),West,
Persons aged 15-89 years in Employment,2016Q1,Male,Other NACE activities (R to U),Mid-West,
Persons aged 15-89 years in Employment,2016Q1,Male,Other NACE activities (R to U),South-East,
Persons aged 15-89 years in Employment,2016Q1,Male,Other NACE activities (R to U),South-West,6.1
Persons aged 15-89 years in Employment,2016Q1,Male,Other NACE activities (R to U),Dublin,18.5
Persons aged 15-89 years in Employment,2016Q1,Male,Other NACE activities (R to U),Mid-East,7.2
Persons aged 15-89 years in Employment,2016Q1,Male,Other NACE activities (R to U),Midland,
Persons aged 15-89 years in Employment,2016Q1,Male,Not stated,State,
Persons aged 15-89 years in Employment,2016Q1,Male,Not stated,Border,
Persons aged 15-89 years in Employment,2016Q1,Male,Not stated,West,
Persons aged 15-89 years in Employment,2016Q1,Male,Not stated,Mid-West,
Persons aged 15-89 years in Employment,2016Q1,Male,Not stated,South-East,
Persons aged 15-89 years in Employment,2016Q1,Male,Not stated,South-West,
Persons aged 15-89 years in Employment,2016Q1,Male,Not stated,Dublin,
Persons aged 15-89 years in Employment,2016Q1,Male,Not stated,Mid-East,
Persons aged 15-89 years in Employment,2016Q1,Male,Not stated,Midland,
Persons aged 15-89 years in Employment,2016Q1,Female,All NACE economic sectors,State,956.7
Persons aged 15-89 years in Employment,2016Q1,Female,All NACE economic sectors,Border,80.4
Persons aged 15-89 years in Employment,2016Q1,Female,All NACE economic sectors,West,81.7
Persons aged 15-89 years in Employment,2016Q1,Female,All NACE economic sectors,Mid-West,90.6
Persons aged 15-89 years in Employment,2016Q1,Female,All NACE economic sectors,South-East,79.0
Persons aged 15-89 years in Employment,2016Q1,Female,All NACE economic sectors,South-West,138.8
Persons aged 15-89 years in Employment,2016Q1,Female,All NACE economic sectors,Dublin,301.0
Persons aged 15-89 years in Employment,2016Q1,Female,All NACE economic sectors,Mid-East,137.5
Persons aged 15-89 years in Employment,2016Q1,Female,All NACE economic sectors,Midland,47.6
Persons aged 15-89 years in Employment,2016Q1,Female,"Agriculture, forestry and fishing (A)",State,14.8
Persons aged 15-89 years in Employment,2016Q1,Female,"Agriculture, forestry and fishing (A)",Border,
Persons aged 15-89 years in Employment,2016Q1,Female,"Agriculture, forestry and fishing (A)",West,
Persons aged 15-89 years in Employment,2016Q1,Female,"Agriculture, forestry and fishing (A)",Mid-West,
Persons aged 15-89 years in Employment,2016Q1,Female,"Agriculture, forestry and fishing (A)",South-East,
Persons aged 15-89 years in Employment,2016Q1,Female,"Agriculture, forestry and fishing (A)",South-West,
Persons aged 15-89 years in Employment,2016Q1,Female,"Agriculture, forestry and fishing (A)",Dublin,
Persons aged 15-89 years in Employment,2016Q1,Female,"Agriculture, forestry and fishing (A)",Mid-East,
Persons aged 15-89 years in Employment,2016Q1,Female,"Agriculture, forestry and fishing (A)",Midland,
Persons aged 15-89 years in Employment,2016Q1,Female,Construction (F),State,6.0
Persons aged 15-89 years in Employment,2016Q1,Female,Construction (F),Border,
Persons aged 15-89 years in Employment,2016Q1,Female,Construction (F),West,
Persons aged 15-89 years in Employment,2016Q1,Female,Construction (F),Mid-West,
Persons aged 15-89 years in Employment,2016Q1,Female,Construction (F),South-East,
Persons aged 15-89 years in Employment,2016Q1,Female,Construction (F),South-West,
Persons aged 15-89 years in Employment,2016Q1,Female,Construction (F),Dublin,
Persons aged 15-89 years in Employment,2016Q1,Female,Construction (F),Mid-East,
Persons aged 15-89 years in Employment,2016Q1,Female,Construction (F),Midland,
Persons aged 15-89 years in Employment,2016Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",State,145.5
Persons aged 15-89 years in Employment,2016Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Border,13.2
Persons aged 15-89 years in Employment,2016Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",West,12.6
Persons aged 15-89 years in Employment,2016Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Mid-West,13.3
Persons aged 15-89 years in Employment,2016Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",South-East,13.1
Persons aged 15-89 years in Employment,2016Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",South-West,24.0
Persons aged 15-89 years in Employment,2016Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,38.6
Persons aged 15-89 years in Employment,2016Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Mid-East,20.5
Persons aged 15-89 years in Employment,2016Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Midland,10.3
Persons aged 15-89 years in Employment,2016Q1,Female,Transportation and storage (H),State,15.6
Persons aged 15-89 years in Employment,2016Q1,Female,Transportation and storage (H),Border,
Persons aged 15-89 years in Employment,2016Q1,Female,Transportation and storage (H),West,
Persons aged 15-89 years in Employment,2016Q1,Female,Transportation and storage (H),Mid-West,
Persons aged 15-89 years in Employment,2016Q1,Female,Transportation and storage (H),South-East,
Persons aged 15-89 years in Employment,2016Q1,Female,Transportation and storage (H),South-West,
Persons aged 15-89 years in Employment,2016Q1,Female,Transportation and storage (H),Dublin,7.5
Persons aged 15-89 years in Employment,2016Q1,Female,Transportation and storage (H),Mid-East,
Persons aged 15-89 years in Employment,2016Q1,Female,Transportation and storage (H),Midland,
Persons aged 15-89 years in Employment,2016Q1,Female,Accommodation and food service activities (I),State,76.1
Persons aged 15-89 years in Employment,2016Q1,Female,Accommodation and food service activities (I),Border,8.3
Persons aged 15-89 years in Employment,2016Q1,Female,Accommodation and food service activities (I),West,5.8
Persons aged 15-89 years in Employment,2016Q1,Female,Accommodation and food service activities (I),Mid-West,6.9
Persons aged 15-89 years in Employment,2016Q1,Female,Accommodation and food service activities (I),South-East,6.4
Persons aged 15-89 years in Employment,2016Q1,Female,Accommodation and food service activities (I),South-West,11.6
Persons aged 15-89 years in Employment,2016Q1,Female,Accommodation and food service activities (I),Dublin,22.2
Persons aged 15-89 years in Employment,2016Q1,Female,Accommodation and food service activities (I),Mid-East,12.2
Persons aged 15-89 years in Employment,2016Q1,Female,Accommodation and food service activities (I),Midland,
Persons aged 15-89 years in Employment,2016Q1,Female,Information and communication (J),State,34.7
Persons aged 15-89 years in Employment,2016Q1,Female,Information and communication (J),Border,
Persons aged 15-89 years in Employment,2016Q1,Female,Information and communication (J),West,
Persons aged 15-89 years in Employment,2016Q1,Female,Information and communication (J),Mid-West,
Persons aged 15-89 years in Employment,2016Q1,Female,Information and communication (J),South-East,
Persons aged 15-89 years in Employment,2016Q1,Female,Information and communication (J),South-West,
Persons aged 15-89 years in Employment,2016Q1,Female,Information and communication (J),Dublin,19.7
Persons aged 15-89 years in Employment,2016Q1,Female,Information and communication (J),Mid-East,
Persons aged 15-89 years in Employment,2016Q1,Female,Information and communication (J),Midland,
Persons aged 15-89 years in Employment,2016Q1,Female,"Professional, scientific and technical activities (M)",State,51.1
Persons aged 15-89 years in Employment,2016Q1,Female,"Professional, scientific and technical activities (M)",Border,
Persons aged 15-89 years in Employment,2016Q1,Female,"Professional, scientific and technical activities (M)",West,
Persons aged 15-89 years in Employment,2016Q1,Female,"Professional, scientific and technical activities (M)",Mid-West,
Persons aged 15-89 years in Employment,2016Q1,Female,"Professional, scientific and technical activities (M)",South-East,3.3
Persons aged 15-89 years in Employment,2016Q1,Female,"Professional, scientific and technical activities (M)",South-West,4.9
Persons aged 15-89 years in Employment,2016Q1,Female,"Professional, scientific and technical activities (M)",Dublin,25.4
Persons aged 15-89 years in Employment,2016Q1,Female,"Professional, scientific and technical activities (M)",Mid-East,7.2
Persons aged 15-89 years in Employment,2016Q1,Female,"Professional, scientific and technical activities (M)",Midland,
Persons aged 15-89 years in Employment,2016Q1,Female,Administrative and support service activities (N),State,36.5
Persons aged 15-89 years in Employment,2016Q1,Female,Administrative and support service activities (N),Border,
Persons aged 15-89 years in Employment,2016Q1,Female,Administrative and support service activities (N),West,
Persons aged 15-89 years in Employment,2016Q1,Female,Administrative and support service activities (N),Mid-West,
Persons aged 15-89 years in Employment,2016Q1,Female,Administrative and support service activities (N),South-East,
Persons aged 15-89 years in Employment,2016Q1,Female,Administrative and support service activities (N),South-West,7.8
Persons aged 15-89 years in Employment,2016Q1,Female,Administrative and support service activities (N),Dublin,14.6
Persons aged 15-89 years in Employment,2016Q1,Female,Administrative and support service activities (N),Mid-East,
Persons aged 15-89 years in Employment,2016Q1,Female,Administrative and support service activities (N),Midland,
Persons aged 15-89 years in Employment,2016Q1,Female,"Public administration and defence, compulsory social security (O)",State,42.6
Persons aged 15-89 years in Employment,2016Q1,Female,"Public administration and defence, compulsory social security (O)",Border,3.0
Persons aged 15-89 years in Employment,2016Q1,Female,"Public administration and defence, compulsory social security (O)",West,3.4
Persons aged 15-89 years in Employment,2016Q1,Female,"Public administration and defence, compulsory social security (O)",Mid-West,5.0
Persons aged 15-89 years in Employment,2016Q1,Female,"Public administration and defence, compulsory social security (O)",South-East,4.0
Persons aged 15-89 years in Employment,2016Q1,Female,"Public administration and defence, compulsory social security (O)",South-West,4.2
Persons aged 15-89 years in Employment,2016Q1,Female,"Public administration and defence, compulsory social security (O)",Dublin,14.4
Persons aged 15-89 years in Employment,2016Q1,Female,"Public administration and defence, compulsory social security (O)",Mid-East,5.8
Persons aged 15-89 years in Employment,2016Q1,Female,"Public administration and defence, compulsory social security (O)",Midland,2.8
Persons aged 15-89 years in Employment,2016Q1,Female,Education (P),State,115.9
Persons aged 15-89 years in Employment,2016Q1,Female,Education (P),Border,8.9
Persons aged 15-89 years in Employment,2016Q1,Female,Education (P),West,12.2
Persons aged 15-89 years in Employment,2016Q1,Female,Education (P),Mid-West,13.2
Persons aged 15-89 years in Employment,2016Q1,Female,Education (P),South-East,11.1
Persons aged 15-89 years in Employment,2016Q1,Female,Education (P),South-West,18.0
Persons aged 15-89 years in Employment,2016Q1,Female,Education (P),Dublin,29.0
Persons aged 15-89 years in Employment,2016Q1,Female,Education (P),Mid-East,17.9
Persons aged 15-89 years in Employment,2016Q1,Female,Education (P),Midland,5.6
Persons aged 15-89 years in Employment,2016Q1,Female,Human health and social work activities (Q),State,213.3
Persons aged 15-89 years in Employment,2016Q1,Female,Human health and social work activities (Q),Border,19.9
Persons aged 15-89 years in Employment,2016Q1,Female,Human health and social work activities (Q),West,20.7
