Statistic,Quarter,NACE Rev 2 Economic Sector,value
Students aged 15 years and over in employment (PES),2006Q3,Human health and social work activities (Q),5.1
Students aged 15 years and over in employment (PES),2006Q3,Industry (B to E),6.4
Students aged 15 years and over in employment (PES),2006Q3,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2006Q3,Other NACE activities (R to U),10.1
Students aged 15 years and over in employment (PES),2006Q3,Industry and Construction (B to F),12.5
Students aged 15 years and over in employment (PES),2006Q3,Services (G to U),94.5
Students aged 15 years and over in employment (PES),2006Q3,Not stated,
Students aged 15 years and over in employment (PES),2006Q4,All NACE economic sectors,84.5
Students aged 15 years and over in employment (PES),2006Q4,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2006Q4,Construction (F),
Students aged 15 years and over in employment (PES),2006Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),37.9
Students aged 15 years and over in employment (PES),2006Q4,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2006Q4,Accommodation and food service activities (I),20.9
Students aged 15 years and over in employment (PES),2006Q4,Information and communication (J),
Students aged 15 years and over in employment (PES),2006Q4,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2006Q4,Administrative and support service activities (N),3.1
Students aged 15 years and over in employment (PES),2006Q4,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2006Q4,Education (P),
Students aged 15 years and over in employment (PES),2006Q4,Human health and social work activities (Q),3.3
Students aged 15 years and over in employment (PES),2006Q4,Industry (B to E),
Students aged 15 years and over in employment (PES),2006Q4,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2006Q4,Other NACE activities (R to U),8.2
Students aged 15 years and over in employment (PES),2006Q4,Industry and Construction (B to F),3.2
Students aged 15 years and over in employment (PES),2006Q4,Services (G to U),80.1
Students aged 15 years and over in employment (PES),2006Q4,Not stated,
Students aged 15 years and over in employment (PES),2007Q1,All NACE economic sectors,89.4
Students aged 15 years and over in employment (PES),2007Q1,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2007Q1,Construction (F),
Students aged 15 years and over in employment (PES),2007Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),40.3
Students aged 15 years and over in employment (PES),2007Q1,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2007Q1,Accommodation and food service activities (I),22.6
Students aged 15 years and over in employment (PES),2007Q1,Information and communication (J),
Students aged 15 years and over in employment (PES),2007Q1,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2007Q1,Administrative and support service activities (N),3.4
Students aged 15 years and over in employment (PES),2007Q1,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2007Q1,Education (P),
Students aged 15 years and over in employment (PES),2007Q1,Human health and social work activities (Q),3.5
Students aged 15 years and over in employment (PES),2007Q1,Industry (B to E),
Students aged 15 years and over in employment (PES),2007Q1,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2007Q1,Other NACE activities (R to U),6.9
Students aged 15 years and over in employment (PES),2007Q1,Industry and Construction (B to F),2.5
Students aged 15 years and over in employment (PES),2007Q1,Services (G to U),84.2
Students aged 15 years and over in employment (PES),2007Q1,Not stated,
Students aged 15 years and over in employment (PES),2007Q2,All NACE economic sectors,96.2
Students aged 15 years and over in employment (PES),2007Q2,"Agriculture, forestry and fishing (A)",2.5
Students aged 15 years and over in employment (PES),2007Q2,Construction (F),2.4
Students aged 15 years and over in employment (PES),2007Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),38.8
Students aged 15 years and over in employment (PES),2007Q2,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2007Q2,Accommodation and food service activities (I),24.4
Students aged 15 years and over in employment (PES),2007Q2,Information and communication (J),
Students aged 15 years and over in employment (PES),2007Q2,"Professional, scientific and technical activities (M)",2.6
Students aged 15 years and over in employment (PES),2007Q2,Administrative and support service activities (N),3.4
Students aged 15 years and over in employment (PES),2007Q2,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2007Q2,Education (P),2.3
Students aged 15 years and over in employment (PES),2007Q2,Human health and social work activities (Q),4.0
Students aged 15 years and over in employment (PES),2007Q2,Industry (B to E),
Students aged 15 years and over in employment (PES),2007Q2,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2007Q2,Other NACE activities (R to U),7.5
Students aged 15 years and over in employment (PES),2007Q2,Industry and Construction (B to F),4.2
Students aged 15 years and over in employment (PES),2007Q2,Services (G to U),89.2
Students aged 15 years and over in employment (PES),2007Q2,Not stated,
Students aged 15 years and over in employment (PES),2007Q3,All NACE economic sectors,124.9
Students aged 15 years and over in employment (PES),2007Q3,"Agriculture, forestry and fishing (A)",4.5
Students aged 15 years and over in employment (PES),2007Q3,Construction (F),5.9
Students aged 15 years and over in employment (PES),2007Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),46.2
Students aged 15 years and over in employment (PES),2007Q3,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2007Q3,Accommodation and food service activities (I),26.8
Students aged 15 years and over in employment (PES),2007Q3,Information and communication (J),
Students aged 15 years and over in employment (PES),2007Q3,"Professional, scientific and technical activities (M)",4.9
Students aged 15 years and over in employment (PES),2007Q3,Administrative and support service activities (N),4.9
Students aged 15 years and over in employment (PES),2007Q3,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2007Q3,Education (P),3.3
Students aged 15 years and over in employment (PES),2007Q3,Human health and social work activities (Q),4.6
Students aged 15 years and over in employment (PES),2007Q3,Industry (B to E),7.1
Students aged 15 years and over in employment (PES),2007Q3,"Financial, insurance and real estate activities (K, L)",2.6
Students aged 15 years and over in employment (PES),2007Q3,Other NACE activities (R to U),7.9
Students aged 15 years and over in employment (PES),2007Q3,Industry and Construction (B to F),13.0
Students aged 15 years and over in employment (PES),2007Q3,Services (G to U),107.2
Students aged 15 years and over in employment (PES),2007Q3,Not stated,
Students aged 15 years and over in employment (PES),2007Q4,All NACE economic sectors,89.9
Students aged 15 years and over in employment (PES),2007Q4,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2007Q4,Construction (F),
Students aged 15 years and over in employment (PES),2007Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),42.2
Students aged 15 years and over in employment (PES),2007Q4,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2007Q4,Accommodation and food service activities (I),22.7
Students aged 15 years and over in employment (PES),2007Q4,Information and communication (J),
Students aged 15 years and over in employment (PES),2007Q4,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2007Q4,Administrative and support service activities (N),3.3
Students aged 15 years and over in employment (PES),2007Q4,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2007Q4,Education (P),
Students aged 15 years and over in employment (PES),2007Q4,Human health and social work activities (Q),3.7
Students aged 15 years and over in employment (PES),2007Q4,Industry (B to E),
Students aged 15 years and over in employment (PES),2007Q4,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2007Q4,Other NACE activities (R to U),5.7
Students aged 15 years and over in employment (PES),2007Q4,Industry and Construction (B to F),3.0
Students aged 15 years and over in employment (PES),2007Q4,Services (G to U),84.8
Students aged 15 years and over in employment (PES),2007Q4,Not stated,
Students aged 15 years and over in employment (PES),2008Q1,All NACE economic sectors,84.4
Students aged 15 years and over in employment (PES),2008Q1,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2008Q1,Construction (F),
Students aged 15 years and over in employment (PES),2008Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),37.4
Students aged 15 years and over in employment (PES),2008Q1,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2008Q1,Accommodation and food service activities (I),21.6
Students aged 15 years and over in employment (PES),2008Q1,Information and communication (J),
Students aged 15 years and over in employment (PES),2008Q1,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2008Q1,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2008Q1,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2008Q1,Education (P),
Students aged 15 years and over in employment (PES),2008Q1,Human health and social work activities (Q),4.1
Students aged 15 years and over in employment (PES),2008Q1,Industry (B to E),
Students aged 15 years and over in employment (PES),2008Q1,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2008Q1,Other NACE activities (R to U),5.9
Students aged 15 years and over in employment (PES),2008Q1,Industry and Construction (B to F),3.4
Students aged 15 years and over in employment (PES),2008Q1,Services (G to U),78.2
Students aged 15 years and over in employment (PES),2008Q1,Not stated,
Students aged 15 years and over in employment (PES),2008Q2,All NACE economic sectors,91.0
Students aged 15 years and over in employment (PES),2008Q2,"Agriculture, forestry and fishing (A)",2.9
Students aged 15 years and over in employment (PES),2008Q2,Construction (F),
Students aged 15 years and over in employment (PES),2008Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),37.3
Students aged 15 years and over in employment (PES),2008Q2,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2008Q2,Accommodation and food service activities (I),20.2
Students aged 15 years and over in employment (PES),2008Q2,Information and communication (J),
Students aged 15 years and over in employment (PES),2008Q2,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2008Q2,Administrative and support service activities (N),3.7
Students aged 15 years and over in employment (PES),2008Q2,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2008Q2,Education (P),3.1
Students aged 15 years and over in employment (PES),2008Q2,Human health and social work activities (Q),4.5
Students aged 15 years and over in employment (PES),2008Q2,Industry (B to E),3.2
Students aged 15 years and over in employment (PES),2008Q2,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2008Q2,Other NACE activities (R to U),7.4
Students aged 15 years and over in employment (PES),2008Q2,Industry and Construction (B to F),5.0
Students aged 15 years and over in employment (PES),2008Q2,Services (G to U),83.0
Students aged 15 years and over in employment (PES),2008Q2,Not stated,
Students aged 15 years and over in employment (PES),2008Q3,All NACE economic sectors,109.7
Students aged 15 years and over in employment (PES),2008Q3,"Agriculture, forestry and fishing (A)",5.4
Students aged 15 years and over in employment (PES),2008Q3,Construction (F),3.4
Students aged 15 years and over in employment (PES),2008Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),38.9
Students aged 15 years and over in employment (PES),2008Q3,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2008Q3,Accommodation and food service activities (I),22.6
Students aged 15 years and over in employment (PES),2008Q3,Information and communication (J),
Students aged 15 years and over in employment (PES),2008Q3,"Professional, scientific and technical activities (M)",3.2
Students aged 15 years and over in employment (PES),2008Q3,Administrative and support service activities (N),4.3
Students aged 15 years and over in employment (PES),2008Q3,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2008Q3,Education (P),
Students aged 15 years and over in employment (PES),2008Q3,Human health and social work activities (Q),4.2
Students aged 15 years and over in employment (PES),2008Q3,Industry (B to E),7.4
Students aged 15 years and over in employment (PES),2008Q3,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2008Q3,Other NACE activities (R to U),10.1
Students aged 15 years and over in employment (PES),2008Q3,Industry and Construction (B to F),10.8
Students aged 15 years and over in employment (PES),2008Q3,Services (G to U),93.5
Students aged 15 years and over in employment (PES),2008Q3,Not stated,
Students aged 15 years and over in employment (PES),2008Q4,All NACE economic sectors,73.4
Students aged 15 years and over in employment (PES),2008Q4,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2008Q4,Construction (F),
Students aged 15 years and over in employment (PES),2008Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.6
Students aged 15 years and over in employment (PES),2008Q4,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2008Q4,Accommodation and food service activities (I),17.8
Students aged 15 years and over in employment (PES),2008Q4,Information and communication (J),
Students aged 15 years and over in employment (PES),2008Q4,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2008Q4,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2008Q4,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2008Q4,Education (P),
Students aged 15 years and over in employment (PES),2008Q4,Human health and social work activities (Q),3.3
Students aged 15 years and over in employment (PES),2008Q4,Industry (B to E),
Students aged 15 years and over in employment (PES),2008Q4,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2008Q4,Other NACE activities (R to U),6.8
Students aged 15 years and over in employment (PES),2008Q4,Industry and Construction (B to F),
Students aged 15 years and over in employment (PES),2008Q4,Services (G to U),68.9
Students aged 15 years and over in employment (PES),2008Q4,Not stated,
Students aged 15 years and over in employment (PES),2009Q1,All NACE economic sectors,73.6
Students aged 15 years and over in employment (PES),2009Q1,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2009Q1,Construction (F),
Students aged 15 years and over in employment (PES),2009Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.9
Students aged 15 years and over in employment (PES),2009Q1,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2009Q1,Accommodation and food service activities (I),16.9
Students aged 15 years and over in employment (PES),2009Q1,Information and communication (J),
Students aged 15 years and over in employment (PES),2009Q1,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2009Q1,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2009Q1,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2009Q1,Education (P),
Students aged 15 years and over in employment (PES),2009Q1,Human health and social work activities (Q),3.1
Students aged 15 years and over in employment (PES),2009Q1,Industry (B to E),
Students aged 15 years and over in employment (PES),2009Q1,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2009Q1,Other NACE activities (R to U),6.9
Students aged 15 years and over in employment (PES),2009Q1,Industry and Construction (B to F),3.0
Students aged 15 years and over in employment (PES),2009Q1,Services (G to U),68.3
Students aged 15 years and over in employment (PES),2009Q1,Not stated,
Students aged 15 years and over in employment (PES),2009Q2,All NACE economic sectors,74.1
Students aged 15 years and over in employment (PES),2009Q2,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2009Q2,Construction (F),
Students aged 15 years and over in employment (PES),2009Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.3
Students aged 15 years and over in employment (PES),2009Q2,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2009Q2,Accommodation and food service activities (I),16.6
Students aged 15 years and over in employment (PES),2009Q2,Information and communication (J),
Students aged 15 years and over in employment (PES),2009Q2,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2009Q2,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2009Q2,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2009Q2,Education (P),
Students aged 15 years and over in employment (PES),2009Q2,Human health and social work activities (Q),3.2
Students aged 15 years and over in employment (PES),2009Q2,Industry (B to E),3.3
Students aged 15 years and over in employment (PES),2009Q2,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2009Q2,Other NACE activities (R to U),5.0
Students aged 15 years and over in employment (PES),2009Q2,Industry and Construction (B to F),4.3
Students aged 15 years and over in employment (PES),2009Q2,Services (G to U),66.7
Students aged 15 years and over in employment (PES),2009Q2,Not stated,
Students aged 15 years and over in employment (PES),2009Q3,All NACE economic sectors,82.1
Students aged 15 years and over in employment (PES),2009Q3,"Agriculture, forestry and fishing (A)",4.2
Students aged 15 years and over in employment (PES),2009Q3,Construction (F),
Students aged 15 years and over in employment (PES),2009Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),31.4
Students aged 15 years and over in employment (PES),2009Q3,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2009Q3,Accommodation and food service activities (I),20.3
Students aged 15 years and over in employment (PES),2009Q3,Information and communication (J),
Students aged 15 years and over in employment (PES),2009Q3,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2009Q3,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2009Q3,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2009Q3,Education (P),
Students aged 15 years and over in employment (PES),2009Q3,Human health and social work activities (Q),4.0
Students aged 15 years and over in employment (PES),2009Q3,Industry (B to E),
Students aged 15 years and over in employment (PES),2009Q3,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2009Q3,Other NACE activities (R to U),6.6
Students aged 15 years and over in employment (PES),2009Q3,Industry and Construction (B to F),4.2
Students aged 15 years and over in employment (PES),2009Q3,Services (G to U),73.2
Students aged 15 years and over in employment (PES),2009Q3,Not stated,
Students aged 15 years and over in employment (PES),2009Q4,All NACE economic sectors,61.6
Students aged 15 years and over in employment (PES),2009Q4,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2009Q4,Construction (F),
Students aged 15 years and over in employment (PES),2009Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),26.3
Students aged 15 years and over in employment (PES),2009Q4,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2009Q4,Accommodation and food service activities (I),15.5
Students aged 15 years and over in employment (PES),2009Q4,Information and communication (J),
Students aged 15 years and over in employment (PES),2009Q4,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2009Q4,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2009Q4,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2009Q4,Education (P),
Students aged 15 years and over in employment (PES),2009Q4,Human health and social work activities (Q),2.9
Students aged 15 years and over in employment (PES),2009Q4,Industry (B to E),
Students aged 15 years and over in employment (PES),2009Q4,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2009Q4,Other NACE activities (R to U),5.4
Students aged 15 years and over in employment (PES),2009Q4,Industry and Construction (B to F),
Students aged 15 years and over in employment (PES),2009Q4,Services (G to U),57.6
Students aged 15 years and over in employment (PES),2009Q4,Not stated,
Students aged 15 years and over in employment (PES),2010Q1,All NACE economic sectors,62.6
Students aged 15 years and over in employment (PES),2010Q1,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2010Q1,Construction (F),
Students aged 15 years and over in employment (PES),2010Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),23.7
Students aged 15 years and over in employment (PES),2010Q1,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2010Q1,Accommodation and food service activities (I),16.9
Students aged 15 years and over in employment (PES),2010Q1,Information and communication (J),
Students aged 15 years and over in employment (PES),2010Q1,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2010Q1,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2010Q1,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2010Q1,Education (P),
Students aged 15 years and over in employment (PES),2010Q1,Human health and social work activities (Q),
Students aged 15 years and over in employment (PES),2010Q1,Industry (B to E),
Students aged 15 years and over in employment (PES),2010Q1,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2010Q1,Other NACE activities (R to U),6.3
Students aged 15 years and over in employment (PES),2010Q1,Industry and Construction (B to F),
Students aged 15 years and over in employment (PES),2010Q1,Services (G to U),58.0
Students aged 15 years and over in employment (PES),2010Q1,Not stated,
Students aged 15 years and over in employment (PES),2010Q2,All NACE economic sectors,64.6
Students aged 15 years and over in employment (PES),2010Q2,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2010Q2,Construction (F),
Students aged 15 years and over in employment (PES),2010Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),24.3
Students aged 15 years and over in employment (PES),2010Q2,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2010Q2,Accommodation and food service activities (I),17.4
Students aged 15 years and over in employment (PES),2010Q2,Information and communication (J),
Students aged 15 years and over in employment (PES),2010Q2,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2010Q2,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2010Q2,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2010Q2,Education (P),
Students aged 15 years and over in employment (PES),2010Q2,Human health and social work activities (Q),
Students aged 15 years and over in employment (PES),2010Q2,Industry (B to E),
Students aged 15 years and over in employment (PES),2010Q2,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2010Q2,Other NACE activities (R to U),5.1
Students aged 15 years and over in employment (PES),2010Q2,Industry and Construction (B to F),3.3
Students aged 15 years and over in employment (PES),2010Q2,Services (G to U),58.2
Students aged 15 years and over in employment (PES),2010Q2,Not stated,
Students aged 15 years and over in employment (PES),2010Q3,All NACE economic sectors,71.2
Students aged 15 years and over in employment (PES),2010Q3,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2010Q3,Construction (F),
Students aged 15 years and over in employment (PES),2010Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),26.9
Students aged 15 years and over in employment (PES),2010Q3,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2010Q3,Accommodation and food service activities (I),20.4
Students aged 15 years and over in employment (PES),2010Q3,Information and communication (J),
Students aged 15 years and over in employment (PES),2010Q3,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2010Q3,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2010Q3,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2010Q3,Education (P),
Students aged 15 years and over in employment (PES),2010Q3,Human health and social work activities (Q),3.4
Students aged 15 years and over in employment (PES),2010Q3,Industry (B to E),
Students aged 15 years and over in employment (PES),2010Q3,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2010Q3,Other NACE activities (R to U),6.2
Students aged 15 years and over in employment (PES),2010Q3,Industry and Construction (B to F),3.3
Students aged 15 years and over in employment (PES),2010Q3,Services (G to U),64.3
Students aged 15 years and over in employment (PES),2010Q3,Not stated,
Students aged 15 years and over in employment (PES),2010Q4,All NACE economic sectors,60.3
Students aged 15 years and over in employment (PES),2010Q4,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2010Q4,Construction (F),
Students aged 15 years and over in employment (PES),2010Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),24.6
Students aged 15 years and over in employment (PES),2010Q4,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2010Q4,Accommodation and food service activities (I),16.8
Students aged 15 years and over in employment (PES),2010Q4,Information and communication (J),
Students aged 15 years and over in employment (PES),2010Q4,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2010Q4,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2010Q4,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2010Q4,Education (P),
Students aged 15 years and over in employment (PES),2010Q4,Human health and social work activities (Q),
Students aged 15 years and over in employment (PES),2010Q4,Industry (B to E),
Students aged 15 years and over in employment (PES),2010Q4,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2010Q4,Other NACE activities (R to U),5.5
Students aged 15 years and over in employment (PES),2010Q4,Industry and Construction (B to F),
Students aged 15 years and over in employment (PES),2010Q4,Services (G to U),55.6
Students aged 15 years and over in employment (PES),2010Q4,Not stated,
Students aged 15 years and over in employment (PES),2011Q1,All NACE economic sectors,55.6
Students aged 15 years and over in employment (PES),2011Q1,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2011Q1,Construction (F),
Students aged 15 years and over in employment (PES),2011Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),22.2
Students aged 15 years and over in employment (PES),2011Q1,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2011Q1,Accommodation and food service activities (I),14.3
Students aged 15 years and over in employment (PES),2011Q1,Information and communication (J),
Students aged 15 years and over in employment (PES),2011Q1,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2011Q1,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2011Q1,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2011Q1,Education (P),
Students aged 15 years and over in employment (PES),2011Q1,Human health and social work activities (Q),3.1
Students aged 15 years and over in employment (PES),2011Q1,Industry (B to E),
Students aged 15 years and over in employment (PES),2011Q1,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2011Q1,Other NACE activities (R to U),5.1
Students aged 15 years and over in employment (PES),2011Q1,Industry and Construction (B to F),
Students aged 15 years and over in employment (PES),2011Q1,Services (G to U),51.8
Students aged 15 years and over in employment (PES),2011Q1,Not stated,
Students aged 15 years and over in employment (PES),2011Q2,All NACE economic sectors,55.2
Students aged 15 years and over in employment (PES),2011Q2,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2011Q2,Construction (F),
Students aged 15 years and over in employment (PES),2011Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),19.8
Students aged 15 years and over in employment (PES),2011Q2,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2011Q2,Accommodation and food service activities (I),14.9
Students aged 15 years and over in employment (PES),2011Q2,Information and communication (J),
Students aged 15 years and over in employment (PES),2011Q2,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2011Q2,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2011Q2,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2011Q2,Education (P),
Students aged 15 years and over in employment (PES),2011Q2,Human health and social work activities (Q),3.2
Students aged 15 years and over in employment (PES),2011Q2,Industry (B to E),
Students aged 15 years and over in employment (PES),2011Q2,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2011Q2,Other NACE activities (R to U),5.2
Students aged 15 years and over in employment (PES),2011Q2,Industry and Construction (B to F),
Students aged 15 years and over in employment (PES),2011Q2,Services (G to U),50.4
Students aged 15 years and over in employment (PES),2011Q2,Not stated,
Students aged 15 years and over in employment (PES),2011Q3,All NACE economic sectors,66.4
Students aged 15 years and over in employment (PES),2011Q3,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2011Q3,Construction (F),
Students aged 15 years and over in employment (PES),2011Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),22.7
Students aged 15 years and over in employment (PES),2011Q3,Transportation and storage (H),
Students aged 15 years and over in employment (PES),2011Q3,Accommodation and food service activities (I),18.3
Students aged 15 years and over in employment (PES),2011Q3,Information and communication (J),
Students aged 15 years and over in employment (PES),2011Q3,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),2011Q3,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),2011Q3,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),2011Q3,Education (P),
Students aged 15 years and over in employment (PES),2011Q3,Human health and social work activities (Q),4.6
Students aged 15 years and over in employment (PES),2011Q3,Industry (B to E),
Students aged 15 years and over in employment (PES),2011Q3,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),2011Q3,Other NACE activities (R to U),6.3
Students aged 15 years and over in employment (PES),2011Q3,Industry and Construction (B to F),3.1
Students aged 15 years and over in employment (PES),2011Q3,Services (G to U),60.2
Students aged 15 years and over in employment (PES),2011Q3,Not stated,
Students aged 15 years and over in employment (PES),2011Q4,All NACE economic sectors,57.0
Students aged 15 years and over in employment (PES),2011Q4,"Agriculture, forestry and fishing (A)",
Students aged 15 years and over in employment (PES),2011Q4,Construction (F),
Students aged 15 years and over in employment (PES),2011Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),21.0
