NUTS 3 Regions,Quarter,Statistic,value
Midland,2002Q1,Unemployed Persons aged 15 years and over (Thousand),4.9
Midland,2002Q1,Persons aged 15 years and over in Labour Force (Thousand),95.8
Midland,2002Q1,ILO Unemployment Rate (15 - 74 years) (%),5.1
Midland,2002Q1,ILO Participation Rate (15 years and over) (%),55.4
Midland,2002Q2,Persons aged 15 years and over in Employment (Thousand),95.4
Midland,2002Q2,Unemployed Persons aged 15 years and over (Thousand),5.1
Midland,2002Q2,Persons aged 15 years and over in Labour Force (Thousand),100.5
Midland,2002Q2,ILO Unemployment Rate (15 - 74 years) (%),5.1
Midland,2002Q2,ILO Participation Rate (15 years and over) (%),57.8
Midland,2002Q3,Persons aged 15 years and over in Employment (Thousand),94.1
Midland,2002Q3,Unemployed Persons aged 15 years and over (Thousand),4.9
Midland,2002Q3,Persons aged 15 years and over in Labour Force (Thousand),98.9
Midland,2002Q3,ILO Unemployment Rate (15 - 74 years) (%),4.9
Midland,2002Q3,ILO Participation Rate (15 years and over) (%),56.5
Midland,2002Q4,Persons aged 15 years and over in Employment (Thousand),94.7
Midland,2002Q4,Unemployed Persons aged 15 years and over (Thousand),5.1
Midland,2002Q4,Persons aged 15 years and over in Labour Force (Thousand),99.9
Midland,2002Q4,ILO Unemployment Rate (15 - 74 years) (%),5.2
Midland,2002Q4,ILO Participation Rate (15 years and over) (%),56.6
Midland,2003Q1,Persons aged 15 years and over in Employment (Thousand),96.2
Midland,2003Q1,Unemployed Persons aged 15 years and over (Thousand),5.8
Midland,2003Q1,Persons aged 15 years and over in Labour Force (Thousand),102.0
Midland,2003Q1,ILO Unemployment Rate (15 - 74 years) (%),5.7
Midland,2003Q1,ILO Participation Rate (15 years and over) (%),57.5
Midland,2003Q2,Persons aged 15 years and over in Employment (Thousand),96.7
Midland,2003Q2,Unemployed Persons aged 15 years and over (Thousand),6.8
Midland,2003Q2,Persons aged 15 years and over in Labour Force (Thousand),103.4
Midland,2003Q2,ILO Unemployment Rate (15 - 74 years) (%),6.6
Midland,2003Q2,ILO Participation Rate (15 years and over) (%),58.1
Midland,2003Q3,Persons aged 15 years and over in Employment (Thousand),98.6
Midland,2003Q3,Unemployed Persons aged 15 years and over (Thousand),5.6
Midland,2003Q3,Persons aged 15 years and over in Labour Force (Thousand),104.1
Midland,2003Q3,ILO Unemployment Rate (15 - 74 years) (%),5.4
Midland,2003Q3,ILO Participation Rate (15 years and over) (%),58.1
Midland,2003Q4,Persons aged 15 years and over in Employment (Thousand),98.0
Midland,2003Q4,Unemployed Persons aged 15 years and over (Thousand),4.9
Midland,2003Q4,Persons aged 15 years and over in Labour Force (Thousand),102.9
Midland,2003Q4,ILO Unemployment Rate (15 - 74 years) (%),4.8
Midland,2003Q4,ILO Participation Rate (15 years and over) (%),56.9
Midland,2004Q1,Persons aged 15 years and over in Employment (Thousand),98.7
Midland,2004Q1,Unemployed Persons aged 15 years and over (Thousand),6.0
Midland,2004Q1,Persons aged 15 years and over in Labour Force (Thousand),104.7
Midland,2004Q1,ILO Unemployment Rate (15 - 74 years) (%),5.7
Midland,2004Q1,ILO Participation Rate (15 years and over) (%),57.6
Midland,2004Q2,Persons aged 15 years and over in Employment (Thousand),99.9
Midland,2004Q2,Unemployed Persons aged 15 years and over (Thousand),6.8
Midland,2004Q2,Persons aged 15 years and over in Labour Force (Thousand),106.8
Midland,2004Q2,ILO Unemployment Rate (15 - 74 years) (%),6.4
Midland,2004Q2,ILO Participation Rate (15 years and over) (%),58.4
Midland,2004Q3,Persons aged 15 years and over in Employment (Thousand),104.3
Midland,2004Q3,Unemployed Persons aged 15 years and over (Thousand),5.9
Midland,2004Q3,Persons aged 15 years and over in Labour Force (Thousand),110.2
Midland,2004Q3,ILO Unemployment Rate (15 - 74 years) (%),5.4
Midland,2004Q3,ILO Participation Rate (15 years and over) (%),59.9
Midland,2004Q4,Persons aged 15 years and over in Employment (Thousand),101.6
Midland,2004Q4,Unemployed Persons aged 15 years and over (Thousand),5.6
Midland,2004Q4,Persons aged 15 years and over in Labour Force (Thousand),107.2
Midland,2004Q4,ILO Unemployment Rate (15 - 74 years) (%),5.3
Midland,2004Q4,ILO Participation Rate (15 years and over) (%),57.8
Midland,2005Q1,Persons aged 15 years and over in Employment (Thousand),104.3
Midland,2005Q1,Unemployed Persons aged 15 years and over (Thousand),4.7
Midland,2005Q1,Persons aged 15 years and over in Labour Force (Thousand),109.0
Midland,2005Q1,ILO Unemployment Rate (15 - 74 years) (%),4.3
Midland,2005Q1,ILO Participation Rate (15 years and over) (%),58.4
Midland,2005Q2,Persons aged 15 years and over in Employment (Thousand),105.4
Midland,2005Q2,Unemployed Persons aged 15 years and over (Thousand),6.4
Midland,2005Q2,Persons aged 15 years and over in Labour Force (Thousand),111.9
Midland,2005Q2,ILO Unemployment Rate (15 - 74 years) (%),5.8
Midland,2005Q2,ILO Participation Rate (15 years and over) (%),59.5
Midland,2005Q3,Persons aged 15 years and over in Employment (Thousand),108.9
Midland,2005Q3,Unemployed Persons aged 15 years and over (Thousand),5.3
Midland,2005Q3,Persons aged 15 years and over in Labour Force (Thousand),114.2
Midland,2005Q3,ILO Unemployment Rate (15 - 74 years) (%),4.7
Midland,2005Q3,ILO Participation Rate (15 years and over) (%),60.1
Midland,2005Q4,Persons aged 15 years and over in Employment (Thousand),108.3
Midland,2005Q4,Unemployed Persons aged 15 years and over (Thousand),4.8
Midland,2005Q4,Persons aged 15 years and over in Labour Force (Thousand),113.1
Midland,2005Q4,ILO Unemployment Rate (15 - 74 years) (%),4.3
Midland,2005Q4,ILO Participation Rate (15 years and over) (%),58.7
Midland,2006Q1,Persons aged 15 years and over in Employment (Thousand),109.4
Midland,2006Q1,Unemployed Persons aged 15 years and over (Thousand),4.9
Midland,2006Q1,Persons aged 15 years and over in Labour Force (Thousand),114.3
Midland,2006Q1,ILO Unemployment Rate (15 - 74 years) (%),4.3
Midland,2006Q1,ILO Participation Rate (15 years and over) (%),58.8
Midland,2006Q2,Persons aged 15 years and over in Employment (Thousand),111.0
Midland,2006Q2,Unemployed Persons aged 15 years and over (Thousand),5.8
Midland,2006Q2,Persons aged 15 years and over in Labour Force (Thousand),116.8
Midland,2006Q2,ILO Unemployment Rate (15 - 74 years) (%),5.0
Midland,2006Q2,ILO Participation Rate (15 years and over) (%),59.5
Midland,2006Q3,Persons aged 15 years and over in Employment (Thousand),115.1
Midland,2006Q3,Unemployed Persons aged 15 years and over (Thousand),6.9
Midland,2006Q3,Persons aged 15 years and over in Labour Force (Thousand),122.0
Midland,2006Q3,ILO Unemployment Rate (15 - 74 years) (%),5.7
Midland,2006Q3,ILO Participation Rate (15 years and over) (%),61.4
Midland,2006Q4,Persons aged 15 years and over in Employment (Thousand),114.5
Midland,2006Q4,Unemployed Persons aged 15 years and over (Thousand),4.4
Midland,2006Q4,Persons aged 15 years and over in Labour Force (Thousand),118.9
Midland,2006Q4,ILO Unemployment Rate (15 - 74 years) (%),3.7
Midland,2006Q4,ILO Participation Rate (15 years and over) (%),59.2
Midland,2007Q1,Persons aged 15 years and over in Employment (Thousand),115.8
Midland,2007Q1,Unemployed Persons aged 15 years and over (Thousand),6.4
Midland,2007Q1,Persons aged 15 years and over in Labour Force (Thousand),122.2
Midland,2007Q1,ILO Unemployment Rate (15 - 74 years) (%),5.3
Midland,2007Q1,ILO Participation Rate (15 years and over) (%),60.3
Midland,2007Q2,Persons aged 15 years and over in Employment (Thousand),118.2
Midland,2007Q2,Unemployed Persons aged 15 years and over (Thousand),6.8
Midland,2007Q2,Persons aged 15 years and over in Labour Force (Thousand),125.0
Midland,2007Q2,ILO Unemployment Rate (15 - 74 years) (%),5.4
Midland,2007Q2,ILO Participation Rate (15 years and over) (%),61.1
Midland,2007Q3,Persons aged 15 years and over in Employment (Thousand),122.0
Midland,2007Q3,Unemployed Persons aged 15 years and over (Thousand),6.0
Midland,2007Q3,Persons aged 15 years and over in Labour Force (Thousand),128.0
Midland,2007Q3,ILO Unemployment Rate (15 - 74 years) (%),4.7
Midland,2007Q3,ILO Participation Rate (15 years and over) (%),62.1
Midland,2007Q4,Persons aged 15 years and over in Employment (Thousand),120.2
Midland,2007Q4,Unemployed Persons aged 15 years and over (Thousand),7.7
Midland,2007Q4,Persons aged 15 years and over in Labour Force (Thousand),127.9
Midland,2007Q4,ILO Unemployment Rate (15 - 74 years) (%),6.1
Midland,2007Q4,ILO Participation Rate (15 years and over) (%),61.5
Midland,2008Q1,Persons aged 15 years and over in Employment (Thousand),119.2
Midland,2008Q1,Unemployed Persons aged 15 years and over (Thousand),7.8
Midland,2008Q1,Persons aged 15 years and over in Labour Force (Thousand),127.0
Midland,2008Q1,ILO Unemployment Rate (15 - 74 years) (%),6.1
Midland,2008Q1,ILO Participation Rate (15 years and over) (%),60.6
Midland,2008Q2,Persons aged 15 years and over in Employment (Thousand),115.5
Midland,2008Q2,Unemployed Persons aged 15 years and over (Thousand),11.1
Midland,2008Q2,Persons aged 15 years and over in Labour Force (Thousand),126.6
Midland,2008Q2,ILO Unemployment Rate (15 - 74 years) (%),8.8
Midland,2008Q2,ILO Participation Rate (15 years and over) (%),60.1
Midland,2008Q3,Persons aged 15 years and over in Employment (Thousand),115.8
Midland,2008Q3,Unemployed Persons aged 15 years and over (Thousand),14.0
Midland,2008Q3,Persons aged 15 years and over in Labour Force (Thousand),129.8
Midland,2008Q3,ILO Unemployment Rate (15 - 74 years) (%),10.9
Midland,2008Q3,ILO Participation Rate (15 years and over) (%),61.5
Midland,2008Q4,Persons aged 15 years and over in Employment (Thousand),112.0
Midland,2008Q4,Unemployed Persons aged 15 years and over (Thousand),14.8
Midland,2008Q4,Persons aged 15 years and over in Labour Force (Thousand),126.9
Midland,2008Q4,ILO Unemployment Rate (15 - 74 years) (%),11.7
Midland,2008Q4,ILO Participation Rate (15 years and over) (%),59.9
Midland,2009Q1,Persons aged 15 years and over in Employment (Thousand),105.3
Midland,2009Q1,Unemployed Persons aged 15 years and over (Thousand),17.8
Midland,2009Q1,Persons aged 15 years and over in Labour Force (Thousand),123.1
Midland,2009Q1,ILO Unemployment Rate (15 - 74 years) (%),14.5
Midland,2009Q1,ILO Participation Rate (15 years and over) (%),57.9
Midland,2009Q2,Persons aged 15 years and over in Employment (Thousand),104.8
Midland,2009Q2,Unemployed Persons aged 15 years and over (Thousand),22.9
Midland,2009Q2,Persons aged 15 years and over in Labour Force (Thousand),127.7
Midland,2009Q2,ILO Unemployment Rate (15 - 74 years) (%),18.0
Midland,2009Q2,ILO Participation Rate (15 years and over) (%),60.0
Midland,2009Q3,Persons aged 15 years and over in Employment (Thousand),105.4
Midland,2009Q3,Unemployed Persons aged 15 years and over (Thousand),23.3
Midland,2009Q3,Persons aged 15 years and over in Labour Force (Thousand),128.7
Midland,2009Q3,ILO Unemployment Rate (15 - 74 years) (%),18.2
Midland,2009Q3,ILO Participation Rate (15 years and over) (%),60.3
Midland,2009Q4,Persons aged 15 years and over in Employment (Thousand),103.7
Midland,2009Q4,Unemployed Persons aged 15 years and over (Thousand),22.4
Midland,2009Q4,Persons aged 15 years and over in Labour Force (Thousand),126.1
Midland,2009Q4,ILO Unemployment Rate (15 - 74 years) (%),17.9
Midland,2009Q4,ILO Participation Rate (15 years and over) (%),58.9
Midland,2010Q1,Persons aged 15 years and over in Employment (Thousand),103.2
Midland,2010Q1,Unemployed Persons aged 15 years and over (Thousand),22.7
Midland,2010Q1,Persons aged 15 years and over in Labour Force (Thousand),125.9
Midland,2010Q1,ILO Unemployment Rate (15 - 74 years) (%),18.2
Midland,2010Q1,ILO Participation Rate (15 years and over) (%),58.7
Midland,2010Q2,Persons aged 15 years and over in Employment (Thousand),99.1
Midland,2010Q2,Unemployed Persons aged 15 years and over (Thousand),22.0
Midland,2010Q2,Persons aged 15 years and over in Labour Force (Thousand),121.1
Midland,2010Q2,ILO Unemployment Rate (15 - 74 years) (%),18.2
Midland,2010Q2,ILO Participation Rate (15 years and over) (%),56.4
Midland,2010Q3,Persons aged 15 years and over in Employment (Thousand),98.2
Midland,2010Q3,Unemployed Persons aged 15 years and over (Thousand),26.6
Midland,2010Q3,Persons aged 15 years and over in Labour Force (Thousand),124.8
Midland,2010Q3,ILO Unemployment Rate (15 - 74 years) (%),21.4
Midland,2010Q3,ILO Participation Rate (15 years and over) (%),58.0
Midland,2010Q4,Persons aged 15 years and over in Employment (Thousand),97.3
Midland,2010Q4,Unemployed Persons aged 15 years and over (Thousand),23.5
Midland,2010Q4,Persons aged 15 years and over in Labour Force (Thousand),120.8
Midland,2010Q4,ILO Unemployment Rate (15 - 74 years) (%),19.6
Midland,2010Q4,ILO Participation Rate (15 years and over) (%),55.8
Midland,2011Q1,Persons aged 15 years and over in Employment (Thousand),98.1
Midland,2011Q1,Unemployed Persons aged 15 years and over (Thousand),24.9
Midland,2011Q1,Persons aged 15 years and over in Labour Force (Thousand),123.1
Midland,2011Q1,ILO Unemployment Rate (15 - 74 years) (%),20.3
Midland,2011Q1,ILO Participation Rate (15 years and over) (%),56.8
Midland,2011Q2,Persons aged 15 years and over in Employment (Thousand),101.9
Midland,2011Q2,Unemployed Persons aged 15 years and over (Thousand),26.8
Midland,2011Q2,Persons aged 15 years and over in Labour Force (Thousand),128.7
Midland,2011Q2,ILO Unemployment Rate (15 - 74 years) (%),20.9
Midland,2011Q2,ILO Participation Rate (15 years and over) (%),59.1
Midland,2011Q3,Persons aged 15 years and over in Employment (Thousand),95.7
Midland,2011Q3,Unemployed Persons aged 15 years and over (Thousand),28.9
Midland,2011Q3,Persons aged 15 years and over in Labour Force (Thousand),124.6
Midland,2011Q3,ILO Unemployment Rate (15 - 74 years) (%),23.2
Midland,2011Q3,ILO Participation Rate (15 years and over) (%),57.1
Midland,2011Q4,Persons aged 15 years and over in Employment (Thousand),96.8
Midland,2011Q4,Unemployed Persons aged 15 years and over (Thousand),27.8
Midland,2011Q4,Persons aged 15 years and over in Labour Force (Thousand),124.6
Midland,2011Q4,ILO Unemployment Rate (15 - 74 years) (%),22.4
Midland,2011Q4,ILO Participation Rate (15 years and over) (%),57.0
West,1998Q1,Persons aged 15 years and over in Employment (Thousand),137.1
West,1998Q1,Unemployed Persons aged 15 years and over (Thousand),11.7
West,1998Q1,Persons aged 15 years and over in Labour Force (Thousand),148.8
West,1998Q1,ILO Unemployment Rate (15 - 74 years) (%),7.9
West,1998Q1,ILO Participation Rate (15 years and over) (%),54.3
West,1998Q2,Persons aged 15 years and over in Employment (Thousand),138.8
West,1998Q2,Unemployed Persons aged 15 years and over (Thousand),10.8
West,1998Q2,Persons aged 15 years and over in Labour Force (Thousand),149.6
West,1998Q2,ILO Unemployment Rate (15 - 74 years) (%),7.3
West,1998Q2,ILO Participation Rate (15 years and over) (%),54.5
West,1998Q3,Persons aged 15 years and over in Employment (Thousand),146.2
West,1998Q3,Unemployed Persons aged 15 years and over (Thousand),10.2
West,1998Q3,Persons aged 15 years and over in Labour Force (Thousand),156.5
West,1998Q3,ILO Unemployment Rate (15 - 74 years) (%),6.6
West,1998Q3,ILO Participation Rate (15 years and over) (%),56.8
West,1998Q4,Persons aged 15 years and over in Employment (Thousand),144.1
West,1998Q4,Unemployed Persons aged 15 years and over (Thousand),8.9
West,1998Q4,Persons aged 15 years and over in Labour Force (Thousand),153.1
West,1998Q4,ILO Unemployment Rate (15 - 74 years) (%),5.9
West,1998Q4,ILO Participation Rate (15 years and over) (%),55.5
West,1999Q1,Persons aged 15 years and over in Employment (Thousand),146.3
West,1999Q1,Unemployed Persons aged 15 years and over (Thousand),8.8
West,1999Q1,Persons aged 15 years and over in Labour Force (Thousand),155.1
West,1999Q1,ILO Unemployment Rate (15 - 74 years) (%),5.7
West,1999Q1,ILO Participation Rate (15 years and over) (%),56.2
West,1999Q2,Persons aged 15 years and over in Employment (Thousand),150.3
West,1999Q2,Unemployed Persons aged 15 years and over (Thousand),8.9
West,1999Q2,Persons aged 15 years and over in Labour Force (Thousand),159.1
West,1999Q2,ILO Unemployment Rate (15 - 74 years) (%),5.6
West,1999Q2,ILO Participation Rate (15 years and over) (%),57.5
West,1999Q3,Persons aged 15 years and over in Employment (Thousand),157.7
West,1999Q3,Unemployed Persons aged 15 years and over (Thousand),7.4
West,1999Q3,Persons aged 15 years and over in Labour Force (Thousand),165.1
West,1999Q3,ILO Unemployment Rate (15 - 74 years) (%),4.5
West,1999Q3,ILO Participation Rate (15 years and over) (%),59.3
West,1999Q4,Persons aged 15 years and over in Employment (Thousand),155.7
West,1999Q4,Unemployed Persons aged 15 years and over (Thousand),7.6
West,1999Q4,Persons aged 15 years and over in Labour Force (Thousand),163.3
West,1999Q4,ILO Unemployment Rate (15 - 74 years) (%),4.7
West,1999Q4,ILO Participation Rate (15 years and over) (%),58.2
West,2000Q1,Persons aged 15 years and over in Employment (Thousand),156.8
West,2000Q1,Unemployed Persons aged 15 years and over (Thousand),7.6
West,2000Q1,Persons aged 15 years and over in Labour Force (Thousand),164.4
West,2000Q1,ILO Unemployment Rate (15 - 74 years) (%),4.6
West,2000Q1,ILO Participation Rate (15 years and over) (%),58.4
West,2000Q2,Persons aged 15 years and over in Employment (Thousand),157.1
West,2000Q2,Unemployed Persons aged 15 years and over (Thousand),9.6
West,2000Q2,Persons aged 15 years and over in Labour Force (Thousand),166.7
West,2000Q2,ILO Unemployment Rate (15 - 74 years) (%),5.8
West,2000Q2,ILO Participation Rate (15 years and over) (%),59.0
West,2000Q3,Persons aged 15 years and over in Employment (Thousand),162.2
West,2000Q3,Unemployed Persons aged 15 years and over (Thousand),8.6
West,2000Q3,Persons aged 15 years and over in Labour Force (Thousand),170.9
West,2000Q3,ILO Unemployment Rate (15 - 74 years) (%),5.1
West,2000Q3,ILO Participation Rate (15 years and over) (%),60.0
West,2000Q4,Persons aged 15 years and over in Employment (Thousand),160.8
West,2000Q4,Unemployed Persons aged 15 years and over (Thousand),6.8
West,2000Q4,Persons aged 15 years and over in Labour Force (Thousand),167.6
West,2000Q4,ILO Unemployment Rate (15 - 74 years) (%),4.1
West,2000Q4,ILO Participation Rate (15 years and over) (%),58.4
West,2001Q1,Persons aged 15 years and over in Employment (Thousand),161.5
West,2001Q1,Unemployed Persons aged 15 years and over (Thousand),7.1
West,2001Q1,Persons aged 15 years and over in Labour Force (Thousand),168.6
West,2001Q1,ILO Unemployment Rate (15 - 74 years) (%),4.2
West,2001Q1,ILO Participation Rate (15 years and over) (%),58.6
West,2001Q2,Persons aged 15 years and over in Employment (Thousand),163.3
West,2001Q2,Unemployed Persons aged 15 years and over (Thousand),8.1
West,2001Q2,Persons aged 15 years and over in Labour Force (Thousand),171.5
West,2001Q2,ILO Unemployment Rate (15 - 74 years) (%),4.8
West,2001Q2,ILO Participation Rate (15 years and over) (%),59.2
West,2001Q3,Persons aged 15 years and over in Employment (Thousand),172.1
West,2001Q3,Unemployed Persons aged 15 years and over (Thousand),8.1
West,2001Q3,Persons aged 15 years and over in Labour Force (Thousand),180.1
West,2001Q3,ILO Unemployment Rate (15 - 74 years) (%),4.5
West,2001Q3,ILO Participation Rate (15 years and over) (%),61.6
West,2001Q4,Persons aged 15 years and over in Employment (Thousand),168.6
West,2001Q4,Unemployed Persons aged 15 years and over (Thousand),8.7
West,2001Q4,Persons aged 15 years and over in Labour Force (Thousand),177.4
West,2001Q4,ILO Unemployment Rate (15 - 74 years) (%),4.9
West,2001Q4,ILO Participation Rate (15 years and over) (%),59.9
West,2002Q1,Persons aged 15 years and over in Employment (Thousand),168.1
West,2002Q1,Unemployed Persons aged 15 years and over (Thousand),9.3
West,2002Q1,Persons aged 15 years and over in Labour Force (Thousand),177.4
West,2002Q1,ILO Unemployment Rate (15 - 74 years) (%),5.3
West,2002Q1,ILO Participation Rate (15 years and over) (%),59.5
West,2002Q2,Persons aged 15 years and over in Employment (Thousand),168.8
West,2002Q2,Unemployed Persons aged 15 years and over (Thousand),10.2
West,2002Q2,Persons aged 15 years and over in Labour Force (Thousand),178.9
West,2002Q2,ILO Unemployment Rate (15 - 74 years) (%),5.7
West,2002Q2,ILO Participation Rate (15 years and over) (%),59.5
West,2002Q3,Persons aged 15 years and over in Employment (Thousand),174.5
West,2002Q3,Unemployed Persons aged 15 years and over (Thousand),8.2
West,2002Q3,Persons aged 15 years and over in Labour Force (Thousand),182.7
West,2002Q3,ILO Unemployment Rate (15 - 74 years) (%),4.5
West,2002Q3,ILO Participation Rate (15 years and over) (%),60.3
West,2002Q4,Persons aged 15 years and over in Employment (Thousand),171.6
West,2002Q4,Unemployed Persons aged 15 years and over (Thousand),9.5
West,2002Q4,Persons aged 15 years and over in Labour Force (Thousand),181.1
West,2002Q4,ILO Unemployment Rate (15 - 74 years) (%),5.3
West,2002Q4,ILO Participation Rate (15 years and over) (%),59.3
West,2003Q1,Persons aged 15 years and over in Employment (Thousand),173.3
West,2003Q1,Unemployed Persons aged 15 years and over (Thousand),8.8
West,2003Q1,Persons aged 15 years and over in Labour Force (Thousand),182.1
West,2003Q1,ILO Unemployment Rate (15 - 74 years) (%),4.9
West,2003Q1,ILO Participation Rate (15 years and over) (%),59.2
West,2003Q2,Persons aged 15 years and over in Employment (Thousand),173.7
West,2003Q2,Unemployed Persons aged 15 years and over (Thousand),8.2
West,2003Q2,Persons aged 15 years and over in Labour Force (Thousand),181.9
West,2003Q2,ILO Unemployment Rate (15 - 74 years) (%),4.5
West,2003Q2,ILO Participation Rate (15 years and over) (%),59.0
West,2003Q3,Persons aged 15 years and over in Employment (Thousand),177.6
West,2003Q3,Unemployed Persons aged 15 years and over (Thousand),9.7
West,2003Q3,Persons aged 15 years and over in Labour Force (Thousand),187.3
West,2003Q3,ILO Unemployment Rate (15 - 74 years) (%),5.2
West,2003Q3,ILO Participation Rate (15 years and over) (%),60.4
West,2003Q4,Persons aged 15 years and over in Employment (Thousand),178.4
West,2003Q4,Unemployed Persons aged 15 years and over (Thousand),7.0
West,2003Q4,Persons aged 15 years and over in Labour Force (Thousand),185.4
West,2003Q4,ILO Unemployment Rate (15 - 74 years) (%),3.8
West,2003Q4,ILO Participation Rate (15 years and over) (%),59.5
West,2004Q1,Persons aged 15 years and over in Employment (Thousand),178.9
West,2004Q1,Unemployed Persons aged 15 years and over (Thousand),8.6
West,2004Q1,Persons aged 15 years and over in Labour Force (Thousand),187.4
West,2004Q1,ILO Unemployment Rate (15 - 74 years) (%),4.6
West,2004Q1,ILO Participation Rate (15 years and over) (%),60.0
West,2004Q2,Persons aged 15 years and over in Employment (Thousand),180.1
West,2004Q2,Unemployed Persons aged 15 years and over (Thousand),7.3
West,2004Q2,Persons aged 15 years and over in Labour Force (Thousand),187.4
West,2004Q2,ILO Unemployment Rate (15 - 74 years) (%),3.9
West,2004Q2,ILO Participation Rate (15 years and over) (%),59.8
West,2004Q3,Persons aged 15 years and over in Employment (Thousand),189.1
West,2004Q3,Unemployed Persons aged 15 years and over (Thousand),7.9
West,2004Q3,Persons aged 15 years and over in Labour Force (Thousand),197.0
West,2004Q3,ILO Unemployment Rate (15 - 74 years) (%),4.0
West,2004Q3,ILO Participation Rate (15 years and over) (%),62.2
West,2004Q4,Persons aged 15 years and over in Employment (Thousand),186.2
West,2004Q4,Unemployed Persons aged 15 years and over (Thousand),8.3
West,2004Q4,Persons aged 15 years and over in Labour Force (Thousand),194.4
West,2004Q4,ILO Unemployment Rate (15 - 74 years) (%),4.3
West,2004Q4,ILO Participation Rate (15 years and over) (%),60.8
West,2005Q1,Persons aged 15 years and over in Employment (Thousand),187.3
West,2005Q1,Unemployed Persons aged 15 years and over (Thousand),8.5
West,2005Q1,Persons aged 15 years and over in Labour Force (Thousand),195.8
West,2005Q1,ILO Unemployment Rate (15 - 74 years) (%),4.3
West,2005Q1,ILO Participation Rate (15 years and over) (%),60.8
West,2005Q2,Persons aged 15 years and over in Employment (Thousand),191.5
West,2005Q2,Unemployed Persons aged 15 years and over (Thousand),8.5
West,2005Q2,Persons aged 15 years and over in Labour Force (Thousand),200.0
West,2005Q2,ILO Unemployment Rate (15 - 74 years) (%),4.3
West,2005Q2,ILO Participation Rate (15 years and over) (%),61.7
West,2005Q3,Persons aged 15 years and over in Employment (Thousand),194.5
West,2005Q3,Unemployed Persons aged 15 years and over (Thousand),9.0
West,2005Q3,Persons aged 15 years and over in Labour Force (Thousand),203.4
West,2005Q3,ILO Unemployment Rate (15 - 74 years) (%),4.4
West,2005Q3,ILO Participation Rate (15 years and over) (%),62.4
West,2005Q4,Persons aged 15 years and over in Employment (Thousand),193.5
West,2005Q4,Unemployed Persons aged 15 years and over (Thousand),8.5
West,2005Q4,Persons aged 15 years and over in Labour Force (Thousand),202.0
West,2005Q4,ILO Unemployment Rate (15 - 74 years) (%),4.2
West,2005Q4,ILO Participation Rate (15 years and over) (%),61.5
West,2006Q1,Persons aged 15 years and over in Employment (Thousand),193.6
West,2006Q1,Unemployed Persons aged 15 years and over (Thousand),10.0
West,2006Q1,Persons aged 15 years and over in Labour Force (Thousand),203.5
West,2006Q1,ILO Unemployment Rate (15 - 74 years) (%),4.9
West,2006Q1,ILO Participation Rate (15 years and over) (%),61.7
West,2006Q2,Persons aged 15 years and over in Employment (Thousand),195.6
West,2006Q2,Unemployed Persons aged 15 years and over (Thousand),10.4
West,2006Q2,Persons aged 15 years and over in Labour Force (Thousand),206.0
West,2006Q2,ILO Unemployment Rate (15 - 74 years) (%),5.1
West,2006Q2,ILO Participation Rate (15 years and over) (%),62.8
West,2006Q3,Persons aged 15 years and over in Employment (Thousand),199.7
West,2006Q3,Unemployed Persons aged 15 years and over (Thousand),12.3
West,2006Q3,Persons aged 15 years and over in Labour Force (Thousand),212.0
West,2006Q3,ILO Unemployment Rate (15 - 74 years) (%),5.8
West,2006Q3,ILO Participation Rate (15 years and over) (%),63.9
West,2006Q4,Persons aged 15 years and over in Employment (Thousand),198.5
West,2006Q4,Unemployed Persons aged 15 years and over (Thousand),9.2
West,2006Q4,Persons aged 15 years and over in Labour Force (Thousand),207.6
West,2006Q4,ILO Unemployment Rate (15 - 74 years) (%),4.4
West,2006Q4,ILO Participation Rate (15 years and over) (%),62.0
West,2007Q1,Persons aged 15 years and over in Employment (Thousand),201.7
West,2007Q1,Unemployed Persons aged 15 years and over (Thousand),8.8
West,2007Q1,Persons aged 15 years and over in Labour Force (Thousand),210.5
West,2007Q1,ILO Unemployment Rate (15 - 74 years) (%),4.2
West,2007Q1,ILO Participation Rate (15 years and over) (%),62.4
West,2007Q2,Persons aged 15 years and over in Employment (Thousand),203.3
West,2007Q2,Unemployed Persons aged 15 years and over (Thousand),11.2
West,2007Q2,Persons aged 15 years and over in Labour Force (Thousand),214.5
West,2007Q2,ILO Unemployment Rate (15 - 74 years) (%),5.2
West,2007Q2,ILO Participation Rate (15 years and over) (%),63.2
West,2007Q3,Persons aged 15 years and over in Employment (Thousand),208.3
West,2007Q3,Unemployed Persons aged 15 years and over (Thousand),11.2
West,2007Q3,Persons aged 15 years and over in Labour Force (Thousand),219.5
West,2007Q3,ILO Unemployment Rate (15 - 74 years) (%),5.1
West,2007Q3,ILO Participation Rate (15 years and over) (%),64.4
West,2007Q4,Persons aged 15 years and over in Employment (Thousand),207.0
West,2007Q4,Unemployed Persons aged 15 years and over (Thousand),9.1
West,2007Q4,Persons aged 15 years and over in Labour Force (Thousand),216.1
West,2007Q4,ILO Unemployment Rate (15 - 74 years) (%),4.2
West,2007Q4,ILO Participation Rate (15 years and over) (%),63.1
West,2008Q1,Persons aged 15 years and over in Employment (Thousand),205.1
West,2008Q1,Unemployed Persons aged 15 years and over (Thousand),13.4
West,2008Q1,Persons aged 15 years and over in Labour Force (Thousand),218.5
West,2008Q1,ILO Unemployment Rate (15 - 74 years) (%),6.2
West,2008Q1,ILO Participation Rate (15 years and over) (%),63.5
