STATISTIC,Quarter,Age Group,Sex,Marital Status,value
ILO Participation Rates  (%),1999Q3,55 - 59 years,Both sexes,Single - never married,54.8
ILO Participation Rates  (%),1999Q3,55 - 59 years,Both sexes,Married,54.5
ILO Participation Rates  (%),1999Q3,55 - 59 years,Both sexes,Widowed,39.5
ILO Participation Rates  (%),1999Q3,55 - 59 years,Both sexes,Separated or divorced,54.6
ILO Participation Rates  (%),1999Q3,55 - 59 years,Both sexes,All marital status,53.7
ILO Participation Rates  (%),1999Q3,55 - 59 years,Male,Single - never married,56.4
ILO Participation Rates  (%),1999Q3,55 - 59 years,Male,Married,77.0
ILO Participation Rates  (%),1999Q3,55 - 59 years,Male,Widowed,65.2
ILO Participation Rates  (%),1999Q3,55 - 59 years,Male,Separated or divorced,60.9
ILO Participation Rates  (%),1999Q3,55 - 59 years,Male,All marital status,73.0
ILO Participation Rates  (%),1999Q3,55 - 59 years,Female,Single - never married,52.2
ILO Participation Rates  (%),1999Q3,55 - 59 years,Female,Married,31.1
ILO Participation Rates  (%),1999Q3,55 - 59 years,Female,Widowed,30.3
ILO Participation Rates  (%),1999Q3,55 - 59 years,Female,Separated or divorced,49.1
ILO Participation Rates  (%),1999Q3,55 - 59 years,Female,All marital status,33.9
ILO Participation Rates  (%),1999Q3,60 - 64 years,Both sexes,Single - never married,41.4
ILO Participation Rates  (%),1999Q3,60 - 64 years,Both sexes,Married,38.4
ILO Participation Rates  (%),1999Q3,60 - 64 years,Both sexes,Widowed,22.2
ILO Participation Rates  (%),1999Q3,60 - 64 years,Both sexes,Separated or divorced,29.8
ILO Participation Rates  (%),1999Q3,60 - 64 years,Both sexes,All marital status,36.5
ILO Participation Rates  (%),1999Q3,60 - 64 years,Male,Single - never married,46.9
ILO Participation Rates  (%),1999Q3,60 - 64 years,Male,Married,56.6
ILO Participation Rates  (%),1999Q3,60 - 64 years,Male,Widowed,35.2
ILO Participation Rates  (%),1999Q3,60 - 64 years,Male,Separated or divorced,41.3
ILO Participation Rates  (%),1999Q3,60 - 64 years,Male,All marital status,53.4
ILO Participation Rates  (%),1999Q3,60 - 64 years,Female,Single - never married,33.1
ILO Participation Rates  (%),1999Q3,60 - 64 years,Female,Married,17.7
ILO Participation Rates  (%),1999Q3,60 - 64 years,Female,Widowed,18.7
ILO Participation Rates  (%),1999Q3,60 - 64 years,Female,Separated or divorced,21.1
ILO Participation Rates  (%),1999Q3,60 - 64 years,Female,All marital status,19.7
ILO Participation Rates  (%),1999Q3,65 years and over,Both sexes,Single - never married,13.2
ILO Participation Rates  (%),1999Q3,65 years and over,Both sexes,Married,9.8
ILO Participation Rates  (%),1999Q3,65 years and over,Both sexes,Widowed,3.5
ILO Participation Rates  (%),1999Q3,65 years and over,Both sexes,Separated or divorced,12.4
ILO Participation Rates  (%),1999Q3,65 years and over,Both sexes,All marital status,8.2
ILO Participation Rates  (%),1999Q3,65 years and over,Male,Single - never married,22.3
ILO Participation Rates  (%),1999Q3,65 years and over,Male,Married,14.6
ILO Participation Rates  (%),1999Q3,65 years and over,Male,Widowed,8.1
ILO Participation Rates  (%),1999Q3,65 years and over,Male,Separated or divorced,17.1
ILO Participation Rates  (%),1999Q3,65 years and over,Male,All marital status,15.2
ILO Participation Rates  (%),1999Q3,65 years and over,Female,Single - never married,3.1
ILO Participation Rates  (%),1999Q3,65 years and over,Female,Married,3.3
ILO Participation Rates  (%),1999Q3,65 years and over,Female,Widowed,2.4
ILO Participation Rates  (%),1999Q3,65 years and over,Female,Separated or divorced,6.3
ILO Participation Rates  (%),1999Q3,65 years and over,Female,All marital status,2.8
ILO Participation Rates  (%),1999Q4,15 - 19 years,Both sexes,Single - never married,44.9
ILO Participation Rates  (%),1999Q4,15 - 19 years,Both sexes,Married,
ILO Participation Rates  (%),1999Q4,15 - 19 years,Both sexes,Widowed,
ILO Participation Rates  (%),1999Q4,15 - 19 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),1999Q4,15 - 19 years,Both sexes,All marital status,44.9
ILO Participation Rates  (%),1999Q4,15 - 19 years,Male,Single - never married,51.3
ILO Participation Rates  (%),1999Q4,15 - 19 years,Male,Married,
ILO Participation Rates  (%),1999Q4,15 - 19 years,Male,Widowed,
ILO Participation Rates  (%),1999Q4,15 - 19 years,Male,Separated or divorced,
ILO Participation Rates  (%),1999Q4,15 - 19 years,Male,All marital status,51.3
ILO Participation Rates  (%),1999Q4,15 - 19 years,Female,Single - never married,38.2
ILO Participation Rates  (%),1999Q4,15 - 19 years,Female,Married,
ILO Participation Rates  (%),1999Q4,15 - 19 years,Female,Widowed,
ILO Participation Rates  (%),1999Q4,15 - 19 years,Female,Separated or divorced,
ILO Participation Rates  (%),1999Q4,15 - 19 years,Female,All marital status,38.1
ILO Participation Rates  (%),1999Q4,15 years and over,Both sexes,Single - never married,69.2
ILO Participation Rates  (%),1999Q4,15 years and over,Both sexes,Married,61.6
ILO Participation Rates  (%),1999Q4,15 years and over,Both sexes,Widowed,12.3
ILO Participation Rates  (%),1999Q4,15 years and over,Both sexes,Separated or divorced,64.6
ILO Participation Rates  (%),1999Q4,15 years and over,Both sexes,All marital status,61.5
ILO Participation Rates  (%),1999Q4,15 years and over,Male,Single - never married,73.7
ILO Participation Rates  (%),1999Q4,15 years and over,Male,Married,77.4
ILO Participation Rates  (%),1999Q4,15 years and over,Male,Widowed,25.1
ILO Participation Rates  (%),1999Q4,15 years and over,Male,Separated or divorced,73.1
ILO Participation Rates  (%),1999Q4,15 years and over,Male,All marital status,74.3
ILO Participation Rates  (%),1999Q4,15 years and over,Female,Single - never married,63.9
ILO Participation Rates  (%),1999Q4,15 years and over,Female,Married,45.7
ILO Participation Rates  (%),1999Q4,15 years and over,Female,Widowed,9.1
ILO Participation Rates  (%),1999Q4,15 years and over,Female,Separated or divorced,59.4
ILO Participation Rates  (%),1999Q4,15 years and over,Female,All marital status,49.2
ILO Participation Rates  (%),1999Q4,20 - 24 years,Both sexes,Single - never married,85.7
ILO Participation Rates  (%),1999Q4,20 - 24 years,Both sexes,Married,78.3
ILO Participation Rates  (%),1999Q4,20 - 24 years,Both sexes,Widowed,
ILO Participation Rates  (%),1999Q4,20 - 24 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),1999Q4,20 - 24 years,Both sexes,All marital status,85.5
ILO Participation Rates  (%),1999Q4,20 - 24 years,Male,Single - never married,89.4
ILO Participation Rates  (%),1999Q4,20 - 24 years,Male,Married,95.3
ILO Participation Rates  (%),1999Q4,20 - 24 years,Male,Widowed,
ILO Participation Rates  (%),1999Q4,20 - 24 years,Male,Separated or divorced,
ILO Participation Rates  (%),1999Q4,20 - 24 years,Male,All marital status,89.4
ILO Participation Rates  (%),1999Q4,20 - 24 years,Female,Single - never married,81.9
ILO Participation Rates  (%),1999Q4,20 - 24 years,Female,Married,71.8
ILO Participation Rates  (%),1999Q4,20 - 24 years,Female,Widowed,
ILO Participation Rates  (%),1999Q4,20 - 24 years,Female,Separated or divorced,
ILO Participation Rates  (%),1999Q4,20 - 24 years,Female,All marital status,81.6
ILO Participation Rates  (%),1999Q4,25 - 34 years,Both sexes,Single - never married,89.5
ILO Participation Rates  (%),1999Q4,25 - 34 years,Both sexes,Married,80.3
ILO Participation Rates  (%),1999Q4,25 - 34 years,Both sexes,Widowed,
ILO Participation Rates  (%),1999Q4,25 - 34 years,Both sexes,Separated or divorced,68.5
ILO Participation Rates  (%),1999Q4,25 - 34 years,Both sexes,All marital status,85.1
ILO Participation Rates  (%),1999Q4,25 - 34 years,Male,Single - never married,92.4
ILO Participation Rates  (%),1999Q4,25 - 34 years,Male,Married,96.8
ILO Participation Rates  (%),1999Q4,25 - 34 years,Male,Widowed,
ILO Participation Rates  (%),1999Q4,25 - 34 years,Male,Separated or divorced,87.0
ILO Participation Rates  (%),1999Q4,25 - 34 years,Male,All marital status,93.9
ILO Participation Rates  (%),1999Q4,25 - 34 years,Female,Single - never married,85.9
ILO Participation Rates  (%),1999Q4,25 - 34 years,Female,Married,67.3
ILO Participation Rates  (%),1999Q4,25 - 34 years,Female,Widowed,
ILO Participation Rates  (%),1999Q4,25 - 34 years,Female,Separated or divorced,61.6
ILO Participation Rates  (%),1999Q4,25 - 34 years,Female,All marital status,76.3
ILO Participation Rates  (%),1999Q4,35 - 44 years,Both sexes,Single - never married,83.4
ILO Participation Rates  (%),1999Q4,35 - 44 years,Both sexes,Married,76.8
ILO Participation Rates  (%),1999Q4,35 - 44 years,Both sexes,Widowed,72.2
ILO Participation Rates  (%),1999Q4,35 - 44 years,Both sexes,Separated or divorced,75.4
ILO Participation Rates  (%),1999Q4,35 - 44 years,Both sexes,All marital status,77.7
ILO Participation Rates  (%),1999Q4,35 - 44 years,Male,Single - never married,85.4
ILO Participation Rates  (%),1999Q4,35 - 44 years,Male,Married,95.6
ILO Participation Rates  (%),1999Q4,35 - 44 years,Male,Widowed,89.9
ILO Participation Rates  (%),1999Q4,35 - 44 years,Male,Separated or divorced,86.4
ILO Participation Rates  (%),1999Q4,35 - 44 years,Male,All marital status,93.3
ILO Participation Rates  (%),1999Q4,35 - 44 years,Female,Single - never married,80.8
ILO Participation Rates  (%),1999Q4,35 - 44 years,Female,Married,58.3
ILO Participation Rates  (%),1999Q4,35 - 44 years,Female,Widowed,64.7
ILO Participation Rates  (%),1999Q4,35 - 44 years,Female,Separated or divorced,69.6
ILO Participation Rates  (%),1999Q4,35 - 44 years,Female,All marital status,62.4
ILO Participation Rates  (%),1999Q4,45 - 54 years,Both sexes,Single - never married,72.5
ILO Participation Rates  (%),1999Q4,45 - 54 years,Both sexes,Married,69.7
ILO Participation Rates  (%),1999Q4,45 - 54 years,Both sexes,Widowed,55.2
ILO Participation Rates  (%),1999Q4,45 - 54 years,Both sexes,Separated or divorced,68.8
ILO Participation Rates  (%),1999Q4,45 - 54 years,Both sexes,All marital status,69.6
ILO Participation Rates  (%),1999Q4,45 - 54 years,Male,Single - never married,73.1
ILO Participation Rates  (%),1999Q4,45 - 54 years,Male,Married,91.5
ILO Participation Rates  (%),1999Q4,45 - 54 years,Male,Widowed,82.1
ILO Participation Rates  (%),1999Q4,45 - 54 years,Male,Separated or divorced,83.2
ILO Participation Rates  (%),1999Q4,45 - 54 years,Male,All marital status,88.4
ILO Participation Rates  (%),1999Q4,45 - 54 years,Female,Single - never married,71.6
ILO Participation Rates  (%),1999Q4,45 - 54 years,Female,Married,47.6
ILO Participation Rates  (%),1999Q4,45 - 54 years,Female,Widowed,44.6
ILO Participation Rates  (%),1999Q4,45 - 54 years,Female,Separated or divorced,60.2
ILO Participation Rates  (%),1999Q4,45 - 54 years,Female,All marital status,50.5
ILO Participation Rates  (%),1999Q4,55 - 59 years,Both sexes,Single - never married,56.5
ILO Participation Rates  (%),1999Q4,55 - 59 years,Both sexes,Married,55.2
ILO Participation Rates  (%),1999Q4,55 - 59 years,Both sexes,Widowed,39.5
ILO Participation Rates  (%),1999Q4,55 - 59 years,Both sexes,Separated or divorced,56.5
ILO Participation Rates  (%),1999Q4,55 - 59 years,Both sexes,All marital status,54.6
ILO Participation Rates  (%),1999Q4,55 - 59 years,Male,Single - never married,61.0
ILO Participation Rates  (%),1999Q4,55 - 59 years,Male,Married,77.7
ILO Participation Rates  (%),1999Q4,55 - 59 years,Male,Widowed,67.1
ILO Participation Rates  (%),1999Q4,55 - 59 years,Male,Separated or divorced,62.0
ILO Participation Rates  (%),1999Q4,55 - 59 years,Male,All marital status,74.3
ILO Participation Rates  (%),1999Q4,55 - 59 years,Female,Single - never married,49.1
ILO Participation Rates  (%),1999Q4,55 - 59 years,Female,Married,31.6
ILO Participation Rates  (%),1999Q4,55 - 59 years,Female,Widowed,31.1
ILO Participation Rates  (%),1999Q4,55 - 59 years,Female,Separated or divorced,51.9
ILO Participation Rates  (%),1999Q4,55 - 59 years,Female,All marital status,34.3
ILO Participation Rates  (%),1999Q4,60 - 64 years,Both sexes,Single - never married,40.9
ILO Participation Rates  (%),1999Q4,60 - 64 years,Both sexes,Married,38.2
ILO Participation Rates  (%),1999Q4,60 - 64 years,Both sexes,Widowed,23.3
ILO Participation Rates  (%),1999Q4,60 - 64 years,Both sexes,Separated or divorced,30.4
ILO Participation Rates  (%),1999Q4,60 - 64 years,Both sexes,All marital status,36.5
ILO Participation Rates  (%),1999Q4,60 - 64 years,Male,Single - never married,46.9
ILO Participation Rates  (%),1999Q4,60 - 64 years,Male,Married,56.7
ILO Participation Rates  (%),1999Q4,60 - 64 years,Male,Widowed,37.7
ILO Participation Rates  (%),1999Q4,60 - 64 years,Male,Separated or divorced,36.0
ILO Participation Rates  (%),1999Q4,60 - 64 years,Male,All marital status,53.3
ILO Participation Rates  (%),1999Q4,60 - 64 years,Female,Single - never married,32.0
ILO Participation Rates  (%),1999Q4,60 - 64 years,Female,Married,17.6
ILO Participation Rates  (%),1999Q4,60 - 64 years,Female,Widowed,18.9
ILO Participation Rates  (%),1999Q4,60 - 64 years,Female,Separated or divorced,24.8
ILO Participation Rates  (%),1999Q4,60 - 64 years,Female,All marital status,19.7
ILO Participation Rates  (%),1999Q4,65 years and over,Both sexes,Single - never married,13.4
ILO Participation Rates  (%),1999Q4,65 years and over,Both sexes,Married,9.7
ILO Participation Rates  (%),1999Q4,65 years and over,Both sexes,Widowed,3.3
ILO Participation Rates  (%),1999Q4,65 years and over,Both sexes,Separated or divorced,13.9
ILO Participation Rates  (%),1999Q4,65 years and over,Both sexes,All marital status,8.1
ILO Participation Rates  (%),1999Q4,65 years and over,Male,Single - never married,22.1
ILO Participation Rates  (%),1999Q4,65 years and over,Male,Married,14.6
ILO Participation Rates  (%),1999Q4,65 years and over,Male,Widowed,8.4
ILO Participation Rates  (%),1999Q4,65 years and over,Male,Separated or divorced,20.7
ILO Participation Rates  (%),1999Q4,65 years and over,Male,All marital status,15.3
ILO Participation Rates  (%),1999Q4,65 years and over,Female,Single - never married,3.6
ILO Participation Rates  (%),1999Q4,65 years and over,Female,Married,3.1
ILO Participation Rates  (%),1999Q4,65 years and over,Female,Widowed,2.2
ILO Participation Rates  (%),1999Q4,65 years and over,Female,Separated or divorced,5.2
ILO Participation Rates  (%),1999Q4,65 years and over,Female,All marital status,2.7
ILO Participation Rates  (%),2000Q1,15 - 19 years,Both sexes,Single - never married,43.3
ILO Participation Rates  (%),2000Q1,15 - 19 years,Both sexes,Married,
ILO Participation Rates  (%),2000Q1,15 - 19 years,Both sexes,Widowed,
ILO Participation Rates  (%),2000Q1,15 - 19 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),2000Q1,15 - 19 years,Both sexes,All marital status,43.3
ILO Participation Rates  (%),2000Q1,15 - 19 years,Male,Single - never married,50.4
ILO Participation Rates  (%),2000Q1,15 - 19 years,Male,Married,
ILO Participation Rates  (%),2000Q1,15 - 19 years,Male,Widowed,
ILO Participation Rates  (%),2000Q1,15 - 19 years,Male,Separated or divorced,
ILO Participation Rates  (%),2000Q1,15 - 19 years,Male,All marital status,50.4
ILO Participation Rates  (%),2000Q1,15 - 19 years,Female,Single - never married,35.8
ILO Participation Rates  (%),2000Q1,15 - 19 years,Female,Married,
ILO Participation Rates  (%),2000Q1,15 - 19 years,Female,Widowed,
ILO Participation Rates  (%),2000Q1,15 - 19 years,Female,Separated or divorced,
ILO Participation Rates  (%),2000Q1,15 - 19 years,Female,All marital status,35.8
ILO Participation Rates  (%),2000Q1,15 years and over,Both sexes,Single - never married,68.6
ILO Participation Rates  (%),2000Q1,15 years and over,Both sexes,Married,61.8
ILO Participation Rates  (%),2000Q1,15 years and over,Both sexes,Widowed,12.5
ILO Participation Rates  (%),2000Q1,15 years and over,Both sexes,Separated or divorced,63.9
ILO Participation Rates  (%),2000Q1,15 years and over,Both sexes,All marital status,61.4
ILO Participation Rates  (%),2000Q1,15 years and over,Male,Single - never married,73.4
ILO Participation Rates  (%),2000Q1,15 years and over,Male,Married,77.4
ILO Participation Rates  (%),2000Q1,15 years and over,Male,Widowed,25.6
ILO Participation Rates  (%),2000Q1,15 years and over,Male,Separated or divorced,73.0
ILO Participation Rates  (%),2000Q1,15 years and over,Male,All marital status,74.1
ILO Participation Rates  (%),2000Q1,15 years and over,Female,Single - never married,62.9
ILO Participation Rates  (%),2000Q1,15 years and over,Female,Married,46.2
ILO Participation Rates  (%),2000Q1,15 years and over,Female,Widowed,9.2
ILO Participation Rates  (%),2000Q1,15 years and over,Female,Separated or divorced,58.4
ILO Participation Rates  (%),2000Q1,15 years and over,Female,All marital status,49.0
ILO Participation Rates  (%),2000Q1,20 - 24 years,Both sexes,Single - never married,84.4
ILO Participation Rates  (%),2000Q1,20 - 24 years,Both sexes,Married,77.9
ILO Participation Rates  (%),2000Q1,20 - 24 years,Both sexes,Widowed,
ILO Participation Rates  (%),2000Q1,20 - 24 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),2000Q1,20 - 24 years,Both sexes,All marital status,84.3
ILO Participation Rates  (%),2000Q1,20 - 24 years,Male,Single - never married,88.6
ILO Participation Rates  (%),2000Q1,20 - 24 years,Male,Married,95.7
ILO Participation Rates  (%),2000Q1,20 - 24 years,Male,Widowed,
ILO Participation Rates  (%),2000Q1,20 - 24 years,Male,Separated or divorced,
ILO Participation Rates  (%),2000Q1,20 - 24 years,Male,All marital status,88.7
ILO Participation Rates  (%),2000Q1,20 - 24 years,Female,Single - never married,80.1
ILO Participation Rates  (%),2000Q1,20 - 24 years,Female,Married,70.8
ILO Participation Rates  (%),2000Q1,20 - 24 years,Female,Widowed,
ILO Participation Rates  (%),2000Q1,20 - 24 years,Female,Separated or divorced,
ILO Participation Rates  (%),2000Q1,20 - 24 years,Female,All marital status,79.8
ILO Participation Rates  (%),2000Q1,25 - 34 years,Both sexes,Single - never married,89.3
ILO Participation Rates  (%),2000Q1,25 - 34 years,Both sexes,Married,80.3
ILO Participation Rates  (%),2000Q1,25 - 34 years,Both sexes,Widowed,
ILO Participation Rates  (%),2000Q1,25 - 34 years,Both sexes,Separated or divorced,70.4
ILO Participation Rates  (%),2000Q1,25 - 34 years,Both sexes,All marital status,85.2
ILO Participation Rates  (%),2000Q1,25 - 34 years,Male,Single - never married,92.4
ILO Participation Rates  (%),2000Q1,25 - 34 years,Male,Married,97.3
ILO Participation Rates  (%),2000Q1,25 - 34 years,Male,Widowed,
ILO Participation Rates  (%),2000Q1,25 - 34 years,Male,Separated or divorced,91.4
ILO Participation Rates  (%),2000Q1,25 - 34 years,Male,All marital status,94.1
ILO Participation Rates  (%),2000Q1,25 - 34 years,Female,Single - never married,85.5
ILO Participation Rates  (%),2000Q1,25 - 34 years,Female,Married,67.0
ILO Participation Rates  (%),2000Q1,25 - 34 years,Female,Widowed,
ILO Participation Rates  (%),2000Q1,25 - 34 years,Female,Separated or divorced,63.1
ILO Participation Rates  (%),2000Q1,25 - 34 years,Female,All marital status,76.2
ILO Participation Rates  (%),2000Q1,35 - 44 years,Both sexes,Single - never married,82.9
ILO Participation Rates  (%),2000Q1,35 - 44 years,Both sexes,Married,77.2
ILO Participation Rates  (%),2000Q1,35 - 44 years,Both sexes,Widowed,67.5
ILO Participation Rates  (%),2000Q1,35 - 44 years,Both sexes,Separated or divorced,73.5
ILO Participation Rates  (%),2000Q1,35 - 44 years,Both sexes,All marital status,77.8
ILO Participation Rates  (%),2000Q1,35 - 44 years,Male,Single - never married,85.0
ILO Participation Rates  (%),2000Q1,35 - 44 years,Male,Married,95.9
ILO Participation Rates  (%),2000Q1,35 - 44 years,Male,Widowed,89.5
ILO Participation Rates  (%),2000Q1,35 - 44 years,Male,Separated or divorced,88.3
ILO Participation Rates  (%),2000Q1,35 - 44 years,Male,All marital status,93.5
ILO Participation Rates  (%),2000Q1,35 - 44 years,Female,Single - never married,80.0
ILO Participation Rates  (%),2000Q1,35 - 44 years,Female,Married,58.9
ILO Participation Rates  (%),2000Q1,35 - 44 years,Female,Widowed,58.7
ILO Participation Rates  (%),2000Q1,35 - 44 years,Female,Separated or divorced,65.9
ILO Participation Rates  (%),2000Q1,35 - 44 years,Female,All marital status,62.4
ILO Participation Rates  (%),2000Q1,45 - 54 years,Both sexes,Single - never married,73.3
ILO Participation Rates  (%),2000Q1,45 - 54 years,Both sexes,Married,70.3
ILO Participation Rates  (%),2000Q1,45 - 54 years,Both sexes,Widowed,57.9
ILO Participation Rates  (%),2000Q1,45 - 54 years,Both sexes,Separated or divorced,69.1
ILO Participation Rates  (%),2000Q1,45 - 54 years,Both sexes,All marital status,70.2
ILO Participation Rates  (%),2000Q1,45 - 54 years,Male,Single - never married,74.8
ILO Participation Rates  (%),2000Q1,45 - 54 years,Male,Married,91.0
ILO Participation Rates  (%),2000Q1,45 - 54 years,Male,Widowed,79.7
ILO Participation Rates  (%),2000Q1,45 - 54 years,Male,Separated or divorced,80.6
ILO Participation Rates  (%),2000Q1,45 - 54 years,Male,All marital status,88.1
ILO Participation Rates  (%),2000Q1,45 - 54 years,Female,Single - never married,70.7
ILO Participation Rates  (%),2000Q1,45 - 54 years,Female,Married,49.2
ILO Participation Rates  (%),2000Q1,45 - 54 years,Female,Widowed,48.1
ILO Participation Rates  (%),2000Q1,45 - 54 years,Female,Separated or divorced,61.7
ILO Participation Rates  (%),2000Q1,45 - 54 years,Female,All marital status,52.0
ILO Participation Rates  (%),2000Q1,55 - 59 years,Both sexes,Single - never married,55.4
ILO Participation Rates  (%),2000Q1,55 - 59 years,Both sexes,Married,56.4
ILO Participation Rates  (%),2000Q1,55 - 59 years,Both sexes,Widowed,43.3
ILO Participation Rates  (%),2000Q1,55 - 59 years,Both sexes,Separated or divorced,55.8
ILO Participation Rates  (%),2000Q1,55 - 59 years,Both sexes,All marital status,55.5
ILO Participation Rates  (%),2000Q1,55 - 59 years,Male,Single - never married,59.0
ILO Participation Rates  (%),2000Q1,55 - 59 years,Male,Married,79.1
ILO Participation Rates  (%),2000Q1,55 - 59 years,Male,Widowed,66.5
ILO Participation Rates  (%),2000Q1,55 - 59 years,Male,Separated or divorced,62.6
ILO Participation Rates  (%),2000Q1,55 - 59 years,Male,All marital status,75.1
ILO Participation Rates  (%),2000Q1,55 - 59 years,Female,Single - never married,48.9
ILO Participation Rates  (%),2000Q1,55 - 59 years,Female,Married,32.7
ILO Participation Rates  (%),2000Q1,55 - 59 years,Female,Widowed,35.9
ILO Participation Rates  (%),2000Q1,55 - 59 years,Female,Separated or divorced,50.6
ILO Participation Rates  (%),2000Q1,55 - 59 years,Female,All marital status,35.5
ILO Participation Rates  (%),2000Q1,60 - 64 years,Both sexes,Single - never married,40.4
ILO Participation Rates  (%),2000Q1,60 - 64 years,Both sexes,Married,37.6
ILO Participation Rates  (%),2000Q1,60 - 64 years,Both sexes,Widowed,22.7
ILO Participation Rates  (%),2000Q1,60 - 64 years,Both sexes,Separated or divorced,32.1
ILO Participation Rates  (%),2000Q1,60 - 64 years,Both sexes,All marital status,36.0
ILO Participation Rates  (%),2000Q1,60 - 64 years,Male,Single - never married,44.8
ILO Participation Rates  (%),2000Q1,60 - 64 years,Male,Married,55.9
ILO Participation Rates  (%),2000Q1,60 - 64 years,Male,Widowed,41.7
ILO Participation Rates  (%),2000Q1,60 - 64 years,Male,Separated or divorced,37.6
ILO Participation Rates  (%),2000Q1,60 - 64 years,Male,All marital status,52.7
ILO Participation Rates  (%),2000Q1,60 - 64 years,Female,Single - never married,33.4
ILO Participation Rates  (%),2000Q1,60 - 64 years,Female,Married,17.4
ILO Participation Rates  (%),2000Q1,60 - 64 years,Female,Widowed,17.2
ILO Participation Rates  (%),2000Q1,60 - 64 years,Female,Separated or divorced,27.1
ILO Participation Rates  (%),2000Q1,60 - 64 years,Female,All marital status,19.4
ILO Participation Rates  (%),2000Q1,65 years and over,Both sexes,Single - never married,12.4
ILO Participation Rates  (%),2000Q1,65 years and over,Both sexes,Married,9.5
ILO Participation Rates  (%),2000Q1,65 years and over,Both sexes,Widowed,3.5
ILO Participation Rates  (%),2000Q1,65 years and over,Both sexes,Separated or divorced,11.3
ILO Participation Rates  (%),2000Q1,65 years and over,Both sexes,All marital status,7.9
ILO Participation Rates  (%),2000Q1,65 years and over,Male,Single - never married,20.2
ILO Participation Rates  (%),2000Q1,65 years and over,Male,Married,14.6
ILO Participation Rates  (%),2000Q1,65 years and over,Male,Widowed,8.8
ILO Participation Rates  (%),2000Q1,65 years and over,Male,Separated or divorced,16.9
ILO Participation Rates  (%),2000Q1,65 years and over,Male,All marital status,14.9
ILO Participation Rates  (%),2000Q1,65 years and over,Female,Single - never married,3.3
ILO Participation Rates  (%),2000Q1,65 years and over,Female,Married,2.7
ILO Participation Rates  (%),2000Q1,65 years and over,Female,Widowed,2.3
ILO Participation Rates  (%),2000Q1,65 years and over,Female,Separated or divorced,4.3
ILO Participation Rates  (%),2000Q1,65 years and over,Female,All marital status,2.6
ILO Participation Rates  (%),2000Q2,15 - 19 years,Both sexes,Single - never married,48.3
ILO Participation Rates  (%),2000Q2,15 - 19 years,Both sexes,Married,
ILO Participation Rates  (%),2000Q2,15 - 19 years,Both sexes,Widowed,
ILO Participation Rates  (%),2000Q2,15 - 19 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),2000Q2,15 - 19 years,Both sexes,All marital status,48.3
ILO Participation Rates  (%),2000Q2,15 - 19 years,Male,Single - never married,55.3
ILO Participation Rates  (%),2000Q2,15 - 19 years,Male,Married,
ILO Participation Rates  (%),2000Q2,15 - 19 years,Male,Widowed,
ILO Participation Rates  (%),2000Q2,15 - 19 years,Male,Separated or divorced,
ILO Participation Rates  (%),2000Q2,15 - 19 years,Male,All marital status,55.3
ILO Participation Rates  (%),2000Q2,15 - 19 years,Female,Single - never married,40.9
ILO Participation Rates  (%),2000Q2,15 - 19 years,Female,Married,
ILO Participation Rates  (%),2000Q2,15 - 19 years,Female,Widowed,
ILO Participation Rates  (%),2000Q2,15 - 19 years,Female,Separated or divorced,
ILO Participation Rates  (%),2000Q2,15 - 19 years,Female,All marital status,40.8
ILO Participation Rates  (%),2000Q2,15 years and over,Both sexes,Single - never married,70.5
ILO Participation Rates  (%),2000Q2,15 years and over,Both sexes,Married,61.8
ILO Participation Rates  (%),2000Q2,15 years and over,Both sexes,Widowed,12.6
ILO Participation Rates  (%),2000Q2,15 years and over,Both sexes,Separated or divorced,66.2
ILO Participation Rates  (%),2000Q2,15 years and over,Both sexes,All marital status,62.3
ILO Participation Rates  (%),2000Q2,15 years and over,Male,Single - never married,75.0
ILO Participation Rates  (%),2000Q2,15 years and over,Male,Married,77.0
ILO Participation Rates  (%),2000Q2,15 years and over,Male,Widowed,24.1
ILO Participation Rates  (%),2000Q2,15 years and over,Male,Separated or divorced,74.5
ILO Participation Rates  (%),2000Q2,15 years and over,Male,All marital status,74.7
ILO Participation Rates  (%),2000Q2,15 years and over,Female,Single - never married,65.1
ILO Participation Rates  (%),2000Q2,15 years and over,Female,Married,46.5
ILO Participation Rates  (%),2000Q2,15 years and over,Female,Widowed,9.7
ILO Participation Rates  (%),2000Q2,15 years and over,Female,Separated or divorced,61.3
ILO Participation Rates  (%),2000Q2,15 years and over,Female,All marital status,50.2
ILO Participation Rates  (%),2000Q2,20 - 24 years,Both sexes,Single - never married,84.9
ILO Participation Rates  (%),2000Q2,20 - 24 years,Both sexes,Married,74.9
ILO Participation Rates  (%),2000Q2,20 - 24 years,Both sexes,Widowed,
ILO Participation Rates  (%),2000Q2,20 - 24 years,Both sexes,Separated or divorced,
ILO Participation Rates  (%),2000Q2,20 - 24 years,Both sexes,All marital status,84.7
ILO Participation Rates  (%),2000Q2,20 - 24 years,Male,Single - never married,89.7
ILO Participation Rates  (%),2000Q2,20 - 24 years,Male,Married,90.7
ILO Participation Rates  (%),2000Q2,20 - 24 years,Male,Widowed,
