Statistic,Quarter,Sex,ILO Economic Status,value
Persons aged 15 years and over,2001Q3,Male,Not in labour force,355.9
Persons aged 15 years and over,2001Q3,Male,Potential additional labour force,9.6
Persons aged 15 years and over,2001Q3,Male,Others not in labour force,346.3
Persons aged 15 years and over,2001Q3,Male,Unemployed seeking work as self-employed,1.7
Persons aged 15 years and over,2001Q3,Female,All ILO economic status,1543.9
Persons aged 15 years and over,2001Q3,Female,In labour force,810.6
Persons aged 15 years and over,2001Q3,Female,In employment,772.0
Persons aged 15 years and over,2001Q3,Female,In employment full-time,536.4
Persons aged 15 years and over,2001Q3,Female,In employment part-time,235.6
Persons aged 15 years and over,2001Q3,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2001Q3,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2001Q3,Female,Unemployed,38.6
Persons aged 15 years and over,2001Q3,Female,Unemployed seeking full-time work/future job-starter,24.3
Persons aged 15 years and over,2001Q3,Female,Unemployed seeking part-time work,13.5
Persons aged 15 years and over,2001Q3,Female,Not in labour force,733.3
Persons aged 15 years and over,2001Q3,Female,Potential additional labour force,10.0
Persons aged 15 years and over,2001Q3,Female,Others not in labour force,723.4
Persons aged 15 years and over,2001Q3,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2001Q4,Both sexes,All ILO economic status,3064.8
Persons aged 15 years and over,2001Q4,Both sexes,In labour force,1912.8
Persons aged 15 years and over,2001Q4,Both sexes,In employment,1833.1
Persons aged 15 years and over,2001Q4,Both sexes,In employment full-time,1515.6
Persons aged 15 years and over,2001Q4,Both sexes,In employment part-time,317.5
Persons aged 15 years and over,2001Q4,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2001Q4,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2001Q4,Both sexes,Unemployed,79.7
Persons aged 15 years and over,2001Q4,Both sexes,Unemployed seeking full-time work/future job-starter,62.7
Persons aged 15 years and over,2001Q4,Both sexes,Unemployed seeking part-time work,13.9
Persons aged 15 years and over,2001Q4,Both sexes,Not in labour force,1152.0
Persons aged 15 years and over,2001Q4,Both sexes,Potential additional labour force,18.3
Persons aged 15 years and over,2001Q4,Both sexes,Others not in labour force,1133.7
Persons aged 15 years and over,2001Q4,Both sexes,Unemployed seeking work as self-employed,3.1
Persons aged 15 years and over,2001Q4,Male,All ILO economic status,1510.0
Persons aged 15 years and over,2001Q4,Male,In labour force,1120.2
Persons aged 15 years and over,2001Q4,Male,In employment,1071.6
Persons aged 15 years and over,2001Q4,Male,In employment full-time,990.1
Persons aged 15 years and over,2001Q4,Male,In employment part-time,81.5
Persons aged 15 years and over,2001Q4,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,2001Q4,Male,In employment part-time - underemployed,
Persons aged 15 years and over,2001Q4,Male,Unemployed,48.6
Persons aged 15 years and over,2001Q4,Male,Unemployed seeking full-time work/future job-starter,43.7
Persons aged 15 years and over,2001Q4,Male,Unemployed seeking part-time work,2.5
Persons aged 15 years and over,2001Q4,Male,Not in labour force,389.9
Persons aged 15 years and over,2001Q4,Male,Potential additional labour force,10.7
Persons aged 15 years and over,2001Q4,Male,Others not in labour force,379.1
Persons aged 15 years and over,2001Q4,Male,Unemployed seeking work as self-employed,2.4
Persons aged 15 years and over,2001Q4,Female,All ILO economic status,1554.8
Persons aged 15 years and over,2001Q4,Female,In labour force,792.6
Persons aged 15 years and over,2001Q4,Female,In employment,761.5
Persons aged 15 years and over,2001Q4,Female,In employment full-time,525.5
Persons aged 15 years and over,2001Q4,Female,In employment part-time,235.9
Persons aged 15 years and over,2001Q4,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2001Q4,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2001Q4,Female,Unemployed,31.1
Persons aged 15 years and over,2001Q4,Female,Unemployed seeking full-time work/future job-starter,19.0
Persons aged 15 years and over,2001Q4,Female,Unemployed seeking part-time work,11.5
Persons aged 15 years and over,2001Q4,Female,Not in labour force,762.2
Persons aged 15 years and over,2001Q4,Female,Potential additional labour force,7.6
Persons aged 15 years and over,2001Q4,Female,Others not in labour force,754.6
Persons aged 15 years and over,2001Q4,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2002Q1,Both sexes,All ILO economic status,3078.5
Persons aged 15 years and over,2002Q1,Both sexes,In labour force,1910.8
Persons aged 15 years and over,2002Q1,Both sexes,In employment,1825.1
Persons aged 15 years and over,2002Q1,Both sexes,In employment full-time,1506.1
Persons aged 15 years and over,2002Q1,Both sexes,In employment part-time,318.9
Persons aged 15 years and over,2002Q1,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2002Q1,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2002Q1,Both sexes,Unemployed,85.7
Persons aged 15 years and over,2002Q1,Both sexes,Unemployed seeking full-time work/future job-starter,68.9
Persons aged 15 years and over,2002Q1,Both sexes,Unemployed seeking part-time work,14.1
Persons aged 15 years and over,2002Q1,Both sexes,Not in labour force,1167.7
Persons aged 15 years and over,2002Q1,Both sexes,Potential additional labour force,18.9
Persons aged 15 years and over,2002Q1,Both sexes,Others not in labour force,1148.8
Persons aged 15 years and over,2002Q1,Both sexes,Unemployed seeking work as self-employed,2.6
Persons aged 15 years and over,2002Q1,Male,All ILO economic status,1516.6
Persons aged 15 years and over,2002Q1,Male,In labour force,1115.2
Persons aged 15 years and over,2002Q1,Male,In employment,1064.5
Persons aged 15 years and over,2002Q1,Male,In employment full-time,982.7
Persons aged 15 years and over,2002Q1,Male,In employment part-time,81.8
Persons aged 15 years and over,2002Q1,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,2002Q1,Male,In employment part-time - underemployed,
Persons aged 15 years and over,2002Q1,Male,Unemployed,50.6
Persons aged 15 years and over,2002Q1,Male,Unemployed seeking full-time work/future job-starter,46.7
Persons aged 15 years and over,2002Q1,Male,Unemployed seeking part-time work,2.0
Persons aged 15 years and over,2002Q1,Male,Not in labour force,401.5
Persons aged 15 years and over,2002Q1,Male,Potential additional labour force,11.5
Persons aged 15 years and over,2002Q1,Male,Others not in labour force,390.0
Persons aged 15 years and over,2002Q1,Male,Unemployed seeking work as self-employed,2.0
Persons aged 15 years and over,2002Q1,Female,All ILO economic status,1561.8
Persons aged 15 years and over,2002Q1,Female,In labour force,795.6
Persons aged 15 years and over,2002Q1,Female,In employment,760.6
Persons aged 15 years and over,2002Q1,Female,In employment full-time,523.5
Persons aged 15 years and over,2002Q1,Female,In employment part-time,237.1
Persons aged 15 years and over,2002Q1,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2002Q1,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2002Q1,Female,Unemployed,35.1
Persons aged 15 years and over,2002Q1,Female,Unemployed seeking full-time work/future job-starter,22.3
Persons aged 15 years and over,2002Q1,Female,Unemployed seeking part-time work,12.2
Persons aged 15 years and over,2002Q1,Female,Not in labour force,766.2
Persons aged 15 years and over,2002Q1,Female,Potential additional labour force,7.3
Persons aged 15 years and over,2002Q1,Female,Others not in labour force,758.8
Persons aged 15 years and over,2002Q1,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2002Q2,Both sexes,All ILO economic status,3093.9
Persons aged 15 years and over,2002Q2,Both sexes,In labour force,1932.1
Persons aged 15 years and over,2002Q2,Both sexes,In employment,1840.3
Persons aged 15 years and over,2002Q2,Both sexes,In employment full-time,1526.6
Persons aged 15 years and over,2002Q2,Both sexes,In employment part-time,313.7
Persons aged 15 years and over,2002Q2,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2002Q2,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2002Q2,Both sexes,Unemployed,91.8
Persons aged 15 years and over,2002Q2,Both sexes,Unemployed seeking full-time work/future job-starter,73.4
Persons aged 15 years and over,2002Q2,Both sexes,Unemployed seeking part-time work,15.7
Persons aged 15 years and over,2002Q2,Both sexes,Not in labour force,1161.8
Persons aged 15 years and over,2002Q2,Both sexes,Potential additional labour force,23.5
Persons aged 15 years and over,2002Q2,Both sexes,Others not in labour force,1138.3
Persons aged 15 years and over,2002Q2,Both sexes,Unemployed seeking work as self-employed,2.7
Persons aged 15 years and over,2002Q2,Male,All ILO economic status,1524.2
Persons aged 15 years and over,2002Q2,Male,In labour force,1126.4
Persons aged 15 years and over,2002Q2,Male,In employment,1072.1
Persons aged 15 years and over,2002Q2,Male,In employment full-time,995.0
Persons aged 15 years and over,2002Q2,Male,In employment part-time,77.2
Persons aged 15 years and over,2002Q2,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,2002Q2,Male,In employment part-time - underemployed,
Persons aged 15 years and over,2002Q2,Male,Unemployed,54.3
Persons aged 15 years and over,2002Q2,Male,Unemployed seeking full-time work/future job-starter,49.0
Persons aged 15 years and over,2002Q2,Male,Unemployed seeking part-time work,3.3
Persons aged 15 years and over,2002Q2,Male,Not in labour force,397.7
Persons aged 15 years and over,2002Q2,Male,Potential additional labour force,13.1
Persons aged 15 years and over,2002Q2,Male,Others not in labour force,384.7
Persons aged 15 years and over,2002Q2,Male,Unemployed seeking work as self-employed,2.0
Persons aged 15 years and over,2002Q2,Female,All ILO economic status,1569.8
Persons aged 15 years and over,2002Q2,Female,In labour force,805.7
Persons aged 15 years and over,2002Q2,Female,In employment,768.2
Persons aged 15 years and over,2002Q2,Female,In employment full-time,531.6
Persons aged 15 years and over,2002Q2,Female,In employment part-time,236.6
Persons aged 15 years and over,2002Q2,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2002Q2,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2002Q2,Female,Unemployed,37.5
Persons aged 15 years and over,2002Q2,Female,Unemployed seeking full-time work/future job-starter,24.4
Persons aged 15 years and over,2002Q2,Female,Unemployed seeking part-time work,12.4
Persons aged 15 years and over,2002Q2,Female,Not in labour force,764.1
Persons aged 15 years and over,2002Q2,Female,Potential additional labour force,10.5
Persons aged 15 years and over,2002Q2,Female,Others not in labour force,753.6
Persons aged 15 years and over,2002Q2,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2002Q3,Both sexes,All ILO economic status,3109.5
Persons aged 15 years and over,2002Q3,Both sexes,In labour force,1974.7
Persons aged 15 years and over,2002Q3,Both sexes,In employment,1883.6
Persons aged 15 years and over,2002Q3,Both sexes,In employment full-time,1566.0
Persons aged 15 years and over,2002Q3,Both sexes,In employment part-time,317.5
Persons aged 15 years and over,2002Q3,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2002Q3,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2002Q3,Both sexes,Unemployed,91.2
Persons aged 15 years and over,2002Q3,Both sexes,Unemployed seeking full-time work/future job-starter,74.4
Persons aged 15 years and over,2002Q3,Both sexes,Unemployed seeking part-time work,14.0
Persons aged 15 years and over,2002Q3,Both sexes,Not in labour force,1134.8
Persons aged 15 years and over,2002Q3,Both sexes,Potential additional labour force,20.4
Persons aged 15 years and over,2002Q3,Both sexes,Others not in labour force,1114.4
Persons aged 15 years and over,2002Q3,Both sexes,Unemployed seeking work as self-employed,2.7
Persons aged 15 years and over,2002Q3,Male,All ILO economic status,1531.8
Persons aged 15 years and over,2002Q3,Male,In labour force,1148.3
Persons aged 15 years and over,2002Q3,Male,In employment,1095.2
Persons aged 15 years and over,2002Q3,Male,In employment full-time,1017.5
Persons aged 15 years and over,2002Q3,Male,In employment part-time,77.7
Persons aged 15 years and over,2002Q3,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,2002Q3,Male,In employment part-time - underemployed,
Persons aged 15 years and over,2002Q3,Male,Unemployed,53.1
Persons aged 15 years and over,2002Q3,Male,Unemployed seeking full-time work/future job-starter,48.4
Persons aged 15 years and over,2002Q3,Male,Unemployed seeking part-time work,2.2
Persons aged 15 years and over,2002Q3,Male,Not in labour force,383.5
Persons aged 15 years and over,2002Q3,Male,Potential additional labour force,11.1
Persons aged 15 years and over,2002Q3,Male,Others not in labour force,372.4
Persons aged 15 years and over,2002Q3,Male,Unemployed seeking work as self-employed,2.5
Persons aged 15 years and over,2002Q3,Female,All ILO economic status,1577.7
Persons aged 15 years and over,2002Q3,Female,In labour force,826.4
Persons aged 15 years and over,2002Q3,Female,In employment,788.4
Persons aged 15 years and over,2002Q3,Female,In employment full-time,548.5
Persons aged 15 years and over,2002Q3,Female,In employment part-time,239.8
Persons aged 15 years and over,2002Q3,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2002Q3,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2002Q3,Female,Unemployed,38.1
Persons aged 15 years and over,2002Q3,Female,Unemployed seeking full-time work/future job-starter,26.1
Persons aged 15 years and over,2002Q3,Female,Unemployed seeking part-time work,11.8
Persons aged 15 years and over,2002Q3,Female,Not in labour force,751.3
Persons aged 15 years and over,2002Q3,Female,Potential additional labour force,9.3
Persons aged 15 years and over,2002Q3,Female,Others not in labour force,742.0
Persons aged 15 years and over,2002Q3,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2002Q4,Both sexes,All ILO economic status,3127.7
Persons aged 15 years and over,2002Q4,Both sexes,In labour force,1947.6
Persons aged 15 years and over,2002Q4,Both sexes,In employment,1850.3
Persons aged 15 years and over,2002Q4,Both sexes,In employment full-time,1528.3
Persons aged 15 years and over,2002Q4,Both sexes,In employment part-time,322.0
Persons aged 15 years and over,2002Q4,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2002Q4,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2002Q4,Both sexes,Unemployed,97.2
Persons aged 15 years and over,2002Q4,Both sexes,Unemployed seeking full-time work/future job-starter,76.5
Persons aged 15 years and over,2002Q4,Both sexes,Unemployed seeking part-time work,17.7
Persons aged 15 years and over,2002Q4,Both sexes,Not in labour force,1180.1
Persons aged 15 years and over,2002Q4,Both sexes,Potential additional labour force,20.2
Persons aged 15 years and over,2002Q4,Both sexes,Others not in labour force,1159.9
Persons aged 15 years and over,2002Q4,Both sexes,Unemployed seeking work as self-employed,3.0
Persons aged 15 years and over,2002Q4,Male,All ILO economic status,1540.7
Persons aged 15 years and over,2002Q4,Male,In labour force,1132.4
Persons aged 15 years and over,2002Q4,Male,In employment,1075.2
Persons aged 15 years and over,2002Q4,Male,In employment full-time,995.8
Persons aged 15 years and over,2002Q4,Male,In employment part-time,79.4
Persons aged 15 years and over,2002Q4,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,2002Q4,Male,In employment part-time - underemployed,
Persons aged 15 years and over,2002Q4,Male,Unemployed,57.2
Persons aged 15 years and over,2002Q4,Male,Unemployed seeking full-time work/future job-starter,52.4
Persons aged 15 years and over,2002Q4,Male,Unemployed seeking part-time work,2.7
Persons aged 15 years and over,2002Q4,Male,Not in labour force,408.3
Persons aged 15 years and over,2002Q4,Male,Potential additional labour force,11.5
Persons aged 15 years and over,2002Q4,Male,Others not in labour force,396.8
Persons aged 15 years and over,2002Q4,Male,Unemployed seeking work as self-employed,2.1
Persons aged 15 years and over,2002Q4,Female,All ILO economic status,1586.9
Persons aged 15 years and over,2002Q4,Female,In labour force,815.2
Persons aged 15 years and over,2002Q4,Female,In employment,775.1
Persons aged 15 years and over,2002Q4,Female,In employment full-time,532.5
Persons aged 15 years and over,2002Q4,Female,In employment part-time,242.6
Persons aged 15 years and over,2002Q4,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2002Q4,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2002Q4,Female,Unemployed,40.1
Persons aged 15 years and over,2002Q4,Female,Unemployed seeking full-time work/future job-starter,24.1
Persons aged 15 years and over,2002Q4,Female,Unemployed seeking part-time work,15.1
Persons aged 15 years and over,2002Q4,Female,Not in labour force,771.8
Persons aged 15 years and over,2002Q4,Female,Potential additional labour force,8.7
Persons aged 15 years and over,2002Q4,Female,Others not in labour force,763.1
Persons aged 15 years and over,2002Q4,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2003Q1,Both sexes,All ILO economic status,3139.5
Persons aged 15 years and over,2003Q1,Both sexes,In labour force,1948.8
Persons aged 15 years and over,2003Q1,Both sexes,In employment,1855.6
Persons aged 15 years and over,2003Q1,Both sexes,In employment full-time,1530.7
Persons aged 15 years and over,2003Q1,Both sexes,In employment part-time,324.9
Persons aged 15 years and over,2003Q1,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2003Q1,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2003Q1,Both sexes,Unemployed,93.2
Persons aged 15 years and over,2003Q1,Both sexes,Unemployed seeking full-time work/future job-starter,74.4
Persons aged 15 years and over,2003Q1,Both sexes,Unemployed seeking part-time work,15.7
Persons aged 15 years and over,2003Q1,Both sexes,Not in labour force,1190.7
Persons aged 15 years and over,2003Q1,Both sexes,Potential additional labour force,22.9
Persons aged 15 years and over,2003Q1,Both sexes,Others not in labour force,1167.7
Persons aged 15 years and over,2003Q1,Both sexes,Unemployed seeking work as self-employed,3.1
Persons aged 15 years and over,2003Q1,Male,All ILO economic status,1546.5
Persons aged 15 years and over,2003Q1,Male,In labour force,1133.5
Persons aged 15 years and over,2003Q1,Male,In employment,1078.1
Persons aged 15 years and over,2003Q1,Male,In employment full-time,996.9
Persons aged 15 years and over,2003Q1,Male,In employment part-time,81.2
Persons aged 15 years and over,2003Q1,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,2003Q1,Male,In employment part-time - underemployed,
Persons aged 15 years and over,2003Q1,Male,Unemployed,55.5
Persons aged 15 years and over,2003Q1,Male,Unemployed seeking full-time work/future job-starter,50.0
Persons aged 15 years and over,2003Q1,Male,Unemployed seeking part-time work,3.3
Persons aged 15 years and over,2003Q1,Male,Not in labour force,413.0
Persons aged 15 years and over,2003Q1,Male,Potential additional labour force,13.9
Persons aged 15 years and over,2003Q1,Male,Others not in labour force,399.1
Persons aged 15 years and over,2003Q1,Male,Unemployed seeking work as self-employed,2.2
Persons aged 15 years and over,2003Q1,Female,All ILO economic status,1593.0
Persons aged 15 years and over,2003Q1,Female,In labour force,815.3
Persons aged 15 years and over,2003Q1,Female,In employment,777.6
Persons aged 15 years and over,2003Q1,Female,In employment full-time,533.8
Persons aged 15 years and over,2003Q1,Female,In employment part-time,243.7
Persons aged 15 years and over,2003Q1,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2003Q1,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2003Q1,Female,Unemployed,37.8
Persons aged 15 years and over,2003Q1,Female,Unemployed seeking full-time work/future job-starter,24.4
Persons aged 15 years and over,2003Q1,Female,Unemployed seeking part-time work,12.4
Persons aged 15 years and over,2003Q1,Female,Not in labour force,777.7
Persons aged 15 years and over,2003Q1,Female,Potential additional labour force,9.0
Persons aged 15 years and over,2003Q1,Female,Others not in labour force,768.7
Persons aged 15 years and over,2003Q1,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2003Q2,Both sexes,All ILO economic status,3149.6
Persons aged 15 years and over,2003Q2,Both sexes,In labour force,1970.7
Persons aged 15 years and over,2003Q2,Both sexes,In employment,1874.0
Persons aged 15 years and over,2003Q2,Both sexes,In employment full-time,1547.8
Persons aged 15 years and over,2003Q2,Both sexes,In employment part-time,326.1
Persons aged 15 years and over,2003Q2,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2003Q2,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2003Q2,Both sexes,Unemployed,96.7
Persons aged 15 years and over,2003Q2,Both sexes,Unemployed seeking full-time work/future job-starter,77.9
Persons aged 15 years and over,2003Q2,Both sexes,Unemployed seeking part-time work,16.7
Persons aged 15 years and over,2003Q2,Both sexes,Not in labour force,1178.9
Persons aged 15 years and over,2003Q2,Both sexes,Potential additional labour force,25.5
Persons aged 15 years and over,2003Q2,Both sexes,Others not in labour force,1153.4
Persons aged 15 years and over,2003Q2,Both sexes,Unemployed seeking work as self-employed,2.0
Persons aged 15 years and over,2003Q2,Male,All ILO economic status,1551.7
Persons aged 15 years and over,2003Q2,Male,In labour force,1143.7
Persons aged 15 years and over,2003Q2,Male,In employment,1086.5
Persons aged 15 years and over,2003Q2,Male,In employment full-time,1006.2
Persons aged 15 years and over,2003Q2,Male,In employment part-time,80.4
Persons aged 15 years and over,2003Q2,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,2003Q2,Male,In employment part-time - underemployed,
Persons aged 15 years and over,2003Q2,Male,Unemployed,57.2
Persons aged 15 years and over,2003Q2,Male,Unemployed seeking full-time work/future job-starter,51.3
Persons aged 15 years and over,2003Q2,Male,Unemployed seeking part-time work,4.3
Persons aged 15 years and over,2003Q2,Male,Not in labour force,407.9
Persons aged 15 years and over,2003Q2,Male,Potential additional labour force,14.2
Persons aged 15 years and over,2003Q2,Male,Others not in labour force,393.8
Persons aged 15 years and over,2003Q2,Male,Unemployed seeking work as self-employed,1.6
Persons aged 15 years and over,2003Q2,Female,All ILO economic status,1597.9
Persons aged 15 years and over,2003Q2,Female,In labour force,826.9
Persons aged 15 years and over,2003Q2,Female,In employment,787.4
Persons aged 15 years and over,2003Q2,Female,In employment full-time,541.7
Persons aged 15 years and over,2003Q2,Female,In employment part-time,245.8
Persons aged 15 years and over,2003Q2,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2003Q2,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2003Q2,Female,Unemployed,39.5
Persons aged 15 years and over,2003Q2,Female,Unemployed seeking full-time work/future job-starter,26.7
Persons aged 15 years and over,2003Q2,Female,Unemployed seeking part-time work,12.4
Persons aged 15 years and over,2003Q2,Female,Not in labour force,771.0
Persons aged 15 years and over,2003Q2,Female,Potential additional labour force,11.4
Persons aged 15 years and over,2003Q2,Female,Others not in labour force,759.7
Persons aged 15 years and over,2003Q2,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2003Q3,Both sexes,All ILO economic status,3166.1
Persons aged 15 years and over,2003Q3,Both sexes,In labour force,2016.7
Persons aged 15 years and over,2003Q3,Both sexes,In employment,1912.8
Persons aged 15 years and over,2003Q3,Both sexes,In employment full-time,1577.0
Persons aged 15 years and over,2003Q3,Both sexes,In employment part-time,335.8
Persons aged 15 years and over,2003Q3,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2003Q3,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2003Q3,Both sexes,Unemployed,103.9
Persons aged 15 years and over,2003Q3,Both sexes,Unemployed seeking full-time work/future job-starter,83.1
Persons aged 15 years and over,2003Q3,Both sexes,Unemployed seeking part-time work,18.0
Persons aged 15 years and over,2003Q3,Both sexes,Not in labour force,1149.4
Persons aged 15 years and over,2003Q3,Both sexes,Potential additional labour force,20.5
Persons aged 15 years and over,2003Q3,Both sexes,Others not in labour force,1128.9
Persons aged 15 years and over,2003Q3,Both sexes,Unemployed seeking work as self-employed,2.8
Persons aged 15 years and over,2003Q3,Male,All ILO economic status,1560.5
Persons aged 15 years and over,2003Q3,Male,In labour force,1170.2
Persons aged 15 years and over,2003Q3,Male,In employment,1110.3
Persons aged 15 years and over,2003Q3,Male,In employment full-time,1025.6
Persons aged 15 years and over,2003Q3,Male,In employment part-time,84.7
Persons aged 15 years and over,2003Q3,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,2003Q3,Male,In employment part-time - underemployed,
Persons aged 15 years and over,2003Q3,Male,Unemployed,60.0
Persons aged 15 years and over,2003Q3,Male,Unemployed seeking full-time work/future job-starter,53.3
Persons aged 15 years and over,2003Q3,Male,Unemployed seeking part-time work,4.4
Persons aged 15 years and over,2003Q3,Male,Not in labour force,390.2
Persons aged 15 years and over,2003Q3,Male,Potential additional labour force,11.3
Persons aged 15 years and over,2003Q3,Male,Others not in labour force,378.9
Persons aged 15 years and over,2003Q3,Male,Unemployed seeking work as self-employed,2.3
Persons aged 15 years and over,2003Q3,Female,All ILO economic status,1605.6
Persons aged 15 years and over,2003Q3,Female,In labour force,846.4
Persons aged 15 years and over,2003Q3,Female,In employment,802.5
Persons aged 15 years and over,2003Q3,Female,In employment full-time,551.4
Persons aged 15 years and over,2003Q3,Female,In employment part-time,251.1
Persons aged 15 years and over,2003Q3,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2003Q3,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2003Q3,Female,Unemployed,43.9
Persons aged 15 years and over,2003Q3,Female,Unemployed seeking full-time work/future job-starter,29.8
Persons aged 15 years and over,2003Q3,Female,Unemployed seeking part-time work,13.6
Persons aged 15 years and over,2003Q3,Female,Not in labour force,759.2
Persons aged 15 years and over,2003Q3,Female,Potential additional labour force,9.2
Persons aged 15 years and over,2003Q3,Female,Others not in labour force,750.0
Persons aged 15 years and over,2003Q3,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2003Q4,Both sexes,All ILO economic status,3184.3
Persons aged 15 years and over,2003Q4,Both sexes,In labour force,1988.7
Persons aged 15 years and over,2003Q4,Both sexes,In employment,1899.4
Persons aged 15 years and over,2003Q4,Both sexes,In employment full-time,1567.7
Persons aged 15 years and over,2003Q4,Both sexes,In employment part-time,331.7
Persons aged 15 years and over,2003Q4,Both sexes,In employment part-time - not underemployed,
Persons aged 15 years and over,2003Q4,Both sexes,In employment part-time - underemployed,
Persons aged 15 years and over,2003Q4,Both sexes,Unemployed,89.3
Persons aged 15 years and over,2003Q4,Both sexes,Unemployed seeking full-time work/future job-starter,71.1
Persons aged 15 years and over,2003Q4,Both sexes,Unemployed seeking part-time work,15.6
Persons aged 15 years and over,2003Q4,Both sexes,Not in labour force,1195.6
Persons aged 15 years and over,2003Q4,Both sexes,Potential additional labour force,19.1
Persons aged 15 years and over,2003Q4,Both sexes,Others not in labour force,1176.5
Persons aged 15 years and over,2003Q4,Both sexes,Unemployed seeking work as self-employed,2.7
Persons aged 15 years and over,2003Q4,Male,All ILO economic status,1570.2
Persons aged 15 years and over,2003Q4,Male,In labour force,1154.4
Persons aged 15 years and over,2003Q4,Male,In employment,1101.0
Persons aged 15 years and over,2003Q4,Male,In employment full-time,1021.0
Persons aged 15 years and over,2003Q4,Male,In employment part-time,80.0
Persons aged 15 years and over,2003Q4,Male,In employment part-time - not underemployed,
Persons aged 15 years and over,2003Q4,Male,In employment part-time - underemployed,
Persons aged 15 years and over,2003Q4,Male,Unemployed,53.4
Persons aged 15 years and over,2003Q4,Male,Unemployed seeking full-time work/future job-starter,48.0
Persons aged 15 years and over,2003Q4,Male,Unemployed seeking part-time work,3.5
Persons aged 15 years and over,2003Q4,Male,Not in labour force,415.7
Persons aged 15 years and over,2003Q4,Male,Potential additional labour force,11.7
Persons aged 15 years and over,2003Q4,Male,Others not in labour force,404.1
Persons aged 15 years and over,2003Q4,Male,Unemployed seeking work as self-employed,2.0
Persons aged 15 years and over,2003Q4,Female,All ILO economic status,1614.2
Persons aged 15 years and over,2003Q4,Female,In labour force,834.3
Persons aged 15 years and over,2003Q4,Female,In employment,798.4
Persons aged 15 years and over,2003Q4,Female,In employment full-time,546.7
Persons aged 15 years and over,2003Q4,Female,In employment part-time,251.7
Persons aged 15 years and over,2003Q4,Female,In employment part-time - not underemployed,
Persons aged 15 years and over,2003Q4,Female,In employment part-time - underemployed,
Persons aged 15 years and over,2003Q4,Female,Unemployed,35.9
Persons aged 15 years and over,2003Q4,Female,Unemployed seeking full-time work/future job-starter,23.1
Persons aged 15 years and over,2003Q4,Female,Unemployed seeking part-time work,12.1
Persons aged 15 years and over,2003Q4,Female,Not in labour force,779.9
Persons aged 15 years and over,2003Q4,Female,Potential additional labour force,7.5
Persons aged 15 years and over,2003Q4,Female,Others not in labour force,772.4
Persons aged 15 years and over,2003Q4,Female,Unemployed seeking work as self-employed,
Persons aged 15 years and over,2004Q1,Both sexes,All ILO economic status,3194.9
