Statistic,Quarter,Detailed Occupational Group,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2003Q4,X1 Other/Not stated,36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,All occupational groups,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q1,X1 Other/Not stated,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,All occupational groups,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q2,X1 Other/Not stated,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,All occupational groups,36.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q3,X1 Other/Not stated,36.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,All occupational groups,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2004Q4,X1 Other/Not stated,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,All occupational groups,36.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q1,X1 Other/Not stated,36.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,All occupational groups,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q2,X1 Other/Not stated,36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,All occupational groups,36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q3,X1 Other/Not stated,36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,All occupational groups,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2005Q4,X1 Other/Not stated,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,All occupational groups,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q1,X1 Other/Not stated,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,All occupational groups,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q2,X1 Other/Not stated,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,All occupational groups,36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q3,X1 Other/Not stated,36.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,All occupational groups,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,"1 Managers, directors and senior officials",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,2 Professional,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,3 Associate professional and technical,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,4 Administrative and secreterial,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,5 Skilled trades,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,"6 Caring, leisure and other services",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,7 Sales and customer service,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,"8 Process, plant and machine operatives",
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,9 Elementary,
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2006Q4,X1 Other/Not stated,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,All occupational groups,36.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,"1 Managers, directors and senior officials",42.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,2 Professional,35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,3 Associate professional and technical,37.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,4 Administrative and secreterial,33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,5 Skilled trades,42.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,"6 Caring, leisure and other services",30.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,7 Sales and customer service,28.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,"8 Process, plant and machine operatives",39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,9 Elementary,33.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q1,X1 Other/Not stated,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,All occupational groups,36.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,"1 Managers, directors and senior officials",42.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,2 Professional,35.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,3 Associate professional and technical,37.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,4 Administrative and secreterial,33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,5 Skilled trades,42.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,"6 Caring, leisure and other services",30.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,7 Sales and customer service,29.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,"8 Process, plant and machine operatives",39.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,9 Elementary,33.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q2,X1 Other/Not stated,34.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,All occupational groups,36.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,"1 Managers, directors and senior officials",42.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,2 Professional,35.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,3 Associate professional and technical,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,4 Administrative and secreterial,33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,5 Skilled trades,42.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,"6 Caring, leisure and other services",30.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,7 Sales and customer service,30.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,"8 Process, plant and machine operatives",40.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,9 Elementary,34.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q3,X1 Other/Not stated,34.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,All occupational groups,36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,"1 Managers, directors and senior officials",42.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,2 Professional,35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,3 Associate professional and technical,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,4 Administrative and secreterial,33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,5 Skilled trades,41.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,"6 Caring, leisure and other services",30.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,7 Sales and customer service,28.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,"8 Process, plant and machine operatives",39.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,9 Elementary,33.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2007Q4,X1 Other/Not stated,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,All occupational groups,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,"1 Managers, directors and senior officials",42.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,2 Professional,35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,3 Associate professional and technical,37.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,4 Administrative and secreterial,33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,5 Skilled trades,41.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,"6 Caring, leisure and other services",30.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,7 Sales and customer service,29.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,"8 Process, plant and machine operatives",39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,9 Elementary,33.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q1,X1 Other/Not stated,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,All occupational groups,36.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,"1 Managers, directors and senior officials",42.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,2 Professional,35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,3 Associate professional and technical,37.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,4 Administrative and secreterial,33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,5 Skilled trades,41.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,"6 Caring, leisure and other services",29.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,7 Sales and customer service,29.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,"8 Process, plant and machine operatives",39.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,9 Elementary,33.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q2,X1 Other/Not stated,36.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q3,All occupational groups,36.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q3,"1 Managers, directors and senior officials",42.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q3,2 Professional,35.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q3,3 Associate professional and technical,37.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q3,4 Administrative and secreterial,33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q3,5 Skilled trades,41.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q3,"6 Caring, leisure and other services",29.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q3,7 Sales and customer service,29.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q3,"8 Process, plant and machine operatives",39.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q3,9 Elementary,33.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q3,X1 Other/Not stated,38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q4,All occupational groups,35.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q4,"1 Managers, directors and senior officials",42.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q4,2 Professional,34.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q4,3 Associate professional and technical,37.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q4,4 Administrative and secreterial,33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q4,5 Skilled trades,41.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q4,"6 Caring, leisure and other services",29.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q4,7 Sales and customer service,28.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q4,"8 Process, plant and machine operatives",39.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q4,9 Elementary,32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2008Q4,X1 Other/Not stated,36.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q1,All occupational groups,35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q1,"1 Managers, directors and senior officials",41.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q1,2 Professional,35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q1,3 Associate professional and technical,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q1,4 Administrative and secreterial,32.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q1,5 Skilled trades,41.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q1,"6 Caring, leisure and other services",29.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q1,7 Sales and customer service,27.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q1,"8 Process, plant and machine operatives",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q1,9 Elementary,32.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q1,X1 Other/Not stated,34.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q2,All occupational groups,35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q2,"1 Managers, directors and senior officials",41.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q2,2 Professional,35.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q2,3 Associate professional and technical,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q2,4 Administrative and secreterial,33.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q2,5 Skilled trades,41.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q2,"6 Caring, leisure and other services",29.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q2,7 Sales and customer service,27.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q2,"8 Process, plant and machine operatives",38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q2,9 Elementary,31.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q2,X1 Other/Not stated,34.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q3,All occupational groups,35.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q3,"1 Managers, directors and senior officials",42.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q3,2 Professional,35.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q3,3 Associate professional and technical,37.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q3,4 Administrative and secreterial,33.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q3,5 Skilled trades,41.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q3,"6 Caring, leisure and other services",29.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q3,7 Sales and customer service,28.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q3,"8 Process, plant and machine operatives",38.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q3,9 Elementary,31.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q3,X1 Other/Not stated,34.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q4,All occupational groups,35.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),2009Q4,"1 Managers, directors and senior officials",41.9
