STATISTIC,Quarter,Age Group,value
Average hours worked per week for persons aged 15-89 years in Employment,2005Q3,25 - 34 years,38.3
Average hours worked per week for persons aged 15-89 years in Employment,2005Q3,35 - 44 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2005Q3,45 - 54 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2005Q3,55 - 59 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2005Q3,60 - 64 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2005Q3,65 years and over,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2005Q4,15 - 19 years,26.2
Average hours worked per week for persons aged 15-89 years in Employment,2005Q4,15 - 64 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2005Q4,15 - 74 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2005Q4,15 years and over,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2005Q4,20 - 24 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2005Q4,25 - 34 years,38.2
Average hours worked per week for persons aged 15-89 years in Employment,2005Q4,35 - 44 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2005Q4,45 - 54 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2005Q4,55 - 59 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2005Q4,60 - 64 years,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2005Q4,65 years and over,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2006Q1,15 - 19 years,26.6
Average hours worked per week for persons aged 15-89 years in Employment,2006Q1,15 - 64 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2006Q1,15 - 74 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2006Q1,15 years and over,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2006Q1,20 - 24 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2006Q1,25 - 34 years,37.9
Average hours worked per week for persons aged 15-89 years in Employment,2006Q1,35 - 44 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2006Q1,45 - 54 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2006Q1,55 - 59 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2006Q1,60 - 64 years,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2006Q1,65 years and over,34.4
Average hours worked per week for persons aged 15-89 years in Employment,2006Q2,15 - 19 years,27.6
Average hours worked per week for persons aged 15-89 years in Employment,2006Q2,15 - 64 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2006Q2,15 - 74 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2006Q2,15 years and over,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2006Q2,20 - 24 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2006Q2,25 - 34 years,37.8
Average hours worked per week for persons aged 15-89 years in Employment,2006Q2,35 - 44 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2006Q2,45 - 54 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2006Q2,55 - 59 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2006Q2,60 - 64 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2006Q2,65 years and over,34.1
Average hours worked per week for persons aged 15-89 years in Employment,2006Q3,15 - 19 years,30.0
Average hours worked per week for persons aged 15-89 years in Employment,2006Q3,15 - 64 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2006Q3,15 - 74 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2006Q3,15 years and over,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2006Q3,20 - 24 years,36.9
Average hours worked per week for persons aged 15-89 years in Employment,2006Q3,25 - 34 years,37.9
Average hours worked per week for persons aged 15-89 years in Employment,2006Q3,35 - 44 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2006Q3,45 - 54 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2006Q3,55 - 59 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2006Q3,60 - 64 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2006Q3,65 years and over,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2006Q4,15 - 19 years,27.0
Average hours worked per week for persons aged 15-89 years in Employment,2006Q4,15 - 64 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2006Q4,15 - 74 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2006Q4,15 years and over,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2006Q4,20 - 24 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2006Q4,25 - 34 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2006Q4,35 - 44 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2006Q4,45 - 54 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2006Q4,55 - 59 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2006Q4,60 - 64 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2006Q4,65 years and over,34.3
Average hours worked per week for persons aged 15-89 years in Employment,2007Q1,15 - 19 years,26.4
Average hours worked per week for persons aged 15-89 years in Employment,2007Q1,15 - 64 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2007Q1,15 - 74 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2007Q1,15 years and over,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2007Q1,20 - 24 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2007Q1,25 - 34 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2007Q1,35 - 44 years,37.0
Average hours worked per week for persons aged 15-89 years in Employment,2007Q1,45 - 54 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2007Q1,55 - 59 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2007Q1,60 - 64 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2007Q1,65 years and over,34.5
Average hours worked per week for persons aged 15-89 years in Employment,2007Q2,15 - 19 years,26.8
Average hours worked per week for persons aged 15-89 years in Employment,2007Q2,15 - 64 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2007Q2,15 - 74 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2007Q2,15 years and over,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2007Q2,20 - 24 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2007Q2,25 - 34 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2007Q2,35 - 44 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2007Q2,45 - 54 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2007Q2,55 - 59 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2007Q2,60 - 64 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2007Q2,65 years and over,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2007Q3,15 - 19 years,29.2
Average hours worked per week for persons aged 15-89 years in Employment,2007Q3,15 - 64 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2007Q3,15 - 74 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2007Q3,15 years and over,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2007Q3,20 - 24 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2007Q3,25 - 34 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2007Q3,35 - 44 years,37.1
Average hours worked per week for persons aged 15-89 years in Employment,2007Q3,45 - 54 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2007Q3,55 - 59 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2007Q3,60 - 64 years,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2007Q3,65 years and over,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2007Q4,15 - 19 years,26.4
Average hours worked per week for persons aged 15-89 years in Employment,2007Q4,15 - 64 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2007Q4,15 - 74 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2007Q4,15 years and over,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2007Q4,20 - 24 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2007Q4,25 - 34 years,37.6
Average hours worked per week for persons aged 15-89 years in Employment,2007Q4,35 - 44 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2007Q4,45 - 54 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2007Q4,55 - 59 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2007Q4,60 - 64 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2007Q4,65 years and over,33.4
Average hours worked per week for persons aged 15-89 years in Employment,2008Q1,15 - 19 years,26.0
Average hours worked per week for persons aged 15-89 years in Employment,2008Q1,15 - 64 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2008Q1,15 - 74 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2008Q1,15 years and over,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2008Q1,20 - 24 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2008Q1,25 - 34 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2008Q1,35 - 44 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2008Q1,45 - 54 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2008Q1,55 - 59 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2008Q1,60 - 64 years,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2008Q1,65 years and over,33.7
Average hours worked per week for persons aged 15-89 years in Employment,2008Q2,15 - 19 years,26.0
Average hours worked per week for persons aged 15-89 years in Employment,2008Q2,15 - 64 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2008Q2,15 - 74 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2008Q2,15 years and over,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2008Q2,20 - 24 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2008Q2,25 - 34 years,37.4
Average hours worked per week for persons aged 15-89 years in Employment,2008Q2,35 - 44 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2008Q2,45 - 54 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2008Q2,55 - 59 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2008Q2,60 - 64 years,34.7
Average hours worked per week for persons aged 15-89 years in Employment,2008Q2,65 years and over,33.4
Average hours worked per week for persons aged 15-89 years in Employment,2008Q3,15 - 19 years,27.9
Average hours worked per week for persons aged 15-89 years in Employment,2008Q3,15 - 64 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2008Q3,15 - 74 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2008Q3,15 years and over,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2008Q3,20 - 24 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2008Q3,25 - 34 years,37.7
Average hours worked per week for persons aged 15-89 years in Employment,2008Q3,35 - 44 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2008Q3,45 - 54 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2008Q3,55 - 59 years,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2008Q3,60 - 64 years,34.7
Average hours worked per week for persons aged 15-89 years in Employment,2008Q3,65 years and over,34.6
Average hours worked per week for persons aged 15-89 years in Employment,2008Q4,15 - 19 years,24.1
Average hours worked per week for persons aged 15-89 years in Employment,2008Q4,15 - 64 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2008Q4,15 - 74 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2008Q4,15 years and over,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2008Q4,20 - 24 years,34.5
Average hours worked per week for persons aged 15-89 years in Employment,2008Q4,25 - 34 years,37.2
Average hours worked per week for persons aged 15-89 years in Employment,2008Q4,35 - 44 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2008Q4,45 - 54 years,35.9
Average hours worked per week for persons aged 15-89 years in Employment,2008Q4,55 - 59 years,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2008Q4,60 - 64 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2008Q4,65 years and over,34.0
Average hours worked per week for persons aged 15-89 years in Employment,2009Q1,15 - 19 years,23.0
Average hours worked per week for persons aged 15-89 years in Employment,2009Q1,15 - 64 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2009Q1,15 - 74 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2009Q1,15 years and over,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2009Q1,20 - 24 years,33.3
Average hours worked per week for persons aged 15-89 years in Employment,2009Q1,25 - 34 years,36.8
Average hours worked per week for persons aged 15-89 years in Employment,2009Q1,35 - 44 years,36.1
Average hours worked per week for persons aged 15-89 years in Employment,2009Q1,45 - 54 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2009Q1,55 - 59 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2009Q1,60 - 64 years,34.3
Average hours worked per week for persons aged 15-89 years in Employment,2009Q1,65 years and over,33.4
Average hours worked per week for persons aged 15-89 years in Employment,2009Q2,15 - 19 years,22.4
Average hours worked per week for persons aged 15-89 years in Employment,2009Q2,15 - 64 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2009Q2,15 - 74 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2009Q2,15 years and over,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2009Q2,20 - 24 years,33.5
Average hours worked per week for persons aged 15-89 years in Employment,2009Q2,25 - 34 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2009Q2,35 - 44 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2009Q2,45 - 54 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2009Q2,55 - 59 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2009Q2,60 - 64 years,34.4
Average hours worked per week for persons aged 15-89 years in Employment,2009Q2,65 years and over,32.3
Average hours worked per week for persons aged 15-89 years in Employment,2009Q3,15 - 19 years,23.5
Average hours worked per week for persons aged 15-89 years in Employment,2009Q3,15 - 64 years,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2009Q3,15 - 74 years,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2009Q3,15 years and over,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2009Q3,20 - 24 years,33.0
Average hours worked per week for persons aged 15-89 years in Employment,2009Q3,25 - 34 years,36.7
Average hours worked per week for persons aged 15-89 years in Employment,2009Q3,35 - 44 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2009Q3,45 - 54 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2009Q3,55 - 59 years,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2009Q3,60 - 64 years,34.1
Average hours worked per week for persons aged 15-89 years in Employment,2009Q3,65 years and over,33.8
Average hours worked per week for persons aged 15-89 years in Employment,2009Q4,15 - 19 years,21.2
Average hours worked per week for persons aged 15-89 years in Employment,2009Q4,15 - 64 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2009Q4,15 - 74 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2009Q4,15 years and over,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2009Q4,20 - 24 years,32.6
Average hours worked per week for persons aged 15-89 years in Employment,2009Q4,25 - 34 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2009Q4,35 - 44 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2009Q4,45 - 54 years,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2009Q4,55 - 59 years,34.6
Average hours worked per week for persons aged 15-89 years in Employment,2009Q4,60 - 64 years,34.3
Average hours worked per week for persons aged 15-89 years in Employment,2009Q4,65 years and over,33.4
Average hours worked per week for persons aged 15-89 years in Employment,2010Q1,15 - 19 years,19.8
Average hours worked per week for persons aged 15-89 years in Employment,2010Q1,15 - 64 years,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2010Q1,15 - 74 years,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2010Q1,15 years and over,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2010Q1,20 - 24 years,31.1
Average hours worked per week for persons aged 15-89 years in Employment,2010Q1,25 - 34 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2010Q1,35 - 44 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2010Q1,45 - 54 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2010Q1,55 - 59 years,34.5
Average hours worked per week for persons aged 15-89 years in Employment,2010Q1,60 - 64 years,34.3
Average hours worked per week for persons aged 15-89 years in Employment,2010Q1,65 years and over,32.4
Average hours worked per week for persons aged 15-89 years in Employment,2010Q2,15 - 19 years,21.2
Average hours worked per week for persons aged 15-89 years in Employment,2010Q2,15 - 64 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2010Q2,15 - 74 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2010Q2,15 years and over,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2010Q2,20 - 24 years,32.0
Average hours worked per week for persons aged 15-89 years in Employment,2010Q2,25 - 34 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2010Q2,35 - 44 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2010Q2,45 - 54 years,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2010Q2,55 - 59 years,34.5
Average hours worked per week for persons aged 15-89 years in Employment,2010Q2,60 - 64 years,33.5
Average hours worked per week for persons aged 15-89 years in Employment,2010Q2,65 years and over,33.7
Average hours worked per week for persons aged 15-89 years in Employment,2010Q3,15 - 19 years,21.7
Average hours worked per week for persons aged 15-89 years in Employment,2010Q3,15 - 64 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2010Q3,15 - 74 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2010Q3,15 years and over,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2010Q3,20 - 24 years,32.0
Average hours worked per week for persons aged 15-89 years in Employment,2010Q3,25 - 34 years,36.5
Average hours worked per week for persons aged 15-89 years in Employment,2010Q3,35 - 44 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2010Q3,45 - 54 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2010Q3,55 - 59 years,34.8
Average hours worked per week for persons aged 15-89 years in Employment,2010Q3,60 - 64 years,34.1
Average hours worked per week for persons aged 15-89 years in Employment,2010Q3,65 years and over,33.1
Average hours worked per week for persons aged 15-89 years in Employment,2010Q4,15 - 19 years,18.6
Average hours worked per week for persons aged 15-89 years in Employment,2010Q4,15 - 64 years,34.9
Average hours worked per week for persons aged 15-89 years in Employment,2010Q4,15 - 74 years,34.8
Average hours worked per week for persons aged 15-89 years in Employment,2010Q4,15 years and over,34.8
Average hours worked per week for persons aged 15-89 years in Employment,2010Q4,20 - 24 years,31.4
Average hours worked per week for persons aged 15-89 years in Employment,2010Q4,25 - 34 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2010Q4,35 - 44 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2010Q4,45 - 54 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2010Q4,55 - 59 years,34.4
Average hours worked per week for persons aged 15-89 years in Employment,2010Q4,60 - 64 years,34.3
Average hours worked per week for persons aged 15-89 years in Employment,2010Q4,65 years and over,31.9
Average hours worked per week for persons aged 15-89 years in Employment,2011Q1,15 - 19 years,17.0
Average hours worked per week for persons aged 15-89 years in Employment,2011Q1,15 - 64 years,34.7
Average hours worked per week for persons aged 15-89 years in Employment,2011Q1,15 - 74 years,34.7
Average hours worked per week for persons aged 15-89 years in Employment,2011Q1,15 years and over,34.7
Average hours worked per week for persons aged 15-89 years in Employment,2011Q1,20 - 24 years,29.9
Average hours worked per week for persons aged 15-89 years in Employment,2011Q1,25 - 34 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2011Q1,35 - 44 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2011Q1,45 - 54 years,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2011Q1,55 - 59 years,34.1
Average hours worked per week for persons aged 15-89 years in Employment,2011Q1,60 - 64 years,33.7
Average hours worked per week for persons aged 15-89 years in Employment,2011Q1,65 years and over,32.1
Average hours worked per week for persons aged 15-89 years in Employment,2011Q2,15 - 19 years,20.6
Average hours worked per week for persons aged 15-89 years in Employment,2011Q2,15 - 64 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2011Q2,15 - 74 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2011Q2,15 years and over,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2011Q2,20 - 24 years,30.6
Average hours worked per week for persons aged 15-89 years in Employment,2011Q2,25 - 34 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2011Q2,35 - 44 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2011Q2,45 - 54 years,35.4
Average hours worked per week for persons aged 15-89 years in Employment,2011Q2,55 - 59 years,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2011Q2,60 - 64 years,33.8
Average hours worked per week for persons aged 15-89 years in Employment,2011Q2,65 years and over,31.6
Average hours worked per week for persons aged 15-89 years in Employment,2011Q3,15 - 19 years,21.3
Average hours worked per week for persons aged 15-89 years in Employment,2011Q3,15 - 64 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2011Q3,15 - 74 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2011Q3,15 years and over,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2011Q3,20 - 24 years,30.9
Average hours worked per week for persons aged 15-89 years in Employment,2011Q3,25 - 34 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2011Q3,35 - 44 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2011Q3,45 - 54 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2011Q3,55 - 59 years,34.7
Average hours worked per week for persons aged 15-89 years in Employment,2011Q3,60 - 64 years,34.6
Average hours worked per week for persons aged 15-89 years in Employment,2011Q3,65 years and over,33.7
Average hours worked per week for persons aged 15-89 years in Employment,2011Q4,15 - 19 years,20.2
Average hours worked per week for persons aged 15-89 years in Employment,2011Q4,15 - 64 years,34.9
Average hours worked per week for persons aged 15-89 years in Employment,2011Q4,15 - 74 years,34.9
Average hours worked per week for persons aged 15-89 years in Employment,2011Q4,15 years and over,34.9
Average hours worked per week for persons aged 15-89 years in Employment,2011Q4,20 - 24 years,30.7
Average hours worked per week for persons aged 15-89 years in Employment,2011Q4,25 - 34 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2011Q4,35 - 44 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2011Q4,45 - 54 years,35.5
Average hours worked per week for persons aged 15-89 years in Employment,2011Q4,55 - 59 years,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2011Q4,60 - 64 years,33.1
Average hours worked per week for persons aged 15-89 years in Employment,2011Q4,65 years and over,31.3
Average hours worked per week for persons aged 15-89 years in Employment,2012Q1,15 - 19 years,19.0
Average hours worked per week for persons aged 15-89 years in Employment,2012Q1,15 - 64 years,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2012Q1,15 - 74 years,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2012Q1,15 years and over,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2012Q1,20 - 24 years,30.3
Average hours worked per week for persons aged 15-89 years in Employment,2012Q1,25 - 34 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2012Q1,35 - 44 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2012Q1,45 - 54 years,35.7
Average hours worked per week for persons aged 15-89 years in Employment,2012Q1,55 - 59 years,34.7
Average hours worked per week for persons aged 15-89 years in Employment,2012Q1,60 - 64 years,33.8
Average hours worked per week for persons aged 15-89 years in Employment,2012Q1,65 years and over,31.8
Average hours worked per week for persons aged 15-89 years in Employment,2012Q2,15 - 19 years,22.4
Average hours worked per week for persons aged 15-89 years in Employment,2012Q2,15 - 64 years,35.3
Average hours worked per week for persons aged 15-89 years in Employment,2012Q2,15 - 74 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2012Q2,15 years and over,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2012Q2,20 - 24 years,29.9
Average hours worked per week for persons aged 15-89 years in Employment,2012Q2,25 - 34 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2012Q2,35 - 44 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2012Q2,45 - 54 years,36.0
Average hours worked per week for persons aged 15-89 years in Employment,2012Q2,55 - 59 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2012Q2,60 - 64 years,33.3
Average hours worked per week for persons aged 15-89 years in Employment,2012Q2,65 years and over,32.2
Average hours worked per week for persons aged 15-89 years in Employment,2012Q3,15 - 19 years,22.3
Average hours worked per week for persons aged 15-89 years in Employment,2012Q3,15 - 64 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2012Q3,15 - 74 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2012Q3,15 years and over,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2012Q3,20 - 24 years,31.0
Average hours worked per week for persons aged 15-89 years in Employment,2012Q3,25 - 34 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2012Q3,35 - 44 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2012Q3,45 - 54 years,35.8
Average hours worked per week for persons aged 15-89 years in Employment,2012Q3,55 - 59 years,34.8
Average hours worked per week for persons aged 15-89 years in Employment,2012Q3,60 - 64 years,33.3
Average hours worked per week for persons aged 15-89 years in Employment,2012Q3,65 years and over,32.7
Average hours worked per week for persons aged 15-89 years in Employment,2012Q4,15 - 19 years,19.2
Average hours worked per week for persons aged 15-89 years in Employment,2012Q4,15 - 64 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2012Q4,15 - 74 years,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2012Q4,15 years and over,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2012Q4,20 - 24 years,30.6
Average hours worked per week for persons aged 15-89 years in Employment,2012Q4,25 - 34 years,36.6
Average hours worked per week for persons aged 15-89 years in Employment,2012Q4,35 - 44 years,36.2
Average hours worked per week for persons aged 15-89 years in Employment,2012Q4,45 - 54 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2012Q4,55 - 59 years,35.2
Average hours worked per week for persons aged 15-89 years in Employment,2012Q4,60 - 64 years,33.1
Average hours worked per week for persons aged 15-89 years in Employment,2012Q4,65 years and over,31.8
Average hours worked per week for persons aged 15-89 years in Employment,2013Q1,15 - 19 years,18.9
Average hours worked per week for persons aged 15-89 years in Employment,2013Q1,15 - 64 years,35.1
Average hours worked per week for persons aged 15-89 years in Employment,2013Q1,15 - 74 years,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2013Q1,15 years and over,35.0
Average hours worked per week for persons aged 15-89 years in Employment,2013Q1,20 - 24 years,29.9
Average hours worked per week for persons aged 15-89 years in Employment,2013Q1,25 - 34 years,36.4
Average hours worked per week for persons aged 15-89 years in Employment,2013Q1,35 - 44 years,36.3
Average hours worked per week for persons aged 15-89 years in Employment,2013Q1,45 - 54 years,35.6
Average hours worked per week for persons aged 15-89 years in Employment,2013Q1,55 - 59 years,34.7
Average hours worked per week for persons aged 15-89 years in Employment,2013Q1,60 - 64 years,33.2
