Statistic,Quarter,Extent of working at home,value
Persons aged 15 years and over in employment (ILO),2017Q1,Person never works at home,1841.0
Persons aged 15 years and over in employment (ILO),2017Q1,Not stated,7.6
Persons aged 15 years and over in employment (ILO),2017Q1,All persons in employment,2162.8
Persons aged 15 years and over in employment (ILO),2017Q2,Person usually works at home,81.7
Persons aged 15 years and over in employment (ILO),2017Q2,Person sometimes works at home,237.7
Persons aged 15 years and over in employment (ILO),2017Q2,Person never works at home,1858.8
Persons aged 15 years and over in employment (ILO),2017Q2,Not stated,9.3
Persons aged 15 years and over in employment (ILO),2017Q2,All persons in employment,2187.4
Persons aged 15 years and over in employment (ILO),2017Q3,Person usually works at home,153.6
Persons aged 15 years and over in employment (ILO),2017Q3,Person sometimes works at home,261.6
Persons aged 15 years and over in employment (ILO),2017Q3,Person never works at home,1794.1
Persons aged 15 years and over in employment (ILO),2017Q3,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q3,All persons in employment,2212.3
Persons aged 15 years and over in employment (ILO),2017Q4,Person usually works at home,163.4
Persons aged 15 years and over in employment (ILO),2017Q4,Person sometimes works at home,278.0
Persons aged 15 years and over in employment (ILO),2017Q4,Person never works at home,1788.8
Persons aged 15 years and over in employment (ILO),2017Q4,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q4,All persons in employment,2234.7
Persons aged 15 years and over in employment (ILO),2018Q1,Person usually works at home,161.4
Persons aged 15 years and over in employment (ILO),2018Q1,Person sometimes works at home,288.2
Persons aged 15 years and over in employment (ILO),2018Q1,Person never works at home,1771.6
Persons aged 15 years and over in employment (ILO),2018Q1,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q1,All persons in employment,2225.3
Persons aged 15 years and over in employment (ILO),2018Q2,Person usually works at home,162.1
Persons aged 15 years and over in employment (ILO),2018Q2,Person sometimes works at home,294.7
Persons aged 15 years and over in employment (ILO),2018Q2,Person never works at home,1800.6
Persons aged 15 years and over in employment (ILO),2018Q2,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q2,All persons in employment,2261.7
Persons aged 15 years and over in employment (ILO),2018Q3,Person usually works at home,153.6
Persons aged 15 years and over in employment (ILO),2018Q3,Person sometimes works at home,291.3
Persons aged 15 years and over in employment (ILO),2018Q3,Person never works at home,1833.6
Persons aged 15 years and over in employment (ILO),2018Q3,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q3,All persons in employment,2282.7
Persons aged 15 years and over in employment (ILO),2018Q4,Person usually works at home,165.0
Persons aged 15 years and over in employment (ILO),2018Q4,Person sometimes works at home,288.0
Persons aged 15 years and over in employment (ILO),2018Q4,Person never works at home,1834.1
Persons aged 15 years and over in employment (ILO),2018Q4,Not stated,
Persons aged 15 years and over in employment (ILO),2018Q4,All persons in employment,2290.4
Persons aged 15 years and over in employment (ILO),2019Q1,Person usually works at home,161.5
Persons aged 15 years and over in employment (ILO),2019Q1,Person sometimes works at home,290.7
Persons aged 15 years and over in employment (ILO),2019Q1,Person never works at home,1857.5
Persons aged 15 years and over in employment (ILO),2019Q1,Not stated,
Persons aged 15 years and over in employment (ILO),2019Q1,All persons in employment,2312.8
Persons aged 15 years and over in employment (ILO),2019Q2,Person usually works at home,173.5
Persons aged 15 years and over in employment (ILO),2019Q2,Person sometimes works at home,291.8
Persons aged 15 years and over in employment (ILO),2019Q2,Person never works at home,1841.4
Persons aged 15 years and over in employment (ILO),2019Q2,Not stated,4.9
Persons aged 15 years and over in employment (ILO),2019Q2,All persons in employment,2311.5
Persons aged 15 years and over in employment (ILO),2019Q3,Person usually works at home,170.7
Persons aged 15 years and over in employment (ILO),2019Q3,Person sometimes works at home,297.1
Persons aged 15 years and over in employment (ILO),2019Q3,Person never works at home,1869.5
Persons aged 15 years and over in employment (ILO),2019Q3,Not stated,
Persons aged 15 years and over in employment (ILO),2019Q3,All persons in employment,2341.6
Persons aged 15 years and over in employment (ILO),2019Q4,Person usually works at home,194.6
Persons aged 15 years and over in employment (ILO),2019Q4,Person sometimes works at home,316.1
Persons aged 15 years and over in employment (ILO),2019Q4,Person never works at home,1860.9
Persons aged 15 years and over in employment (ILO),2019Q4,Not stated,6.2
Persons aged 15 years and over in employment (ILO),2019Q4,All persons in employment,2377.8
Persons aged 15 years and over in employment (ILO),2020Q1,Person usually works at home,209.0
Persons aged 15 years and over in employment (ILO),2020Q1,Person sometimes works at home,338.0
Persons aged 15 years and over in employment (ILO),2020Q1,Person never works at home,1818.5
Persons aged 15 years and over in employment (ILO),2020Q1,Not stated,
Persons aged 15 years and over in employment (ILO),2020Q1,All persons in employment,2368.8
Persons aged 15 years and over in employment (ILO),2020Q2,Person usually works at home,477.0
Persons aged 15 years and over in employment (ILO),2020Q2,Person sometimes works at home,253.8
Persons aged 15 years and over in employment (ILO),2020Q2,Person never works at home,1428.0
Persons aged 15 years and over in employment (ILO),2020Q2,Not stated,
Persons aged 15 years and over in employment (ILO),2020Q2,All persons in employment,2161.3
Persons aged 15 years and over in employment (ILO),2020Q3,Person usually works at home,642.6
Persons aged 15 years and over in employment (ILO),2020Q3,Person sometimes works at home,181.1
Persons aged 15 years and over in employment (ILO),2020Q3,Person never works at home,1443.2
Persons aged 15 years and over in employment (ILO),2020Q3,Not stated,8.0
Persons aged 15 years and over in employment (ILO),2020Q3,All persons in employment,2275.0
Persons aged 15 years and over in employment (ILO),2020Q4,Person usually works at home,674.1
Persons aged 15 years and over in employment (ILO),2020Q4,Person sometimes works at home,193.7
Persons aged 15 years and over in employment (ILO),2020Q4,Person never works at home,1430.5
Persons aged 15 years and over in employment (ILO),2020Q4,Not stated,6.8
Persons aged 15 years and over in employment (ILO),2020Q4,All persons in employment,2305.1
Persons aged 15 years and over in employment (ILO),2021Q1,Person usually works at home,846.7
Persons aged 15 years and over in employment (ILO),2021Q1,Person sometimes works at home,145.9
Persons aged 15 years and over in employment (ILO),2021Q1,Person never works at home,1252.0
Persons aged 15 years and over in employment (ILO),2021Q1,Not stated,15.3
Persons aged 15 years and over in employment (ILO),2021Q1,All persons in employment,2259.9
Persons aged 15 years and over in employment (ILO),2021Q2,Person usually works at home,774.3
Persons aged 15 years and over in employment (ILO),2021Q2,Person sometimes works at home,178.4
Persons aged 15 years and over in employment (ILO),2021Q2,Person never works at home,1419.0
Persons aged 15 years and over in employment (ILO),2021Q2,Not stated,10.5
Persons aged 15 years and over in employment (ILO),2021Q2,All persons in employment,2382.2
Persons aged 15 years and over in employment (ILO),2021Q3,Person usually works at home,753.5
Persons aged 15 years and over in employment (ILO),2021Q3,Person sometimes works at home,170.2
Persons aged 15 years and over in employment (ILO),2021Q3,Person never works at home,1581.6
Persons aged 15 years and over in employment (ILO),2021Q3,Not stated,9.7
Persons aged 15 years and over in employment (ILO),2021Q3,All persons in employment,2515.0
Persons aged 15 years and over in employment (ILO),2021Q4,Person usually works at home,730.1
Persons aged 15 years and over in employment (ILO),2021Q4,Person sometimes works at home,213.0
Persons aged 15 years and over in employment (ILO),2021Q4,Person never works at home,1598.4
Persons aged 15 years and over in employment (ILO),2021Q4,Not stated,9.8
Persons aged 15 years and over in employment (ILO),2021Q4,All persons in employment,2551.4
Persons aged 15 years and over in employment (ILO),2022Q1,Person usually works at home,719.9
Persons aged 15 years and over in employment (ILO),2022Q1,Person sometimes works at home,248.1
Persons aged 15 years and over in employment (ILO),2022Q1,Person never works at home,1582.6
Persons aged 15 years and over in employment (ILO),2022Q1,Not stated,8.8
Persons aged 15 years and over in employment (ILO),2022Q1,All persons in employment,2559.4
Persons aged 15 years and over in employment (ILO),2022Q2,Person usually works at home,643.0
Persons aged 15 years and over in employment (ILO),2022Q2,Person sometimes works at home,279.4
Persons aged 15 years and over in employment (ILO),2022Q2,Person never works at home,1672.6
Persons aged 15 years and over in employment (ILO),2022Q2,Not stated,6.3
Persons aged 15 years and over in employment (ILO),2022Q2,All persons in employment,2601.2
Persons aged 15 years and over in employment (ILO),2022Q3,Person usually works at home,587.8
Persons aged 15 years and over in employment (ILO),2022Q3,Person sometimes works at home,273.9
Persons aged 15 years and over in employment (ILO),2022Q3,Person never works at home,1728.1
Persons aged 15 years and over in employment (ILO),2022Q3,Not stated,12.7
Persons aged 15 years and over in employment (ILO),2022Q3,All persons in employment,2602.6
Persons aged 15 years and over in employment (ILO),2022Q4,Person usually works at home,569.3
Persons aged 15 years and over in employment (ILO),2022Q4,Person sometimes works at home,329.1
Persons aged 15 years and over in employment (ILO),2022Q4,Person never works at home,1705.8
Persons aged 15 years and over in employment (ILO),2022Q4,Not stated,12.6
Persons aged 15 years and over in employment (ILO),2022Q4,All persons in employment,2616.7
Persons aged 15 years and over in employment (ILO),2023Q1,Person usually works at home,561.7
Persons aged 15 years and over in employment (ILO),2023Q1,Person sometimes works at home,349.5
Persons aged 15 years and over in employment (ILO),2023Q1,Person never works at home,1731.3
Persons aged 15 years and over in employment (ILO),2023Q1,Not stated,10.2
Persons aged 15 years and over in employment (ILO),2023Q1,All persons in employment,2652.7
Persons aged 15 years and over in employment (ILO),2023Q2,Person usually works at home,547.6
Persons aged 15 years and over in employment (ILO),2023Q2,Person sometimes works at home,360.5
Persons aged 15 years and over in employment (ILO),2023Q2,Person never works at home,1767.9
Persons aged 15 years and over in employment (ILO),2023Q2,Not stated,6.8
Persons aged 15 years and over in employment (ILO),2023Q2,All persons in employment,2682.7
Persons aged 15 years and over in employment (ILO),2023Q3,Person usually works at home,554.1
Persons aged 15 years and over in employment (ILO),2023Q3,Person sometimes works at home,354.9
Persons aged 15 years and over in employment (ILO),2023Q3,Person never works at home,1778.7
Persons aged 15 years and over in employment (ILO),2023Q3,Not stated,8.6
Persons aged 15 years and over in employment (ILO),2023Q3,All persons in employment,2696.2
Persons aged 15 years and over in employment (ILO),2023Q4,Person usually works at home,544.0
Persons aged 15 years and over in employment (ILO),2023Q4,Person sometimes works at home,389.2
Persons aged 15 years and over in employment (ILO),2023Q4,Person never works at home,1762.2
Persons aged 15 years and over in employment (ILO),2023Q4,Not stated,11.0
Persons aged 15 years and over in employment (ILO),2023Q4,All persons in employment,2706.4
Persons aged 15 years and over in employment (ILO),2024Q1,Person usually works at home,543.5
Persons aged 15 years and over in employment (ILO),2024Q1,Person sometimes works at home,398.2
Persons aged 15 years and over in employment (ILO),2024Q1,Person never works at home,1737.9
Persons aged 15 years and over in employment (ILO),2024Q1,Not stated,24.5
Persons aged 15 years and over in employment (ILO),2024Q1,All persons in employment,2704.2
Persons aged 15 years and over in employment (ILO),2024Q2,Person usually works at home,553.6
Persons aged 15 years and over in employment (ILO),2024Q2,Person sometimes works at home,399.3
Persons aged 15 years and over in employment (ILO),2024Q2,Person never works at home,1794.1
Persons aged 15 years and over in employment (ILO),2024Q2,Not stated,7.2
Persons aged 15 years and over in employment (ILO),2024Q2,All persons in employment,2754.2
Persons aged 15 years and over in employment (ILO),2024Q3,Person usually works at home,544.0
Persons aged 15 years and over in employment (ILO),2024Q3,Person sometimes works at home,400.5
Persons aged 15 years and over in employment (ILO),2024Q3,Person never works at home,1841.2
Persons aged 15 years and over in employment (ILO),2024Q3,Not stated,9.2
Persons aged 15 years and over in employment (ILO),2024Q3,All persons in employment,2794.8
Persons aged 15 years and over in employment (ILO),2024Q4,Person usually works at home,539.9
Persons aged 15 years and over in employment (ILO),2024Q4,Person sometimes works at home,432.8
Persons aged 15 years and over in employment (ILO),2024Q4,Person never works at home,1791.4
Persons aged 15 years and over in employment (ILO),2024Q4,Not stated,12.4
Persons aged 15 years and over in employment (ILO),2024Q4,All persons in employment,2776.4
Persons aged 15 years and over in employment (ILO),2025Q1,Person usually works at home,554.5
Persons aged 15 years and over in employment (ILO),2025Q1,Person sometimes works at home,480.4
Persons aged 15 years and over in employment (ILO),2025Q1,Person never works at home,1749.6
Persons aged 15 years and over in employment (ILO),2025Q1,Not stated,9.6
Persons aged 15 years and over in employment (ILO),2025Q1,All persons in employment,2794.1
