Statistic,Sex,NACE Rev 2 Economic Sector,Region,Quarter,value
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2002Q2,266.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2002Q3,274.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2002Q4,265.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2003Q1,266.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2003Q2,267.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2003Q3,280.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2003Q4,274.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2004Q1,276.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2004Q2,280.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2004Q3,295.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2004Q4,289.0
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2005Q1,291.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2005Q2,296.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2005Q3,309.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2005Q4,304.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2006Q1,303.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2006Q2,308.7
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2006Q3,319.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2006Q4,318.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2007Q1,319.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2007Q2,324.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2007Q3,334.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2007Q4,326.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2008Q1,325.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2008Q2,324.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2008Q3,331.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2008Q4,313.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2009Q1,301.8
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2009Q2,302.3
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2009Q3,300.4
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2009Q4,290.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2010Q1,285.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2010Q2,292.5
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2010Q3,289.6
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2010Q4,279.2
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2011Q1,274.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2011Q2,276.1
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2011Q3,279.9
Person aged 15 years and over in Employment ,Both sexes,All NACE economic sectors,South-West,2011Q4,278.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,1998Q1,135.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,1998Q2,135.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,1998Q3,137.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,1998Q4,137.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,1999Q1,139.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,1999Q2,138.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,1999Q3,143.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,1999Q4,140.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2000Q1,134.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2000Q2,129.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2000Q3,129.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2000Q4,122.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2001Q1,122.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2001Q2,121.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2001Q3,129.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2001Q4,125.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2002Q1,121.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2002Q2,123.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2002Q3,124.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2002Q4,114.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2003Q1,114.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2003Q2,114.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2003Q3,117.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2003Q4,119.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2004Q1,115.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2004Q2,115.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2004Q3,118.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2004Q4,110.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2005Q1,111.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2005Q2,112.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2005Q3,114.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2005Q4,109.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2006Q1,112.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2006Q2,111.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2006Q3,115.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2006Q4,110.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2007Q1,109.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2007Q2,109.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2007Q3,113.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2007Q4,115.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2008Q1,117.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2008Q2,116.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2008Q3,113.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2008Q4,116.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2009Q1,110.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2009Q2,114.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2009Q3,114.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2009Q4,110.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2010Q1,104.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2010Q2,111.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2010Q3,114.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2010Q4,111.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2011Q1,107.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2011Q2,112.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2011Q3,107.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",State,2011Q4,103.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,1998Q1,20.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,1998Q2,20.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,1998Q3,20.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,1998Q4,21.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,1999Q1,22.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,1999Q2,22.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,1999Q3,22.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,1999Q4,21.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2000Q1,20.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2000Q2,20.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2000Q3,20.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2000Q4,20.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2001Q1,20.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2001Q2,20.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2001Q3,20.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2001Q4,21.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2002Q1,20.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2002Q2,20.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2002Q3,20.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2002Q4,18.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2003Q1,18.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2003Q2,18.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2003Q3,19.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2003Q4,20.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2004Q1,19.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2004Q2,20.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2004Q3,20.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2004Q4,20.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2005Q1,21.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2005Q2,22.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2005Q3,20.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2005Q4,19.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2006Q1,19.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2006Q2,19.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2006Q3,19.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2006Q4,19.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2007Q1,18.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2007Q2,18.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2007Q3,19.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2007Q4,18.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2008Q1,19.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2008Q2,19.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2008Q3,18.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2008Q4,18.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2009Q1,16.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2009Q2,18.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2009Q3,18.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2009Q4,18.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2010Q1,16.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2010Q2,19.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2010Q3,18.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2010Q4,22.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2011Q1,19.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2011Q2,22.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2011Q3,21.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Border,2011Q4,22.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,1998Q1,10.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,1998Q2,10.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,1998Q3,10.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,1998Q4,9.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,1999Q1,10.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,1999Q2,10.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,1999Q3,10.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,1999Q4,10.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2000Q1,9.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2000Q2,8.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2000Q3,8.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2000Q4,8.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2001Q1,9.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2001Q2,8.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2001Q3,9.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2001Q4,9.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2002Q1,9.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2002Q2,9.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2002Q3,9.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2002Q4,9.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2003Q1,9.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2003Q2,8.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2003Q3,8.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2003Q4,8.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2004Q1,8.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2004Q2,8.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2004Q3,7.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2004Q4,7.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2005Q1,6.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2005Q2,7.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2005Q3,7.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2005Q4,7.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2006Q1,7.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2006Q2,7.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2006Q3,7.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2006Q4,8.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2007Q1,8.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2007Q2,8.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2007Q3,9.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2007Q4,9.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2008Q1,8.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2008Q2,8.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2008Q3,8.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2008Q4,9.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2009Q1,7.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2009Q2,7.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2009Q3,8.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2009Q4,8.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2010Q1,8.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2010Q2,7.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2010Q3,7.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2010Q4,7.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2011Q1,8.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2011Q2,8.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2011Q3,7.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Midland,2011Q4,7.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,1998Q1,24.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,1998Q2,25.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,1998Q3,25.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,1998Q4,27.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,1999Q1,27.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,1999Q2,27.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,1999Q3,27.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,1999Q4,29.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2000Q1,28.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2000Q2,24.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2000Q3,24.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2000Q4,23.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2001Q1,24.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2001Q2,23.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2001Q3,24.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2001Q4,23.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2002Q1,22.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2002Q2,20.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2002Q3,22.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2002Q4,20.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2003Q1,20.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2003Q2,18.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2003Q3,19.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2003Q4,19.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2004Q1,19.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2004Q2,18.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2004Q3,19.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2004Q4,18.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2005Q1,17.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2005Q2,17.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2005Q3,19.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2005Q4,18.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2006Q1,18.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2006Q2,17.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2006Q3,17.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2006Q4,16.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2007Q1,16.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2007Q2,16.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2007Q3,17.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2007Q4,17.9
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2008Q1,18.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2008Q2,19.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2008Q3,18.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2008Q4,17.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2009Q1,17.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2009Q2,19.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2009Q3,18.7
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2009Q4,16.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2010Q1,15.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2010Q2,14.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2010Q3,14.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2010Q4,14.0
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2011Q1,13.1
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2011Q2,16.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2011Q3,14.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",West,2011Q4,14.2
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,1998Q1,3.6
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,1998Q2,3.8
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,1998Q3,4.3
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,1998Q4,3.5
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,1999Q1,3.4
Person aged 15 years and over in Employment ,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,1999Q2,3.7
