Statistic,Nationality,ILO Economic Status,Quarter,value
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2012Q1,31.2
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2012Q2,33.6
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2012Q3,33.5
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2012Q4,32.9
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2013Q1,34.0
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2013Q2,35.8
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2013Q3,36.1
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2013Q4,35.5
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2014Q1,35.6
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2014Q2,35.8
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2014Q3,37.2
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2014Q4,36.8
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2015Q1,36.2
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2015Q2,38.3
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2015Q3,39.0
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2015Q4,40.9
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2016Q1,43.5
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2016Q2,45.3
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2016Q3,46.4
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2016Q4,45.0
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2017Q1,46.6
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2017Q2,50.6
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2017Q3,50.9
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2017Q4,52.9
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2018Q1,54.3
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2018Q2,56.8
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2018Q3,55.2
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2018Q4,61.2
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2019Q1,59.4
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2019Q2,60.9
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2019Q3,60.2
Persons aged 15 years and over,EU15 excluding Irish and UK,In employment,2019Q4,64.0
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,1998Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,1998Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,1998Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,1998Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,1999Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,1999Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,1999Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,1999Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2000Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2000Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2000Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2000Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2001Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2001Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2001Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2001Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2002Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2002Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2002Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2002Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2003Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2003Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2003Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2003Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2004Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2004Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2004Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2004Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2005Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2005Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2005Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2005Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2006Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2006Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2006Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2006Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2007Q1,2.8
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2007Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2007Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2007Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2008Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2008Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2008Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2008Q4,4.2
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2009Q1,3.5
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2009Q2,3.1
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2009Q3,3.2
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2009Q4,3.4
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2010Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2010Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2010Q3,4.1
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2010Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2011Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2011Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2011Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2011Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2012Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2012Q2,3.7
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2012Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2012Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2013Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2013Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2013Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2013Q4,3.9
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2014Q1,3.7
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2014Q2,3.5
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2014Q3,3.0
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2014Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2015Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2015Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2015Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2015Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2016Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2016Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2016Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2016Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2017Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2017Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2017Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2017Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2018Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2018Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2018Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2018Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2019Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2019Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2019Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Unemployed,2019Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,1998Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,1998Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,1998Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,1998Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,1999Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,1999Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,1999Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,1999Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2000Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2000Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2000Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2000Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2001Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2001Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2001Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2001Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2002Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2002Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2002Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2002Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2003Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2003Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2003Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2003Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2004Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2004Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2004Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2004Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2005Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2005Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2005Q3,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2005Q4,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2006Q1,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2006Q2,
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2006Q3,6.3
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2006Q4,7.6
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2007Q1,7.3
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2007Q2,8.1
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2007Q3,6.7
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2007Q4,8.4
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2008Q1,7.8
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2008Q2,8.4
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2008Q3,8.8
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2008Q4,10.7
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2009Q1,10.8
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2009Q2,9.1
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2009Q3,11.0
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2009Q4,11.3
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2010Q1,11.8
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2010Q2,10.7
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2010Q3,12.3
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2010Q4,11.6
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2011Q1,11.7
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2011Q2,10.9
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2011Q3,11.0
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2011Q4,11.0
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2012Q1,11.4
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2012Q2,9.0
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2012Q3,9.9
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2012Q4,11.2
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2013Q1,11.5
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2013Q2,9.1
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2013Q3,9.2
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2013Q4,10.8
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2014Q1,11.6
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2014Q2,12.4
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2014Q3,11.4
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2014Q4,13.1
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2015Q1,14.2
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2015Q2,14.0
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2015Q3,14.5
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2015Q4,14.0
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2016Q1,13.2
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2016Q2,11.3
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2016Q3,11.7
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2016Q4,14.9
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2017Q1,14.8
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2017Q2,11.8
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2017Q3,12.7
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2017Q4,11.7
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2018Q1,9.6
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2018Q2,9.7
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2018Q3,10.9
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2018Q4,7.7
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2019Q1,13.4
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2019Q2,12.3
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2019Q3,13.2
Persons aged 15 years and over,EU15 excluding Irish and UK,Not in labour force,2019Q4,13.3
Persons aged 15 years and over,UK,All ILO economic status,1998Q1,
Persons aged 15 years and over,UK,All ILO economic status,1998Q2,
Persons aged 15 years and over,UK,All ILO economic status,1998Q3,
Persons aged 15 years and over,UK,All ILO economic status,1998Q4,
Persons aged 15 years and over,UK,All ILO economic status,1999Q1,
Persons aged 15 years and over,UK,All ILO economic status,1999Q2,
Persons aged 15 years and over,UK,All ILO economic status,1999Q3,
Persons aged 15 years and over,UK,All ILO economic status,1999Q4,
Persons aged 15 years and over,UK,All ILO economic status,2000Q1,
Persons aged 15 years and over,UK,All ILO economic status,2000Q2,
Persons aged 15 years and over,UK,All ILO economic status,2000Q3,
Persons aged 15 years and over,UK,All ILO economic status,2000Q4,
Persons aged 15 years and over,UK,All ILO economic status,2001Q1,
Persons aged 15 years and over,UK,All ILO economic status,2001Q2,
Persons aged 15 years and over,UK,All ILO economic status,2001Q3,
Persons aged 15 years and over,UK,All ILO economic status,2001Q4,
Persons aged 15 years and over,UK,All ILO economic status,2002Q1,
Persons aged 15 years and over,UK,All ILO economic status,2002Q2,
Persons aged 15 years and over,UK,All ILO economic status,2002Q3,
Persons aged 15 years and over,UK,All ILO economic status,2002Q4,
Persons aged 15 years and over,UK,All ILO economic status,2003Q1,
Persons aged 15 years and over,UK,All ILO economic status,2003Q2,
Persons aged 15 years and over,UK,All ILO economic status,2003Q3,
Persons aged 15 years and over,UK,All ILO economic status,2003Q4,
Persons aged 15 years and over,UK,All ILO economic status,2004Q1,
Persons aged 15 years and over,UK,All ILO economic status,2004Q2,
Persons aged 15 years and over,UK,All ILO economic status,2004Q3,
Persons aged 15 years and over,UK,All ILO economic status,2004Q4,
Persons aged 15 years and over,UK,All ILO economic status,2005Q1,
Persons aged 15 years and over,UK,All ILO economic status,2005Q2,
Persons aged 15 years and over,UK,All ILO economic status,2005Q3,
Persons aged 15 years and over,UK,All ILO economic status,2005Q4,
Persons aged 15 years and over,UK,All ILO economic status,2006Q1,
Persons aged 15 years and over,UK,All ILO economic status,2006Q2,
Persons aged 15 years and over,UK,All ILO economic status,2006Q3,99.4
Persons aged 15 years and over,UK,All ILO economic status,2006Q4,99.3
Persons aged 15 years and over,UK,All ILO economic status,2007Q1,99.2
Persons aged 15 years and over,UK,All ILO economic status,2007Q2,99.3
Persons aged 15 years and over,UK,All ILO economic status,2007Q3,100.1
Persons aged 15 years and over,UK,All ILO economic status,2007Q4,100.8
Persons aged 15 years and over,UK,All ILO economic status,2008Q1,101.5
Persons aged 15 years and over,UK,All ILO economic status,2008Q2,101.9
Persons aged 15 years and over,UK,All ILO economic status,2008Q3,101.9
Persons aged 15 years and over,UK,All ILO economic status,2008Q4,102.0
Persons aged 15 years and over,UK,All ILO economic status,2009Q1,102.0
Persons aged 15 years and over,UK,All ILO economic status,2009Q2,102.1
Persons aged 15 years and over,UK,All ILO economic status,2009Q3,102.5
Persons aged 15 years and over,UK,All ILO economic status,2009Q4,102.7
Persons aged 15 years and over,UK,All ILO economic status,2010Q1,102.9
Persons aged 15 years and over,UK,All ILO economic status,2010Q2,103.1
Persons aged 15 years and over,UK,All ILO economic status,2010Q3,103.3
Persons aged 15 years and over,UK,All ILO economic status,2010Q4,103.4
Persons aged 15 years and over,UK,All ILO economic status,2011Q1,103.4
Persons aged 15 years and over,UK,All ILO economic status,2011Q2,103.5
Persons aged 15 years and over,UK,All ILO economic status,2011Q3,103.1
Persons aged 15 years and over,UK,All ILO economic status,2011Q4,102.7
Persons aged 15 years and over,UK,All ILO economic status,2012Q1,102.3
Persons aged 15 years and over,UK,All ILO economic status,2012Q2,101.9
Persons aged 15 years and over,UK,All ILO economic status,2012Q3,101.5
Persons aged 15 years and over,UK,All ILO economic status,2012Q4,101.0
Persons aged 15 years and over,UK,All ILO economic status,2013Q1,100.7
Persons aged 15 years and over,UK,All ILO economic status,2013Q2,100.4
Persons aged 15 years and over,UK,All ILO economic status,2013Q3,100.1
Persons aged 15 years and over,UK,All ILO economic status,2013Q4,99.8
Persons aged 15 years and over,UK,All ILO economic status,2014Q1,99.6
Persons aged 15 years and over,UK,All ILO economic status,2014Q2,99.3
Persons aged 15 years and over,UK,All ILO economic status,2014Q3,99.2
Persons aged 15 years and over,UK,All ILO economic status,2014Q4,99.1
Persons aged 15 years and over,UK,All ILO economic status,2015Q1,98.9
Persons aged 15 years and over,UK,All ILO economic status,2015Q2,98.7
Persons aged 15 years and over,UK,All ILO economic status,2015Q3,98.8
Persons aged 15 years and over,UK,All ILO economic status,2015Q4,98.8
Persons aged 15 years and over,UK,All ILO economic status,2016Q1,99.0
Persons aged 15 years and over,UK,All ILO economic status,2016Q2,99.1
Persons aged 15 years and over,UK,All ILO economic status,2016Q3,100.1
Persons aged 15 years and over,UK,All ILO economic status,2016Q4,100.7
Persons aged 15 years and over,UK,All ILO economic status,2017Q1,101.0
Persons aged 15 years and over,UK,All ILO economic status,2017Q2,101.9
Persons aged 15 years and over,UK,All ILO economic status,2017Q3,103.2
Persons aged 15 years and over,UK,All ILO economic status,2017Q4,103.7
Persons aged 15 years and over,UK,All ILO economic status,2018Q1,103.8
Persons aged 15 years and over,UK,All ILO economic status,2018Q2,105.0
Persons aged 15 years and over,UK,All ILO economic status,2018Q3,105.1
Persons aged 15 years and over,UK,All ILO economic status,2018Q4,106.2
Persons aged 15 years and over,UK,All ILO economic status,2019Q1,106.2
Persons aged 15 years and over,UK,All ILO economic status,2019Q2,107.4
Persons aged 15 years and over,UK,All ILO economic status,2019Q3,108.6
Persons aged 15 years and over,UK,All ILO economic status,2019Q4,108.7
Persons aged 15 years and over,UK,In labour force,1998Q1,
Persons aged 15 years and over,UK,In labour force,1998Q2,
Persons aged 15 years and over,UK,In labour force,1998Q3,
Persons aged 15 years and over,UK,In labour force,1998Q4,
Persons aged 15 years and over,UK,In labour force,1999Q1,
Persons aged 15 years and over,UK,In labour force,1999Q2,
Persons aged 15 years and over,UK,In labour force,1999Q3,
Persons aged 15 years and over,UK,In labour force,1999Q4,
Persons aged 15 years and over,UK,In labour force,2000Q1,
Persons aged 15 years and over,UK,In labour force,2000Q2,
Persons aged 15 years and over,UK,In labour force,2000Q3,
Persons aged 15 years and over,UK,In labour force,2000Q4,
Persons aged 15 years and over,UK,In labour force,2001Q1,
Persons aged 15 years and over,UK,In labour force,2001Q2,
Persons aged 15 years and over,UK,In labour force,2001Q3,
Persons aged 15 years and over,UK,In labour force,2001Q4,
Persons aged 15 years and over,UK,In labour force,2002Q1,
Persons aged 15 years and over,UK,In labour force,2002Q2,
Persons aged 15 years and over,UK,In labour force,2002Q3,
Persons aged 15 years and over,UK,In labour force,2002Q4,
Persons aged 15 years and over,UK,In labour force,2003Q1,
Persons aged 15 years and over,UK,In labour force,2003Q2,
Persons aged 15 years and over,UK,In labour force,2003Q3,
Persons aged 15 years and over,UK,In labour force,2003Q4,
Persons aged 15 years and over,UK,In labour force,2004Q1,
Persons aged 15 years and over,UK,In labour force,2004Q2,
Persons aged 15 years and over,UK,In labour force,2004Q3,
Persons aged 15 years and over,UK,In labour force,2004Q4,
Persons aged 15 years and over,UK,In labour force,2005Q1,
Persons aged 15 years and over,UK,In labour force,2005Q2,
Persons aged 15 years and over,UK,In labour force,2005Q3,
Persons aged 15 years and over,UK,In labour force,2005Q4,
Persons aged 15 years and over,UK,In labour force,2006Q1,
Persons aged 15 years and over,UK,In labour force,2006Q2,
Persons aged 15 years and over,UK,In labour force,2006Q3,63.2
Persons aged 15 years and over,UK,In labour force,2006Q4,63.1
Persons aged 15 years and over,UK,In labour force,2007Q1,63.0
Persons aged 15 years and over,UK,In labour force,2007Q2,64.1
Persons aged 15 years and over,UK,In labour force,2007Q3,62.9
Persons aged 15 years and over,UK,In labour force,2007Q4,63.3
Persons aged 15 years and over,UK,In labour force,2008Q1,61.9
Persons aged 15 years and over,UK,In labour force,2008Q2,61.1
Persons aged 15 years and over,UK,In labour force,2008Q3,61.7
Persons aged 15 years and over,UK,In labour force,2008Q4,60.7
Persons aged 15 years and over,UK,In labour force,2009Q1,62.7
Persons aged 15 years and over,UK,In labour force,2009Q2,63.4
Persons aged 15 years and over,UK,In labour force,2009Q3,62.8
Persons aged 15 years and over,UK,In labour force,2009Q4,63.7
Persons aged 15 years and over,UK,In labour force,2010Q1,62.2
Persons aged 15 years and over,UK,In labour force,2010Q2,62.7
Persons aged 15 years and over,UK,In labour force,2010Q3,61.2
Persons aged 15 years and over,UK,In labour force,2010Q4,60.5
Persons aged 15 years and over,UK,In labour force,2011Q1,62.2
Persons aged 15 years and over,UK,In labour force,2011Q2,61.0
Persons aged 15 years and over,UK,In labour force,2011Q3,60.6
Persons aged 15 years and over,UK,In labour force,2011Q4,58.2
Persons aged 15 years and over,UK,In labour force,2012Q1,58.6
Persons aged 15 years and over,UK,In labour force,2012Q2,58.6
Persons aged 15 years and over,UK,In labour force,2012Q3,58.7
Persons aged 15 years and over,UK,In labour force,2012Q4,57.9
Persons aged 15 years and over,UK,In labour force,2013Q1,57.4
Persons aged 15 years and over,UK,In labour force,2013Q2,60.2
Persons aged 15 years and over,UK,In labour force,2013Q3,61.0
Persons aged 15 years and over,UK,In labour force,2013Q4,59.8
Persons aged 15 years and over,UK,In labour force,2014Q1,57.5
Persons aged 15 years and over,UK,In labour force,2014Q2,56.4
Persons aged 15 years and over,UK,In labour force,2014Q3,56.2
Persons aged 15 years and over,UK,In labour force,2014Q4,56.2
Persons aged 15 years and over,UK,In labour force,2015Q1,55.4
Persons aged 15 years and over,UK,In labour force,2015Q2,57.0
Persons aged 15 years and over,UK,In labour force,2015Q3,59.5
Persons aged 15 years and over,UK,In labour force,2015Q4,56.0
Persons aged 15 years and over,UK,In labour force,2016Q1,56.2
Persons aged 15 years and over,UK,In labour force,2016Q2,57.6
Persons aged 15 years and over,UK,In labour force,2016Q3,58.7
Persons aged 15 years and over,UK,In labour force,2016Q4,56.0
Persons aged 15 years and over,UK,In labour force,2017Q1,56.1
Persons aged 15 years and over,UK,In labour force,2017Q2,58.9
Persons aged 15 years and over,UK,In labour force,2017Q3,59.5
Persons aged 15 years and over,UK,In labour force,2017Q4,61.4
Persons aged 15 years and over,UK,In labour force,2018Q1,60.2
Persons aged 15 years and over,UK,In labour force,2018Q2,63.3
Persons aged 15 years and over,UK,In labour force,2018Q3,60.5
Persons aged 15 years and over,UK,In labour force,2018Q4,62.8
Persons aged 15 years and over,UK,In labour force,2019Q1,65.7
Persons aged 15 years and over,UK,In labour force,2019Q2,64.5
Persons aged 15 years and over,UK,In labour force,2019Q3,60.1
Persons aged 15 years and over,UK,In labour force,2019Q4,64.6
Persons aged 15 years and over,UK,In employment,1998Q1,
Persons aged 15 years and over,UK,In employment,1998Q2,
Persons aged 15 years and over,UK,In employment,1998Q3,
Persons aged 15 years and over,UK,In employment,1998Q4,
Persons aged 15 years and over,UK,In employment,1999Q1,
Persons aged 15 years and over,UK,In employment,1999Q2,
Persons aged 15 years and over,UK,In employment,1999Q3,
