Statistic,Quarter,Reasons for being in Part-Time Employment,Sex,value
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q2,Other reasons,Both sexes,220.4
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q2,Other reasons,Male,25.4
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q2,Other reasons,Female,195.0
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q2,No answer given,Both sexes,6.1
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q2,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q2,No answer given,Female,5.2
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,All reasons for being in part-time employment,Both sexes,372.2
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,All reasons for being in part-time employment,Male,89.8
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,All reasons for being in part-time employment,Female,282.4
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,"School, education or training",Both sexes,86.6
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,"School, education or training",Male,36.8
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,"School, education or training",Female,49.7
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Illness or disability,Both sexes,8.8
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Illness or disability,Male,5.1
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Illness or disability,Female,3.7
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Could not find full-time employment,Both sexes,44.8
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Could not find full-time employment,Male,20.2
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Could not find full-time employment,Female,24.6
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Other reasons,Both sexes,224.1
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Other reasons,Male,26.5
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,Other reasons,Female,197.5
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,No answer given,Both sexes,8.0
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q3,No answer given,Female,6.8
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,All reasons for being in part-time employment,Both sexes,375.2
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,All reasons for being in part-time employment,Male,92.5
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,All reasons for being in part-time employment,Female,282.8
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,"School, education or training",Both sexes,86.3
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,"School, education or training",Male,38.3
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,"School, education or training",Female,48.0
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Illness or disability,Both sexes,9.0
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Illness or disability,Male,5.5
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Illness or disability,Female,3.5
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Looking after children or incapacitated adults,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Looking after children or incapacitated adults,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Other personal or family reasons,Both sexes,
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Other personal or family reasons,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Other personal or family reasons,Female,
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Could not find full-time employment,Both sexes,44.3
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Could not find full-time employment,Male,19.6
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Could not find full-time employment,Female,24.7
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Other reasons,Both sexes,225.0
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Other reasons,Male,26.8
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,Other reasons,Female,198.2
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,No answer given,Both sexes,10.6
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,No answer given,Male,2.3
Persons aged 15 years and over in Part-Time Employment (ILO),2005Q4,No answer given,Female,8.3
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,All reasons for being in part-time employment,Both sexes,375.1
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,All reasons for being in part-time employment,Male,91.5
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,All reasons for being in part-time employment,Female,283.5
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,"School, education or training",Both sexes,86.3
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,"School, education or training",Male,38.3
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,"School, education or training",Female,48.0
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Illness or disability,Both sexes,9.1
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Illness or disability,Male,5.8
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Illness or disability,Female,3.3
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Looking after children or incapacitated adults,Both sexes,54.8
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Looking after children or incapacitated adults,Female,54.0
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Other personal or family reasons,Both sexes,114.6
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Other personal or family reasons,Male,9.6
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Other personal or family reasons,Female,105.0
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Could not find full-time employment,Both sexes,42.2
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Could not find full-time employment,Male,18.4
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Could not find full-time employment,Female,23.7
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Other reasons,Both sexes,59.7
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Other reasons,Male,17.2
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,Other reasons,Female,42.5
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,No answer given,Both sexes,8.5
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,No answer given,Male,1.4
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q1,No answer given,Female,7.1
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,All reasons for being in part-time employment,Both sexes,377.6
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,All reasons for being in part-time employment,Male,95.2
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,All reasons for being in part-time employment,Female,282.5
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,"School, education or training",Both sexes,85.5
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,"School, education or training",Male,39.3
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,"School, education or training",Female,46.2
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Illness or disability,Both sexes,10.0
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Illness or disability,Male,6.4
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Illness or disability,Female,3.6
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Looking after children or incapacitated adults,Both sexes,58.5
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Looking after children or incapacitated adults,Female,57.4
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Other personal or family reasons,Both sexes,130.0
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Other personal or family reasons,Male,10.6
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Other personal or family reasons,Female,119.4
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Could not find full-time employment,Both sexes,41.1
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Could not find full-time employment,Male,17.3
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Could not find full-time employment,Female,23.8
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Other reasons,Both sexes,45.4
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Other reasons,Male,18.9
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,Other reasons,Female,26.6
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,No answer given,Both sexes,7.1
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,No answer given,Male,1.5
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q2,No answer given,Female,5.6
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,All reasons for being in part-time employment,Both sexes,376.7
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,All reasons for being in part-time employment,Male,92.8
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,All reasons for being in part-time employment,Female,283.9
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,"School, education or training",Both sexes,84.4
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,"School, education or training",Male,36.4
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,"School, education or training",Female,48.0
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Illness or disability,Both sexes,8.2
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Illness or disability,Male,5.6
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Illness or disability,Female,2.6
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Looking after children or incapacitated adults,Both sexes,58.6
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Looking after children or incapacitated adults,Female,57.1
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Other personal or family reasons,Both sexes,129.9
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Other personal or family reasons,Male,11.6
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Other personal or family reasons,Female,118.3
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Could not find full-time employment,Both sexes,45.8
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Could not find full-time employment,Male,18.0
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Could not find full-time employment,Female,27.8
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Other reasons,Both sexes,46.0
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Other reasons,Male,18.6
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,Other reasons,Female,27.4
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,No answer given,Both sexes,3.7
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,No answer given,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q3,No answer given,Female,2.6
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,All reasons for being in part-time employment,Both sexes,383.5
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,All reasons for being in part-time employment,Male,94.0
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,All reasons for being in part-time employment,Female,289.4
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,"School, education or training",Both sexes,88.7
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,"School, education or training",Male,38.7
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,"School, education or training",Female,50.0
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Illness or disability,Both sexes,8.9
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Illness or disability,Male,5.4
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Illness or disability,Female,3.5
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Looking after children or incapacitated adults,Both sexes,60.2
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Looking after children or incapacitated adults,Female,58.8
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Other personal or family reasons,Both sexes,134.7
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Other personal or family reasons,Male,11.7
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Other personal or family reasons,Female,123.0
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Could not find full-time employment,Both sexes,39.9
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Could not find full-time employment,Male,16.4
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Could not find full-time employment,Female,23.5
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Other reasons,Both sexes,44.6
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Other reasons,Male,18.7
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,Other reasons,Female,25.9
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,No answer given,Both sexes,6.5
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,No answer given,Male,1.8
Persons aged 15 years and over in Part-Time Employment (ILO),2006Q4,No answer given,Female,4.7
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,All reasons for being in part-time employment,Both sexes,388.7
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,All reasons for being in part-time employment,Male,96.3
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,All reasons for being in part-time employment,Female,292.4
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,"School, education or training",Both sexes,93.4
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,"School, education or training",Male,41.5
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,"School, education or training",Female,51.9
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Illness or disability,Both sexes,8.6
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Illness or disability,Male,4.8
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Illness or disability,Female,3.8
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Looking after children or incapacitated adults,Both sexes,58.2
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Looking after children or incapacitated adults,Female,56.8
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Other personal or family reasons,Both sexes,133.9
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Other personal or family reasons,Male,12.0
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Other personal or family reasons,Female,121.9
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Could not find full-time employment,Both sexes,39.1
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Could not find full-time employment,Male,15.8
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Could not find full-time employment,Female,23.3
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Other reasons,Both sexes,46.2
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Other reasons,Male,18.3
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,Other reasons,Female,28.0
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,No answer given,Both sexes,9.2
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,No answer given,Male,2.5
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q1,No answer given,Female,6.7
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,All reasons for being in part-time employment,Both sexes,406.9
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,All reasons for being in part-time employment,Male,101.4
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,All reasons for being in part-time employment,Female,305.5
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,"School, education or training",Both sexes,93.1
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,"School, education or training",Male,40.6
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,"School, education or training",Female,52.5
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Illness or disability,Both sexes,9.5
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Illness or disability,Male,5.5
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Illness or disability,Female,4.0
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Looking after children or incapacitated adults,Both sexes,58.1
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Looking after children or incapacitated adults,Female,56.9
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Other personal or family reasons,Both sexes,140.6
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Other personal or family reasons,Male,12.7
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Other personal or family reasons,Female,127.9
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Could not find full-time employment,Both sexes,42.7
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Could not find full-time employment,Male,17.6
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Could not find full-time employment,Female,25.1
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Other reasons,Both sexes,48.4
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Other reasons,Male,19.4
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,Other reasons,Female,29.0
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,No answer given,Both sexes,14.6
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,No answer given,Male,4.4
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q2,No answer given,Female,10.2
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,All reasons for being in part-time employment,Both sexes,415.8
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,All reasons for being in part-time employment,Male,107.1
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,All reasons for being in part-time employment,Female,308.7
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,"School, education or training",Both sexes,97.5
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,"School, education or training",Male,43.0
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,"School, education or training",Female,54.5
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Illness or disability,Both sexes,9.3
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Illness or disability,Male,5.4
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Illness or disability,Female,4.0
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Looking after children or incapacitated adults,Both sexes,57.6
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Looking after children or incapacitated adults,Female,56.4
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Other personal or family reasons,Both sexes,141.3
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Other personal or family reasons,Male,13.4
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Other personal or family reasons,Female,128.0
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Could not find full-time employment,Both sexes,42.6
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Could not find full-time employment,Male,17.9
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Could not find full-time employment,Female,24.7
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Other reasons,Both sexes,48.0
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Other reasons,Male,20.4
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,Other reasons,Female,27.6
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,No answer given,Both sexes,19.5
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,No answer given,Male,5.9
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q3,No answer given,Female,13.6
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,All reasons for being in part-time employment,Both sexes,414.2
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,All reasons for being in part-time employment,Male,101.3
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,All reasons for being in part-time employment,Female,312.9
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,"School, education or training",Both sexes,93.4
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,"School, education or training",Male,38.0
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,"School, education or training",Female,55.3
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Illness or disability,Both sexes,8.7
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Illness or disability,Male,5.2
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Illness or disability,Female,3.5
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Looking after children or incapacitated adults,Both sexes,57.3
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Looking after children or incapacitated adults,Female,56.2
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Other personal or family reasons,Both sexes,147.1
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Other personal or family reasons,Male,13.0
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Other personal or family reasons,Female,134.0
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Could not find full-time employment,Both sexes,43.1
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Could not find full-time employment,Male,18.6
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Could not find full-time employment,Female,24.5
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Other reasons,Both sexes,51.1
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Other reasons,Male,21.0
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,Other reasons,Female,30.1
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,No answer given,Both sexes,13.5
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,No answer given,Male,4.2
Persons aged 15 years and over in Part-Time Employment (ILO),2007Q4,No answer given,Female,9.3
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,All reasons for being in part-time employment,Both sexes,415.3
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,All reasons for being in part-time employment,Male,103.1
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,All reasons for being in part-time employment,Female,312.2
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,"School, education or training",Both sexes,90.7
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,"School, education or training",Male,39.7
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,"School, education or training",Female,51.0
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Illness or disability,Both sexes,8.9
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Illness or disability,Male,5.2
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Illness or disability,Female,3.8
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Looking after children or incapacitated adults,Both sexes,57.2
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Looking after children or incapacitated adults,Female,55.6
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Other personal or family reasons,Both sexes,147.2
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Other personal or family reasons,Male,12.9
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Other personal or family reasons,Female,134.3
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Could not find full-time employment,Both sexes,43.8
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Could not find full-time employment,Male,19.6
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Could not find full-time employment,Female,24.2
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Other reasons,Both sexes,47.9
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Other reasons,Male,19.0
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,Other reasons,Female,29.0
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,No answer given,Both sexes,19.6
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,No answer given,Male,5.3
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q1,No answer given,Female,14.3
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,All reasons for being in part-time employment,Both sexes,418.3
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,All reasons for being in part-time employment,Male,108.1
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,All reasons for being in part-time employment,Female,310.1
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,"School, education or training",Both sexes,89.6
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,"School, education or training",Male,38.9
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,"School, education or training",Female,50.8
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Illness or disability,Both sexes,9.1
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Illness or disability,Male,5.5
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Illness or disability,Female,3.6
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Looking after children or incapacitated adults,Both sexes,55.6
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Looking after children or incapacitated adults,Male,
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Looking after children or incapacitated adults,Female,54.3
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Other personal or family reasons,Both sexes,147.7
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Other personal or family reasons,Male,13.8
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Other personal or family reasons,Female,133.9
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Could not find full-time employment,Both sexes,47.7
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Could not find full-time employment,Male,22.5
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Could not find full-time employment,Female,25.2
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Other reasons,Both sexes,44.7
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Other reasons,Male,18.4
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,Other reasons,Female,26.3
Persons aged 15 years and over in Part-Time Employment (ILO),2008Q2,No answer given,Both sexes,23.8
