Statistic,Nationality,NACE Rev 2 Economic Sector,Quarter,value
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2001Q1,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2001Q2,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2001Q3,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2001Q4,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2002Q1,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2002Q2,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2002Q3,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2002Q4,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2003Q1,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2003Q2,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2003Q3,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2003Q4,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2004Q1,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2004Q2,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2004Q3,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2004Q4,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2005Q1,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2005Q2,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2005Q3,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2005Q4,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2006Q1,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2006Q2,
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2006Q3,130.9
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2006Q4,133.4
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2007Q1,142.1
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2007Q2,141.0
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2007Q3,147.5
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2007Q4,139.8
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2008Q1,139.8
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2008Q2,135.6
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2008Q3,143.0
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2008Q4,125.8
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2009Q1,129.0
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2009Q2,132.6
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2009Q3,135.7
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2009Q4,131.7
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2010Q1,135.1
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2010Q2,130.6
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2010Q3,132.0
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2010Q4,122.2
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2011Q1,113.1
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2011Q2,116.7
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2011Q3,124.4
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2011Q4,124.0
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2012Q1,121.1
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2012Q2,123.7
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2012Q3,127.4
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2012Q4,122.8
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2013Q1,125.7
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2013Q2,136.5
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2013Q3,144.8
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2013Q4,142.3
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2014Q1,140.2
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2014Q2,143.7
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2014Q3,148.8
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2014Q4,147.0
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2015Q1,141.3
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2015Q2,148.2
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2015Q3,150.5
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2015Q4,153.0
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2016Q1,152.6
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2016Q2,155.2
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2016Q3,162.6
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2016Q4,155.3
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2017Q1,161.2
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2017Q2,159.8
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2017Q3,164.8
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2017Q4,168.7
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2018Q1,169.6
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2018Q2,177.1
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2018Q3,181.2
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2018Q4,174.8
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2019Q1,175.0
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2019Q2,181.1
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2019Q3,177.0
Persons aged 15 years and over in Employment,All nationalities,Accommodation and food service activities (I),2019Q4,179.2
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),1998Q1,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),1998Q2,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),1998Q3,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),1998Q4,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),1999Q1,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),1999Q2,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),1999Q3,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),1999Q4,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2000Q1,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2000Q2,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2000Q3,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2000Q4,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2001Q1,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2001Q2,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2001Q3,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2001Q4,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2002Q1,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2002Q2,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2002Q3,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2002Q4,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2003Q1,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2003Q2,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2003Q3,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2003Q4,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2004Q1,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2004Q2,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2004Q3,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2004Q4,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2005Q1,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2005Q2,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2005Q3,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2005Q4,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2006Q1,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2006Q2,
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2006Q3,80.7
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2006Q4,83.9
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2007Q1,81.7
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2007Q2,87.2
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2007Q3,82.6
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2007Q4,86.3
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2008Q1,87.8
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2008Q2,88.0
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2008Q3,87.2
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2008Q4,84.3
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2009Q1,88.3
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2009Q2,88.7
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2009Q3,87.9
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2009Q4,87.4
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2010Q1,89.4
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2010Q2,90.1
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2010Q3,89.1
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2010Q4,83.2
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2011Q1,84.6
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2011Q2,90.9
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2011Q3,90.1
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2011Q4,91.3
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2012Q1,92.1
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2012Q2,94.9
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2012Q3,91.2
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2012Q4,97.5
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2013Q1,91.5
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2013Q2,95.8
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2013Q3,97.5
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2013Q4,98.2
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2014Q1,96.4
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2014Q2,98.4
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2014Q3,95.9
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2014Q4,101.1
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2015Q1,100.1
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2015Q2,100.6
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2015Q3,101.9
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2015Q4,104.2
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2016Q1,104.8
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2016Q2,105.4
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2016Q3,109.6
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2016Q4,113.0
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2017Q1,114.4
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2017Q2,114.4
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2017Q3,117.0
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2017Q4,116.1
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2018Q1,115.8
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2018Q2,115.3
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2018Q3,124.1
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2018Q4,115.3
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2019Q1,118.0
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2019Q2,117.9
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2019Q3,130.8
Persons aged 15 years and over in Employment,All nationalities,Information and communication (J),2019Q4,127.6
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",1998Q1,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",1998Q2,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",1998Q3,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",1998Q4,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",1999Q1,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",1999Q2,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",1999Q3,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",1999Q4,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2000Q1,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2000Q2,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2000Q3,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2000Q4,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2001Q1,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2001Q2,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2001Q3,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2001Q4,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2002Q1,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2002Q2,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2002Q3,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2002Q4,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2003Q1,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2003Q2,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2003Q3,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2003Q4,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2004Q1,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2004Q2,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2004Q3,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2004Q4,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2005Q1,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2005Q2,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2005Q3,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2005Q4,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2006Q1,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2006Q2,
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2006Q3,116.7
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2006Q4,117.5
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2007Q1,120.9
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2007Q2,123.1
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2007Q3,128.2
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2007Q4,126.9
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2008Q1,123.4
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2008Q2,130.6
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2008Q3,124.3
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2008Q4,123.9
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2009Q1,113.9
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2009Q2,112.0
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2009Q3,109.3
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2009Q4,112.3
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2010Q1,109.9
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2010Q2,108.7
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2010Q3,103.9
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2010Q4,105.7
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2011Q1,110.1
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2011Q2,110.1
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2011Q3,102.4
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2011Q4,102.1
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2012Q1,103.7
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2012Q2,108.7
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2012Q3,106.5
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2012Q4,109.2
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2013Q1,111.5
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2013Q2,116.7
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2013Q3,121.5
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2013Q4,125.7
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2014Q1,126.3
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2014Q2,124.9
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2014Q3,128.6
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2014Q4,130.1
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2015Q1,120.7
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2015Q2,128.1
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2015Q3,136.0
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2015Q4,133.5
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2016Q1,122.9
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2016Q2,128.9
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2016Q3,140.2
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2016Q4,141.0
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2017Q1,130.1
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2017Q2,133.9
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2017Q3,132.9
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2017Q4,135.2
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2018Q1,134.2
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2018Q2,141.2
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2018Q3,135.4
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2018Q4,135.8
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2019Q1,139.3
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2019Q2,139.1
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2019Q3,132.8
Persons aged 15 years and over in Employment,All nationalities,"Professional, scientific and technical activities (M)",2019Q4,141.1
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),1998Q1,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),1998Q2,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),1998Q3,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),1998Q4,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),1999Q1,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),1999Q2,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),1999Q3,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),1999Q4,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2000Q1,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2000Q2,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2000Q3,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2000Q4,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2001Q1,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2001Q2,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2001Q3,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2001Q4,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2002Q1,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2002Q2,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2002Q3,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2002Q4,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2003Q1,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2003Q2,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2003Q3,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2003Q4,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2004Q1,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2004Q2,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2004Q3,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2004Q4,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2005Q1,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2005Q2,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2005Q3,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2005Q4,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2006Q1,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2006Q2,
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2006Q3,90.7
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2006Q4,89.6
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2007Q1,91.7
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2007Q2,98.6
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2007Q3,104.4
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2007Q4,101.8
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2008Q1,103.9
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2008Q2,97.0
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2008Q3,96.8
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2008Q4,85.1
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2009Q1,83.5
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2009Q2,83.1
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2009Q3,84.2
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2009Q4,77.7
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2010Q1,73.9
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2010Q2,76.6
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2010Q3,75.3
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2010Q4,73.5
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2011Q1,78.1
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2011Q2,82.5
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2011Q3,83.2
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2011Q4,78.5
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2012Q1,75.4
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2012Q2,75.5
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2012Q3,79.7
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2012Q4,76.2
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2013Q1,72.0
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2013Q2,70.3
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2013Q3,78.8
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2013Q4,79.1
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2014Q1,76.9
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2014Q2,79.3
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2014Q3,79.9
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2014Q4,80.9
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2015Q1,75.8
Persons aged 15 years and over in Employment,All nationalities,Administrative and support service activities (N),2015Q2,78.1
