STATISTIC,Quarter,Sex,Usual Hours Worked,value
Persons aged 15-89 years in Employment,2001Q4,Male,45 hours and over,207.0
Persons aged 15-89 years in Employment,2001Q4,Male,Variable hours (see note),173.1
Persons aged 15-89 years in Employment,2001Q4,Female,1-9 hours,22.4
Persons aged 15-89 years in Employment,2001Q4,Female,10-19 hours,74.6
Persons aged 15-89 years in Employment,2001Q4,Female,20-29 hours,139.2
Persons aged 15-89 years in Employment,2001Q4,Female,30-34 hours,39.5
Persons aged 15-89 years in Employment,2001Q4,Female,35-39 hours,291.9
Persons aged 15-89 years in Employment,2001Q4,Female,40-44 hours,114.9
Persons aged 15-89 years in Employment,2001Q4,Female,45 hours and over,34.7
Persons aged 15-89 years in Employment,2001Q4,Female,Variable hours (see note),44.2
Persons aged 15-89 years in Employment,2002Q1,Both sexes,1-9 hours,34.0
Persons aged 15-89 years in Employment,2002Q1,Both sexes,10-19 hours,99.3
Persons aged 15-89 years in Employment,2002Q1,Both sexes,20-29 hours,177.4
Persons aged 15-89 years in Employment,2002Q1,Both sexes,30-34 hours,59.3
Persons aged 15-89 years in Employment,2002Q1,Both sexes,35-39 hours,648.2
Persons aged 15-89 years in Employment,2002Q1,Both sexes,40-44 hours,356.6
Persons aged 15-89 years in Employment,2002Q1,Both sexes,45 hours and over,241.7
Persons aged 15-89 years in Employment,2002Q1,Both sexes,Variable hours (see note),208.6
Persons aged 15-89 years in Employment,2002Q1,Male,1-9 hours,10.2
Persons aged 15-89 years in Employment,2002Q1,Male,10-19 hours,24.3
Persons aged 15-89 years in Employment,2002Q1,Male,20-29 hours,38.1
Persons aged 15-89 years in Employment,2002Q1,Male,30-34 hours,20.0
Persons aged 15-89 years in Employment,2002Q1,Male,35-39 hours,355.4
Persons aged 15-89 years in Employment,2002Q1,Male,40-44 hours,244.8
Persons aged 15-89 years in Employment,2002Q1,Male,45 hours and over,207.3
Persons aged 15-89 years in Employment,2002Q1,Male,Variable hours (see note),164.4
Persons aged 15-89 years in Employment,2002Q1,Female,1-9 hours,23.8
Persons aged 15-89 years in Employment,2002Q1,Female,10-19 hours,75.0
Persons aged 15-89 years in Employment,2002Q1,Female,20-29 hours,139.3
Persons aged 15-89 years in Employment,2002Q1,Female,30-34 hours,39.3
Persons aged 15-89 years in Employment,2002Q1,Female,35-39 hours,292.7
Persons aged 15-89 years in Employment,2002Q1,Female,40-44 hours,111.8
Persons aged 15-89 years in Employment,2002Q1,Female,45 hours and over,34.4
Persons aged 15-89 years in Employment,2002Q1,Female,Variable hours (see note),44.2
Persons aged 15-89 years in Employment,2002Q2,Both sexes,1-9 hours,28.5
Persons aged 15-89 years in Employment,2002Q2,Both sexes,10-19 hours,94.4
Persons aged 15-89 years in Employment,2002Q2,Both sexes,20-29 hours,182.3
Persons aged 15-89 years in Employment,2002Q2,Both sexes,30-34 hours,61.0
Persons aged 15-89 years in Employment,2002Q2,Both sexes,35-39 hours,669.7
Persons aged 15-89 years in Employment,2002Q2,Both sexes,40-44 hours,348.2
Persons aged 15-89 years in Employment,2002Q2,Both sexes,45 hours and over,242.0
Persons aged 15-89 years in Employment,2002Q2,Both sexes,Variable hours (see note),214.2
Persons aged 15-89 years in Employment,2002Q2,Male,1-9 hours,7.6
Persons aged 15-89 years in Employment,2002Q2,Male,10-19 hours,21.0
Persons aged 15-89 years in Employment,2002Q2,Male,20-29 hours,39.6
Persons aged 15-89 years in Employment,2002Q2,Male,30-34 hours,19.5
Persons aged 15-89 years in Employment,2002Q2,Male,35-39 hours,369.0
Persons aged 15-89 years in Employment,2002Q2,Male,40-44 hours,239.8
Persons aged 15-89 years in Employment,2002Q2,Male,45 hours and over,207.2
Persons aged 15-89 years in Employment,2002Q2,Male,Variable hours (see note),168.3
Persons aged 15-89 years in Employment,2002Q2,Female,1-9 hours,20.8
Persons aged 15-89 years in Employment,2002Q2,Female,10-19 hours,73.4
Persons aged 15-89 years in Employment,2002Q2,Female,20-29 hours,142.7
Persons aged 15-89 years in Employment,2002Q2,Female,30-34 hours,41.5
Persons aged 15-89 years in Employment,2002Q2,Female,35-39 hours,300.7
Persons aged 15-89 years in Employment,2002Q2,Female,40-44 hours,108.3
Persons aged 15-89 years in Employment,2002Q2,Female,45 hours and over,34.8
Persons aged 15-89 years in Employment,2002Q2,Female,Variable hours (see note),46.0
Persons aged 15-89 years in Employment,2002Q3,Both sexes,1-9 hours,21.9
Persons aged 15-89 years in Employment,2002Q3,Both sexes,10-19 hours,88.1
Persons aged 15-89 years in Employment,2002Q3,Both sexes,20-29 hours,192.5
Persons aged 15-89 years in Employment,2002Q3,Both sexes,30-34 hours,64.8
Persons aged 15-89 years in Employment,2002Q3,Both sexes,35-39 hours,701.7
Persons aged 15-89 years in Employment,2002Q3,Both sexes,40-44 hours,355.4
Persons aged 15-89 years in Employment,2002Q3,Both sexes,45 hours and over,243.3
Persons aged 15-89 years in Employment,2002Q3,Both sexes,Variable hours (see note),215.9
Persons aged 15-89 years in Employment,2002Q3,Male,1-9 hours,5.2
Persons aged 15-89 years in Employment,2002Q3,Male,10-19 hours,18.5
Persons aged 15-89 years in Employment,2002Q3,Male,20-29 hours,43.2
Persons aged 15-89 years in Employment,2002Q3,Male,30-34 hours,21.1
Persons aged 15-89 years in Employment,2002Q3,Male,35-39 hours,384.6
Persons aged 15-89 years in Employment,2002Q3,Male,40-44 hours,244.9
Persons aged 15-89 years in Employment,2002Q3,Male,45 hours and over,209.4
Persons aged 15-89 years in Employment,2002Q3,Male,Variable hours (see note),168.2
Persons aged 15-89 years in Employment,2002Q3,Female,1-9 hours,16.7
Persons aged 15-89 years in Employment,2002Q3,Female,10-19 hours,69.6
Persons aged 15-89 years in Employment,2002Q3,Female,20-29 hours,149.3
Persons aged 15-89 years in Employment,2002Q3,Female,30-34 hours,43.7
Persons aged 15-89 years in Employment,2002Q3,Female,35-39 hours,317.1
Persons aged 15-89 years in Employment,2002Q3,Female,40-44 hours,110.5
Persons aged 15-89 years in Employment,2002Q3,Female,45 hours and over,33.9
Persons aged 15-89 years in Employment,2002Q3,Female,Variable hours (see note),47.6
Persons aged 15-89 years in Employment,2002Q4,Both sexes,1-9 hours,33.9
Persons aged 15-89 years in Employment,2002Q4,Both sexes,10-19 hours,101.1
Persons aged 15-89 years in Employment,2002Q4,Both sexes,20-29 hours,181.9
Persons aged 15-89 years in Employment,2002Q4,Both sexes,30-34 hours,60.4
Persons aged 15-89 years in Employment,2002Q4,Both sexes,35-39 hours,676.9
Persons aged 15-89 years in Employment,2002Q4,Both sexes,40-44 hours,344.1
Persons aged 15-89 years in Employment,2002Q4,Both sexes,45 hours and over,229.7
Persons aged 15-89 years in Employment,2002Q4,Both sexes,Variable hours (see note),222.5
Persons aged 15-89 years in Employment,2002Q4,Male,1-9 hours,10.2
Persons aged 15-89 years in Employment,2002Q4,Male,10-19 hours,23.7
Persons aged 15-89 years in Employment,2002Q4,Male,20-29 hours,38.6
Persons aged 15-89 years in Employment,2002Q4,Male,30-34 hours,17.2
Persons aged 15-89 years in Employment,2002Q4,Male,35-39 hours,375.2
Persons aged 15-89 years in Employment,2002Q4,Male,40-44 hours,239.8
Persons aged 15-89 years in Employment,2002Q4,Male,45 hours and over,195.6
Persons aged 15-89 years in Employment,2002Q4,Male,Variable hours (see note),174.8
Persons aged 15-89 years in Employment,2002Q4,Female,1-9 hours,23.7
Persons aged 15-89 years in Employment,2002Q4,Female,10-19 hours,77.4
Persons aged 15-89 years in Employment,2002Q4,Female,20-29 hours,143.3
Persons aged 15-89 years in Employment,2002Q4,Female,30-34 hours,43.1
Persons aged 15-89 years in Employment,2002Q4,Female,35-39 hours,301.7
Persons aged 15-89 years in Employment,2002Q4,Female,40-44 hours,104.3
Persons aged 15-89 years in Employment,2002Q4,Female,45 hours and over,34.1
Persons aged 15-89 years in Employment,2002Q4,Female,Variable hours (see note),47.7
Persons aged 15-89 years in Employment,2003Q1,Both sexes,1-9 hours,36.4
Persons aged 15-89 years in Employment,2003Q1,Both sexes,10-19 hours,102.2
Persons aged 15-89 years in Employment,2003Q1,Both sexes,20-29 hours,183.2
Persons aged 15-89 years in Employment,2003Q1,Both sexes,30-34 hours,62.2
Persons aged 15-89 years in Employment,2003Q1,Both sexes,35-39 hours,684.9
Persons aged 15-89 years in Employment,2003Q1,Both sexes,40-44 hours,343.0
Persons aged 15-89 years in Employment,2003Q1,Both sexes,45 hours and over,227.2
Persons aged 15-89 years in Employment,2003Q1,Both sexes,Variable hours (see note),216.6
Persons aged 15-89 years in Employment,2003Q1,Male,1-9 hours,11.7
Persons aged 15-89 years in Employment,2003Q1,Male,10-19 hours,25.2
Persons aged 15-89 years in Employment,2003Q1,Male,20-29 hours,39.2
Persons aged 15-89 years in Employment,2003Q1,Male,30-34 hours,17.3
Persons aged 15-89 years in Employment,2003Q1,Male,35-39 hours,381.0
Persons aged 15-89 years in Employment,2003Q1,Male,40-44 hours,237.8
Persons aged 15-89 years in Employment,2003Q1,Male,45 hours and over,194.0
Persons aged 15-89 years in Employment,2003Q1,Male,Variable hours (see note),171.9
Persons aged 15-89 years in Employment,2003Q1,Female,1-9 hours,24.7
Persons aged 15-89 years in Employment,2003Q1,Female,10-19 hours,77.0
Persons aged 15-89 years in Employment,2003Q1,Female,20-29 hours,144.0
Persons aged 15-89 years in Employment,2003Q1,Female,30-34 hours,44.9
Persons aged 15-89 years in Employment,2003Q1,Female,35-39 hours,304.0
Persons aged 15-89 years in Employment,2003Q1,Female,40-44 hours,105.1
Persons aged 15-89 years in Employment,2003Q1,Female,45 hours and over,33.2
Persons aged 15-89 years in Employment,2003Q1,Female,Variable hours (see note),44.7
Persons aged 15-89 years in Employment,2003Q2,Both sexes,1-9 hours,32.1
Persons aged 15-89 years in Employment,2003Q2,Both sexes,10-19 hours,99.9
Persons aged 15-89 years in Employment,2003Q2,Both sexes,20-29 hours,188.7
Persons aged 15-89 years in Employment,2003Q2,Both sexes,30-34 hours,63.5
Persons aged 15-89 years in Employment,2003Q2,Both sexes,35-39 hours,707.1
Persons aged 15-89 years in Employment,2003Q2,Both sexes,40-44 hours,345.4
Persons aged 15-89 years in Employment,2003Q2,Both sexes,45 hours and over,229.4
Persons aged 15-89 years in Employment,2003Q2,Both sexes,Variable hours (see note),207.8
Persons aged 15-89 years in Employment,2003Q2,Male,1-9 hours,9.5
Persons aged 15-89 years in Employment,2003Q2,Male,10-19 hours,22.0
Persons aged 15-89 years in Employment,2003Q2,Male,20-29 hours,41.2
Persons aged 15-89 years in Employment,2003Q2,Male,30-34 hours,18.4
Persons aged 15-89 years in Employment,2003Q2,Male,35-39 hours,393.6
Persons aged 15-89 years in Employment,2003Q2,Male,40-44 hours,242.8
Persons aged 15-89 years in Employment,2003Q2,Male,45 hours and over,196.5
Persons aged 15-89 years in Employment,2003Q2,Male,Variable hours (see note),162.5
Persons aged 15-89 years in Employment,2003Q2,Female,1-9 hours,22.6
Persons aged 15-89 years in Employment,2003Q2,Female,10-19 hours,77.9
Persons aged 15-89 years in Employment,2003Q2,Female,20-29 hours,147.5
Persons aged 15-89 years in Employment,2003Q2,Female,30-34 hours,45.1
Persons aged 15-89 years in Employment,2003Q2,Female,35-39 hours,313.5
Persons aged 15-89 years in Employment,2003Q2,Female,40-44 hours,102.6
Persons aged 15-89 years in Employment,2003Q2,Female,45 hours and over,33.0
Persons aged 15-89 years in Employment,2003Q2,Female,Variable hours (see note),45.3
Persons aged 15-89 years in Employment,2003Q3,Both sexes,1-9 hours,25.2
Persons aged 15-89 years in Employment,2003Q3,Both sexes,10-19 hours,93.7
Persons aged 15-89 years in Employment,2003Q3,Both sexes,20-29 hours,200.8
Persons aged 15-89 years in Employment,2003Q3,Both sexes,30-34 hours,69.8
Persons aged 15-89 years in Employment,2003Q3,Both sexes,35-39 hours,722.3
Persons aged 15-89 years in Employment,2003Q3,Both sexes,40-44 hours,357.7
Persons aged 15-89 years in Employment,2003Q3,Both sexes,45 hours and over,237.3
Persons aged 15-89 years in Employment,2003Q3,Both sexes,Variable hours (see note),205.8
Persons aged 15-89 years in Employment,2003Q3,Male,1-9 hours,6.5
Persons aged 15-89 years in Employment,2003Q3,Male,10-19 hours,20.0
Persons aged 15-89 years in Employment,2003Q3,Male,20-29 hours,45.7
Persons aged 15-89 years in Employment,2003Q3,Male,30-34 hours,21.4
Persons aged 15-89 years in Employment,2003Q3,Male,35-39 hours,400.2
Persons aged 15-89 years in Employment,2003Q3,Male,40-44 hours,253.5
Persons aged 15-89 years in Employment,2003Q3,Male,45 hours and over,204.6
Persons aged 15-89 years in Employment,2003Q3,Male,Variable hours (see note),158.3
Persons aged 15-89 years in Employment,2003Q3,Female,1-9 hours,18.7
Persons aged 15-89 years in Employment,2003Q3,Female,10-19 hours,73.7
Persons aged 15-89 years in Employment,2003Q3,Female,20-29 hours,155.1
Persons aged 15-89 years in Employment,2003Q3,Female,30-34 hours,48.3
Persons aged 15-89 years in Employment,2003Q3,Female,35-39 hours,322.1
Persons aged 15-89 years in Employment,2003Q3,Female,40-44 hours,104.3
Persons aged 15-89 years in Employment,2003Q3,Female,45 hours and over,32.7
Persons aged 15-89 years in Employment,2003Q3,Female,Variable hours (see note),47.5
Persons aged 15-89 years in Employment,2003Q4,Both sexes,1-9 hours,36.3
Persons aged 15-89 years in Employment,2003Q4,Both sexes,10-19 hours,104.5
Persons aged 15-89 years in Employment,2003Q4,Both sexes,20-29 hours,188.9
Persons aged 15-89 years in Employment,2003Q4,Both sexes,30-34 hours,66.4
Persons aged 15-89 years in Employment,2003Q4,Both sexes,35-39 hours,702.7
Persons aged 15-89 years in Employment,2003Q4,Both sexes,40-44 hours,353.5
Persons aged 15-89 years in Employment,2003Q4,Both sexes,45 hours and over,240.6
Persons aged 15-89 years in Employment,2003Q4,Both sexes,Variable hours (see note),206.4
Persons aged 15-89 years in Employment,2003Q4,Male,1-9 hours,11.2
Persons aged 15-89 years in Employment,2003Q4,Male,10-19 hours,25.4
Persons aged 15-89 years in Employment,2003Q4,Male,20-29 hours,38.4
Persons aged 15-89 years in Employment,2003Q4,Male,30-34 hours,18.0
Persons aged 15-89 years in Employment,2003Q4,Male,35-39 hours,389.0
Persons aged 15-89 years in Employment,2003Q4,Male,40-44 hours,251.8
Persons aged 15-89 years in Employment,2003Q4,Male,45 hours and over,207.3
Persons aged 15-89 years in Employment,2003Q4,Male,Variable hours (see note),159.9
Persons aged 15-89 years in Employment,2003Q4,Female,1-9 hours,25.1
Persons aged 15-89 years in Employment,2003Q4,Female,10-19 hours,79.1
Persons aged 15-89 years in Employment,2003Q4,Female,20-29 hours,150.6
Persons aged 15-89 years in Employment,2003Q4,Female,30-34 hours,48.4
Persons aged 15-89 years in Employment,2003Q4,Female,35-39 hours,313.7
Persons aged 15-89 years in Employment,2003Q4,Female,40-44 hours,101.8
Persons aged 15-89 years in Employment,2003Q4,Female,45 hours and over,33.3
Persons aged 15-89 years in Employment,2003Q4,Female,Variable hours (see note),46.5
Persons aged 15-89 years in Employment,2004Q1,Both sexes,1-9 hours,38.0
Persons aged 15-89 years in Employment,2004Q1,Both sexes,10-19 hours,104.4
Persons aged 15-89 years in Employment,2004Q1,Both sexes,20-29 hours,192.1
Persons aged 15-89 years in Employment,2004Q1,Both sexes,30-34 hours,68.4
Persons aged 15-89 years in Employment,2004Q1,Both sexes,35-39 hours,691.5
Persons aged 15-89 years in Employment,2004Q1,Both sexes,40-44 hours,356.2
Persons aged 15-89 years in Employment,2004Q1,Both sexes,45 hours and over,233.7
Persons aged 15-89 years in Employment,2004Q1,Both sexes,Variable hours (see note),218.1
Persons aged 15-89 years in Employment,2004Q1,Male,1-9 hours,12.0
Persons aged 15-89 years in Employment,2004Q1,Male,10-19 hours,23.1
Persons aged 15-89 years in Employment,2004Q1,Male,20-29 hours,39.0
Persons aged 15-89 years in Employment,2004Q1,Male,30-34 hours,18.7
Persons aged 15-89 years in Employment,2004Q1,Male,35-39 hours,388.7
Persons aged 15-89 years in Employment,2004Q1,Male,40-44 hours,253.6
Persons aged 15-89 years in Employment,2004Q1,Male,45 hours and over,198.9
Persons aged 15-89 years in Employment,2004Q1,Male,Variable hours (see note),169.0
Persons aged 15-89 years in Employment,2004Q1,Female,1-9 hours,25.9
Persons aged 15-89 years in Employment,2004Q1,Female,10-19 hours,81.3
Persons aged 15-89 years in Employment,2004Q1,Female,20-29 hours,153.2
Persons aged 15-89 years in Employment,2004Q1,Female,30-34 hours,49.7
Persons aged 15-89 years in Employment,2004Q1,Female,35-39 hours,302.8
Persons aged 15-89 years in Employment,2004Q1,Female,40-44 hours,102.6
Persons aged 15-89 years in Employment,2004Q1,Female,45 hours and over,34.8
Persons aged 15-89 years in Employment,2004Q1,Female,Variable hours (see note),49.1
Persons aged 15-89 years in Employment,2004Q2,Both sexes,1-9 hours,35.3
Persons aged 15-89 years in Employment,2004Q2,Both sexes,10-19 hours,101.8
Persons aged 15-89 years in Employment,2004Q2,Both sexes,20-29 hours,195.7
Persons aged 15-89 years in Employment,2004Q2,Both sexes,30-34 hours,70.2
Persons aged 15-89 years in Employment,2004Q2,Both sexes,35-39 hours,722.8
Persons aged 15-89 years in Employment,2004Q2,Both sexes,40-44 hours,363.7
Persons aged 15-89 years in Employment,2004Q2,Both sexes,45 hours and over,230.2
Persons aged 15-89 years in Employment,2004Q2,Both sexes,Variable hours (see note),206.1
Persons aged 15-89 years in Employment,2004Q2,Male,1-9 hours,11.3
Persons aged 15-89 years in Employment,2004Q2,Male,10-19 hours,20.1
Persons aged 15-89 years in Employment,2004Q2,Male,20-29 hours,39.3
Persons aged 15-89 years in Employment,2004Q2,Male,30-34 hours,20.6
Persons aged 15-89 years in Employment,2004Q2,Male,35-39 hours,404.9
Persons aged 15-89 years in Employment,2004Q2,Male,40-44 hours,261.1
Persons aged 15-89 years in Employment,2004Q2,Male,45 hours and over,197.3
Persons aged 15-89 years in Employment,2004Q2,Male,Variable hours (see note),162.1
Persons aged 15-89 years in Employment,2004Q2,Female,1-9 hours,23.9
Persons aged 15-89 years in Employment,2004Q2,Female,10-19 hours,81.7
Persons aged 15-89 years in Employment,2004Q2,Female,20-29 hours,156.3
Persons aged 15-89 years in Employment,2004Q2,Female,30-34 hours,49.6
Persons aged 15-89 years in Employment,2004Q2,Female,35-39 hours,317.9
Persons aged 15-89 years in Employment,2004Q2,Female,40-44 hours,102.6
Persons aged 15-89 years in Employment,2004Q2,Female,45 hours and over,32.9
Persons aged 15-89 years in Employment,2004Q2,Female,Variable hours (see note),44.0
Persons aged 15-89 years in Employment,2004Q3,Both sexes,1-9 hours,26.2
Persons aged 15-89 years in Employment,2004Q3,Both sexes,10-19 hours,98.0
Persons aged 15-89 years in Employment,2004Q3,Both sexes,20-29 hours,206.3
Persons aged 15-89 years in Employment,2004Q3,Both sexes,30-34 hours,70.6
Persons aged 15-89 years in Employment,2004Q3,Both sexes,35-39 hours,747.4
Persons aged 15-89 years in Employment,2004Q3,Both sexes,40-44 hours,378.6
Persons aged 15-89 years in Employment,2004Q3,Both sexes,45 hours and over,230.9
Persons aged 15-89 years in Employment,2004Q3,Both sexes,Variable hours (see note),226.1
Persons aged 15-89 years in Employment,2004Q3,Male,1-9 hours,6.6
Persons aged 15-89 years in Employment,2004Q3,Male,10-19 hours,18.7
Persons aged 15-89 years in Employment,2004Q3,Male,20-29 hours,43.0
Persons aged 15-89 years in Employment,2004Q3,Male,30-34 hours,21.7
Persons aged 15-89 years in Employment,2004Q3,Male,35-39 hours,417.0
Persons aged 15-89 years in Employment,2004Q3,Male,40-44 hours,269.4
Persons aged 15-89 years in Employment,2004Q3,Male,45 hours and over,198.4
Persons aged 15-89 years in Employment,2004Q3,Male,Variable hours (see note),173.7
Persons aged 15-89 years in Employment,2004Q3,Female,1-9 hours,19.6
Persons aged 15-89 years in Employment,2004Q3,Female,10-19 hours,79.3
Persons aged 15-89 years in Employment,2004Q3,Female,20-29 hours,163.2
Persons aged 15-89 years in Employment,2004Q3,Female,30-34 hours,48.9
Persons aged 15-89 years in Employment,2004Q3,Female,35-39 hours,330.4
Persons aged 15-89 years in Employment,2004Q3,Female,40-44 hours,109.3
Persons aged 15-89 years in Employment,2004Q3,Female,45 hours and over,32.5
Persons aged 15-89 years in Employment,2004Q3,Female,Variable hours (see note),52.3
Persons aged 15-89 years in Employment,2004Q4,Both sexes,1-9 hours,34.1
Persons aged 15-89 years in Employment,2004Q4,Both sexes,10-19 hours,107.4
Persons aged 15-89 years in Employment,2004Q4,Both sexes,20-29 hours,197.6
Persons aged 15-89 years in Employment,2004Q4,Both sexes,30-34 hours,68.5
Persons aged 15-89 years in Employment,2004Q4,Both sexes,35-39 hours,740.5
Persons aged 15-89 years in Employment,2004Q4,Both sexes,40-44 hours,367.5
Persons aged 15-89 years in Employment,2004Q4,Both sexes,45 hours and over,232.3
Persons aged 15-89 years in Employment,2004Q4,Both sexes,Variable hours (see note),225.9
Persons aged 15-89 years in Employment,2004Q4,Male,1-9 hours,9.8
Persons aged 15-89 years in Employment,2004Q4,Male,10-19 hours,21.0
Persons aged 15-89 years in Employment,2004Q4,Male,20-29 hours,39.7
Persons aged 15-89 years in Employment,2004Q4,Male,30-34 hours,19.7
Persons aged 15-89 years in Employment,2004Q4,Male,35-39 hours,413.1
Persons aged 15-89 years in Employment,2004Q4,Male,40-44 hours,261.6
Persons aged 15-89 years in Employment,2004Q4,Male,45 hours and over,200.1
Persons aged 15-89 years in Employment,2004Q4,Male,Variable hours (see note),173.4
Persons aged 15-89 years in Employment,2004Q4,Female,1-9 hours,24.3
Persons aged 15-89 years in Employment,2004Q4,Female,10-19 hours,86.3
Persons aged 15-89 years in Employment,2004Q4,Female,20-29 hours,158.0
Persons aged 15-89 years in Employment,2004Q4,Female,30-34 hours,48.9
Persons aged 15-89 years in Employment,2004Q4,Female,35-39 hours,327.4
Persons aged 15-89 years in Employment,2004Q4,Female,40-44 hours,105.9
Persons aged 15-89 years in Employment,2004Q4,Female,45 hours and over,32.2
Persons aged 15-89 years in Employment,2004Q4,Female,Variable hours (see note),52.5
Persons aged 15-89 years in Employment,2005Q1,Both sexes,1-9 hours,39.0
Persons aged 15-89 years in Employment,2005Q1,Both sexes,10-19 hours,110.7
Persons aged 15-89 years in Employment,2005Q1,Both sexes,20-29 hours,204.1
Persons aged 15-89 years in Employment,2005Q1,Both sexes,30-34 hours,69.9
Persons aged 15-89 years in Employment,2005Q1,Both sexes,35-39 hours,734.1
Persons aged 15-89 years in Employment,2005Q1,Both sexes,40-44 hours,368.7
Persons aged 15-89 years in Employment,2005Q1,Both sexes,45 hours and over,234.1
Persons aged 15-89 years in Employment,2005Q1,Both sexes,Variable hours (see note),229.0
Persons aged 15-89 years in Employment,2005Q1,Male,1-9 hours,11.6
Persons aged 15-89 years in Employment,2005Q1,Male,10-19 hours,23.1
Persons aged 15-89 years in Employment,2005Q1,Male,20-29 hours,41.5
Persons aged 15-89 years in Employment,2005Q1,Male,30-34 hours,19.2
Persons aged 15-89 years in Employment,2005Q1,Male,35-39 hours,415.5
Persons aged 15-89 years in Employment,2005Q1,Male,40-44 hours,259.9
Persons aged 15-89 years in Employment,2005Q1,Male,45 hours and over,201.2
Persons aged 15-89 years in Employment,2005Q1,Male,Variable hours (see note),175.8
Persons aged 15-89 years in Employment,2005Q1,Female,1-9 hours,27.4
Persons aged 15-89 years in Employment,2005Q1,Female,10-19 hours,87.6
Persons aged 15-89 years in Employment,2005Q1,Female,20-29 hours,162.7
Persons aged 15-89 years in Employment,2005Q1,Female,30-34 hours,50.7
Persons aged 15-89 years in Employment,2005Q1,Female,35-39 hours,318.6
Persons aged 15-89 years in Employment,2005Q1,Female,40-44 hours,108.8
Persons aged 15-89 years in Employment,2005Q1,Female,45 hours and over,32.9
Persons aged 15-89 years in Employment,2005Q1,Female,Variable hours (see note),53.2
Persons aged 15-89 years in Employment,2005Q2,Both sexes,1-9 hours,34.1
Persons aged 15-89 years in Employment,2005Q2,Both sexes,10-19 hours,108.7
Persons aged 15-89 years in Employment,2005Q2,Both sexes,20-29 hours,204.8
Persons aged 15-89 years in Employment,2005Q2,Both sexes,30-34 hours,76.3
Persons aged 15-89 years in Employment,2005Q2,Both sexes,35-39 hours,736.2
Persons aged 15-89 years in Employment,2005Q2,Both sexes,40-44 hours,380.0
Persons aged 15-89 years in Employment,2005Q2,Both sexes,45 hours and over,244.5
Persons aged 15-89 years in Employment,2005Q2,Both sexes,Variable hours (see note),233.4
Persons aged 15-89 years in Employment,2005Q2,Male,1-9 hours,9.4
Persons aged 15-89 years in Employment,2005Q2,Male,10-19 hours,21.4
Persons aged 15-89 years in Employment,2005Q2,Male,20-29 hours,43.2
Persons aged 15-89 years in Employment,2005Q2,Male,30-34 hours,21.7
Persons aged 15-89 years in Employment,2005Q2,Male,35-39 hours,409.6
Persons aged 15-89 years in Employment,2005Q2,Male,40-44 hours,267.0
Persons aged 15-89 years in Employment,2005Q2,Male,45 hours and over,209.8
Persons aged 15-89 years in Employment,2005Q2,Male,Variable hours (see note),178.5
Persons aged 15-89 years in Employment,2005Q2,Female,1-9 hours,24.7
Persons aged 15-89 years in Employment,2005Q2,Female,10-19 hours,87.3
Persons aged 15-89 years in Employment,2005Q2,Female,20-29 hours,161.6
Persons aged 15-89 years in Employment,2005Q2,Female,30-34 hours,54.6
Persons aged 15-89 years in Employment,2005Q2,Female,35-39 hours,326.6
Persons aged 15-89 years in Employment,2005Q2,Female,40-44 hours,113.0
Persons aged 15-89 years in Employment,2005Q2,Female,45 hours and over,34.7
Persons aged 15-89 years in Employment,2005Q2,Female,Variable hours (see note),54.9
Persons aged 15-89 years in Employment,2005Q3,Both sexes,1-9 hours,28.5
Persons aged 15-89 years in Employment,2005Q3,Both sexes,10-19 hours,107.1
Persons aged 15-89 years in Employment,2005Q3,Both sexes,20-29 hours,221.9
Persons aged 15-89 years in Employment,2005Q3,Both sexes,30-34 hours,81.3
Persons aged 15-89 years in Employment,2005Q3,Both sexes,35-39 hours,758.6
Persons aged 15-89 years in Employment,2005Q3,Both sexes,40-44 hours,400.3
Persons aged 15-89 years in Employment,2005Q3,Both sexes,45 hours and over,251.9
Persons aged 15-89 years in Employment,2005Q3,Both sexes,Variable hours (see note),223.8
Persons aged 15-89 years in Employment,2005Q3,Male,1-9 hours,6.2
Persons aged 15-89 years in Employment,2005Q3,Male,10-19 hours,21.4
Persons aged 15-89 years in Employment,2005Q3,Male,20-29 hours,48.2
Persons aged 15-89 years in Employment,2005Q3,Male,30-34 hours,23.3
Persons aged 15-89 years in Employment,2005Q3,Male,35-39 hours,424.5
Persons aged 15-89 years in Employment,2005Q3,Male,40-44 hours,283.8
Persons aged 15-89 years in Employment,2005Q3,Male,45 hours and over,217.1
Persons aged 15-89 years in Employment,2005Q3,Male,Variable hours (see note),172.4
Persons aged 15-89 years in Employment,2005Q3,Female,1-9 hours,22.2
Persons aged 15-89 years in Employment,2005Q3,Female,10-19 hours,85.7
Persons aged 15-89 years in Employment,2005Q3,Female,20-29 hours,173.7
Persons aged 15-89 years in Employment,2005Q3,Female,30-34 hours,58.0
Persons aged 15-89 years in Employment,2005Q3,Female,35-39 hours,334.1
Persons aged 15-89 years in Employment,2005Q3,Female,40-44 hours,116.5
Persons aged 15-89 years in Employment,2005Q3,Female,45 hours and over,34.8
Persons aged 15-89 years in Employment,2005Q3,Female,Variable hours (see note),51.4
Persons aged 15-89 years in Employment,2005Q4,Both sexes,1-9 hours,41.2
Persons aged 15-89 years in Employment,2005Q4,Both sexes,10-19 hours,117.9
Persons aged 15-89 years in Employment,2005Q4,Both sexes,20-29 hours,216.8
Persons aged 15-89 years in Employment,2005Q4,Both sexes,30-34 hours,80.4
Persons aged 15-89 years in Employment,2005Q4,Both sexes,35-39 hours,769.3
