Statistic,Quarter,Sex,NACE Rev 2 Economic Sector,value
Persons aged 15-89 years in Employment,2007Q2,Male,Other NACE activities (R to U),43.2
Persons aged 15-89 years in Employment,2007Q2,Male,Not stated,3.9
Persons aged 15-89 years in Employment,2007Q2,Female,All NACE economic sectors,948.7
Persons aged 15-89 years in Employment,2007Q2,Female,"Agriculture, forestry and fishing (A)",13.7
Persons aged 15-89 years in Employment,2007Q2,Female,Construction (F),10.7
Persons aged 15-89 years in Employment,2007Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",160.3
Persons aged 15-89 years in Employment,2007Q2,Female,Transportation and storage (H),15.8
Persons aged 15-89 years in Employment,2007Q2,Female,Accommodation and food service activities (I),76.2
Persons aged 15-89 years in Employment,2007Q2,Female,Information and communication (J),31.0
Persons aged 15-89 years in Employment,2007Q2,Female,"Professional, scientific and technical activities (M)",50.9
Persons aged 15-89 years in Employment,2007Q2,Female,Administrative and support service activities (N),44.7
Persons aged 15-89 years in Employment,2007Q2,Female,"Public administration and defence, compulsory social security (O)",45.3
Persons aged 15-89 years in Employment,2007Q2,Female,Education (P),101.4
Persons aged 15-89 years in Employment,2007Q2,Female,Human health and social work activities (Q),183.3
Persons aged 15-89 years in Employment,2007Q2,Female,Industry (B to E),88.9
Persons aged 15-89 years in Employment,2007Q2,Female,Industry and Construction (B to F),99.6
Persons aged 15-89 years in Employment,2007Q2,Female,Services (G to U),833.1
Persons aged 15-89 years in Employment,2007Q2,Female,"Financial, insurance and real estate activities (K,L)",60.0
Persons aged 15-89 years in Employment,2007Q2,Female,Other NACE activities (R to U),64.4
Persons aged 15-89 years in Employment,2007Q2,Female,Not stated,2.3
Persons aged 15-89 years in Employment,2007Q3,Both sexes,All NACE economic sectors,2251.0
Persons aged 15-89 years in Employment,2007Q3,Both sexes,"Agriculture, forestry and fishing (A)",113.2
Persons aged 15-89 years in Employment,2007Q3,Both sexes,Construction (F),237.1
Persons aged 15-89 years in Employment,2007Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",328.1
Persons aged 15-89 years in Employment,2007Q3,Both sexes,Transportation and storage (H),90.8
Persons aged 15-89 years in Employment,2007Q3,Both sexes,Accommodation and food service activities (I),147.5
Persons aged 15-89 years in Employment,2007Q3,Both sexes,Information and communication (J),82.5
Persons aged 15-89 years in Employment,2007Q3,Both sexes,"Professional, scientific and technical activities (M)",128.2
Persons aged 15-89 years in Employment,2007Q3,Both sexes,Administrative and support service activities (N),104.4
Persons aged 15-89 years in Employment,2007Q3,Both sexes,"Public administration and defence, compulsory social security (O)",99.9
Persons aged 15-89 years in Employment,2007Q3,Both sexes,Education (P),131.0
Persons aged 15-89 years in Employment,2007Q3,Both sexes,Human health and social work activities (Q),237.1
Persons aged 15-89 years in Employment,2007Q3,Both sexes,Industry (B to E),324.5
Persons aged 15-89 years in Employment,2007Q3,Both sexes,Industry and Construction (B to F),561.7
Persons aged 15-89 years in Employment,2007Q3,Both sexes,Services (G to U),1568.1
Persons aged 15-89 years in Employment,2007Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",111.3
Persons aged 15-89 years in Employment,2007Q3,Both sexes,Other NACE activities (R to U),107.4
Persons aged 15-89 years in Employment,2007Q3,Both sexes,Not stated,8.1
Persons aged 15-89 years in Employment,2007Q3,Male,All NACE economic sectors,1282.2
Persons aged 15-89 years in Employment,2007Q3,Male,"Agriculture, forestry and fishing (A)",99.3
Persons aged 15-89 years in Employment,2007Q3,Male,Construction (F),226.5
Persons aged 15-89 years in Employment,2007Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",159.5
Persons aged 15-89 years in Employment,2007Q3,Male,Transportation and storage (H),75.3
Persons aged 15-89 years in Employment,2007Q3,Male,Accommodation and food service activities (I),67.7
Persons aged 15-89 years in Employment,2007Q3,Male,Information and communication (J),54.1
Persons aged 15-89 years in Employment,2007Q3,Male,"Professional, scientific and technical activities (M)",76.0
Persons aged 15-89 years in Employment,2007Q3,Male,Administrative and support service activities (N),58.1
Persons aged 15-89 years in Employment,2007Q3,Male,"Public administration and defence, compulsory social security (O)",51.9
Persons aged 15-89 years in Employment,2007Q3,Male,Education (P),34.5
Persons aged 15-89 years in Employment,2007Q3,Male,Human health and social work activities (Q),48.0
Persons aged 15-89 years in Employment,2007Q3,Male,Industry (B to E),235.6
Persons aged 15-89 years in Employment,2007Q3,Male,Industry and Construction (B to F),462.1
Persons aged 15-89 years in Employment,2007Q3,Male,Services (G to U),716.4
Persons aged 15-89 years in Employment,2007Q3,Male,"Financial, insurance and real estate activities (K,L)",48.9
Persons aged 15-89 years in Employment,2007Q3,Male,Other NACE activities (R to U),42.5
Persons aged 15-89 years in Employment,2007Q3,Male,Not stated,4.4
Persons aged 15-89 years in Employment,2007Q3,Female,All NACE economic sectors,968.8
Persons aged 15-89 years in Employment,2007Q3,Female,"Agriculture, forestry and fishing (A)",13.9
Persons aged 15-89 years in Employment,2007Q3,Female,Construction (F),10.7
Persons aged 15-89 years in Employment,2007Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",168.6
Persons aged 15-89 years in Employment,2007Q3,Female,Transportation and storage (H),15.5
Persons aged 15-89 years in Employment,2007Q3,Female,Accommodation and food service activities (I),79.8
Persons aged 15-89 years in Employment,2007Q3,Female,Information and communication (J),28.4
Persons aged 15-89 years in Employment,2007Q3,Female,"Professional, scientific and technical activities (M)",52.2
Persons aged 15-89 years in Employment,2007Q3,Female,Administrative and support service activities (N),46.3
Persons aged 15-89 years in Employment,2007Q3,Female,"Public administration and defence, compulsory social security (O)",48.1
Persons aged 15-89 years in Employment,2007Q3,Female,Education (P),96.4
Persons aged 15-89 years in Employment,2007Q3,Female,Human health and social work activities (Q),189.1
Persons aged 15-89 years in Employment,2007Q3,Female,Industry (B to E),88.9
Persons aged 15-89 years in Employment,2007Q3,Female,Industry and Construction (B to F),99.6
Persons aged 15-89 years in Employment,2007Q3,Female,Services (G to U),851.6
Persons aged 15-89 years in Employment,2007Q3,Female,"Financial, insurance and real estate activities (K,L)",62.4
Persons aged 15-89 years in Employment,2007Q3,Female,Other NACE activities (R to U),64.9
Persons aged 15-89 years in Employment,2007Q3,Female,Not stated,3.7
Persons aged 15-89 years in Employment,2007Q4,Both sexes,All NACE economic sectors,2230.7
Persons aged 15-89 years in Employment,2007Q4,Both sexes,"Agriculture, forestry and fishing (A)",115.2
Persons aged 15-89 years in Employment,2007Q4,Both sexes,Construction (F),232.6
Persons aged 15-89 years in Employment,2007Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",333.5
Persons aged 15-89 years in Employment,2007Q4,Both sexes,Transportation and storage (H),95.7
Persons aged 15-89 years in Employment,2007Q4,Both sexes,Accommodation and food service activities (I),139.8
Persons aged 15-89 years in Employment,2007Q4,Both sexes,Information and communication (J),86.0
Persons aged 15-89 years in Employment,2007Q4,Both sexes,"Professional, scientific and technical activities (M)",126.9
Persons aged 15-89 years in Employment,2007Q4,Both sexes,Administrative and support service activities (N),101.6
Persons aged 15-89 years in Employment,2007Q4,Both sexes,"Public administration and defence, compulsory social security (O)",96.8
Persons aged 15-89 years in Employment,2007Q4,Both sexes,Education (P),138.4
Persons aged 15-89 years in Employment,2007Q4,Both sexes,Human health and social work activities (Q),239.5
Persons aged 15-89 years in Employment,2007Q4,Both sexes,Industry (B to E),300.6
Persons aged 15-89 years in Employment,2007Q4,Both sexes,Industry and Construction (B to F),533.2
Persons aged 15-89 years in Employment,2007Q4,Both sexes,Services (G to U),1572.6
Persons aged 15-89 years in Employment,2007Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",109.7
Persons aged 15-89 years in Employment,2007Q4,Both sexes,Other NACE activities (R to U),104.6
Persons aged 15-89 years in Employment,2007Q4,Both sexes,Not stated,9.7
Persons aged 15-89 years in Employment,2007Q4,Male,All NACE economic sectors,1264.6
Persons aged 15-89 years in Employment,2007Q4,Male,"Agriculture, forestry and fishing (A)",100.1
Persons aged 15-89 years in Employment,2007Q4,Male,Construction (F),221.8
Persons aged 15-89 years in Employment,2007Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",162.2
Persons aged 15-89 years in Employment,2007Q4,Male,Transportation and storage (H),78.7
Persons aged 15-89 years in Employment,2007Q4,Male,Accommodation and food service activities (I),63.3
Persons aged 15-89 years in Employment,2007Q4,Male,Information and communication (J),57.8
Persons aged 15-89 years in Employment,2007Q4,Male,"Professional, scientific and technical activities (M)",73.6
Persons aged 15-89 years in Employment,2007Q4,Male,Administrative and support service activities (N),57.7
Persons aged 15-89 years in Employment,2007Q4,Male,"Public administration and defence, compulsory social security (O)",51.7
Persons aged 15-89 years in Employment,2007Q4,Male,Education (P),36.7
Persons aged 15-89 years in Employment,2007Q4,Male,Human health and social work activities (Q),46.8
Persons aged 15-89 years in Employment,2007Q4,Male,Industry (B to E),219.3
Persons aged 15-89 years in Employment,2007Q4,Male,Industry and Construction (B to F),441.1
Persons aged 15-89 years in Employment,2007Q4,Male,Services (G to U),717.7
Persons aged 15-89 years in Employment,2007Q4,Male,"Financial, insurance and real estate activities (K,L)",48.4
Persons aged 15-89 years in Employment,2007Q4,Male,Other NACE activities (R to U),40.8
Persons aged 15-89 years in Employment,2007Q4,Male,Not stated,5.6
Persons aged 15-89 years in Employment,2007Q4,Female,All NACE economic sectors,966.1
Persons aged 15-89 years in Employment,2007Q4,Female,"Agriculture, forestry and fishing (A)",15.1
Persons aged 15-89 years in Employment,2007Q4,Female,Construction (F),10.7
Persons aged 15-89 years in Employment,2007Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",171.3
Persons aged 15-89 years in Employment,2007Q4,Female,Transportation and storage (H),16.9
Persons aged 15-89 years in Employment,2007Q4,Female,Accommodation and food service activities (I),76.5
Persons aged 15-89 years in Employment,2007Q4,Female,Information and communication (J),28.2
Persons aged 15-89 years in Employment,2007Q4,Female,"Professional, scientific and technical activities (M)",53.3
Persons aged 15-89 years in Employment,2007Q4,Female,Administrative and support service activities (N),44.0
Persons aged 15-89 years in Employment,2007Q4,Female,"Public administration and defence, compulsory social security (O)",45.0
Persons aged 15-89 years in Employment,2007Q4,Female,Education (P),101.7
Persons aged 15-89 years in Employment,2007Q4,Female,Human health and social work activities (Q),192.7
Persons aged 15-89 years in Employment,2007Q4,Female,Industry (B to E),81.4
Persons aged 15-89 years in Employment,2007Q4,Female,Industry and Construction (B to F),92.1
Persons aged 15-89 years in Employment,2007Q4,Female,Services (G to U),854.8
Persons aged 15-89 years in Employment,2007Q4,Female,"Financial, insurance and real estate activities (K,L)",61.3
Persons aged 15-89 years in Employment,2007Q4,Female,Other NACE activities (R to U),63.8
Persons aged 15-89 years in Employment,2007Q4,Female,Not stated,4.1
Persons aged 15-89 years in Employment,2008Q1,Both sexes,All NACE economic sectors,2217.8
Persons aged 15-89 years in Employment,2008Q1,Both sexes,"Agriculture, forestry and fishing (A)",117.0
Persons aged 15-89 years in Employment,2008Q1,Both sexes,Construction (F),222.7
Persons aged 15-89 years in Employment,2008Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",335.5
Persons aged 15-89 years in Employment,2008Q1,Both sexes,Transportation and storage (H),92.2
Persons aged 15-89 years in Employment,2008Q1,Both sexes,Accommodation and food service activities (I),139.7
Persons aged 15-89 years in Employment,2008Q1,Both sexes,Information and communication (J),87.8
Persons aged 15-89 years in Employment,2008Q1,Both sexes,"Professional, scientific and technical activities (M)",123.4
Persons aged 15-89 years in Employment,2008Q1,Both sexes,Administrative and support service activities (N),103.8
Persons aged 15-89 years in Employment,2008Q1,Both sexes,"Public administration and defence, compulsory social security (O)",95.6
Persons aged 15-89 years in Employment,2008Q1,Both sexes,Education (P),136.0
Persons aged 15-89 years in Employment,2008Q1,Both sexes,Human health and social work activities (Q),238.3
Persons aged 15-89 years in Employment,2008Q1,Both sexes,Industry (B to E),298.5
Persons aged 15-89 years in Employment,2008Q1,Both sexes,Industry and Construction (B to F),521.2
Persons aged 15-89 years in Employment,2008Q1,Both sexes,Services (G to U),1568.2
Persons aged 15-89 years in Employment,2008Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",108.5
Persons aged 15-89 years in Employment,2008Q1,Both sexes,Other NACE activities (R to U),107.5
Persons aged 15-89 years in Employment,2008Q1,Both sexes,Not stated,11.4
Persons aged 15-89 years in Employment,2008Q1,Male,All NACE economic sectors,1250.6
Persons aged 15-89 years in Employment,2008Q1,Male,"Agriculture, forestry and fishing (A)",101.4
Persons aged 15-89 years in Employment,2008Q1,Male,Construction (F),212.4
Persons aged 15-89 years in Employment,2008Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",162.6
Persons aged 15-89 years in Employment,2008Q1,Male,Transportation and storage (H),75.6
Persons aged 15-89 years in Employment,2008Q1,Male,Accommodation and food service activities (I),65.1
Persons aged 15-89 years in Employment,2008Q1,Male,Information and communication (J),58.4
Persons aged 15-89 years in Employment,2008Q1,Male,"Professional, scientific and technical activities (M)",70.8
Persons aged 15-89 years in Employment,2008Q1,Male,Administrative and support service activities (N),60.2
Persons aged 15-89 years in Employment,2008Q1,Male,"Public administration and defence, compulsory social security (O)",50.6
Persons aged 15-89 years in Employment,2008Q1,Male,Education (P),36.1
Persons aged 15-89 years in Employment,2008Q1,Male,Human health and social work activities (Q),44.7
Persons aged 15-89 years in Employment,2008Q1,Male,Industry (B to E),214.6
Persons aged 15-89 years in Employment,2008Q1,Male,Industry and Construction (B to F),427.1
Persons aged 15-89 years in Employment,2008Q1,Male,Services (G to U),715.4
Persons aged 15-89 years in Employment,2008Q1,Male,"Financial, insurance and real estate activities (K,L)",48.2
Persons aged 15-89 years in Employment,2008Q1,Male,Other NACE activities (R to U),43.0
Persons aged 15-89 years in Employment,2008Q1,Male,Not stated,6.8
Persons aged 15-89 years in Employment,2008Q1,Female,All NACE economic sectors,967.1
Persons aged 15-89 years in Employment,2008Q1,Female,"Agriculture, forestry and fishing (A)",15.6
Persons aged 15-89 years in Employment,2008Q1,Female,Construction (F),10.3
Persons aged 15-89 years in Employment,2008Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",172.9
Persons aged 15-89 years in Employment,2008Q1,Female,Transportation and storage (H),16.6
Persons aged 15-89 years in Employment,2008Q1,Female,Accommodation and food service activities (I),74.6
Persons aged 15-89 years in Employment,2008Q1,Female,Information and communication (J),29.4
Persons aged 15-89 years in Employment,2008Q1,Female,"Professional, scientific and technical activities (M)",52.5
Persons aged 15-89 years in Employment,2008Q1,Female,Administrative and support service activities (N),43.5
Persons aged 15-89 years in Employment,2008Q1,Female,"Public administration and defence, compulsory social security (O)",45.0
Persons aged 15-89 years in Employment,2008Q1,Female,Education (P),99.9
Persons aged 15-89 years in Employment,2008Q1,Female,Human health and social work activities (Q),193.6
Persons aged 15-89 years in Employment,2008Q1,Female,Industry (B to E),83.9
Persons aged 15-89 years in Employment,2008Q1,Female,Industry and Construction (B to F),94.1
Persons aged 15-89 years in Employment,2008Q1,Female,Services (G to U),852.8
Persons aged 15-89 years in Employment,2008Q1,Female,"Financial, insurance and real estate activities (K,L)",60.3
Persons aged 15-89 years in Employment,2008Q1,Female,Other NACE activities (R to U),64.5
Persons aged 15-89 years in Employment,2008Q1,Female,Not stated,4.6
Persons aged 15-89 years in Employment,2008Q2,Both sexes,All NACE economic sectors,2217.8
Persons aged 15-89 years in Employment,2008Q2,Both sexes,"Agriculture, forestry and fishing (A)",116.6
Persons aged 15-89 years in Employment,2008Q2,Both sexes,Construction (F),214.0
Persons aged 15-89 years in Employment,2008Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",330.3
Persons aged 15-89 years in Employment,2008Q2,Both sexes,Transportation and storage (H),91.3
Persons aged 15-89 years in Employment,2008Q2,Both sexes,Accommodation and food service activities (I),135.5
Persons aged 15-89 years in Employment,2008Q2,Both sexes,Information and communication (J),88.0
Persons aged 15-89 years in Employment,2008Q2,Both sexes,"Professional, scientific and technical activities (M)",130.5
Persons aged 15-89 years in Employment,2008Q2,Both sexes,Administrative and support service activities (N),96.9
Persons aged 15-89 years in Employment,2008Q2,Both sexes,"Public administration and defence, compulsory social security (O)",95.7
Persons aged 15-89 years in Employment,2008Q2,Both sexes,Education (P),143.7
Persons aged 15-89 years in Employment,2008Q2,Both sexes,Human health and social work activities (Q),239.5
Persons aged 15-89 years in Employment,2008Q2,Both sexes,Industry (B to E),305.8
Persons aged 15-89 years in Employment,2008Q2,Both sexes,Industry and Construction (B to F),519.8
Persons aged 15-89 years in Employment,2008Q2,Both sexes,Services (G to U),1571.4
Persons aged 15-89 years in Employment,2008Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",111.1
Persons aged 15-89 years in Employment,2008Q2,Both sexes,Other NACE activities (R to U),108.9
Persons aged 15-89 years in Employment,2008Q2,Both sexes,Not stated,9.9
Persons aged 15-89 years in Employment,2008Q2,Male,All NACE economic sectors,1248.4
Persons aged 15-89 years in Employment,2008Q2,Male,"Agriculture, forestry and fishing (A)",100.4
Persons aged 15-89 years in Employment,2008Q2,Male,Construction (F),203.4
Persons aged 15-89 years in Employment,2008Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",161.2
Persons aged 15-89 years in Employment,2008Q2,Male,Transportation and storage (H),74.3
Persons aged 15-89 years in Employment,2008Q2,Male,Accommodation and food service activities (I),61.0
Persons aged 15-89 years in Employment,2008Q2,Male,Information and communication (J),57.8
Persons aged 15-89 years in Employment,2008Q2,Male,"Professional, scientific and technical activities (M)",76.3
Persons aged 15-89 years in Employment,2008Q2,Male,Administrative and support service activities (N),55.6
Persons aged 15-89 years in Employment,2008Q2,Male,"Public administration and defence, compulsory social security (O)",50.5
Persons aged 15-89 years in Employment,2008Q2,Male,Education (P),38.5
Persons aged 15-89 years in Employment,2008Q2,Male,Human health and social work activities (Q),46.2
Persons aged 15-89 years in Employment,2008Q2,Male,Industry (B to E),223.0
Persons aged 15-89 years in Employment,2008Q2,Male,Industry and Construction (B to F),426.4
Persons aged 15-89 years in Employment,2008Q2,Male,Services (G to U),715.5
Persons aged 15-89 years in Employment,2008Q2,Male,"Financial, insurance and real estate activities (K,L)",49.9
Persons aged 15-89 years in Employment,2008Q2,Male,Other NACE activities (R to U),44.2
Persons aged 15-89 years in Employment,2008Q2,Male,Not stated,6.1
Persons aged 15-89 years in Employment,2008Q2,Female,All NACE economic sectors,969.4
Persons aged 15-89 years in Employment,2008Q2,Female,"Agriculture, forestry and fishing (A)",16.3
Persons aged 15-89 years in Employment,2008Q2,Female,Construction (F),10.6
Persons aged 15-89 years in Employment,2008Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",169.1
Persons aged 15-89 years in Employment,2008Q2,Female,Transportation and storage (H),17.0
Persons aged 15-89 years in Employment,2008Q2,Female,Accommodation and food service activities (I),74.5
Persons aged 15-89 years in Employment,2008Q2,Female,Information and communication (J),30.2
Persons aged 15-89 years in Employment,2008Q2,Female,"Professional, scientific and technical activities (M)",54.2
Persons aged 15-89 years in Employment,2008Q2,Female,Administrative and support service activities (N),41.3
Persons aged 15-89 years in Employment,2008Q2,Female,"Public administration and defence, compulsory social security (O)",45.2
Persons aged 15-89 years in Employment,2008Q2,Female,Education (P),105.1
Persons aged 15-89 years in Employment,2008Q2,Female,Human health and social work activities (Q),193.3
Persons aged 15-89 years in Employment,2008Q2,Female,Industry (B to E),82.8
Persons aged 15-89 years in Employment,2008Q2,Female,Industry and Construction (B to F),93.4
Persons aged 15-89 years in Employment,2008Q2,Female,Services (G to U),855.9
Persons aged 15-89 years in Employment,2008Q2,Female,"Financial, insurance and real estate activities (K,L)",61.1
Persons aged 15-89 years in Employment,2008Q2,Female,Other NACE activities (R to U),64.7
Persons aged 15-89 years in Employment,2008Q2,Female,Not stated,3.8
Persons aged 15-89 years in Employment,2008Q3,Both sexes,All NACE economic sectors,2209.4
Persons aged 15-89 years in Employment,2008Q3,Both sexes,"Agriculture, forestry and fishing (A)",113.0
Persons aged 15-89 years in Employment,2008Q3,Both sexes,Construction (F),204.6
Persons aged 15-89 years in Employment,2008Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",325.4
Persons aged 15-89 years in Employment,2008Q3,Both sexes,Transportation and storage (H),93.2
Persons aged 15-89 years in Employment,2008Q3,Both sexes,Accommodation and food service activities (I),142.9
Persons aged 15-89 years in Employment,2008Q3,Both sexes,Information and communication (J),87.1
Persons aged 15-89 years in Employment,2008Q3,Both sexes,"Professional, scientific and technical activities (M)",124.2
Persons aged 15-89 years in Employment,2008Q3,Both sexes,Administrative and support service activities (N),96.8
Persons aged 15-89 years in Employment,2008Q3,Both sexes,"Public administration and defence, compulsory social security (O)",99.4
Persons aged 15-89 years in Employment,2008Q3,Both sexes,Education (P),136.2
Persons aged 15-89 years in Employment,2008Q3,Both sexes,Human health and social work activities (Q),239.1
Persons aged 15-89 years in Employment,2008Q3,Both sexes,Industry (B to E),311.0
Persons aged 15-89 years in Employment,2008Q3,Both sexes,Industry and Construction (B to F),515.6
Persons aged 15-89 years in Employment,2008Q3,Both sexes,Services (G to U),1569.9
Persons aged 15-89 years in Employment,2008Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",110.2
Persons aged 15-89 years in Employment,2008Q3,Both sexes,Other NACE activities (R to U),115.4
Persons aged 15-89 years in Employment,2008Q3,Both sexes,Not stated,10.9
Persons aged 15-89 years in Employment,2008Q3,Male,All NACE economic sectors,1238.3
Persons aged 15-89 years in Employment,2008Q3,Male,"Agriculture, forestry and fishing (A)",97.0
Persons aged 15-89 years in Employment,2008Q3,Male,Construction (F),194.5
Persons aged 15-89 years in Employment,2008Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",153.3
Persons aged 15-89 years in Employment,2008Q3,Male,Transportation and storage (H),76.6
Persons aged 15-89 years in Employment,2008Q3,Male,Accommodation and food service activities (I),65.3
Persons aged 15-89 years in Employment,2008Q3,Male,Information and communication (J),57.8
Persons aged 15-89 years in Employment,2008Q3,Male,"Professional, scientific and technical activities (M)",74.8
Persons aged 15-89 years in Employment,2008Q3,Male,Administrative and support service activities (N),54.4
Persons aged 15-89 years in Employment,2008Q3,Male,"Public administration and defence, compulsory social security (O)",52.4
Persons aged 15-89 years in Employment,2008Q3,Male,Education (P),36.4
Persons aged 15-89 years in Employment,2008Q3,Male,Human health and social work activities (Q),46.8
Persons aged 15-89 years in Employment,2008Q3,Male,Industry (B to E),223.2
Persons aged 15-89 years in Employment,2008Q3,Male,Industry and Construction (B to F),417.6
Persons aged 15-89 years in Employment,2008Q3,Male,Services (G to U),717.2
Persons aged 15-89 years in Employment,2008Q3,Male,"Financial, insurance and real estate activities (K,L)",50.3
Persons aged 15-89 years in Employment,2008Q3,Male,Other NACE activities (R to U),49.3
Persons aged 15-89 years in Employment,2008Q3,Male,Not stated,6.5
Persons aged 15-89 years in Employment,2008Q3,Female,All NACE economic sectors,971.1
Persons aged 15-89 years in Employment,2008Q3,Female,"Agriculture, forestry and fishing (A)",16.0
Persons aged 15-89 years in Employment,2008Q3,Female,Construction (F),10.1
Persons aged 15-89 years in Employment,2008Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",172.1
Persons aged 15-89 years in Employment,2008Q3,Female,Transportation and storage (H),16.6
Persons aged 15-89 years in Employment,2008Q3,Female,Accommodation and food service activities (I),77.6
Persons aged 15-89 years in Employment,2008Q3,Female,Information and communication (J),29.3
Persons aged 15-89 years in Employment,2008Q3,Female,"Professional, scientific and technical activities (M)",49.4
Persons aged 15-89 years in Employment,2008Q3,Female,Administrative and support service activities (N),42.4
Persons aged 15-89 years in Employment,2008Q3,Female,"Public administration and defence, compulsory social security (O)",47.0
Persons aged 15-89 years in Employment,2008Q3,Female,Education (P),99.8
Persons aged 15-89 years in Employment,2008Q3,Female,Human health and social work activities (Q),192.3
Persons aged 15-89 years in Employment,2008Q3,Female,Industry (B to E),87.8
Persons aged 15-89 years in Employment,2008Q3,Female,Industry and Construction (B to F),98.0
Persons aged 15-89 years in Employment,2008Q3,Female,Services (G to U),852.7
Persons aged 15-89 years in Employment,2008Q3,Female,"Financial, insurance and real estate activities (K,L)",59.9
Persons aged 15-89 years in Employment,2008Q3,Female,Other NACE activities (R to U),66.1
Persons aged 15-89 years in Employment,2008Q3,Female,Not stated,4.5
Persons aged 15-89 years in Employment,2008Q4,Both sexes,All NACE economic sectors,2145.6
Persons aged 15-89 years in Employment,2008Q4,Both sexes,"Agriculture, forestry and fishing (A)",116.6
Persons aged 15-89 years in Employment,2008Q4,Both sexes,Construction (F),189.8
Persons aged 15-89 years in Employment,2008Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",312.3
Persons aged 15-89 years in Employment,2008Q4,Both sexes,Transportation and storage (H),88.1
Persons aged 15-89 years in Employment,2008Q4,Both sexes,Accommodation and food service activities (I),125.7
Persons aged 15-89 years in Employment,2008Q4,Both sexes,Information and communication (J),84.3
Persons aged 15-89 years in Employment,2008Q4,Both sexes,"Professional, scientific and technical activities (M)",123.8
Persons aged 15-89 years in Employment,2008Q4,Both sexes,Administrative and support service activities (N),85.0
Persons aged 15-89 years in Employment,2008Q4,Both sexes,"Public administration and defence, compulsory social security (O)",97.6
Persons aged 15-89 years in Employment,2008Q4,Both sexes,Education (P),150.6
Persons aged 15-89 years in Employment,2008Q4,Both sexes,Human health and social work activities (Q),247.5
Persons aged 15-89 years in Employment,2008Q4,Both sexes,Industry (B to E),292.6
Persons aged 15-89 years in Employment,2008Q4,Both sexes,Industry and Construction (B to F),482.3
Persons aged 15-89 years in Employment,2008Q4,Both sexes,Services (G to U),1536.6
Persons aged 15-89 years in Employment,2008Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",113.5
Persons aged 15-89 years in Employment,2008Q4,Both sexes,Other NACE activities (R to U),108.3
Persons aged 15-89 years in Employment,2008Q4,Both sexes,Not stated,10.1
Persons aged 15-89 years in Employment,2008Q4,Male,All NACE economic sectors,1192.1
Persons aged 15-89 years in Employment,2008Q4,Male,"Agriculture, forestry and fishing (A)",100.3
Persons aged 15-89 years in Employment,2008Q4,Male,Construction (F),180.2
Persons aged 15-89 years in Employment,2008Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",146.8
Persons aged 15-89 years in Employment,2008Q4,Male,Transportation and storage (H),72.6
Persons aged 15-89 years in Employment,2008Q4,Male,Accommodation and food service activities (I),59.9
Persons aged 15-89 years in Employment,2008Q4,Male,Information and communication (J),55.1
Persons aged 15-89 years in Employment,2008Q4,Male,"Professional, scientific and technical activities (M)",74.6
Persons aged 15-89 years in Employment,2008Q4,Male,Administrative and support service activities (N),50.0
Persons aged 15-89 years in Employment,2008Q4,Male,"Public administration and defence, compulsory social security (O)",51.4
Persons aged 15-89 years in Employment,2008Q4,Male,Education (P),40.6
Persons aged 15-89 years in Employment,2008Q4,Male,Human health and social work activities (Q),48.6
Persons aged 15-89 years in Employment,2008Q4,Male,Industry (B to E),212.0
Persons aged 15-89 years in Employment,2008Q4,Male,Industry and Construction (B to F),392.2
Persons aged 15-89 years in Employment,2008Q4,Male,Services (G to U),694.1
Persons aged 15-89 years in Employment,2008Q4,Male,"Financial, insurance and real estate activities (K,L)",51.2
Persons aged 15-89 years in Employment,2008Q4,Male,Other NACE activities (R to U),43.4
Persons aged 15-89 years in Employment,2008Q4,Male,Not stated,5.5
Persons aged 15-89 years in Employment,2008Q4,Female,All NACE economic sectors,953.5
Persons aged 15-89 years in Employment,2008Q4,Female,"Agriculture, forestry and fishing (A)",16.3
