STATISTIC,Quarter,Broad NACE Rev 2 Economic Sector,Sex,value
Persons aged 15-89 years in Employment,2004Q4,Industry and Construction (B to F),Male,403.5
Persons aged 15-89 years in Employment,2004Q4,Industry and Construction (B to F),Female,97.9
Persons aged 15-89 years in Employment,2004Q4,Services (G to U),Both sexes,1354.2
Persons aged 15-89 years in Employment,2004Q4,Services (G to U),Male,631.0
Persons aged 15-89 years in Employment,2004Q4,Services (G to U),Female,723.2
Persons aged 15-89 years in Employment,2005Q1,All NACE economic sectors,Both sexes,1989.7
Persons aged 15-89 years in Employment,2005Q1,All NACE economic sectors,Male,1147.8
Persons aged 15-89 years in Employment,2005Q1,All NACE economic sectors,Female,841.9
Persons aged 15-89 years in Employment,2005Q1,"Agriculture, forestry and fishing (A)",Both sexes,111.3
Persons aged 15-89 years in Employment,2005Q1,"Agriculture, forestry and fishing (A)",Male,98.1
Persons aged 15-89 years in Employment,2005Q1,"Agriculture, forestry and fishing (A)",Female,13.1
Persons aged 15-89 years in Employment,2005Q1,Industry and Construction (B to F),Both sexes,508.4
Persons aged 15-89 years in Employment,2005Q1,Industry and Construction (B to F),Male,410.0
Persons aged 15-89 years in Employment,2005Q1,Industry and Construction (B to F),Female,98.4
Persons aged 15-89 years in Employment,2005Q1,Services (G to U),Both sexes,1359.6
Persons aged 15-89 years in Employment,2005Q1,Services (G to U),Male,632.4
Persons aged 15-89 years in Employment,2005Q1,Services (G to U),Female,727.2
Persons aged 15-89 years in Employment,2005Q2,All NACE economic sectors,Both sexes,2018.0
Persons aged 15-89 years in Employment,2005Q2,All NACE economic sectors,Male,1160.6
Persons aged 15-89 years in Employment,2005Q2,All NACE economic sectors,Female,857.4
Persons aged 15-89 years in Employment,2005Q2,"Agriculture, forestry and fishing (A)",Both sexes,112.2
Persons aged 15-89 years in Employment,2005Q2,"Agriculture, forestry and fishing (A)",Male,99.6
Persons aged 15-89 years in Employment,2005Q2,"Agriculture, forestry and fishing (A)",Female,12.6
Persons aged 15-89 years in Employment,2005Q2,Industry and Construction (B to F),Both sexes,504.2
Persons aged 15-89 years in Employment,2005Q2,Industry and Construction (B to F),Male,406.4
Persons aged 15-89 years in Employment,2005Q2,Industry and Construction (B to F),Female,97.8
Persons aged 15-89 years in Employment,2005Q2,Services (G to U),Both sexes,1389.5
Persons aged 15-89 years in Employment,2005Q2,Services (G to U),Male,646.0
Persons aged 15-89 years in Employment,2005Q2,Services (G to U),Female,743.6
Persons aged 15-89 years in Employment,2005Q3,All NACE economic sectors,Both sexes,2073.3
Persons aged 15-89 years in Employment,2005Q3,All NACE economic sectors,Male,1196.9
Persons aged 15-89 years in Employment,2005Q3,All NACE economic sectors,Female,876.4
Persons aged 15-89 years in Employment,2005Q3,"Agriculture, forestry and fishing (A)",Both sexes,114.8
Persons aged 15-89 years in Employment,2005Q3,"Agriculture, forestry and fishing (A)",Male,101.9
Persons aged 15-89 years in Employment,2005Q3,"Agriculture, forestry and fishing (A)",Female,12.9
Persons aged 15-89 years in Employment,2005Q3,Industry and Construction (B to F),Both sexes,520.6
Persons aged 15-89 years in Employment,2005Q3,Industry and Construction (B to F),Male,423.8
Persons aged 15-89 years in Employment,2005Q3,Industry and Construction (B to F),Female,96.7
Persons aged 15-89 years in Employment,2005Q3,Services (G to U),Both sexes,1424.4
Persons aged 15-89 years in Employment,2005Q3,Services (G to U),Male,661.1
Persons aged 15-89 years in Employment,2005Q3,Services (G to U),Female,763.2
Persons aged 15-89 years in Employment,2005Q4,All NACE economic sectors,Both sexes,2070.0
Persons aged 15-89 years in Employment,2005Q4,All NACE economic sectors,Male,1194.2
Persons aged 15-89 years in Employment,2005Q4,All NACE economic sectors,Female,875.9
Persons aged 15-89 years in Employment,2005Q4,"Agriculture, forestry and fishing (A)",Both sexes,109.4
Persons aged 15-89 years in Employment,2005Q4,"Agriculture, forestry and fishing (A)",Male,97.9
Persons aged 15-89 years in Employment,2005Q4,"Agriculture, forestry and fishing (A)",Female,11.5
Persons aged 15-89 years in Employment,2005Q4,Industry and Construction (B to F),Both sexes,518.0
Persons aged 15-89 years in Employment,2005Q4,Industry and Construction (B to F),Male,422.8
Persons aged 15-89 years in Employment,2005Q4,Industry and Construction (B to F),Female,95.3
Persons aged 15-89 years in Employment,2005Q4,Services (G to U),Both sexes,1432.0
Persons aged 15-89 years in Employment,2005Q4,Services (G to U),Male,665.6
Persons aged 15-89 years in Employment,2005Q4,Services (G to U),Female,766.5
Persons aged 15-89 years in Employment,2006Q1,All NACE economic sectors,Both sexes,2082.3
Persons aged 15-89 years in Employment,2006Q1,All NACE economic sectors,Male,1203.2
Persons aged 15-89 years in Employment,2006Q1,All NACE economic sectors,Female,879.1
Persons aged 15-89 years in Employment,2006Q1,"Agriculture, forestry and fishing (A)",Both sexes,112.7
Persons aged 15-89 years in Employment,2006Q1,"Agriculture, forestry and fishing (A)",Male,100.0
Persons aged 15-89 years in Employment,2006Q1,"Agriculture, forestry and fishing (A)",Female,12.7
Persons aged 15-89 years in Employment,2006Q1,Industry and Construction (B to F),Both sexes,517.0
Persons aged 15-89 years in Employment,2006Q1,Industry and Construction (B to F),Male,423.3
Persons aged 15-89 years in Employment,2006Q1,Industry and Construction (B to F),Female,93.7
Persons aged 15-89 years in Employment,2006Q1,Services (G to U),Both sexes,1440.0
Persons aged 15-89 years in Employment,2006Q1,Services (G to U),Male,670.7
Persons aged 15-89 years in Employment,2006Q1,Services (G to U),Female,769.3
Persons aged 15-89 years in Employment,2006Q2,All NACE economic sectors,Both sexes,2109.0
Persons aged 15-89 years in Employment,2006Q2,All NACE economic sectors,Male,1216.2
Persons aged 15-89 years in Employment,2006Q2,All NACE economic sectors,Female,892.7
Persons aged 15-89 years in Employment,2006Q2,"Agriculture, forestry and fishing (A)",Both sexes,111.2
Persons aged 15-89 years in Employment,2006Q2,"Agriculture, forestry and fishing (A)",Male,99.1
Persons aged 15-89 years in Employment,2006Q2,"Agriculture, forestry and fishing (A)",Female,12.1
Persons aged 15-89 years in Employment,2006Q2,Industry and Construction (B to F),Both sexes,528.9
Persons aged 15-89 years in Employment,2006Q2,Industry and Construction (B to F),Male,431.8
Persons aged 15-89 years in Employment,2006Q2,Industry and Construction (B to F),Female,97.1
Persons aged 15-89 years in Employment,2006Q2,Services (G to U),Both sexes,1456.9
Persons aged 15-89 years in Employment,2006Q2,Services (G to U),Male,677.8
Persons aged 15-89 years in Employment,2006Q2,Services (G to U),Female,779.0
Persons aged 15-89 years in Employment,2006Q3,All NACE economic sectors,Both sexes,2159.1
Persons aged 15-89 years in Employment,2006Q3,All NACE economic sectors,Male,1245.3
Persons aged 15-89 years in Employment,2006Q3,All NACE economic sectors,Female,913.7
Persons aged 15-89 years in Employment,2006Q3,"Agriculture, forestry and fishing (A)",Both sexes,115.1
Persons aged 15-89 years in Employment,2006Q3,"Agriculture, forestry and fishing (A)",Male,101.2
Persons aged 15-89 years in Employment,2006Q3,"Agriculture, forestry and fishing (A)",Female,13.9
Persons aged 15-89 years in Employment,2006Q3,Industry and Construction (B to F),Both sexes,558.9
Persons aged 15-89 years in Employment,2006Q3,Industry and Construction (B to F),Male,459.4
Persons aged 15-89 years in Employment,2006Q3,Industry and Construction (B to F),Female,99.5
Persons aged 15-89 years in Employment,2006Q3,Services (G to U),Both sexes,1478.7
Persons aged 15-89 years in Employment,2006Q3,Services (G to U),Male,681.4
Persons aged 15-89 years in Employment,2006Q3,Services (G to U),Female,797.2
Persons aged 15-89 years in Employment,2006Q4,All NACE economic sectors,Both sexes,2166.8
Persons aged 15-89 years in Employment,2006Q4,All NACE economic sectors,Male,1246.6
Persons aged 15-89 years in Employment,2006Q4,All NACE economic sectors,Female,920.2
Persons aged 15-89 years in Employment,2006Q4,"Agriculture, forestry and fishing (A)",Both sexes,110.2
Persons aged 15-89 years in Employment,2006Q4,"Agriculture, forestry and fishing (A)",Male,97.9
Persons aged 15-89 years in Employment,2006Q4,"Agriculture, forestry and fishing (A)",Female,12.3
Persons aged 15-89 years in Employment,2006Q4,Industry and Construction (B to F),Both sexes,557.4
Persons aged 15-89 years in Employment,2006Q4,Industry and Construction (B to F),Male,457.7
Persons aged 15-89 years in Employment,2006Q4,Industry and Construction (B to F),Female,99.6
Persons aged 15-89 years in Employment,2006Q4,Services (G to U),Both sexes,1492.2
Persons aged 15-89 years in Employment,2006Q4,Services (G to U),Male,686.7
Persons aged 15-89 years in Employment,2006Q4,Services (G to U),Female,805.5
Persons aged 15-89 years in Employment,2007Q1,All NACE economic sectors,Both sexes,2185.6
Persons aged 15-89 years in Employment,2007Q1,All NACE economic sectors,Male,1252.3
Persons aged 15-89 years in Employment,2007Q1,All NACE economic sectors,Female,933.2
Persons aged 15-89 years in Employment,2007Q1,"Agriculture, forestry and fishing (A)",Both sexes,109.5
Persons aged 15-89 years in Employment,2007Q1,"Agriculture, forestry and fishing (A)",Male,96.6
Persons aged 15-89 years in Employment,2007Q1,"Agriculture, forestry and fishing (A)",Female,12.9
Persons aged 15-89 years in Employment,2007Q1,Industry and Construction (B to F),Both sexes,556.0
Persons aged 15-89 years in Employment,2007Q1,Industry and Construction (B to F),Male,457.3
Persons aged 15-89 years in Employment,2007Q1,Industry and Construction (B to F),Female,98.7
Persons aged 15-89 years in Employment,2007Q1,Services (G to U),Both sexes,1512.9
Persons aged 15-89 years in Employment,2007Q1,Services (G to U),Male,693.8
Persons aged 15-89 years in Employment,2007Q1,Services (G to U),Female,819.1
Persons aged 15-89 years in Employment,2007Q2,All NACE economic sectors,Both sexes,2211.8
Persons aged 15-89 years in Employment,2007Q2,All NACE economic sectors,Male,1263.1
Persons aged 15-89 years in Employment,2007Q2,All NACE economic sectors,Female,948.7
Persons aged 15-89 years in Employment,2007Q2,"Agriculture, forestry and fishing (A)",Both sexes,109.8
Persons aged 15-89 years in Employment,2007Q2,"Agriculture, forestry and fishing (A)",Male,96.1
Persons aged 15-89 years in Employment,2007Q2,"Agriculture, forestry and fishing (A)",Female,13.7
Persons aged 15-89 years in Employment,2007Q2,Industry and Construction (B to F),Both sexes,558.5
Persons aged 15-89 years in Employment,2007Q2,Industry and Construction (B to F),Male,458.8
Persons aged 15-89 years in Employment,2007Q2,Industry and Construction (B to F),Female,99.6
Persons aged 15-89 years in Employment,2007Q2,Services (G to U),Both sexes,1537.4
Persons aged 15-89 years in Employment,2007Q2,Services (G to U),Male,704.3
Persons aged 15-89 years in Employment,2007Q2,Services (G to U),Female,833.1
Persons aged 15-89 years in Employment,2007Q3,All NACE economic sectors,Both sexes,2251.0
Persons aged 15-89 years in Employment,2007Q3,All NACE economic sectors,Male,1282.2
Persons aged 15-89 years in Employment,2007Q3,All NACE economic sectors,Female,968.8
Persons aged 15-89 years in Employment,2007Q3,"Agriculture, forestry and fishing (A)",Both sexes,113.2
Persons aged 15-89 years in Employment,2007Q3,"Agriculture, forestry and fishing (A)",Male,99.3
Persons aged 15-89 years in Employment,2007Q3,"Agriculture, forestry and fishing (A)",Female,13.9
Persons aged 15-89 years in Employment,2007Q3,Industry and Construction (B to F),Both sexes,561.7
Persons aged 15-89 years in Employment,2007Q3,Industry and Construction (B to F),Male,462.1
Persons aged 15-89 years in Employment,2007Q3,Industry and Construction (B to F),Female,99.6
Persons aged 15-89 years in Employment,2007Q3,Services (G to U),Both sexes,1568.1
Persons aged 15-89 years in Employment,2007Q3,Services (G to U),Male,716.4
Persons aged 15-89 years in Employment,2007Q3,Services (G to U),Female,851.6
Persons aged 15-89 years in Employment,2007Q4,All NACE economic sectors,Both sexes,2230.7
Persons aged 15-89 years in Employment,2007Q4,All NACE economic sectors,Male,1264.6
Persons aged 15-89 years in Employment,2007Q4,All NACE economic sectors,Female,966.1
Persons aged 15-89 years in Employment,2007Q4,"Agriculture, forestry and fishing (A)",Both sexes,115.2
Persons aged 15-89 years in Employment,2007Q4,"Agriculture, forestry and fishing (A)",Male,100.1
Persons aged 15-89 years in Employment,2007Q4,"Agriculture, forestry and fishing (A)",Female,15.1
Persons aged 15-89 years in Employment,2007Q4,Industry and Construction (B to F),Both sexes,533.2
Persons aged 15-89 years in Employment,2007Q4,Industry and Construction (B to F),Male,441.1
Persons aged 15-89 years in Employment,2007Q4,Industry and Construction (B to F),Female,92.1
Persons aged 15-89 years in Employment,2007Q4,Services (G to U),Both sexes,1572.6
Persons aged 15-89 years in Employment,2007Q4,Services (G to U),Male,717.7
Persons aged 15-89 years in Employment,2007Q4,Services (G to U),Female,854.8
Persons aged 15-89 years in Employment,2008Q1,All NACE economic sectors,Both sexes,2217.8
Persons aged 15-89 years in Employment,2008Q1,All NACE economic sectors,Male,1250.6
Persons aged 15-89 years in Employment,2008Q1,All NACE economic sectors,Female,967.1
Persons aged 15-89 years in Employment,2008Q1,"Agriculture, forestry and fishing (A)",Both sexes,117.0
Persons aged 15-89 years in Employment,2008Q1,"Agriculture, forestry and fishing (A)",Male,101.4
Persons aged 15-89 years in Employment,2008Q1,"Agriculture, forestry and fishing (A)",Female,15.6
Persons aged 15-89 years in Employment,2008Q1,Industry and Construction (B to F),Both sexes,521.2
Persons aged 15-89 years in Employment,2008Q1,Industry and Construction (B to F),Male,427.1
Persons aged 15-89 years in Employment,2008Q1,Industry and Construction (B to F),Female,94.1
Persons aged 15-89 years in Employment,2008Q1,Services (G to U),Both sexes,1568.2
Persons aged 15-89 years in Employment,2008Q1,Services (G to U),Male,715.4
Persons aged 15-89 years in Employment,2008Q1,Services (G to U),Female,852.8
Persons aged 15-89 years in Employment,2008Q2,All NACE economic sectors,Both sexes,2217.8
Persons aged 15-89 years in Employment,2008Q2,All NACE economic sectors,Male,1248.4
Persons aged 15-89 years in Employment,2008Q2,All NACE economic sectors,Female,969.4
Persons aged 15-89 years in Employment,2008Q2,"Agriculture, forestry and fishing (A)",Both sexes,116.6
Persons aged 15-89 years in Employment,2008Q2,"Agriculture, forestry and fishing (A)",Male,100.4
Persons aged 15-89 years in Employment,2008Q2,"Agriculture, forestry and fishing (A)",Female,16.3
Persons aged 15-89 years in Employment,2008Q2,Industry and Construction (B to F),Both sexes,519.8
Persons aged 15-89 years in Employment,2008Q2,Industry and Construction (B to F),Male,426.4
Persons aged 15-89 years in Employment,2008Q2,Industry and Construction (B to F),Female,93.4
Persons aged 15-89 years in Employment,2008Q2,Services (G to U),Both sexes,1571.4
Persons aged 15-89 years in Employment,2008Q2,Services (G to U),Male,715.5
Persons aged 15-89 years in Employment,2008Q2,Services (G to U),Female,855.9
Persons aged 15-89 years in Employment,2008Q3,All NACE economic sectors,Both sexes,2209.4
Persons aged 15-89 years in Employment,2008Q3,All NACE economic sectors,Male,1238.3
Persons aged 15-89 years in Employment,2008Q3,All NACE economic sectors,Female,971.1
Persons aged 15-89 years in Employment,2008Q3,"Agriculture, forestry and fishing (A)",Both sexes,113.0
Persons aged 15-89 years in Employment,2008Q3,"Agriculture, forestry and fishing (A)",Male,97.0
Persons aged 15-89 years in Employment,2008Q3,"Agriculture, forestry and fishing (A)",Female,16.0
Persons aged 15-89 years in Employment,2008Q3,Industry and Construction (B to F),Both sexes,515.6
Persons aged 15-89 years in Employment,2008Q3,Industry and Construction (B to F),Male,417.6
Persons aged 15-89 years in Employment,2008Q3,Industry and Construction (B to F),Female,98.0
Persons aged 15-89 years in Employment,2008Q3,Services (G to U),Both sexes,1569.9
Persons aged 15-89 years in Employment,2008Q3,Services (G to U),Male,717.2
Persons aged 15-89 years in Employment,2008Q3,Services (G to U),Female,852.7
Persons aged 15-89 years in Employment,2008Q4,All NACE economic sectors,Both sexes,2145.6
Persons aged 15-89 years in Employment,2008Q4,All NACE economic sectors,Male,1192.1
Persons aged 15-89 years in Employment,2008Q4,All NACE economic sectors,Female,953.5
Persons aged 15-89 years in Employment,2008Q4,"Agriculture, forestry and fishing (A)",Both sexes,116.6
Persons aged 15-89 years in Employment,2008Q4,"Agriculture, forestry and fishing (A)",Male,100.3
Persons aged 15-89 years in Employment,2008Q4,"Agriculture, forestry and fishing (A)",Female,16.3
Persons aged 15-89 years in Employment,2008Q4,Industry and Construction (B to F),Both sexes,482.3
Persons aged 15-89 years in Employment,2008Q4,Industry and Construction (B to F),Male,392.2
Persons aged 15-89 years in Employment,2008Q4,Industry and Construction (B to F),Female,90.1
Persons aged 15-89 years in Employment,2008Q4,Services (G to U),Both sexes,1536.6
Persons aged 15-89 years in Employment,2008Q4,Services (G to U),Male,694.1
Persons aged 15-89 years in Employment,2008Q4,Services (G to U),Female,842.5
Persons aged 15-89 years in Employment,2009Q1,All NACE economic sectors,Both sexes,2054.5
Persons aged 15-89 years in Employment,2009Q1,All NACE economic sectors,Male,1123.9
Persons aged 15-89 years in Employment,2009Q1,All NACE economic sectors,Female,930.6
Persons aged 15-89 years in Employment,2009Q1,"Agriculture, forestry and fishing (A)",Both sexes,110.1
Persons aged 15-89 years in Employment,2009Q1,"Agriculture, forestry and fishing (A)",Male,94.5
Persons aged 15-89 years in Employment,2009Q1,"Agriculture, forestry and fishing (A)",Female,15.6
Persons aged 15-89 years in Employment,2009Q1,Industry and Construction (B to F),Both sexes,431.4
Persons aged 15-89 years in Employment,2009Q1,Industry and Construction (B to F),Male,343.0
Persons aged 15-89 years in Employment,2009Q1,Industry and Construction (B to F),Female,88.4
Persons aged 15-89 years in Employment,2009Q1,Services (G to U),Both sexes,1503.1
Persons aged 15-89 years in Employment,2009Q1,Services (G to U),Male,680.1
Persons aged 15-89 years in Employment,2009Q1,Services (G to U),Female,823.0
Persons aged 15-89 years in Employment,2009Q2,All NACE economic sectors,Both sexes,2028.6
Persons aged 15-89 years in Employment,2009Q2,All NACE economic sectors,Male,1100.6
Persons aged 15-89 years in Employment,2009Q2,All NACE economic sectors,Female,928.0
Persons aged 15-89 years in Employment,2009Q2,"Agriculture, forestry and fishing (A)",Both sexes,114.5
Persons aged 15-89 years in Employment,2009Q2,"Agriculture, forestry and fishing (A)",Male,98.2
Persons aged 15-89 years in Employment,2009Q2,"Agriculture, forestry and fishing (A)",Female,16.3
Persons aged 15-89 years in Employment,2009Q2,Industry and Construction (B to F),Both sexes,401.5
Persons aged 15-89 years in Employment,2009Q2,Industry and Construction (B to F),Male,314.2
Persons aged 15-89 years in Employment,2009Q2,Industry and Construction (B to F),Female,87.3
Persons aged 15-89 years in Employment,2009Q2,Services (G to U),Both sexes,1503.2
Persons aged 15-89 years in Employment,2009Q2,Services (G to U),Male,682.4
Persons aged 15-89 years in Employment,2009Q2,Services (G to U),Female,820.8
Persons aged 15-89 years in Employment,2009Q3,All NACE economic sectors,Both sexes,2006.2
Persons aged 15-89 years in Employment,2009Q3,All NACE economic sectors,Male,1083.1
Persons aged 15-89 years in Employment,2009Q3,All NACE economic sectors,Female,923.1
Persons aged 15-89 years in Employment,2009Q3,"Agriculture, forestry and fishing (A)",Both sexes,113.8
Persons aged 15-89 years in Employment,2009Q3,"Agriculture, forestry and fishing (A)",Male,97.4
Persons aged 15-89 years in Employment,2009Q3,"Agriculture, forestry and fishing (A)",Female,16.4
Persons aged 15-89 years in Employment,2009Q3,Industry and Construction (B to F),Both sexes,389.4
Persons aged 15-89 years in Employment,2009Q3,Industry and Construction (B to F),Male,305.4
Persons aged 15-89 years in Employment,2009Q3,Industry and Construction (B to F),Female,84.0
Persons aged 15-89 years in Employment,2009Q3,Services (G to U),Both sexes,1492.0
Persons aged 15-89 years in Employment,2009Q3,Services (G to U),Male,674.2
Persons aged 15-89 years in Employment,2009Q3,Services (G to U),Female,817.8
Persons aged 15-89 years in Employment,2009Q4,All NACE economic sectors,Both sexes,1970.6
Persons aged 15-89 years in Employment,2009Q4,All NACE economic sectors,Male,1059.7
Persons aged 15-89 years in Employment,2009Q4,All NACE economic sectors,Female,910.9
Persons aged 15-89 years in Employment,2009Q4,"Agriculture, forestry and fishing (A)",Both sexes,110.4
Persons aged 15-89 years in Employment,2009Q4,"Agriculture, forestry and fishing (A)",Male,95.1
Persons aged 15-89 years in Employment,2009Q4,"Agriculture, forestry and fishing (A)",Female,15.3
Persons aged 15-89 years in Employment,2009Q4,Industry and Construction (B to F),Both sexes,370.6
Persons aged 15-89 years in Employment,2009Q4,Industry and Construction (B to F),Male,290.5
Persons aged 15-89 years in Employment,2009Q4,Industry and Construction (B to F),Female,80.2
Persons aged 15-89 years in Employment,2009Q4,Services (G to U),Both sexes,1478.3
Persons aged 15-89 years in Employment,2009Q4,Services (G to U),Male,667.2
Persons aged 15-89 years in Employment,2009Q4,Services (G to U),Female,811.1
Persons aged 15-89 years in Employment,2010Q1,All NACE economic sectors,Both sexes,1934.6
Persons aged 15-89 years in Employment,2010Q1,All NACE economic sectors,Male,1036.7
Persons aged 15-89 years in Employment,2010Q1,All NACE economic sectors,Female,897.9
Persons aged 15-89 years in Employment,2010Q1,"Agriculture, forestry and fishing (A)",Both sexes,104.8
Persons aged 15-89 years in Employment,2010Q1,"Agriculture, forestry and fishing (A)",Male,89.9
Persons aged 15-89 years in Employment,2010Q1,"Agriculture, forestry and fishing (A)",Female,14.9
Persons aged 15-89 years in Employment,2010Q1,Industry and Construction (B to F),Both sexes,356.1
Persons aged 15-89 years in Employment,2010Q1,Industry and Construction (B to F),Male,278.6
Persons aged 15-89 years in Employment,2010Q1,Industry and Construction (B to F),Female,77.5
Persons aged 15-89 years in Employment,2010Q1,Services (G to U),Both sexes,1462.4
Persons aged 15-89 years in Employment,2010Q1,Services (G to U),Male,661.4
Persons aged 15-89 years in Employment,2010Q1,Services (G to U),Female,801.0
Persons aged 15-89 years in Employment,2010Q2,All NACE economic sectors,Both sexes,1936.5
Persons aged 15-89 years in Employment,2010Q2,All NACE economic sectors,Male,1038.9
Persons aged 15-89 years in Employment,2010Q2,All NACE economic sectors,Female,897.6
Persons aged 15-89 years in Employment,2010Q2,"Agriculture, forestry and fishing (A)",Both sexes,111.0
Persons aged 15-89 years in Employment,2010Q2,"Agriculture, forestry and fishing (A)",Male,92.6
Persons aged 15-89 years in Employment,2010Q2,"Agriculture, forestry and fishing (A)",Female,18.5
Persons aged 15-89 years in Employment,2010Q2,Industry and Construction (B to F),Both sexes,350.8
Persons aged 15-89 years in Employment,2010Q2,Industry and Construction (B to F),Male,272.4
Persons aged 15-89 years in Employment,2010Q2,Industry and Construction (B to F),Female,78.4
Persons aged 15-89 years in Employment,2010Q2,Services (G to U),Both sexes,1463.3
Persons aged 15-89 years in Employment,2010Q2,Services (G to U),Male,666.5
Persons aged 15-89 years in Employment,2010Q2,Services (G to U),Female,796.8
Persons aged 15-89 years in Employment,2010Q3,All NACE economic sectors,Both sexes,1930.3
Persons aged 15-89 years in Employment,2010Q3,All NACE economic sectors,Male,1038.8
Persons aged 15-89 years in Employment,2010Q3,All NACE economic sectors,Female,891.6
Persons aged 15-89 years in Employment,2010Q3,"Agriculture, forestry and fishing (A)",Both sexes,114.2
Persons aged 15-89 years in Employment,2010Q3,"Agriculture, forestry and fishing (A)",Male,96.0
Persons aged 15-89 years in Employment,2010Q3,"Agriculture, forestry and fishing (A)",Female,18.1
Persons aged 15-89 years in Employment,2010Q3,Industry and Construction (B to F),Both sexes,343.0
Persons aged 15-89 years in Employment,2010Q3,Industry and Construction (B to F),Male,266.1
Persons aged 15-89 years in Employment,2010Q3,Industry and Construction (B to F),Female,77.0
Persons aged 15-89 years in Employment,2010Q3,Services (G to U),Both sexes,1461.9
Persons aged 15-89 years in Employment,2010Q3,Services (G to U),Male,669.5
Persons aged 15-89 years in Employment,2010Q3,Services (G to U),Female,792.4
Persons aged 15-89 years in Employment,2010Q4,All NACE economic sectors,Both sexes,1896.6
Persons aged 15-89 years in Employment,2010Q4,All NACE economic sectors,Male,1014.9
Persons aged 15-89 years in Employment,2010Q4,All NACE economic sectors,Female,881.7
Persons aged 15-89 years in Employment,2010Q4,"Agriculture, forestry and fishing (A)",Both sexes,110.8
Persons aged 15-89 years in Employment,2010Q4,"Agriculture, forestry and fishing (A)",Male,94.5
Persons aged 15-89 years in Employment,2010Q4,"Agriculture, forestry and fishing (A)",Female,16.3
Persons aged 15-89 years in Employment,2010Q4,Industry and Construction (B to F),Both sexes,335.9
Persons aged 15-89 years in Employment,2010Q4,Industry and Construction (B to F),Male,260.4
Persons aged 15-89 years in Employment,2010Q4,Industry and Construction (B to F),Female,75.5
Persons aged 15-89 years in Employment,2010Q4,Services (G to U),Both sexes,1440.3
Persons aged 15-89 years in Employment,2010Q4,Services (G to U),Male,654.2
Persons aged 15-89 years in Employment,2010Q4,Services (G to U),Female,786.1
Persons aged 15-89 years in Employment,2011Q1,All NACE economic sectors,Both sexes,1878.1
Persons aged 15-89 years in Employment,2011Q1,All NACE economic sectors,Male,1003.0
Persons aged 15-89 years in Employment,2011Q1,All NACE economic sectors,Female,875.1
Persons aged 15-89 years in Employment,2011Q1,"Agriculture, forestry and fishing (A)",Both sexes,107.0
Persons aged 15-89 years in Employment,2011Q1,"Agriculture, forestry and fishing (A)",Male,92.2
Persons aged 15-89 years in Employment,2011Q1,"Agriculture, forestry and fishing (A)",Female,14.8
Persons aged 15-89 years in Employment,2011Q1,Industry and Construction (B to F),Both sexes,327.5
Persons aged 15-89 years in Employment,2011Q1,Industry and Construction (B to F),Male,251.3
Persons aged 15-89 years in Employment,2011Q1,Industry and Construction (B to F),Female,76.2
Persons aged 15-89 years in Employment,2011Q1,Services (G to U),Both sexes,1433.7
Persons aged 15-89 years in Employment,2011Q1,Services (G to U),Male,653.7
Persons aged 15-89 years in Employment,2011Q1,Services (G to U),Female,780.0
Persons aged 15-89 years in Employment,2011Q2,All NACE economic sectors,Both sexes,1899.6
Persons aged 15-89 years in Employment,2011Q2,All NACE economic sectors,Male,1012.8
Persons aged 15-89 years in Employment,2011Q2,All NACE economic sectors,Female,886.7
Persons aged 15-89 years in Employment,2011Q2,"Agriculture, forestry and fishing (A)",Both sexes,112.0
Persons aged 15-89 years in Employment,2011Q2,"Agriculture, forestry and fishing (A)",Male,97.0
Persons aged 15-89 years in Employment,2011Q2,"Agriculture, forestry and fishing (A)",Female,15.0
Persons aged 15-89 years in Employment,2011Q2,Industry and Construction (B to F),Both sexes,325.8
Persons aged 15-89 years in Employment,2011Q2,Industry and Construction (B to F),Male,248.1
Persons aged 15-89 years in Employment,2011Q2,Industry and Construction (B to F),Female,77.7
Persons aged 15-89 years in Employment,2011Q2,Services (G to U),Both sexes,1454.8
Persons aged 15-89 years in Employment,2011Q2,Services (G to U),Male,663.5
Persons aged 15-89 years in Employment,2011Q2,Services (G to U),Female,791.3
Persons aged 15-89 years in Employment,2011Q3,All NACE economic sectors,Both sexes,1885.7
Persons aged 15-89 years in Employment,2011Q3,All NACE economic sectors,Male,1011.2
Persons aged 15-89 years in Employment,2011Q3,All NACE economic sectors,Female,874.5
Persons aged 15-89 years in Employment,2011Q3,"Agriculture, forestry and fishing (A)",Both sexes,107.8
Persons aged 15-89 years in Employment,2011Q3,"Agriculture, forestry and fishing (A)",Male,93.3
Persons aged 15-89 years in Employment,2011Q3,"Agriculture, forestry and fishing (A)",Female,14.5
Persons aged 15-89 years in Employment,2011Q3,Industry and Construction (B to F),Both sexes,327.3
Persons aged 15-89 years in Employment,2011Q3,Industry and Construction (B to F),Male,253.2
Persons aged 15-89 years in Employment,2011Q3,Industry and Construction (B to F),Female,74.0
Persons aged 15-89 years in Employment,2011Q3,Services (G to U),Both sexes,1443.5
Persons aged 15-89 years in Employment,2011Q3,Services (G to U),Male,660.6
Persons aged 15-89 years in Employment,2011Q3,Services (G to U),Female,782.9
Persons aged 15-89 years in Employment,2011Q4,All NACE economic sectors,Both sexes,1886.4
Persons aged 15-89 years in Employment,2011Q4,All NACE economic sectors,Male,1008.6
Persons aged 15-89 years in Employment,2011Q4,All NACE economic sectors,Female,877.8
