Statistic,Quarter,Age Group,Sex,value
Person aged 15 years and over in the Labour Force,2007Q1,15 - 19 years,Male,75.7
Person aged 15 years and over in the Labour Force,2007Q1,15 - 19 years,Female,52.0
Person aged 15 years and over in the Labour Force,2007Q1,15 - 24 years,Both sexes,444.4
Person aged 15 years and over in the Labour Force,2007Q1,15 - 24 years,Male,244.9
Person aged 15 years and over in the Labour Force,2007Q1,15 - 24 years,Female,199.5
Person aged 15 years and over in the Labour Force,2007Q1,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2007Q1,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2007Q1,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2007Q1,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2007Q1,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2007Q1,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2007Q1,15 years and over,Both sexes,2296.8
Person aged 15 years and over in the Labour Force,2007Q1,15 years and over,Male,1316.6
Person aged 15 years and over in the Labour Force,2007Q1,15 years and over,Female,980.2
Person aged 15 years and over in the Labour Force,2007Q1,20 - 24 years,Both sexes,316.7
Person aged 15 years and over in the Labour Force,2007Q1,20 - 24 years,Male,169.2
Person aged 15 years and over in the Labour Force,2007Q1,20 - 24 years,Female,147.5
Person aged 15 years and over in the Labour Force,2007Q1,25 - 34 years,Both sexes,648.0
Person aged 15 years and over in the Labour Force,2007Q1,25 - 34 years,Male,354.3
Person aged 15 years and over in the Labour Force,2007Q1,25 - 34 years,Female,293.6
Person aged 15 years and over in the Labour Force,2007Q1,35 - 44 years,Both sexes,520.5
Person aged 15 years and over in the Labour Force,2007Q1,35 - 44 years,Male,303.5
Person aged 15 years and over in the Labour Force,2007Q1,35 - 44 years,Female,217.0
Person aged 15 years and over in the Labour Force,2007Q1,45 - 54 years,Both sexes,411.9
Person aged 15 years and over in the Labour Force,2007Q1,45 - 54 years,Male,236.1
Person aged 15 years and over in the Labour Force,2007Q1,45 - 54 years,Female,175.8
Person aged 15 years and over in the Labour Force,2007Q1,55 - 59 years,Both sexes,143.5
Person aged 15 years and over in the Labour Force,2007Q1,55 - 59 years,Male,88.4
Person aged 15 years and over in the Labour Force,2007Q1,55 - 59 years,Female,55.1
Person aged 15 years and over in the Labour Force,2007Q1,60 - 64 years,Both sexes,85.4
Person aged 15 years and over in the Labour Force,2007Q1,60 - 64 years,Male,56.9
Person aged 15 years and over in the Labour Force,2007Q1,60 - 64 years,Female,28.6
Person aged 15 years and over in the Labour Force,2007Q1,65 years and over,Both sexes,43.0
Person aged 15 years and over in the Labour Force,2007Q1,65 years and over,Male,32.4
Person aged 15 years and over in the Labour Force,2007Q1,65 years and over,Female,10.6
Person aged 15 years and over in the Labour Force,2007Q1,25 - 74 years,Both sexes,1845.7
Person aged 15 years and over in the Labour Force,2007Q1,25 - 74 years,Male,1066.0
Person aged 15 years and over in the Labour Force,2007Q1,25 - 74 years,Female,779.7
Person aged 15 years and over in the Labour Force,2007Q2,15 - 19 years,Both sexes,135.2
Person aged 15 years and over in the Labour Force,2007Q2,15 - 19 years,Male,77.0
Person aged 15 years and over in the Labour Force,2007Q2,15 - 19 years,Female,58.2
Person aged 15 years and over in the Labour Force,2007Q2,15 - 24 years,Both sexes,460.9
Person aged 15 years and over in the Labour Force,2007Q2,15 - 24 years,Male,249.4
Person aged 15 years and over in the Labour Force,2007Q2,15 - 24 years,Female,211.5
Person aged 15 years and over in the Labour Force,2007Q2,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2007Q2,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2007Q2,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2007Q2,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2007Q2,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2007Q2,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2007Q2,15 years and over,Both sexes,2331.9
Person aged 15 years and over in the Labour Force,2007Q2,15 years and over,Male,1329.8
Person aged 15 years and over in the Labour Force,2007Q2,15 years and over,Female,1002.1
Person aged 15 years and over in the Labour Force,2007Q2,20 - 24 years,Both sexes,325.7
Person aged 15 years and over in the Labour Force,2007Q2,20 - 24 years,Male,172.4
Person aged 15 years and over in the Labour Force,2007Q2,20 - 24 years,Female,153.3
Person aged 15 years and over in the Labour Force,2007Q2,25 - 34 years,Both sexes,652.8
Person aged 15 years and over in the Labour Force,2007Q2,25 - 34 years,Male,356.3
Person aged 15 years and over in the Labour Force,2007Q2,25 - 34 years,Female,296.5
Person aged 15 years and over in the Labour Force,2007Q2,35 - 44 years,Both sexes,523.9
Person aged 15 years and over in the Labour Force,2007Q2,35 - 44 years,Male,304.3
Person aged 15 years and over in the Labour Force,2007Q2,35 - 44 years,Female,219.6
Person aged 15 years and over in the Labour Force,2007Q2,45 - 54 years,Both sexes,417.3
Person aged 15 years and over in the Labour Force,2007Q2,45 - 54 years,Male,238.9
Person aged 15 years and over in the Labour Force,2007Q2,45 - 54 years,Female,178.4
Person aged 15 years and over in the Labour Force,2007Q2,55 - 59 years,Both sexes,144.5
Person aged 15 years and over in the Labour Force,2007Q2,55 - 59 years,Male,89.1
Person aged 15 years and over in the Labour Force,2007Q2,55 - 59 years,Female,55.4
Person aged 15 years and over in the Labour Force,2007Q2,60 - 64 years,Both sexes,88.0
Person aged 15 years and over in the Labour Force,2007Q2,60 - 64 years,Male,58.1
Person aged 15 years and over in the Labour Force,2007Q2,60 - 64 years,Female,29.9
Person aged 15 years and over in the Labour Force,2007Q2,65 years and over,Both sexes,44.6
Person aged 15 years and over in the Labour Force,2007Q2,65 years and over,Male,33.7
Person aged 15 years and over in the Labour Force,2007Q2,65 years and over,Female,10.9
Person aged 15 years and over in the Labour Force,2007Q2,25 - 74 years,Both sexes,1864.3
Person aged 15 years and over in the Labour Force,2007Q2,25 - 74 years,Male,1074.6
Person aged 15 years and over in the Labour Force,2007Q2,25 - 74 years,Female,789.7
Person aged 15 years and over in the Labour Force,2007Q3,15 - 19 years,Both sexes,153.8
Person aged 15 years and over in the Labour Force,2007Q3,15 - 19 years,Male,87.0
Person aged 15 years and over in the Labour Force,2007Q3,15 - 19 years,Female,66.8
Person aged 15 years and over in the Labour Force,2007Q3,15 - 24 years,Both sexes,486.3
Person aged 15 years and over in the Labour Force,2007Q3,15 - 24 years,Male,261.1
Person aged 15 years and over in the Labour Force,2007Q3,15 - 24 years,Female,225.2
Person aged 15 years and over in the Labour Force,2007Q3,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2007Q3,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2007Q3,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2007Q3,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2007Q3,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2007Q3,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2007Q3,15 years and over,Both sexes,2370.7
Person aged 15 years and over in the Labour Force,2007Q3,15 years and over,Male,1349.9
Person aged 15 years and over in the Labour Force,2007Q3,15 years and over,Female,1020.8
Person aged 15 years and over in the Labour Force,2007Q3,20 - 24 years,Both sexes,332.5
Person aged 15 years and over in the Labour Force,2007Q3,20 - 24 years,Male,174.1
Person aged 15 years and over in the Labour Force,2007Q3,20 - 24 years,Female,158.4
Person aged 15 years and over in the Labour Force,2007Q3,25 - 34 years,Both sexes,658.5
Person aged 15 years and over in the Labour Force,2007Q3,25 - 34 years,Male,360.6
Person aged 15 years and over in the Labour Force,2007Q3,25 - 34 years,Female,297.9
Person aged 15 years and over in the Labour Force,2007Q3,35 - 44 years,Both sexes,526.4
Person aged 15 years and over in the Labour Force,2007Q3,35 - 44 years,Male,305.2
Person aged 15 years and over in the Labour Force,2007Q3,35 - 44 years,Female,221.2
Person aged 15 years and over in the Labour Force,2007Q3,45 - 54 years,Both sexes,421.3
Person aged 15 years and over in the Labour Force,2007Q3,45 - 54 years,Male,240.4
Person aged 15 years and over in the Labour Force,2007Q3,45 - 54 years,Female,180.8
Person aged 15 years and over in the Labour Force,2007Q3,55 - 59 years,Both sexes,143.7
Person aged 15 years and over in the Labour Force,2007Q3,55 - 59 years,Male,89.8
Person aged 15 years and over in the Labour Force,2007Q3,55 - 59 years,Female,53.9
Person aged 15 years and over in the Labour Force,2007Q3,60 - 64 years,Both sexes,90.5
Person aged 15 years and over in the Labour Force,2007Q3,60 - 64 years,Male,59.3
Person aged 15 years and over in the Labour Force,2007Q3,60 - 64 years,Female,31.2
Person aged 15 years and over in the Labour Force,2007Q3,65 years and over,Both sexes,44.0
Person aged 15 years and over in the Labour Force,2007Q3,65 years and over,Male,33.4
Person aged 15 years and over in the Labour Force,2007Q3,65 years and over,Female,10.7
Person aged 15 years and over in the Labour Force,2007Q3,25 - 74 years,Both sexes,1878.1
Person aged 15 years and over in the Labour Force,2007Q3,25 - 74 years,Male,1083.4
Person aged 15 years and over in the Labour Force,2007Q3,25 - 74 years,Female,794.7
Person aged 15 years and over in the Labour Force,2007Q4,15 - 19 years,Both sexes,126.8
Person aged 15 years and over in the Labour Force,2007Q4,15 - 19 years,Male,71.2
Person aged 15 years and over in the Labour Force,2007Q4,15 - 19 years,Female,55.6
Person aged 15 years and over in the Labour Force,2007Q4,15 - 24 years,Both sexes,450.6
Person aged 15 years and over in the Labour Force,2007Q4,15 - 24 years,Male,242.0
Person aged 15 years and over in the Labour Force,2007Q4,15 - 24 years,Female,208.6
Person aged 15 years and over in the Labour Force,2007Q4,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2007Q4,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2007Q4,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2007Q4,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2007Q4,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2007Q4,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2007Q4,15 years and over,Both sexes,2345.4
Person aged 15 years and over in the Labour Force,2007Q4,15 years and over,Male,1333.6
Person aged 15 years and over in the Labour Force,2007Q4,15 years and over,Female,1011.8
Person aged 15 years and over in the Labour Force,2007Q4,20 - 24 years,Both sexes,323.8
Person aged 15 years and over in the Labour Force,2007Q4,20 - 24 years,Male,170.8
Person aged 15 years and over in the Labour Force,2007Q4,20 - 24 years,Female,153.0
Person aged 15 years and over in the Labour Force,2007Q4,25 - 34 years,Both sexes,656.6
Person aged 15 years and over in the Labour Force,2007Q4,25 - 34 years,Male,360.2
Person aged 15 years and over in the Labour Force,2007Q4,25 - 34 years,Female,296.4
Person aged 15 years and over in the Labour Force,2007Q4,35 - 44 years,Both sexes,530.2
Person aged 15 years and over in the Labour Force,2007Q4,35 - 44 years,Male,306.5
Person aged 15 years and over in the Labour Force,2007Q4,35 - 44 years,Female,223.7
Person aged 15 years and over in the Labour Force,2007Q4,45 - 54 years,Both sexes,425.4
Person aged 15 years and over in the Labour Force,2007Q4,45 - 54 years,Male,242.5
Person aged 15 years and over in the Labour Force,2007Q4,45 - 54 years,Female,182.9
Person aged 15 years and over in the Labour Force,2007Q4,55 - 59 years,Both sexes,144.1
Person aged 15 years and over in the Labour Force,2007Q4,55 - 59 years,Male,88.9
Person aged 15 years and over in the Labour Force,2007Q4,55 - 59 years,Female,55.2
Person aged 15 years and over in the Labour Force,2007Q4,60 - 64 years,Both sexes,91.8
Person aged 15 years and over in the Labour Force,2007Q4,60 - 64 years,Male,59.1
Person aged 15 years and over in the Labour Force,2007Q4,60 - 64 years,Female,32.7
Person aged 15 years and over in the Labour Force,2007Q4,65 years and over,Both sexes,46.8
Person aged 15 years and over in the Labour Force,2007Q4,65 years and over,Male,34.4
Person aged 15 years and over in the Labour Force,2007Q4,65 years and over,Female,12.4
Person aged 15 years and over in the Labour Force,2007Q4,25 - 74 years,Both sexes,1887.4
Person aged 15 years and over in the Labour Force,2007Q4,25 - 74 years,Male,1085.4
Person aged 15 years and over in the Labour Force,2007Q4,25 - 74 years,Female,802.0
Person aged 15 years and over in the Labour Force,2008Q1,15 - 19 years,Both sexes,116.0
Person aged 15 years and over in the Labour Force,2008Q1,15 - 19 years,Male,66.4
Person aged 15 years and over in the Labour Force,2008Q1,15 - 19 years,Female,49.6
Person aged 15 years and over in the Labour Force,2008Q1,15 - 24 years,Both sexes,434.3
Person aged 15 years and over in the Labour Force,2008Q1,15 - 24 years,Male,233.2
Person aged 15 years and over in the Labour Force,2008Q1,15 - 24 years,Female,201.1
Person aged 15 years and over in the Labour Force,2008Q1,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2008Q1,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2008Q1,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2008Q1,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2008Q1,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2008Q1,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2008Q1,15 years and over,Both sexes,2342.1
Person aged 15 years and over in the Labour Force,2008Q1,15 years and over,Male,1329.3
Person aged 15 years and over in the Labour Force,2008Q1,15 years and over,Female,1012.8
Person aged 15 years and over in the Labour Force,2008Q1,20 - 24 years,Both sexes,318.3
Person aged 15 years and over in the Labour Force,2008Q1,20 - 24 years,Male,166.8
Person aged 15 years and over in the Labour Force,2008Q1,20 - 24 years,Female,151.6
Person aged 15 years and over in the Labour Force,2008Q1,25 - 34 years,Both sexes,661.7
Person aged 15 years and over in the Labour Force,2008Q1,25 - 34 years,Male,359.1
Person aged 15 years and over in the Labour Force,2008Q1,25 - 34 years,Female,302.6
Person aged 15 years and over in the Labour Force,2008Q1,35 - 44 years,Both sexes,535.3
Person aged 15 years and over in the Labour Force,2008Q1,35 - 44 years,Male,309.6
Person aged 15 years and over in the Labour Force,2008Q1,35 - 44 years,Female,225.6
Person aged 15 years and over in the Labour Force,2008Q1,45 - 54 years,Both sexes,426.1
Person aged 15 years and over in the Labour Force,2008Q1,45 - 54 years,Male,242.9
Person aged 15 years and over in the Labour Force,2008Q1,45 - 54 years,Female,183.3
Person aged 15 years and over in the Labour Force,2008Q1,55 - 59 years,Both sexes,144.8
Person aged 15 years and over in the Labour Force,2008Q1,55 - 59 years,Male,89.4
Person aged 15 years and over in the Labour Force,2008Q1,55 - 59 years,Female,55.4
Person aged 15 years and over in the Labour Force,2008Q1,60 - 64 years,Both sexes,93.6
Person aged 15 years and over in the Labour Force,2008Q1,60 - 64 years,Male,60.4
Person aged 15 years and over in the Labour Force,2008Q1,60 - 64 years,Female,33.2
Person aged 15 years and over in the Labour Force,2008Q1,65 years and over,Both sexes,46.3
Person aged 15 years and over in the Labour Force,2008Q1,65 years and over,Male,34.8
Person aged 15 years and over in the Labour Force,2008Q1,65 years and over,Female,11.6
Person aged 15 years and over in the Labour Force,2008Q1,25 - 74 years,Both sexes,1900.3
Person aged 15 years and over in the Labour Force,2008Q1,25 - 74 years,Male,1089.7
Person aged 15 years and over in the Labour Force,2008Q1,25 - 74 years,Female,810.7
Person aged 15 years and over in the Labour Force,2008Q2,15 - 19 years,Both sexes,124.2
Person aged 15 years and over in the Labour Force,2008Q2,15 - 19 years,Male,70.1
Person aged 15 years and over in the Labour Force,2008Q2,15 - 19 years,Female,54.1
Person aged 15 years and over in the Labour Force,2008Q2,15 - 24 years,Both sexes,446.1
Person aged 15 years and over in the Labour Force,2008Q2,15 - 24 years,Male,238.2
Person aged 15 years and over in the Labour Force,2008Q2,15 - 24 years,Female,207.9
Person aged 15 years and over in the Labour Force,2008Q2,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2008Q2,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2008Q2,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2008Q2,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2008Q2,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2008Q2,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2008Q2,15 years and over,Both sexes,2362.3
Person aged 15 years and over in the Labour Force,2008Q2,15 years and over,Male,1339.5
Person aged 15 years and over in the Labour Force,2008Q2,15 years and over,Female,1022.8
Person aged 15 years and over in the Labour Force,2008Q2,20 - 24 years,Both sexes,321.9
Person aged 15 years and over in the Labour Force,2008Q2,20 - 24 years,Male,168.1
Person aged 15 years and over in the Labour Force,2008Q2,20 - 24 years,Female,153.8
Person aged 15 years and over in the Labour Force,2008Q2,25 - 34 years,Both sexes,662.7
Person aged 15 years and over in the Labour Force,2008Q2,25 - 34 years,Male,360.9
Person aged 15 years and over in the Labour Force,2008Q2,25 - 34 years,Female,301.8
Person aged 15 years and over in the Labour Force,2008Q2,35 - 44 years,Both sexes,536.9
Person aged 15 years and over in the Labour Force,2008Q2,35 - 44 years,Male,311.3
Person aged 15 years and over in the Labour Force,2008Q2,35 - 44 years,Female,225.6
Person aged 15 years and over in the Labour Force,2008Q2,45 - 54 years,Both sexes,427.6
Person aged 15 years and over in the Labour Force,2008Q2,45 - 54 years,Male,244.2
Person aged 15 years and over in the Labour Force,2008Q2,45 - 54 years,Female,183.4
Person aged 15 years and over in the Labour Force,2008Q2,55 - 59 years,Both sexes,147.2
Person aged 15 years and over in the Labour Force,2008Q2,55 - 59 years,Male,88.9
Person aged 15 years and over in the Labour Force,2008Q2,55 - 59 years,Female,58.3
Person aged 15 years and over in the Labour Force,2008Q2,60 - 64 years,Both sexes,94.2
Person aged 15 years and over in the Labour Force,2008Q2,60 - 64 years,Male,60.9
Person aged 15 years and over in the Labour Force,2008Q2,60 - 64 years,Female,33.3
Person aged 15 years and over in the Labour Force,2008Q2,65 years and over,Both sexes,47.5
Person aged 15 years and over in the Labour Force,2008Q2,65 years and over,Male,35.1
Person aged 15 years and over in the Labour Force,2008Q2,65 years and over,Female,12.4
Person aged 15 years and over in the Labour Force,2008Q2,25 - 74 years,Both sexes,1908.5
Person aged 15 years and over in the Labour Force,2008Q2,25 - 74 years,Male,1094.9
Person aged 15 years and over in the Labour Force,2008Q2,25 - 74 years,Female,813.6
Person aged 15 years and over in the Labour Force,2008Q3,15 - 19 years,Both sexes,143.3
Person aged 15 years and over in the Labour Force,2008Q3,15 - 19 years,Male,78.3
Person aged 15 years and over in the Labour Force,2008Q3,15 - 19 years,Female,64.9
Person aged 15 years and over in the Labour Force,2008Q3,15 - 24 years,Both sexes,464.6
Person aged 15 years and over in the Labour Force,2008Q3,15 - 24 years,Male,247.1
Person aged 15 years and over in the Labour Force,2008Q3,15 - 24 years,Female,217.5
Person aged 15 years and over in the Labour Force,2008Q3,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2008Q3,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2008Q3,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2008Q3,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2008Q3,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2008Q3,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2008Q3,15 years and over,Both sexes,2390.3
Person aged 15 years and over in the Labour Force,2008Q3,15 years and over,Male,1349.1
Person aged 15 years and over in the Labour Force,2008Q3,15 years and over,Female,1041.2
Person aged 15 years and over in the Labour Force,2008Q3,20 - 24 years,Both sexes,321.4
Person aged 15 years and over in the Labour Force,2008Q3,20 - 24 years,Male,168.8
Person aged 15 years and over in the Labour Force,2008Q3,20 - 24 years,Female,152.6
Person aged 15 years and over in the Labour Force,2008Q3,25 - 34 years,Both sexes,664.7
Person aged 15 years and over in the Labour Force,2008Q3,25 - 34 years,Male,359.2
Person aged 15 years and over in the Labour Force,2008Q3,25 - 34 years,Female,305.5
Person aged 15 years and over in the Labour Force,2008Q3,35 - 44 years,Both sexes,541.2
Person aged 15 years and over in the Labour Force,2008Q3,35 - 44 years,Male,311.9
Person aged 15 years and over in the Labour Force,2008Q3,35 - 44 years,Female,229.3
Person aged 15 years and over in the Labour Force,2008Q3,45 - 54 years,Both sexes,428.1
Person aged 15 years and over in the Labour Force,2008Q3,45 - 54 years,Male,245.4
Person aged 15 years and over in the Labour Force,2008Q3,45 - 54 years,Female,182.7
Person aged 15 years and over in the Labour Force,2008Q3,55 - 59 years,Both sexes,150.1
Person aged 15 years and over in the Labour Force,2008Q3,55 - 59 years,Male,90.3
Person aged 15 years and over in the Labour Force,2008Q3,55 - 59 years,Female,59.8
Person aged 15 years and over in the Labour Force,2008Q3,60 - 64 years,Both sexes,94.7
Person aged 15 years and over in the Labour Force,2008Q3,60 - 64 years,Male,60.4
Person aged 15 years and over in the Labour Force,2008Q3,60 - 64 years,Female,34.4
Person aged 15 years and over in the Labour Force,2008Q3,65 years and over,Both sexes,46.8
Person aged 15 years and over in the Labour Force,2008Q3,65 years and over,Male,34.8
Person aged 15 years and over in the Labour Force,2008Q3,65 years and over,Female,11.9
Person aged 15 years and over in the Labour Force,2008Q3,25 - 74 years,Both sexes,1917.5
Person aged 15 years and over in the Labour Force,2008Q3,25 - 74 years,Male,1095.2
Person aged 15 years and over in the Labour Force,2008Q3,25 - 74 years,Female,822.3
Person aged 15 years and over in the Labour Force,2008Q4,15 - 19 years,Both sexes,104.5
Person aged 15 years and over in the Labour Force,2008Q4,15 - 19 years,Male,57.2
Person aged 15 years and over in the Labour Force,2008Q4,15 - 19 years,Female,47.2
Person aged 15 years and over in the Labour Force,2008Q4,15 - 24 years,Both sexes,406.2
Person aged 15 years and over in the Labour Force,2008Q4,15 - 24 years,Male,214.3
Person aged 15 years and over in the Labour Force,2008Q4,15 - 24 years,Female,191.9
Person aged 15 years and over in the Labour Force,2008Q4,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2008Q4,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2008Q4,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2008Q4,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2008Q4,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2008Q4,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2008Q4,15 years and over,Both sexes,2335.0
Person aged 15 years and over in the Labour Force,2008Q4,15 years and over,Male,1316.7
Person aged 15 years and over in the Labour Force,2008Q4,15 years and over,Female,1018.3
Person aged 15 years and over in the Labour Force,2008Q4,20 - 24 years,Both sexes,301.8
Person aged 15 years and over in the Labour Force,2008Q4,20 - 24 years,Male,157.1
Person aged 15 years and over in the Labour Force,2008Q4,20 - 24 years,Female,144.7
Person aged 15 years and over in the Labour Force,2008Q4,25 - 34 years,Both sexes,658.4
Person aged 15 years and over in the Labour Force,2008Q4,25 - 34 years,Male,356.0
Person aged 15 years and over in the Labour Force,2008Q4,25 - 34 years,Female,302.4
Person aged 15 years and over in the Labour Force,2008Q4,35 - 44 years,Both sexes,544.3
Person aged 15 years and over in the Labour Force,2008Q4,35 - 44 years,Male,311.6
Person aged 15 years and over in the Labour Force,2008Q4,35 - 44 years,Female,232.7
Person aged 15 years and over in the Labour Force,2008Q4,45 - 54 years,Both sexes,435.1
Person aged 15 years and over in the Labour Force,2008Q4,45 - 54 years,Male,247.9
Person aged 15 years and over in the Labour Force,2008Q4,45 - 54 years,Female,187.2
Person aged 15 years and over in the Labour Force,2008Q4,55 - 59 years,Both sexes,152.1
Person aged 15 years and over in the Labour Force,2008Q4,55 - 59 years,Male,91.2
Person aged 15 years and over in the Labour Force,2008Q4,55 - 59 years,Female,60.9
Person aged 15 years and over in the Labour Force,2008Q4,60 - 64 years,Both sexes,92.5
Person aged 15 years and over in the Labour Force,2008Q4,60 - 64 years,Male,61.1
Person aged 15 years and over in the Labour Force,2008Q4,60 - 64 years,Female,31.4
Person aged 15 years and over in the Labour Force,2008Q4,65 years and over,Both sexes,46.4
Person aged 15 years and over in the Labour Force,2008Q4,65 years and over,Male,34.7
Person aged 15 years and over in the Labour Force,2008Q4,65 years and over,Female,11.7
Person aged 15 years and over in the Labour Force,2008Q4,25 - 74 years,Both sexes,1921.1
Person aged 15 years and over in the Labour Force,2008Q4,25 - 74 years,Male,1096.0
Person aged 15 years and over in the Labour Force,2008Q4,25 - 74 years,Female,825.1
Person aged 15 years and over in the Labour Force,2009Q1,15 - 19 years,Both sexes,92.6
Person aged 15 years and over in the Labour Force,2009Q1,15 - 19 years,Male,50.4
Person aged 15 years and over in the Labour Force,2009Q1,15 - 19 years,Female,42.2
Person aged 15 years and over in the Labour Force,2009Q1,15 - 24 years,Both sexes,387.9
Person aged 15 years and over in the Labour Force,2009Q1,15 - 24 years,Male,201.5
Person aged 15 years and over in the Labour Force,2009Q1,15 - 24 years,Female,186.3
Person aged 15 years and over in the Labour Force,2009Q1,15 - 64 years,Both sexes,
Person aged 15 years and over in the Labour Force,2009Q1,15 - 64 years,Male,
Person aged 15 years and over in the Labour Force,2009Q1,15 - 64 years,Female,
Person aged 15 years and over in the Labour Force,2009Q1,15 - 74 years,Both sexes,
Person aged 15 years and over in the Labour Force,2009Q1,15 - 74 years,Male,
Person aged 15 years and over in the Labour Force,2009Q1,15 - 74 years,Female,
Person aged 15 years and over in the Labour Force,2009Q1,15 years and over,Both sexes,2302.1
Person aged 15 years and over in the Labour Force,2009Q1,15 years and over,Male,1290.5
Person aged 15 years and over in the Labour Force,2009Q1,15 years and over,Female,1011.6
Person aged 15 years and over in the Labour Force,2009Q1,20 - 24 years,Both sexes,295.3
Person aged 15 years and over in the Labour Force,2009Q1,20 - 24 years,Male,151.1
Person aged 15 years and over in the Labour Force,2009Q1,20 - 24 years,Female,144.2
Person aged 15 years and over in the Labour Force,2009Q1,25 - 34 years,Both sexes,656.1
Person aged 15 years and over in the Labour Force,2009Q1,25 - 34 years,Male,353.5
Person aged 15 years and over in the Labour Force,2009Q1,25 - 34 years,Female,302.6
Person aged 15 years and over in the Labour Force,2009Q1,35 - 44 years,Both sexes,539.5
Person aged 15 years and over in the Labour Force,2009Q1,35 - 44 years,Male,309.5
Person aged 15 years and over in the Labour Force,2009Q1,35 - 44 years,Female,230.0
Person aged 15 years and over in the Labour Force,2009Q1,45 - 54 years,Both sexes,429.6
Person aged 15 years and over in the Labour Force,2009Q1,45 - 54 years,Male,243.6
Person aged 15 years and over in the Labour Force,2009Q1,45 - 54 years,Female,186.0
Person aged 15 years and over in the Labour Force,2009Q1,55 - 59 years,Both sexes,150.6
Person aged 15 years and over in the Labour Force,2009Q1,55 - 59 years,Male,90.0
Person aged 15 years and over in the Labour Force,2009Q1,55 - 59 years,Female,60.6
Person aged 15 years and over in the Labour Force,2009Q1,60 - 64 years,Both sexes,93.5
Person aged 15 years and over in the Labour Force,2009Q1,60 - 64 years,Male,59.1
Person aged 15 years and over in the Labour Force,2009Q1,60 - 64 years,Female,34.4
Person aged 15 years and over in the Labour Force,2009Q1,65 years and over,Both sexes,45.0
Person aged 15 years and over in the Labour Force,2009Q1,65 years and over,Male,33.3
Person aged 15 years and over in the Labour Force,2009Q1,65 years and over,Female,11.7
Person aged 15 years and over in the Labour Force,2009Q1,25 - 74 years,Both sexes,1907.2
Person aged 15 years and over in the Labour Force,2009Q1,25 - 74 years,Male,1083.0
Person aged 15 years and over in the Labour Force,2009Q1,25 - 74 years,Female,824.1
Person aged 15 years and over in the Labour Force,2009Q2,15 - 19 years,Both sexes,104.0
Person aged 15 years and over in the Labour Force,2009Q2,15 - 19 years,Male,58.6
Person aged 15 years and over in the Labour Force,2009Q2,15 - 19 years,Female,45.4
Person aged 15 years and over in the Labour Force,2009Q2,15 - 24 years,Both sexes,404.0
Person aged 15 years and over in the Labour Force,2009Q2,15 - 24 years,Male,210.8
