Statistic,Quarter,Permanency of Employment,NACE Rev 2 Economic Sector,value
Employees aged 15 years and over in Employment (ILO),2001Q1,All employees,Not stated,8.6
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,All NACE economic sectors,1301.4
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,"Agriculture, forestry and fishing (A)",19.5
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,Construction (F),96.6
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),191.5
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,Transportation and storage (H),60.9
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,Accommodation and food service activities (I),76.6
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,Information and communication (J),62.1
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,"Professional, scientific and technical activities (M)",59.4
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,Administrative and support service activities (N),47.0
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,Public administration and defence; compulsory social security (O),71.0
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,Education (P),79.6
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,Human health and social work activities (Q),119.4
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,Industry (B to E),294.1
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,"Financial, insurance and real estate activities (K, L)",71.6
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,Other NACE activities (R to U),46.3
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,Industry and Construction (B to F),390.7
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,Services (G to U),885.4
Employees aged 15 years and over in Employment (ILO),2001Q1,Permanent employees,Not stated,5.7
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,All NACE economic sectors,118.6
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,"Agriculture, forestry and fishing (A)",1.8
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,Construction (F),7.3
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),22.8
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,Transportation and storage (H),2.7
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,Accommodation and food service activities (I),14.5
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,Information and communication (J),4.9
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,"Professional, scientific and technical activities (M)",5.3
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,Administrative and support service activities (N),5.1
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,Public administration and defence; compulsory social security (O),3.1
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,Education (P),12.0
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,Human health and social work activities (Q),13.8
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,Industry (B to E),14.1
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,"Financial, insurance and real estate activities (K, L)",3.1
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,Other NACE activities (R to U),7.4
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,Industry and Construction (B to F),21.3
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,Services (G to U),94.8
Employees aged 15 years and over in Employment (ILO),2001Q1,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,All NACE economic sectors,46.3
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,"Agriculture, forestry and fishing (A)",1.2
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,Construction (F),5.4
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2.4
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,Accommodation and food service activities (I),1.9
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,Administrative and support service activities (N),2.3
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,Education (P),7.1
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,Human health and social work activities (Q),7.4
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,Industry (B to E),3.5
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,Other NACE activities (R to U),8.8
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,Industry and Construction (B to F),8.9
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,Services (G to U),34.0
Employees aged 15 years and over in Employment (ILO),2001Q1,Not stated,Not stated,2.2
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,All NACE economic sectors,1494.3
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,"Agriculture, forestry and fishing (A)",23.1
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,Construction (F),111.4
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),221.0
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,Transportation and storage (H),66.1
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,Accommodation and food service activities (I),94.3
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,Information and communication (J),69.3
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,"Professional, scientific and technical activities (M)",69.1
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,Administrative and support service activities (N),57.5
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,Public administration and defence; compulsory social security (O),76.1
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,Education (P),99.3
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,Human health and social work activities (Q),145.0
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,Industry (B to E),314.9
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,"Financial, insurance and real estate activities (K, L)",73.8
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,Other NACE activities (R to U),65.2
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,Industry and Construction (B to F),426.4
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,Services (G to U),1036.7
Employees aged 15 years and over in Employment (ILO),2001Q2,All employees,Not stated,8.1
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,All NACE economic sectors,1314.8
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,"Agriculture, forestry and fishing (A)",19.2
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,Construction (F),99.0
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),192.6
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,Transportation and storage (H),61.6
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,Accommodation and food service activities (I),75.8
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,Information and communication (J),63.6
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,"Professional, scientific and technical activities (M)",62.1
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,Administrative and support service activities (N),49.5
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,Public administration and defence; compulsory social security (O),72.0
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,Education (P),79.5
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,Human health and social work activities (Q),123.0
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,Industry (B to E),293.8
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,"Financial, insurance and real estate activities (K, L)",69.9
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,Other NACE activities (R to U),47.7
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,Industry and Construction (B to F),392.9
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,Services (G to U),897.4
Employees aged 15 years and over in Employment (ILO),2001Q2,Permanent employees,Not stated,5.3
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,All NACE economic sectors,131.3
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,"Agriculture, forestry and fishing (A)",2.7
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,Construction (F),7.4
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),25.7
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,Transportation and storage (H),3.4
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,Accommodation and food service activities (I),16.5
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,Information and communication (J),4.5
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,"Professional, scientific and technical activities (M)",5.8
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,Administrative and support service activities (N),5.8
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,Public administration and defence; compulsory social security (O),3.3
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,Education (P),12.6
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,Human health and social work activities (Q),13.8
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,Industry (B to E),17.4
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,"Financial, insurance and real estate activities (K, L)",3.5
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,Other NACE activities (R to U),8.3
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,Industry and Construction (B to F),24.8
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,Services (G to U),103.2
Employees aged 15 years and over in Employment (ILO),2001Q2,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,All NACE economic sectors,48.2
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,"Agriculture, forestry and fishing (A)",1.3
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,Construction (F),4.9
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2.7
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,Transportation and storage (H),1.1
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,Accommodation and food service activities (I),2.0
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,Administrative and support service activities (N),2.3
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,Education (P),7.1
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,Human health and social work activities (Q),8.2
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,Industry (B to E),3.7
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,Other NACE activities (R to U),9.2
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,Industry and Construction (B to F),8.7
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,Services (G to U),36.0
Employees aged 15 years and over in Employment (ILO),2001Q2,Not stated,Not stated,2.2
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,All NACE economic sectors,1548.3
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,"Agriculture, forestry and fishing (A)",25.7
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,Construction (F),116.0
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),222.1
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,Transportation and storage (H),67.3
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,Accommodation and food service activities (I),105.7
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,Information and communication (J),74.2
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,"Professional, scientific and technical activities (M)",70.4
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,Administrative and support service activities (N),61.6
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,Public administration and defence; compulsory social security (O),77.5
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,Education (P),100.2
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,Human health and social work activities (Q),152.4
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,Industry (B to E),319.3
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,"Financial, insurance and real estate activities (K, L)",78.0
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,Other NACE activities (R to U),69.1
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,Industry and Construction (B to F),435.3
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,Services (G to U),1078.4
Employees aged 15 years and over in Employment (ILO),2001Q3,All employees,Not stated,8.9
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,All NACE economic sectors,1333.5
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,"Agriculture, forestry and fishing (A)",20.1
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,Construction (F),99.9
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),185.7
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,Transportation and storage (H),61.8
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,Accommodation and food service activities (I),77.8
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,Information and communication (J),67.7
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,"Professional, scientific and technical activities (M)",62.8
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,Administrative and support service activities (N),51.4
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,Public administration and defence; compulsory social security (O),72.4
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,Education (P),81.9
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,Human health and social work activities (Q),129.3
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,Industry (B to E),295.7
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,"Financial, insurance and real estate activities (K, L)",72.5
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,Other NACE activities (R to U),49.4
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,Industry and Construction (B to F),395.6
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,Services (G to U),912.7
Employees aged 15 years and over in Employment (ILO),2001Q3,Permanent employees,Not stated,5.1
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,All NACE economic sectors,166.0
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,"Agriculture, forestry and fishing (A)",4.6
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,Construction (F),11.1
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),33.7
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,Transportation and storage (H),4.2
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,Accommodation and food service activities (I),26.1
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,Information and communication (J),5.4
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,"Professional, scientific and technical activities (M)",6.4
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,Administrative and support service activities (N),6.8
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,Public administration and defence; compulsory social security (O),4.1
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,Education (P),11.4
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,Human health and social work activities (Q),15.7
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,Industry (B to E),20.1
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,"Financial, insurance and real estate activities (K, L)",5.2
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,Other NACE activities (R to U),10.4
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,Industry and Construction (B to F),31.2
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,Services (G to U),129.4
Employees aged 15 years and over in Employment (ILO),2001Q3,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,All NACE economic sectors,48.8
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,"Agriculture, forestry and fishing (A)",1.1
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,Construction (F),5.0
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2.7
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,Transportation and storage (H),1.3
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,Accommodation and food service activities (I),1.8
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,"Professional, scientific and technical activities (M)",
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,Administrative and support service activities (N),3.4
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,Education (P),6.9
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,Human health and social work activities (Q),7.4
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,Industry (B to E),3.5
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,Other NACE activities (R to U),9.3
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,Industry and Construction (B to F),8.5
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,Services (G to U),36.2
Employees aged 15 years and over in Employment (ILO),2001Q3,Not stated,Not stated,3.0
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,All NACE economic sectors,1514.5
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,"Agriculture, forestry and fishing (A)",22.4
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,Construction (F),113.3
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),219.8
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,Transportation and storage (H),65.5
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,Accommodation and food service activities (I),97.0
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,Information and communication (J),73.4
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,"Professional, scientific and technical activities (M)",68.9
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,Administrative and support service activities (N),59.9
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,Public administration and defence; compulsory social security (O),76.8
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,Education (P),100.9
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,Human health and social work activities (Q),155.2
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,Industry (B to E),310.6
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,"Financial, insurance and real estate activities (K, L)",74.8
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,Other NACE activities (R to U),67.8
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,Industry and Construction (B to F),423.9
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,Services (G to U),1060.0
Employees aged 15 years and over in Employment (ILO),2001Q4,All employees,Not stated,8.3
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,All NACE economic sectors,1338.9
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,"Agriculture, forestry and fishing (A)",18.8
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,Construction (F),100.8
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),191.4
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,Transportation and storage (H),61.3
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,Accommodation and food service activities (I),78.6
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,Information and communication (J),68.2
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,"Professional, scientific and technical activities (M)",62.5
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,Administrative and support service activities (N),50.9
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,Public administration and defence; compulsory social security (O),72.8
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,Education (P),82.2
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,Human health and social work activities (Q),132.1
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,Industry (B to E),292.7
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,"Financial, insurance and real estate activities (K, L)",71.0
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,Other NACE activities (R to U),50.9
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,Industry and Construction (B to F),393.4
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,Services (G to U),921.9
Employees aged 15 years and over in Employment (ILO),2001Q4,Permanent employees,Not stated,4.7
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,All NACE economic sectors,126.8
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,"Agriculture, forestry and fishing (A)",2.5
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,Construction (F),7.1
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),25.9
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,Transportation and storage (H),3.3
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,Accommodation and food service activities (I),16.5
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,Information and communication (J),4.1
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,"Professional, scientific and technical activities (M)",5.1
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,Administrative and support service activities (N),4.9
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,Public administration and defence; compulsory social security (O),3.1
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,Education (P),12.6
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,Human health and social work activities (Q),15.5
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,Industry (B to E),14.7
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,"Financial, insurance and real estate activities (K, L)",3.5
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,Other NACE activities (R to U),7.5
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,Industry and Construction (B to F),21.8
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,Services (G to U),102.1
Employees aged 15 years and over in Employment (ILO),2001Q4,Temporary employees,Not stated,
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,All NACE economic sectors,48.8
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,"Agriculture, forestry and fishing (A)",1.2
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,Construction (F),5.4
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),2.5
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,Transportation and storage (H),
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,Accommodation and food service activities (I),1.8
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,Information and communication (J),
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,"Professional, scientific and technical activities (M)",1.3
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,Administrative and support service activities (N),4.1
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,Public administration and defence; compulsory social security (O),
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,Education (P),6.0
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,Human health and social work activities (Q),7.6
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,Industry (B to E),3.2
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,"Financial, insurance and real estate activities (K, L)",
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,Other NACE activities (R to U),9.4
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,Industry and Construction (B to F),8.6
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,Services (G to U),36.0
Employees aged 15 years and over in Employment (ILO),2001Q4,Not stated,Not stated,3.1
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,All NACE economic sectors,1506.9
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,"Agriculture, forestry and fishing (A)",21.9
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,Construction (F),111.1
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),219.7
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,Transportation and storage (H),65.1
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,Accommodation and food service activities (I),95.6
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,Information and communication (J),72.5
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,"Professional, scientific and technical activities (M)",69.0
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,Administrative and support service activities (N),56.8
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,Public administration and defence; compulsory social security (O),78.4
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,Education (P),104.5
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,Human health and social work activities (Q),158.7
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,Industry (B to E),302.2
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,"Financial, insurance and real estate activities (K, L)",76.0
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,Other NACE activities (R to U),67.0
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,Industry and Construction (B to F),413.3
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,Services (G to U),1063.1
Employees aged 15 years and over in Employment (ILO),2002Q1,All employees,Not stated,8.7
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,All NACE economic sectors,1330.9
Employees aged 15 years and over in Employment (ILO),2002Q1,Permanent employees,"Agriculture, forestry and fishing (A)",18.5
