Statistic,Quarter,NUTS3 regions,Extent of working at home,value
Persons aged 15 years and over in employment (ILO),2016Q1,Border,Person never works at home,151.7
Persons aged 15 years and over in employment (ILO),2016Q1,Border,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q1,Border,All persons in employment,174.9
Persons aged 15 years and over in employment (ILO),2016Q1,Dublin,Person usually works at home,18.9
Persons aged 15 years and over in employment (ILO),2016Q1,Dublin,Person sometimes works at home,65.3
Persons aged 15 years and over in employment (ILO),2016Q1,Dublin,Person never works at home,546.3
Persons aged 15 years and over in employment (ILO),2016Q1,Dublin,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q1,Dublin,All persons in employment,633.7
Persons aged 15 years and over in employment (ILO),2016Q1,Mid-East,Person usually works at home,8.4
Persons aged 15 years and over in employment (ILO),2016Q1,Mid-East,Person sometimes works at home,19.0
Persons aged 15 years and over in employment (ILO),2016Q1,Mid-East,Person never works at home,270.9
Persons aged 15 years and over in employment (ILO),2016Q1,Mid-East,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q1,Mid-East,All persons in employment,298.6
Persons aged 15 years and over in employment (ILO),2016Q1,Midland,Person usually works at home,
Persons aged 15 years and over in employment (ILO),2016Q1,Midland,Person sometimes works at home,7.2
Persons aged 15 years and over in employment (ILO),2016Q1,Midland,Person never works at home,101.3
Persons aged 15 years and over in employment (ILO),2016Q1,Midland,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q1,Midland,All persons in employment,110.5
Persons aged 15 years and over in employment (ILO),2016Q1,Mid-West,Person usually works at home,11.6
Persons aged 15 years and over in employment (ILO),2016Q1,Mid-West,Person sometimes works at home,20.1
Persons aged 15 years and over in employment (ILO),2016Q1,Mid-West,Person never works at home,168.9
Persons aged 15 years and over in employment (ILO),2016Q1,Mid-West,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q1,Mid-West,All persons in employment,201.1
Persons aged 15 years and over in employment (ILO),2016Q1,South-East,Person usually works at home,5.7
Persons aged 15 years and over in employment (ILO),2016Q1,South-East,Person sometimes works at home,12.7
Persons aged 15 years and over in employment (ILO),2016Q1,South-East,Person never works at home,155.5
Persons aged 15 years and over in employment (ILO),2016Q1,South-East,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q1,South-East,All persons in employment,174.3
Persons aged 15 years and over in employment (ILO),2016Q1,South-West,Person usually works at home,19.1
Persons aged 15 years and over in employment (ILO),2016Q1,South-West,Person sometimes works at home,32.9
Persons aged 15 years and over in employment (ILO),2016Q1,South-West,Person never works at home,247.4
Persons aged 15 years and over in employment (ILO),2016Q1,South-West,Not stated,4.3
Persons aged 15 years and over in employment (ILO),2016Q1,South-West,All persons in employment,303.7
Persons aged 15 years and over in employment (ILO),2016Q1,West,Person usually works at home,4.3
Persons aged 15 years and over in employment (ILO),2016Q1,West,Person sometimes works at home,12.8
Persons aged 15 years and over in employment (ILO),2016Q1,West,Person never works at home,164.6
Persons aged 15 years and over in employment (ILO),2016Q1,West,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q1,West,All persons in employment,182.1
Persons aged 15 years and over in employment (ILO),2016Q1,Ireland,Person usually works at home,77.3
Persons aged 15 years and over in employment (ILO),2016Q1,Ireland,Person sometimes works at home,185.2
Persons aged 15 years and over in employment (ILO),2016Q1,Ireland,Person never works at home,1806.7
Persons aged 15 years and over in employment (ILO),2016Q1,Ireland,Not stated,9.8
Persons aged 15 years and over in employment (ILO),2016Q1,Ireland,All persons in employment,2079.0
Persons aged 15 years and over in employment (ILO),2016Q2,Border,Person usually works at home,10.4
Persons aged 15 years and over in employment (ILO),2016Q2,Border,Person sometimes works at home,12.7
Persons aged 15 years and over in employment (ILO),2016Q2,Border,Person never works at home,153.6
Persons aged 15 years and over in employment (ILO),2016Q2,Border,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q2,Border,All persons in employment,176.8
Persons aged 15 years and over in employment (ILO),2016Q2,Dublin,Person usually works at home,17.5
Persons aged 15 years and over in employment (ILO),2016Q2,Dublin,Person sometimes works at home,67.7
Persons aged 15 years and over in employment (ILO),2016Q2,Dublin,Person never works at home,551.8
Persons aged 15 years and over in employment (ILO),2016Q2,Dublin,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q2,Dublin,All persons in employment,640.4
Persons aged 15 years and over in employment (ILO),2016Q2,Mid-East,Person usually works at home,9.8
Persons aged 15 years and over in employment (ILO),2016Q2,Mid-East,Person sometimes works at home,26.6
Persons aged 15 years and over in employment (ILO),2016Q2,Mid-East,Person never works at home,272.1
Persons aged 15 years and over in employment (ILO),2016Q2,Mid-East,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q2,Mid-East,All persons in employment,309.2
Persons aged 15 years and over in employment (ILO),2016Q2,Midland,Person usually works at home,3.7
Persons aged 15 years and over in employment (ILO),2016Q2,Midland,Person sometimes works at home,11.0
Persons aged 15 years and over in employment (ILO),2016Q2,Midland,Person never works at home,96.4
Persons aged 15 years and over in employment (ILO),2016Q2,Midland,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q2,Midland,All persons in employment,111.5
Persons aged 15 years and over in employment (ILO),2016Q2,Mid-West,Person usually works at home,13.0
Persons aged 15 years and over in employment (ILO),2016Q2,Mid-West,Person sometimes works at home,24.3
Persons aged 15 years and over in employment (ILO),2016Q2,Mid-West,Person never works at home,168.5
Persons aged 15 years and over in employment (ILO),2016Q2,Mid-West,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q2,Mid-West,All persons in employment,206.9
Persons aged 15 years and over in employment (ILO),2016Q2,South-East,Person usually works at home,8.0
Persons aged 15 years and over in employment (ILO),2016Q2,South-East,Person sometimes works at home,17.2
Persons aged 15 years and over in employment (ILO),2016Q2,South-East,Person never works at home,157.4
Persons aged 15 years and over in employment (ILO),2016Q2,South-East,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q2,South-East,All persons in employment,182.7
Persons aged 15 years and over in employment (ILO),2016Q2,South-West,Person usually works at home,14.9
Persons aged 15 years and over in employment (ILO),2016Q2,South-West,Person sometimes works at home,38.5
Persons aged 15 years and over in employment (ILO),2016Q2,South-West,Person never works at home,250.4
Persons aged 15 years and over in employment (ILO),2016Q2,South-West,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q2,South-West,All persons in employment,305.6
Persons aged 15 years and over in employment (ILO),2016Q2,West,Person usually works at home,5.5
Persons aged 15 years and over in employment (ILO),2016Q2,West,Person sometimes works at home,16.3
Persons aged 15 years and over in employment (ILO),2016Q2,West,Person never works at home,169.0
Persons aged 15 years and over in employment (ILO),2016Q2,West,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q2,West,All persons in employment,191.3
Persons aged 15 years and over in employment (ILO),2016Q2,Ireland,Person usually works at home,82.7
Persons aged 15 years and over in employment (ILO),2016Q2,Ireland,Person sometimes works at home,214.3
Persons aged 15 years and over in employment (ILO),2016Q2,Ireland,Person never works at home,1819.2
Persons aged 15 years and over in employment (ILO),2016Q2,Ireland,Not stated,8.2
Persons aged 15 years and over in employment (ILO),2016Q2,Ireland,All persons in employment,2124.4
Persons aged 15 years and over in employment (ILO),2016Q3,Border,Person usually works at home,9.4
Persons aged 15 years and over in employment (ILO),2016Q3,Border,Person sometimes works at home,14.2
Persons aged 15 years and over in employment (ILO),2016Q3,Border,Person never works at home,156.0
Persons aged 15 years and over in employment (ILO),2016Q3,Border,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q3,Border,All persons in employment,179.9
Persons aged 15 years and over in employment (ILO),2016Q3,Dublin,Person usually works at home,19.5
Persons aged 15 years and over in employment (ILO),2016Q3,Dublin,Person sometimes works at home,66.7
Persons aged 15 years and over in employment (ILO),2016Q3,Dublin,Person never works at home,558.1
Persons aged 15 years and over in employment (ILO),2016Q3,Dublin,Not stated,5.2
Persons aged 15 years and over in employment (ILO),2016Q3,Dublin,All persons in employment,649.4
Persons aged 15 years and over in employment (ILO),2016Q3,Mid-East,Person usually works at home,5.0
Persons aged 15 years and over in employment (ILO),2016Q3,Mid-East,Person sometimes works at home,19.5
Persons aged 15 years and over in employment (ILO),2016Q3,Mid-East,Person never works at home,276.6
Persons aged 15 years and over in employment (ILO),2016Q3,Mid-East,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q3,Mid-East,All persons in employment,302.3
Persons aged 15 years and over in employment (ILO),2016Q3,Midland,Person usually works at home,3.9
Persons aged 15 years and over in employment (ILO),2016Q3,Midland,Person sometimes works at home,10.0
Persons aged 15 years and over in employment (ILO),2016Q3,Midland,Person never works at home,100.8
Persons aged 15 years and over in employment (ILO),2016Q3,Midland,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q3,Midland,All persons in employment,115.1
Persons aged 15 years and over in employment (ILO),2016Q3,Mid-West,Person usually works at home,10.1
Persons aged 15 years and over in employment (ILO),2016Q3,Mid-West,Person sometimes works at home,19.3
Persons aged 15 years and over in employment (ILO),2016Q3,Mid-West,Person never works at home,184.3
Persons aged 15 years and over in employment (ILO),2016Q3,Mid-West,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q3,Mid-West,All persons in employment,214.0
Persons aged 15 years and over in employment (ILO),2016Q3,South-East,Person usually works at home,5.7
Persons aged 15 years and over in employment (ILO),2016Q3,South-East,Person sometimes works at home,16.6
Persons aged 15 years and over in employment (ILO),2016Q3,South-East,Person never works at home,162.0
Persons aged 15 years and over in employment (ILO),2016Q3,South-East,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q3,South-East,All persons in employment,185.1
Persons aged 15 years and over in employment (ILO),2016Q3,South-West,Person usually works at home,13.4
Persons aged 15 years and over in employment (ILO),2016Q3,South-West,Person sometimes works at home,32.1
Persons aged 15 years and over in employment (ILO),2016Q3,South-West,Person never works at home,272.7
Persons aged 15 years and over in employment (ILO),2016Q3,South-West,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q3,South-West,All persons in employment,321.6
Persons aged 15 years and over in employment (ILO),2016Q3,West,Person usually works at home,6.1
Persons aged 15 years and over in employment (ILO),2016Q3,West,Person sometimes works at home,13.5
Persons aged 15 years and over in employment (ILO),2016Q3,West,Person never works at home,171.5
Persons aged 15 years and over in employment (ILO),2016Q3,West,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q3,West,All persons in employment,192.6
Persons aged 15 years and over in employment (ILO),2016Q3,Ireland,Person usually works at home,73.1
Persons aged 15 years and over in employment (ILO),2016Q3,Ireland,Person sometimes works at home,192.0
Persons aged 15 years and over in employment (ILO),2016Q3,Ireland,Person never works at home,1882.1
Persons aged 15 years and over in employment (ILO),2016Q3,Ireland,Not stated,12.7
Persons aged 15 years and over in employment (ILO),2016Q3,Ireland,All persons in employment,2159.9
Persons aged 15 years and over in employment (ILO),2016Q4,Border,Person usually works at home,10.4
Persons aged 15 years and over in employment (ILO),2016Q4,Border,Person sometimes works at home,13.4
Persons aged 15 years and over in employment (ILO),2016Q4,Border,Person never works at home,157.7
Persons aged 15 years and over in employment (ILO),2016Q4,Border,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q4,Border,All persons in employment,182.1
Persons aged 15 years and over in employment (ILO),2016Q4,Dublin,Person usually works at home,14.1
Persons aged 15 years and over in employment (ILO),2016Q4,Dublin,Person sometimes works at home,77.1
Persons aged 15 years and over in employment (ILO),2016Q4,Dublin,Person never works at home,558.3
Persons aged 15 years and over in employment (ILO),2016Q4,Dublin,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q4,Dublin,All persons in employment,652.9
Persons aged 15 years and over in employment (ILO),2016Q4,Mid-East,Person usually works at home,7.6
Persons aged 15 years and over in employment (ILO),2016Q4,Mid-East,Person sometimes works at home,25.5
Persons aged 15 years and over in employment (ILO),2016Q4,Mid-East,Person never works at home,272.5
Persons aged 15 years and over in employment (ILO),2016Q4,Mid-East,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q4,Mid-East,All persons in employment,305.9
Persons aged 15 years and over in employment (ILO),2016Q4,Midland,Person usually works at home,4.6
Persons aged 15 years and over in employment (ILO),2016Q4,Midland,Person sometimes works at home,11.3
Persons aged 15 years and over in employment (ILO),2016Q4,Midland,Person never works at home,101.3
Persons aged 15 years and over in employment (ILO),2016Q4,Midland,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q4,Midland,All persons in employment,117.6
Persons aged 15 years and over in employment (ILO),2016Q4,Mid-West,Person usually works at home,10.8
Persons aged 15 years and over in employment (ILO),2016Q4,Mid-West,Person sometimes works at home,25.5
Persons aged 15 years and over in employment (ILO),2016Q4,Mid-West,Person never works at home,179.6
Persons aged 15 years and over in employment (ILO),2016Q4,Mid-West,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q4,Mid-West,All persons in employment,217.3
Persons aged 15 years and over in employment (ILO),2016Q4,South-East,Person usually works at home,8.0
Persons aged 15 years and over in employment (ILO),2016Q4,South-East,Person sometimes works at home,13.3
Persons aged 15 years and over in employment (ILO),2016Q4,South-East,Person never works at home,163.4
Persons aged 15 years and over in employment (ILO),2016Q4,South-East,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q4,South-East,All persons in employment,184.8
Persons aged 15 years and over in employment (ILO),2016Q4,South-West,Person usually works at home,14.9
Persons aged 15 years and over in employment (ILO),2016Q4,South-West,Person sometimes works at home,32.2
Persons aged 15 years and over in employment (ILO),2016Q4,South-West,Person never works at home,261.7
Persons aged 15 years and over in employment (ILO),2016Q4,South-West,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q4,South-West,All persons in employment,311.7
Persons aged 15 years and over in employment (ILO),2016Q4,West,Person usually works at home,6.2
Persons aged 15 years and over in employment (ILO),2016Q4,West,Person sometimes works at home,12.2
Persons aged 15 years and over in employment (ILO),2016Q4,West,Person never works at home,174.1
Persons aged 15 years and over in employment (ILO),2016Q4,West,Not stated,
Persons aged 15 years and over in employment (ILO),2016Q4,West,All persons in employment,193.0
Persons aged 15 years and over in employment (ILO),2016Q4,Ireland,Person usually works at home,76.6
Persons aged 15 years and over in employment (ILO),2016Q4,Ireland,Person sometimes works at home,210.5
Persons aged 15 years and over in employment (ILO),2016Q4,Ireland,Person never works at home,1868.6
Persons aged 15 years and over in employment (ILO),2016Q4,Ireland,Not stated,9.7
Persons aged 15 years and over in employment (ILO),2016Q4,Ireland,All persons in employment,2165.5
Persons aged 15 years and over in employment (ILO),2017Q1,Border,Person usually works at home,9.3
Persons aged 15 years and over in employment (ILO),2017Q1,Border,Person sometimes works at home,15.0
Persons aged 15 years and over in employment (ILO),2017Q1,Border,Person never works at home,154.4
Persons aged 15 years and over in employment (ILO),2017Q1,Border,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q1,Border,All persons in employment,178.7
Persons aged 15 years and over in employment (ILO),2017Q1,Dublin,Person usually works at home,15.9
Persons aged 15 years and over in employment (ILO),2017Q1,Dublin,Person sometimes works at home,85.8
Persons aged 15 years and over in employment (ILO),2017Q1,Dublin,Person never works at home,544.0
Persons aged 15 years and over in employment (ILO),2017Q1,Dublin,Not stated,3.7
Persons aged 15 years and over in employment (ILO),2017Q1,Dublin,All persons in employment,649.4
Persons aged 15 years and over in employment (ILO),2017Q1,Mid-East,Person usually works at home,7.0
Persons aged 15 years and over in employment (ILO),2017Q1,Mid-East,Person sometimes works at home,30.9
Persons aged 15 years and over in employment (ILO),2017Q1,Mid-East,Person never works at home,270.8
Persons aged 15 years and over in employment (ILO),2017Q1,Mid-East,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q1,Mid-East,All persons in employment,309.2
Persons aged 15 years and over in employment (ILO),2017Q1,Midland,Person usually works at home,5.9
Persons aged 15 years and over in employment (ILO),2017Q1,Midland,Person sometimes works at home,11.7
Persons aged 15 years and over in employment (ILO),2017Q1,Midland,Person never works at home,100.6
Persons aged 15 years and over in employment (ILO),2017Q1,Midland,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q1,Midland,All persons in employment,118.3
Persons aged 15 years and over in employment (ILO),2017Q1,Mid-West,Person usually works at home,10.3
Persons aged 15 years and over in employment (ILO),2017Q1,Mid-West,Person sometimes works at home,20.4
Persons aged 15 years and over in employment (ILO),2017Q1,Mid-West,Person never works at home,177.9
Persons aged 15 years and over in employment (ILO),2017Q1,Mid-West,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q1,Mid-West,All persons in employment,209.5
Persons aged 15 years and over in employment (ILO),2017Q1,South-East,Person usually works at home,8.0
Persons aged 15 years and over in employment (ILO),2017Q1,South-East,Person sometimes works at home,19.9
Persons aged 15 years and over in employment (ILO),2017Q1,South-East,Person never works at home,156.7
Persons aged 15 years and over in employment (ILO),2017Q1,South-East,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q1,South-East,All persons in employment,184.9
Persons aged 15 years and over in employment (ILO),2017Q1,South-West,Person usually works at home,10.6
Persons aged 15 years and over in employment (ILO),2017Q1,South-West,Person sometimes works at home,40.9
Persons aged 15 years and over in employment (ILO),2017Q1,South-West,Person never works at home,260.3
Persons aged 15 years and over in employment (ILO),2017Q1,South-West,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q1,South-West,All persons in employment,313.3
Persons aged 15 years and over in employment (ILO),2017Q1,West,Person usually works at home,8.0
Persons aged 15 years and over in employment (ILO),2017Q1,West,Person sometimes works at home,14.9
Persons aged 15 years and over in employment (ILO),2017Q1,West,Person never works at home,176.4
Persons aged 15 years and over in employment (ILO),2017Q1,West,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q1,West,All persons in employment,199.6
Persons aged 15 years and over in employment (ILO),2017Q1,Ireland,Person usually works at home,74.9
Persons aged 15 years and over in employment (ILO),2017Q1,Ireland,Person sometimes works at home,239.4
Persons aged 15 years and over in employment (ILO),2017Q1,Ireland,Person never works at home,1841.0
Persons aged 15 years and over in employment (ILO),2017Q1,Ireland,Not stated,7.6
Persons aged 15 years and over in employment (ILO),2017Q1,Ireland,All persons in employment,2162.8
Persons aged 15 years and over in employment (ILO),2017Q2,Border,Person usually works at home,8.1
Persons aged 15 years and over in employment (ILO),2017Q2,Border,Person sometimes works at home,16.5
Persons aged 15 years and over in employment (ILO),2017Q2,Border,Person never works at home,161.3
Persons aged 15 years and over in employment (ILO),2017Q2,Border,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q2,Border,All persons in employment,186.2
Persons aged 15 years and over in employment (ILO),2017Q2,Dublin,Person usually works at home,24.0
Persons aged 15 years and over in employment (ILO),2017Q2,Dublin,Person sometimes works at home,83.7
Persons aged 15 years and over in employment (ILO),2017Q2,Dublin,Person never works at home,541.7
Persons aged 15 years and over in employment (ILO),2017Q2,Dublin,Not stated,3.8
Persons aged 15 years and over in employment (ILO),2017Q2,Dublin,All persons in employment,653.2
Persons aged 15 years and over in employment (ILO),2017Q2,Mid-East,Person usually works at home,6.5
Persons aged 15 years and over in employment (ILO),2017Q2,Mid-East,Person sometimes works at home,30.4
Persons aged 15 years and over in employment (ILO),2017Q2,Mid-East,Person never works at home,269.7
Persons aged 15 years and over in employment (ILO),2017Q2,Mid-East,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q2,Mid-East,All persons in employment,308.5
Persons aged 15 years and over in employment (ILO),2017Q2,Midland,Person usually works at home,5.2
Persons aged 15 years and over in employment (ILO),2017Q2,Midland,Person sometimes works at home,13.2
Persons aged 15 years and over in employment (ILO),2017Q2,Midland,Person never works at home,99.0
Persons aged 15 years and over in employment (ILO),2017Q2,Midland,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q2,Midland,All persons in employment,117.7
Persons aged 15 years and over in employment (ILO),2017Q2,Mid-West,Person usually works at home,10.2
Persons aged 15 years and over in employment (ILO),2017Q2,Mid-West,Person sometimes works at home,22.2
Persons aged 15 years and over in employment (ILO),2017Q2,Mid-West,Person never works at home,186.3
Persons aged 15 years and over in employment (ILO),2017Q2,Mid-West,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q2,Mid-West,All persons in employment,219.4
Persons aged 15 years and over in employment (ILO),2017Q2,South-East,Person usually works at home,8.6
Persons aged 15 years and over in employment (ILO),2017Q2,South-East,Person sometimes works at home,18.3
Persons aged 15 years and over in employment (ILO),2017Q2,South-East,Person never works at home,154.3
Persons aged 15 years and over in employment (ILO),2017Q2,South-East,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q2,South-East,All persons in employment,181.3
Persons aged 15 years and over in employment (ILO),2017Q2,South-West,Person usually works at home,11.4
Persons aged 15 years and over in employment (ILO),2017Q2,South-West,Person sometimes works at home,40.8
Persons aged 15 years and over in employment (ILO),2017Q2,South-West,Person never works at home,271.6
Persons aged 15 years and over in employment (ILO),2017Q2,South-West,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q2,South-West,All persons in employment,325.5
Persons aged 15 years and over in employment (ILO),2017Q2,West,Person usually works at home,7.7
Persons aged 15 years and over in employment (ILO),2017Q2,West,Person sometimes works at home,12.5
Persons aged 15 years and over in employment (ILO),2017Q2,West,Person never works at home,175.0
Persons aged 15 years and over in employment (ILO),2017Q2,West,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q2,West,All persons in employment,195.6
Persons aged 15 years and over in employment (ILO),2017Q2,Ireland,Person usually works at home,81.7
Persons aged 15 years and over in employment (ILO),2017Q2,Ireland,Person sometimes works at home,237.7
Persons aged 15 years and over in employment (ILO),2017Q2,Ireland,Person never works at home,1858.8
Persons aged 15 years and over in employment (ILO),2017Q2,Ireland,Not stated,9.3
Persons aged 15 years and over in employment (ILO),2017Q2,Ireland,All persons in employment,2187.4
Persons aged 15 years and over in employment (ILO),2017Q3,Border,Person usually works at home,18.8
Persons aged 15 years and over in employment (ILO),2017Q3,Border,Person sometimes works at home,13.7
Persons aged 15 years and over in employment (ILO),2017Q3,Border,Person never works at home,148.9
Persons aged 15 years and over in employment (ILO),2017Q3,Border,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q3,Border,All persons in employment,181.6
Persons aged 15 years and over in employment (ILO),2017Q3,Dublin,Person usually works at home,34.7
Persons aged 15 years and over in employment (ILO),2017Q3,Dublin,Person sometimes works at home,104.4
Persons aged 15 years and over in employment (ILO),2017Q3,Dublin,Person never works at home,520.0
Persons aged 15 years and over in employment (ILO),2017Q3,Dublin,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q3,Dublin,All persons in employment,661.1
Persons aged 15 years and over in employment (ILO),2017Q3,Mid-East,Person usually works at home,20.2
Persons aged 15 years and over in employment (ILO),2017Q3,Mid-East,Person sometimes works at home,41.0
Persons aged 15 years and over in employment (ILO),2017Q3,Mid-East,Person never works at home,259.8
Persons aged 15 years and over in employment (ILO),2017Q3,Mid-East,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q3,Mid-East,All persons in employment,321.1
Persons aged 15 years and over in employment (ILO),2017Q3,Midland,Person usually works at home,7.9
Persons aged 15 years and over in employment (ILO),2017Q3,Midland,Person sometimes works at home,10.3
Persons aged 15 years and over in employment (ILO),2017Q3,Midland,Person never works at home,102.9
Persons aged 15 years and over in employment (ILO),2017Q3,Midland,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q3,Midland,All persons in employment,121.1
Persons aged 15 years and over in employment (ILO),2017Q3,Mid-West,Person usually works at home,16.1
Persons aged 15 years and over in employment (ILO),2017Q3,Mid-West,Person sometimes works at home,28.1
Persons aged 15 years and over in employment (ILO),2017Q3,Mid-West,Person never works at home,172.8
Persons aged 15 years and over in employment (ILO),2017Q3,Mid-West,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q3,Mid-West,All persons in employment,217.3
Persons aged 15 years and over in employment (ILO),2017Q3,South-East,Person usually works at home,18.7
Persons aged 15 years and over in employment (ILO),2017Q3,South-East,Person sometimes works at home,14.7
Persons aged 15 years and over in employment (ILO),2017Q3,South-East,Person never works at home,153.0
Persons aged 15 years and over in employment (ILO),2017Q3,South-East,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q3,South-East,All persons in employment,186.6
Persons aged 15 years and over in employment (ILO),2017Q3,South-West,Person usually works at home,19.0
Persons aged 15 years and over in employment (ILO),2017Q3,South-West,Person sometimes works at home,29.9
Persons aged 15 years and over in employment (ILO),2017Q3,South-West,Person never works at home,271.1
Persons aged 15 years and over in employment (ILO),2017Q3,South-West,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q3,South-West,All persons in employment,320.1
Persons aged 15 years and over in employment (ILO),2017Q3,West,Person usually works at home,18.3
Persons aged 15 years and over in employment (ILO),2017Q3,West,Person sometimes works at home,19.6
Persons aged 15 years and over in employment (ILO),2017Q3,West,Person never works at home,165.6
Persons aged 15 years and over in employment (ILO),2017Q3,West,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q3,West,All persons in employment,203.5
Persons aged 15 years and over in employment (ILO),2017Q3,Ireland,Person usually works at home,153.6
Persons aged 15 years and over in employment (ILO),2017Q3,Ireland,Person sometimes works at home,261.6
Persons aged 15 years and over in employment (ILO),2017Q3,Ireland,Person never works at home,1794.1
Persons aged 15 years and over in employment (ILO),2017Q3,Ireland,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q3,Ireland,All persons in employment,2212.3
Persons aged 15 years and over in employment (ILO),2017Q4,Border,Person usually works at home,18.9
Persons aged 15 years and over in employment (ILO),2017Q4,Border,Person sometimes works at home,14.5
Persons aged 15 years and over in employment (ILO),2017Q4,Border,Person never works at home,148.0
Persons aged 15 years and over in employment (ILO),2017Q4,Border,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q4,Border,All persons in employment,181.5
Persons aged 15 years and over in employment (ILO),2017Q4,Dublin,Person usually works at home,39.9
Persons aged 15 years and over in employment (ILO),2017Q4,Dublin,Person sometimes works at home,113.6
Persons aged 15 years and over in employment (ILO),2017Q4,Dublin,Person never works at home,515.6
Persons aged 15 years and over in employment (ILO),2017Q4,Dublin,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q4,Dublin,All persons in employment,671.9
Persons aged 15 years and over in employment (ILO),2017Q4,Mid-East,Person usually works at home,24.6
Persons aged 15 years and over in employment (ILO),2017Q4,Mid-East,Person sometimes works at home,38.0
Persons aged 15 years and over in employment (ILO),2017Q4,Mid-East,Person never works at home,265.3
Persons aged 15 years and over in employment (ILO),2017Q4,Mid-East,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q4,Mid-East,All persons in employment,327.9
Persons aged 15 years and over in employment (ILO),2017Q4,Midland,Person usually works at home,9.0
Persons aged 15 years and over in employment (ILO),2017Q4,Midland,Person sometimes works at home,10.6
Persons aged 15 years and over in employment (ILO),2017Q4,Midland,Person never works at home,106.0
Persons aged 15 years and over in employment (ILO),2017Q4,Midland,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q4,Midland,All persons in employment,125.7
Persons aged 15 years and over in employment (ILO),2017Q4,Mid-West,Person usually works at home,19.9
Persons aged 15 years and over in employment (ILO),2017Q4,Mid-West,Person sometimes works at home,26.2
Persons aged 15 years and over in employment (ILO),2017Q4,Mid-West,Person never works at home,176.8
Persons aged 15 years and over in employment (ILO),2017Q4,Mid-West,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q4,Mid-West,All persons in employment,223.2
Persons aged 15 years and over in employment (ILO),2017Q4,South-East,Person usually works at home,15.7
Persons aged 15 years and over in employment (ILO),2017Q4,South-East,Person sometimes works at home,19.3
Persons aged 15 years and over in employment (ILO),2017Q4,South-East,Person never works at home,148.5
Persons aged 15 years and over in employment (ILO),2017Q4,South-East,Not stated,
Persons aged 15 years and over in employment (ILO),2017Q4,South-East,All persons in employment,183.7
Persons aged 15 years and over in employment (ILO),2017Q4,South-West,Person usually works at home,19.0
Persons aged 15 years and over in employment (ILO),2017Q4,South-West,Person sometimes works at home,34.7
Persons aged 15 years and over in employment (ILO),2017Q4,South-West,Person never works at home,262.2
