Statistic,Quarterly,Full and Part Time Status,NACE Rev 2 Economic Sector,value
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),194.1
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,Transportation and storage (H),81.2
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,Accommodation and food service activities (I),77.5
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,Information and communication (J),74.5
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,"Professional, scientific and technical activities (M)",82.7
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,Administrative and support service activities (N),52.9
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,Public administration and defence; compulsory social security (O),78.4
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,Education (P),85.3
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,Human health and social work activities (Q),122.2
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,Industry (B to E),309.9
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,"Financial, insurance and real estate activities (K, L)",74.9
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,Other NACE activities (R to U),62.5
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,Industry and Construction (B to F),462.4
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,Services (G to U),986.3
Persons aged 15 years and over in Employment (ILO),2002Q3,Full-time,Not stated,7.3
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,All NACE economic sectors,317.5
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,"Agriculture, forestry and fishing (A)",14.1
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,Construction (F),7.8
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),76.3
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,Transportation and storage (H),7.8
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,Accommodation and food service activities (I),42.5
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,Information and communication (J),5.8
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,"Professional, scientific and technical activities (M)",9.9
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,Administrative and support service activities (N),15.4
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,Public administration and defence; compulsory social security (O),6.8
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,Education (P),21.2
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,Human health and social work activities (Q),50.6
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,Industry (B to E),20.9
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,"Financial, insurance and real estate activities (K, L)",8.7
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,Other NACE activities (R to U),27.4
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,Industry and Construction (B to F),28.7
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,Services (G to U),272.3
Persons aged 15 years and over in Employment (ILO),2002Q3,Part-time,Not stated,2.4
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,All NACE economic sectors,1850.3
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,"Agriculture, forestry and fishing (A)",114.0
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,Construction (F),154.6
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),264.0
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,Transportation and storage (H),86.4
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,Accommodation and food service activities (I),117.3
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,Information and communication (J),80.3
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,"Professional, scientific and technical activities (M)",93.5
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,Administrative and support service activities (N),66.6
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,Public administration and defence; compulsory social security (O),84.4
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,Education (P),113.9
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,Human health and social work activities (Q),177.4
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,Industry (B to E),318.9
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,"Financial, insurance and real estate activities (K, L)",81.7
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,Other NACE activities (R to U),88.9
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,Industry and Construction (B to F),473.4
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,Services (G to U),1254.3
Persons aged 15 years and over in Employment (ILO),2002Q4,All employment status,Not stated,8.6
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,All NACE economic sectors,1528.3
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,"Agriculture, forestry and fishing (A)",100.7
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,Construction (F),148.6
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),186.7
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,Transportation and storage (H),78.3
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,Accommodation and food service activities (I),72.3
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,Information and communication (J),75.2
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,"Professional, scientific and technical activities (M)",83.1
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,Administrative and support service activities (N),52.2
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,Public administration and defence; compulsory social security (O),77.5
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,Education (P),89.2
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,Human health and social work activities (Q),125.4
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,Industry (B to E),298.6
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,"Financial, insurance and real estate activities (K, L)",72.1
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,Other NACE activities (R to U),61.6
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,Industry and Construction (B to F),447.2
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,Services (G to U),973.7
Persons aged 15 years and over in Employment (ILO),2002Q4,Full-time,Not stated,6.6
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,All NACE economic sectors,322.0
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,"Agriculture, forestry and fishing (A)",13.2
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,Construction (F),6.0
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),77.4
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,Transportation and storage (H),8.0
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,Accommodation and food service activities (I),44.9
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,Information and communication (J),5.0
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,"Professional, scientific and technical activities (M)",10.4
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,Administrative and support service activities (N),14.4
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,Public administration and defence; compulsory social security (O),6.9
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,Education (P),24.7
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,Human health and social work activities (Q),52.0
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,Industry (B to E),20.2
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,"Financial, insurance and real estate activities (K, L)",9.6
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,Other NACE activities (R to U),27.4
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,Industry and Construction (B to F),26.2
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,Services (G to U),280.6
Persons aged 15 years and over in Employment (ILO),2002Q4,Part-time,Not stated,2.0
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,All NACE economic sectors,1855.6
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,"Agriculture, forestry and fishing (A)",114.4
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,Construction (F),154.7
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),264.9
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,Transportation and storage (H),86.2
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,Accommodation and food service activities (I),116.0
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,Information and communication (J),75.6
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,"Professional, scientific and technical activities (M)",95.1
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,Administrative and support service activities (N),66.2
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,Public administration and defence; compulsory social security (O),84.8
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,Education (P),116.7
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,Human health and social work activities (Q),180.8
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,Industry (B to E),320.5
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,"Financial, insurance and real estate activities (K, L)",84.3
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,Other NACE activities (R to U),87.6
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,Industry and Construction (B to F),475.1
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,Services (G to U),1258.2
Persons aged 15 years and over in Employment (ILO),2003Q1,All employment status,Not stated,7.9
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,All NACE economic sectors,1530.7
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,"Agriculture, forestry and fishing (A)",99.2
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,Construction (F),148.4
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),187.5
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,Transportation and storage (H),78.5
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,Accommodation and food service activities (I),71.7
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,Information and communication (J),70.1
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,"Professional, scientific and technical activities (M)",85.4
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,Administrative and support service activities (N),52.3
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,Public administration and defence; compulsory social security (O),77.9
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,Education (P),90.6
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,Human health and social work activities (Q),126.5
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,Industry (B to E),301.4
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,"Financial, insurance and real estate activities (K, L)",74.6
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,Other NACE activities (R to U),60.7
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,Industry and Construction (B to F),449.8
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,Services (G to U),975.6
Persons aged 15 years and over in Employment (ILO),2003Q1,Full-time,Not stated,6.1
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,All NACE economic sectors,324.9
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,"Agriculture, forestry and fishing (A)",15.1
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,Construction (F),6.2
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),77.3
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,Transportation and storage (H),7.7
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,Accommodation and food service activities (I),44.3
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,Information and communication (J),5.5
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,"Professional, scientific and technical activities (M)",9.8
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,Administrative and support service activities (N),14.0
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,Public administration and defence; compulsory social security (O),6.9
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,Education (P),26.1
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,Human health and social work activities (Q),54.4
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,Industry (B to E),19.1
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,"Financial, insurance and real estate activities (K, L)",9.7
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,Other NACE activities (R to U),26.8
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,Industry and Construction (B to F),25.3
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,Services (G to U),282.6
Persons aged 15 years and over in Employment (ILO),2003Q1,Part-time,Not stated,1.8
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,All NACE economic sectors,1874.0
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,"Agriculture, forestry and fishing (A)",114.7
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,Construction (F),159.1
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),263.5
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,Transportation and storage (H),87.7
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,Accommodation and food service activities (I),119.9
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,Information and communication (J),77.2
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,"Professional, scientific and technical activities (M)",97.8
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,Administrative and support service activities (N),65.0
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,Public administration and defence; compulsory social security (O),85.6
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,Education (P),115.9
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,Human health and social work activities (Q),181.9
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,Industry (B to E),320.0
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,"Financial, insurance and real estate activities (K, L)",85.4
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,Other NACE activities (R to U),89.7
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,Industry and Construction (B to F),479.1
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,Services (G to U),1269.4
Persons aged 15 years and over in Employment (ILO),2003Q2,All employment status,Not stated,10.7
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,All NACE economic sectors,1547.8
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,"Agriculture, forestry and fishing (A)",99.9
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,Construction (F),152.2
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),187.8
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,Transportation and storage (H),79.9
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,Accommodation and food service activities (I),76.2
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,Information and communication (J),70.9
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,"Professional, scientific and technical activities (M)",88.0
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,Administrative and support service activities (N),49.7
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,Public administration and defence; compulsory social security (O),78.5
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,Education (P),91.0
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,Human health and social work activities (Q),128.2
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,Industry (B to E),299.6
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,"Financial, insurance and real estate activities (K, L)",75.8
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,Other NACE activities (R to U),62.8
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,Industry and Construction (B to F),451.8
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,Services (G to U),988.8
Persons aged 15 years and over in Employment (ILO),2003Q2,Full-time,Not stated,7.3
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,All NACE economic sectors,326.1
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,"Agriculture, forestry and fishing (A)",14.9
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,Construction (F),6.9
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),75.6
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,Transportation and storage (H),7.7
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,Accommodation and food service activities (I),43.8
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,Information and communication (J),6.2
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,"Professional, scientific and technical activities (M)",9.8
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,Administrative and support service activities (N),15.3
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,Public administration and defence; compulsory social security (O),7.2
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,Education (P),24.8
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,Human health and social work activities (Q),53.6
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,Industry (B to E),20.4
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,"Financial, insurance and real estate activities (K, L)",9.7
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,Other NACE activities (R to U),26.8
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,Industry and Construction (B to F),27.3
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,Services (G to U),280.6
Persons aged 15 years and over in Employment (ILO),2003Q2,Part-time,Not stated,3.3
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,All NACE economic sectors,1912.8
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,"Agriculture, forestry and fishing (A)",117.7
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,Construction (F),164.5
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),274.5
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,Transportation and storage (H),87.1
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,Accommodation and food service activities (I),131.4
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,Information and communication (J),76.3
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,"Professional, scientific and technical activities (M)",98.2
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,Administrative and support service activities (N),70.3
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,Public administration and defence; compulsory social security (O),87.5
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,Education (P),110.8
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,Human health and social work activities (Q),185.8
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,Industry (B to E),320.2
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,"Financial, insurance and real estate activities (K, L)",87.3
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,Other NACE activities (R to U),92.8
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,Industry and Construction (B to F),484.7
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,Services (G to U),1301.9
Persons aged 15 years and over in Employment (ILO),2003Q3,All employment status,Not stated,8.5
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,All NACE economic sectors,1577.0
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,"Agriculture, forestry and fishing (A)",102.3
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,Construction (F),156.8
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),195.1
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,Transportation and storage (H),79.2
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,Accommodation and food service activities (I),84.2
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,Information and communication (J),69.7
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,"Professional, scientific and technical activities (M)",87.6
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,Administrative and support service activities (N),54.2
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,Public administration and defence; compulsory social security (O),80.3
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,Education (P),90.2
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,Human health and social work activities (Q),129.6
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,Industry (B to E),299.7
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,"Financial, insurance and real estate activities (K, L)",77.5
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,Other NACE activities (R to U),64.1
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,Industry and Construction (B to F),456.5
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,Services (G to U),1011.7
Persons aged 15 years and over in Employment (ILO),2003Q3,Full-time,Not stated,6.5
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,All NACE economic sectors,335.8
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,"Agriculture, forestry and fishing (A)",15.5
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,Construction (F),7.7
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),79.4
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,Transportation and storage (H),7.9
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,Accommodation and food service activities (I),47.2
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,Information and communication (J),6.6
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,"Professional, scientific and technical activities (M)",10.6
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,Administrative and support service activities (N),16.0
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,Public administration and defence; compulsory social security (O),7.2
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,Education (P),20.6
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,Human health and social work activities (Q),56.2
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,Industry (B to E),20.5
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,"Financial, insurance and real estate activities (K, L)",9.8
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,Other NACE activities (R to U),28.7
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,Industry and Construction (B to F),28.2
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,Services (G to U),290.2
Persons aged 15 years and over in Employment (ILO),2003Q3,Part-time,Not stated,2.0
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,All NACE economic sectors,1899.4
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,"Agriculture, forestry and fishing (A)",119.5
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,Construction (F),163.5
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),273.1
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,Transportation and storage (H),87.1
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,Accommodation and food service activities (I),119.5
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,Information and communication (J),77.9
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,"Professional, scientific and technical activities (M)",98.6
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,Administrative and support service activities (N),67.2
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,Public administration and defence; compulsory social security (O),83.1
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,Education (P),119.9
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,Human health and social work activities (Q),188.3
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,Industry (B to E),309.0
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,"Financial, insurance and real estate activities (K, L)",90.3
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,Other NACE activities (R to U),94.3
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,Industry and Construction (B to F),472.4
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,Services (G to U),1299.2
Persons aged 15 years and over in Employment (ILO),2003Q4,All employment status,Not stated,8.3
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,All NACE economic sectors,1567.7
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,"Agriculture, forestry and fishing (A)",106.2
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,Construction (F),157.6
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),193.8
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,Transportation and storage (H),79.1
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,Accommodation and food service activities (I),75.7
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,Information and communication (J),71.7
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,"Professional, scientific and technical activities (M)",88.7
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,Administrative and support service activities (N),52.1
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,Public administration and defence; compulsory social security (O),76.1
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,Education (P),95.5
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,Human health and social work activities (Q),129.8
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,Industry (B to E),290.1
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,"Financial, insurance and real estate activities (K, L)",79.6
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,Other NACE activities (R to U),65.0
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,Industry and Construction (B to F),447.7
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,Services (G to U),1007.2
Persons aged 15 years and over in Employment (ILO),2003Q4,Full-time,Not stated,6.6
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,All NACE economic sectors,331.7
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,"Agriculture, forestry and fishing (A)",13.3
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,Construction (F),5.9
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),79.2
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,Transportation and storage (H),8.0
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,Accommodation and food service activities (I),43.7
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,Information and communication (J),6.2
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,"Professional, scientific and technical activities (M)",9.8
Persons aged 15 years and over in Employment (ILO),2003Q4,Part-time,Administrative and support service activities (N),15.1
